Farm,Date,Year,Week,FeedThru,FeedThruType,FlyTreat,FlyTreatType,Pyrethroid,Pyrethrin,IGR,Ivermectin,Grazing,RotFreqDays,Other,Calamosternus granarius,Colobopterus erraticus,Aphodius fimetarius,Otophorus haemorrhoidalis,Oscarinus rusicola,Alloblackburneus rubeolus,Acrossus rubripennis,Chilothorax distinctus,Teuchestes fossor,Labarrus lividus,Blackburneus stercorosus,Ataenius strigatus,Trichonotulus scrofa,Eupleurus subterraneus,Onthophagus taurus,Onthophagus pensylvannicus,Onthophagus nuchicornis,Onthophagus hecate,AbAll,AbDB,AbNonDB,AbHist,AbHydro,AbHySmall,AbHyLarge,AbStaph,Richness (db),Weather,Windy,Temperature,HornFliesAvg,FaceFliesAvg,StableFliesAvg,GPS
Chaseholm,15-May,2024,1,N,N,N,N,N,N,N,N,Rotational,3,,0,29,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,35,17,0,16,2,14,1,2,R,N,62,26.5,18,0,"41.959261, -73.608753"
Full Moon,16-May,2024,1,N,N,N,N,N,N,N,Y,Rotational,10,,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,52,4,48,0,47,35,12,1,2,R,Y,64,0.1,0,0,"41.753636, -74.122224"
Boone,17-May,2024,1,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Continuous,30,,3,57,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,104,67,37,0,36,13,23,1,5,S,N,75,0,0,0,"42.514032, -74.047356"
Wilmar Farm,15-May,2024,1,Y,Altosid,Y,methoprene,N,N,Y,N,MIG,1,,99,27,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,166,132,34,0,24,10,14,10,5,C,N,60,0,3.5,0,"42.652490, -78.247704"
Hendricksons Grazing Acres,15-May,2024,1,N,N,N,N,N,N,N,Y,MIG,1,,4,80,0,3,1,0,0,0,4,0,0,0,0,0,13,0,0,0,202,105,97,0,87,1,86,10,6,C,N,65,22.5,3.5,0,"42.622045, -78.134195"
Tamberlane Farm,15-May,2024,1,Y,Clarifly,Y,"diflubenzuron, pyrethroid",Y,N,Y,N,Rotational,7,,9,14,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,66,29,37,0,32,9,23,5,4,C,N,60,0,0,0,"42.8279777,-77.2584595"
Rugenstein,16-May,2024,1,Y,Clarifly,Y,"diflubenzuron, pyrethrins",N,Y,Y,N,Rotational,3,,6,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,144,44,100,0,95,57,38,5,3,C,N,65,0,0,0,"42.9400909,-77.3028408"
Charlie Reinshagen,16-May,2024,1,Y,Rabon,Y,"tetrachlorvinphos, pyrethroid",Y,N,N,N,Continuous,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,N,65,0,0,0,"42.378973, -74.666026"
Maks Melvan,16-May,2024,1,N,N,Y,permethrin,Y,N,N,Y,Continuous,30,,5,16,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,24,18,0,17,17,0,1,4,R,N,55,0,0,0,"42.36579, -74.589692"
LaurDom Cattle Co.,16-May,2024,1,N,N,Y,pyrethrins,N,Y,N,Y,Rotational,10,,0,52,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,116,61,55,0,51,12,39,4,3,R,Y,68,45,8.3,0,"42.265233, -74.757086"
Stony Creek Farm,20-May,2024,1,N,N,N,N,N,N,N,N,Rotational,5,,3,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,83,10,73,0,70,62,8,3,4,PC,N,80,37.5,18.7,13,"42.252111, -75.107264"
Porco,15-May,2024,1,N,N,N,N,N,N,N,Y,MIG,1,,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,32,26,0,26,1,25,0,1,R,N,58,0,0,0,"43.03266, - 74.7694"
Young,15-May,2024,1,N,N,N,N,N,N,N,Y,Rotational,3.5,,2,137,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,174,141,33,0,33,0,33,0,3,R,N,58,0,0,0,"42.88130, - 74.8338"
Devine Gardens,14-May,2024,1,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Rotational,4,,0,213,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,283,218,65,0,64,0,64,1,3,S,N,71,0,0,0,"42.91542, - 75.7471"
Essex Farm,15-May,2024,1,N,N,Y,pyrethrins,N,Y,N,N,MIG,1,Essential oils,0,62,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,110,64,46,0,46,3,43,0,3,C,N,59,42,14,0.2,"44.309224, -73.369184"
Daona,15-May,2024,1,Y,Clarifly,Y,diflubenzuron,N,N,Y,N,Continuous,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,N,64,8,5.1,0,"43.87937158694747, -73.31594295713514"
KZ,16-May,2024,1,N,N,N,N,N,N,N,N,MIG,1,,2,45,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,141,63,78,0,65,13,52,13,4,S,N,72,50.5,17.5,0,"44.21408785253618, -73.44422118959798"
J+R Pierce,21-May,2024,1,N,N,Y,permethrin,Y,N,N,N,Rotational,1.5,Diesil,8,16,1,39,6,0,4,0,0,0,0,0,0,0,0,0,0,0,400,74,326,4,304,208,96,18,6,C,N,76,6.8,11.2,0,"44.78597240570679, -73.52093274538599"
Donahues,21-May,2024,1,N,N,N,N,N,N,N,N,Continuous,30,,18,247,1,7,28,0,0,0,4,0,0,0,4,0,1,0,0,1,358,311,47,0,45,21,24,2,9,S,N,88,8.6,1.4,1.9,"44.783728724190745, -74.45422136124527"
Chaseholm,29-May,2024,2,N,N,N,N,N,N,N,N,Rotational,3,,1,20,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,115,24,91,4,87,1,86,0,4,PC,N,71,73,37.7,0,"41.959261, -73.608753"
Full Moon,30-May,2024,2,N,N,N,N,N,N,N,Y,Rotational,10,,0,6,0,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,114,29,85,2,83,53,30,0,4,S,N,67,48,30,0,"41.753636, -74.122224"
Boone,31-May,2024,2,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Continuous,30,,3,31,0,20,6,0,0,0,2,0,1,0,0,0,0,0,0,0,169,63,106,4,102,76,26,0,6,S,Y,79,20,6.5,0,"42.514032, -74.047356"
Wilmar Farm,29-May,2024,2,Y,Altosid,Y,methoprene,N,N,Y,N,MIG,1,,49,1,3,0,6,0,0,0,4,0,0,0,0,0,1,0,0,0,88,64,24,1,13,11,2,10,6,R,N,61,0,2.1,0,"42.652490, -78.247704"
Hendricksons Grazing Acres,29-May,2024,2,N,N,N,N,N,N,N,Y,MIG,1,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,20,0,19,0,19,1,2,R,N,61,11.25,2.1,0,"42.622045, -78.134195"
Tamberlane Farm,29-May,2024,2,Y,Clarifly,Y,"diflubenzuron, pyrethroid",Y,N,Y,N,Rotational,7,,2,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,15,38,0,34,21,13,4,3,S,N,65,0,0,0,"42.8279777,-77.2584595"
Rugenstein,29-May,2024,2,Y,Clarifly,Y,"diflubenzuron, pyrethrins",N,Y,Y,N,Rotational,3,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,41,0,40,12,28,1,2,PC,N,62,112.5,0,0,"42.9400909,-77.3028408"
Charlie Reinshagen,30-May,2024,2,Y,Rabon,Y,"tetrachlorvinphos, pyrethroid",Y,N,N,N,Continuous,30,,3,94,3,1,2,0,0,0,4,0,0,0,0,0,2,0,0,0,296,109,187,0,165,98,67,22,7,S,Y,60,37.5,7,,"42.378973, -74.666026"
Maks Melvan,30-May,2024,2,N,N,Y,permethrin,Y,N,N,Y,Continuous,30,,2,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,7,0,3,2,1,4,3,S,Y,60,37.5,7,0,"42.36579, -74.589692"
LaurDom Cattle Co.,30-May,2024,2,N,N,Y,pyrethrins,N,Y,N,Y,Rotational,10,,0,78,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,214,85,129,0,127,4,123,2,4,S,Y,63,101.25,58,5,"42.265233, -74.757086"
Stony Creek Farm,30-May,2024,2,N,N,N,N,N,N,N,N,Rotational,5,,0,6,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,130,10,120,0,117,96,21,3,4,S,Y,55,45,7,4,"42.252111, -75.107264"
Porco,30-May,2024,2,N,N,N,N,N,N,N,Y,MIG,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,4,0,4,0,4,0,2,S,N,65,0,32,0,"43.03266, - 74.7694"
Young,30-May,2024,2,N,N,N,N,N,N,N,Y,Rotational,3.5,,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,0,2,0,2,0,1,S,Y,75,0,53.9,0,"42.88130, - 74.8338"
Devine Gardens,30-May,2024,2,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Rotational,4,,0,23,1,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,41,29,12,1,11,0,11,0,5,C,Y,64,0,0,0,"42.91542, - 75.7471"
Essex Farm,31-May,2024,2,N,N,Y,pyrethrins,N,Y,N,N,MIG,1,Essential oils,0,42,0,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,281,77,204,2,182,73,109,20,3,S,Y,75,61,43,0,"44.309224, -73.369184"
Daona,31-May,2024,2,Y,Clarifly,Y,diflubenzuron,N,N,Y,N,Continuous,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43.87937158694747, -73.31594295713514"
KZ,30-May,2024,2,N,N,N,N,N,N,N,N,MIG,1,,0,21,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,219,25,194,0,187,0,0,7,3,S,Y,68,33,7.4,0,"44.21408785253618, -73.44422118959798"
J+R Pierce,31-May,2024,2,N,N,Y,permethrin,Y,N,N,N,Rotational,1.5,Diesil,3,4,2,8,0,0,0,0,6,0,1,0,0,0,0,0,0,1,84,25,59,1,57,24,33,1,7,S,N,84,31.5,38.5,1.9,"44.78597240570679, -73.52093274538599"
Donahues,31-May,2024,2,N,N,N,N,N,N,N,N,Continuous,30,,14,37,1,2,0,0,0,0,2,0,7,1,1,0,0,0,0,0,157,65,92,3,87,39,48,2,8,S,N,84,4.5,8.3,0.3,"44.783728724190745, -74.45422136124527"
Chaseholm,12-Jun,2024,3,N,N,N,N,N,N,N,N,Rotational,3,,1,1,0,6,1,0,0,0,0,0,3,0,0,0,0,0,0,0,103,12,91,13,52,28,24,26,5,PC,N,75,0,20,0,"41.959261, -73.608753"
Full Moon,12-Jun,2024,3,N,N,N,N,N,N,N,Y,Rotational,10,,0,0,0,2,1,1,0,0,0,0,7,0,0,0,0,0,0,0,115,11,104,3,95,90,5,6,4,S,N,87,40,70,25,"41.753636, -74.122224"
Boone,12-Jun,2024,3,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Continuous,30,,0,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,62,8,54,2,50,35,15,2,4,C,N,71,18.75,21.88,0,"42.514032, -74.047356"
Wilmar Farm,12-Jun,2024,3,Y,Altosid,Y,methoprene,N,N,Y,N,MIG,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,18,0,18,16,2,0,1,S,Y,77,18.75,0.7,1.5,"42.652490, -78.247704"
Hendricksons Grazing Acres,12-Jun,2024,3,N,N,N,N,N,N,N,Y,MIG,1,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,4,4,0,0,1,S,Y,77,37.5,4.2,4,"42.622045, -78.134195"
Tamberlane Farm,11-Jun,2024,3,Y,Clarifly,Y,"diflubenzuron, pyrethroid",Y,N,Y,N,Rotational,7,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,9,0,9,6,3,0,1,C,N,62,,,,"42.8279777,-77.2584595"
Rugenstein,11-Jun,2024,3,Y,Clarifly,Y,"diflubenzuron, pyrethrins",N,Y,Y,N,Rotational,3,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,81,0,78,68,10,3,1,R,N,60,37.5,4.9,0,"42.9400909,-77.3028408"
Charlie Reinshagen,11-Jun,2024,3,Y,Rabon,Y,"tetrachlorvinphos, pyrethroid",Y,N,N,N,Continuous,30,,3,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,64,7,57,0,48,44,4,9,4,R,N,55,22.5,4.9,,"42.378973, -74.666026"
Maks Melvan,11-Jun,2024,3,N,N,Y,permethrin,Y,N,N,Y,Continuous,30,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,38,0,35,35,0,3,1,C,N,56,37.5,7,0,"42.36579, -74.589692"
LaurDom Cattle Co.,13-Jun,2024,3,N,N,Y,pyrethrins,N,Y,N,Y,Rotational,10,,1,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,57,9,48,0,37,8,29,11,5,C,N,57,,,,"42.265233, -74.757086"
Stony Creek Farm,13-Jun,2024,3,N,N,N,N,N,N,N,N,Rotational,5,,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,7,25,0,19,19,0,6,2,C,N,55,45,7,0,"42.252111, -75.107264"
Porco,11-Jun,2024,3,N,N,N,N,N,N,N,Y,MIG,1,,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,282,7,275,2,266,253,13,7,4,C,Y,69,11.25,2.8,0,"43.03266, - 74.7694"
Young,11-Jun,2024,3,N,N,N,N,N,N,N,Y,Rotational,3.5,,3,10,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,25,69,1,64,61,3,4,5,C,Y,71,0,7,5,"42.88130, - 74.8338"
Devine Gardens,12-Jun,2024,3,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Rotational,4,,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,15,30,1,29,21,8,0,1,C,Y,71,0,7,5,"42.91542, - 75.7471"
Essex Farm,13-Jun,2024,3,N,N,Y,pyrethrins,N,Y,N,N,MIG,1,Essential oils,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,130,5,125,0,123,0,64,2,3,S,N,70,47,30,1.9,"44.309224, -73.369184"
Daona,10-Jun,2024,3,Y,Clarifly,Y,diflubenzuron,N,N,Y,N,Continuous,30,,0,4,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,121,9,112,0,107,0,0,5,4,C,N,70,2.6,0.6,0,"43.87937158694747, -73.31594295713514"
KZ,13-Jun,2024,3,N,N,N,N,N,N,N,N,MIG,1,,0,13,0,26,0,2,0,0,0,0,2,0,0,0,0,0,0,0,397,43,354,11,295,0,0,48,4,S,N,64,55.5,30,0.4,"44.21408785253618, -73.44422118959798"
J+R Pierce,14-Jun,2024,3,N,N,Y,permethrin,Y,N,N,N,Rotational,1.5,Diesil,0,5,0,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,94,14,80,1,58,0,0,21,5,S,N,88,5.1,8.7,5.4,"44.78597240570679, -73.52093274538599"
Donahues,14-Jun,2024,3,N,N,N,N,N,N,N,N,Continuous,30,,0,155,0,1,0,0,0,0,2,0,1,0,0,0,2,0,2,0,247,163,84,3,77,0,0,4,6,S,N,90,13,10,1.8,"44.783728724190745, -74.45422136124527"
Chaseholm,26-Jun,2024,4,N,N,N,N,N,N,N,N,Rotational,3,,0,47,4,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,140,67,73,2,69,16,53,2,4,S,N,75,200,68,7,"41.959261, -73.608753"
Full Moon,27-Jun,2024,4,N,N,N,N,N,N,N,Y,Rotational,10,,0,25,0,64,17,0,0,0,0,3,4,0,0,0,0,0,0,0,270,113,157,6,143,102,41,8,5,S,N,78,18.89,43.33,6.67,"41.753636, -74.122224"
Boone,28-Jun,2024,4,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Continuous,30,,0,23,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,31,27,0,20,1,19,7,2,S,N,78,33.33,27.5,0,"42.514032, -74.047356"
Wilmar Farm,24-Jun,2024,4,Y,Altosid,Y,methoprene,N,N,Y,N,MIG,1,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,41,0,16,1,15,25,1,R,N,86,15,4.2,3,"42.652490, -78.247704"
Hendricksons Grazing Acres,24-Jun,2024,4,N,N,N,N,N,N,N,Y,MIG,1,,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,60,5,55,3,50,12,38,2,4,R,N,86,23.1,4.9,4,"42.622045, -78.134195"
Tamberlane Farm,26-Jun,2024,4,Y,Clarifly,Y,"diflubenzuron, pyrethroid",Y,N,Y,N,Rotational,7,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,37,0,33,3,30,4,3,PC,N,83,37.5,7,5,"42.8279777,-77.2584595"
