Date,Farm,Region,Temp,Weather,Non or Insecticide,Active Ingredients,Calamosternus granarius,Colobopterus erraticus, Aphodius fimetarius/pedellus ,Otophorus haemorrhoidalis,Oscarinus rusicola,Alloblackburneus rubeolus,Acrossus rubripennis,Teuchestes fossor,Labarrus pseudolividus/lividus,Blackburneus stercorosus,Pseudagolius bicolor,Eupleurus subterraneus,Onthophagus taurus ,Onthophagus pennsylvanicus,Onthophagus hecate ,Histeridae ,Hydrophilidae,Staphylinidae,Scarabaeidae,Horn_Flies,Face_Flies,GPS
5/18/22,Boone Farm,Capital,60,Sunshine,Insecticide,Diflubenzuron,,20,,2,,,,,,,,,,,,,47,3,22,2,0,"42.54463393478293, -74.03369647630593"
5/25/22,Boone Farm,Capital,66,Sunshine,Insecticide,Diflubenzuron,,,,,,,,,,,,,,,,,2,,0,3,1,"42.54463393478293, -74.03369647630593"
6/1/22,Boone Farm,Capital,68,Rain,Insecticide,Diflubenzuron,1,32,,1,,,,,,,,,1,,,1,59,2,35,,,"42.54463393478293, -74.03369647630593"
6/7/22,Boone Farm,Capital,71,Cloudy,Insecticide,Diflubenzuron,1,1,,,,,,,,1,,,1,,,,14,,4,17,5,"42.54463393478293, -74.03369647630593"
6/14/22,Boone Farm,Capital,68,Rain,Insecticide,Diflubenzuron,1,2,,,,,,,,2,,,,5,,,18,,10,27,9,"42.54463393478293, -74.03369647630593"
6/22/22,Boone Farm,Capital,56,Rain,Insecticide,Diflubenzuron,,,,,,,,2,,,,,,,,1,9,2,2,9,6,"42.54463393478293, -74.03369647630593"
6/28/22,Boone Farm,Capital,75,Sunshine,Insecticide,Diflubenzuron,,8,,1,,,,,,,,,,,,1,48,,9,98,23,"42.54463393478293, -74.03369647630593"
7/6/22,Boone Farm,Capital,71,Cloudy,Insecticide,Diflubenzuron,,8,,,,,,,1,,,,,1,,,16,1,10,38,13,"42.54463393478293, -74.03369647630593"
7/13/22,Boone Farm,Capital,78,Sunshine,Insecticide,Diflubenzuron,,35,,1,,,,,,2,,,,,,,30,,38,38,13,"42.54463393478293, -74.03369647630593"
7/29/22,Boone Farm,Capital,80,Sunshine,Insecticide,Diflubenzuron,,8,4,3,,,,,,,,,,,,,26,,15,140,17,"42.54463393478293, -74.03369647630593"
7/29/22,Boone Farm,Capital,85,Sunshine,Insecticide,Diflubenzuron,,3,1,,,,,,,,,,,,,,41,,4,,,"42.54463393478293, -74.03369647630593"
8/3/22,Boone Farm,Capital,85,Sunshine,Insecticide,Diflubenzuron,1,,1,4,,1,,,,1,,,,,,1,28,,8,,,"42.54463393478293, -74.03369647630593"
8/8/22,Boone Farm,Capital,82,Cloudy,Insecticide,Diflubenzuron,5,,,27,,,,,,4,,,2,,,4,9,1,38,98,3,"42.54463393478293, -74.03369647630593"
8/19/22,Boone Farm,Capital,79,Cloudy,Insecticide,Diflubenzuron,,,,12,,,,,,,,,3,1,,,68,1,16,80,10,"42.54463393478293, -74.03369647630593"
8/23/22,Boone Farm,Capital,85,Sunshine,Insecticide,Diflubenzuron,,,,9,,,,,,4,,,3,,1,,42,,17,,,"42.54463393478293, -74.03369647630593"
8/31/22,Boone Farm,Capital,65,Sunshine,Insecticide,Diflubenzuron,,,,11,,,,,,1,,,,,,,6,,12,240,10,"42.54463393478293, -74.03369647630593"
9/8/22,Boone Farm,Capital,72,Sunshine,Insecticide,Diflubenzuron,,,,1,1,,,,,1,,,1,,,1,34,,4,230,2,"42.54463393478293, -74.03369647630593"
9/14/22,Boone Farm,Capital,62,Sunshine,Insecticide,Diflubenzuron,,,,9,1,,,,,2,,,,,,,20,1,12,,,"42.54463393478293, -74.03369647630593"
9/22/22,Boone Farm,Capital,62,Sunshine,Insecticide,Diflubenzuron,,,,2,8,,,,,1,,,,,,,73,5,11,,,"42.54463393478293, -74.03369647630593"
9/27/22,Boone Farm,Capital,62,Sunshine,Insecticide,Diflubenzuron,,,,2,,,,,2,,,,,,2,,28,3,6,,,"42.54463393478293, -74.03369647630593"
5/4/22,Kuipers,Southwest,52,Rain,Insecticide,Tetrachlorvinphos,3,,1,,,,,,,,,,,,,,,,4,0,0,"42.652410995744475, -78.24775957397635"
5/12/22,Kuipers,Southwest,73,Sunshine,Insecticide,Tetrachlorvinphos,51,1,3,,,,,,,,,,1,,,,,,56,0,0,"42.652410995744475, -78.24775957397635"
5/19/22,Kuipers,Southwest,73,Sunshine,Insecticide,Tetrachlorvinphos,7,4,,,,,1,,,,,,,,,,,,12,0,2,"42.652410995744475, -78.24775957397635"
5/27/22,Kuipers,Southwest,61,Rain,Insecticide,Tetrachlorvinphos,35,63,,,,,,,,,,,4,,,,6,3,102,0,0,"42.652410995744475, -78.24775957397635"
6/2/22,Kuipers,Southwest,74,Sunshine,Insecticide,Tetrachlorvinphos,15,9,,,,,,1,,,,,1,,,2,9,1,26,12,10,"42.652410995744475, -78.24775957397635"
6/10/22,Kuipers,Southwest,55,Sunshine,Insecticide,Tetrachlorvinphos,,38,,,,,,,,,,,,,,,1,,38,4,2,"42.652410995744475, -78.24775957397635"
6/17/22,Kuipers,Southwest,72,Sunshine,Insecticide,Tetrachlorvinphos,,6,,,,,,,,,,,,,,,6,,6,4,2,"42.652410995744475, -78.24775957397635"
6/22/22,Kuipers,Southwest,81,Sunshine,Insecticide,Tetrachlorvinphos,,,,1,,,,,,,,,,,,,2,,1,23,18,"42.652410995744475, -78.24775957397635"
6/29/22,Kuipers,Southwest,64,Sunshine,Insecticide,Tetrachlorvinphos,,,,,,,,,,,,,,,,1,1,,0,44,39,"42.652410995744475, -78.24775957397635"
7/7/22,Kuipers,Southwest,72,Sunshine,Insecticide,Tetrachlorvinphos,1,4,20,1,,,,,,,,,,,,2,21,,26,19,33,"42.652410995744475, -78.24775957397635"
7/14/22,Kuipers,Southwest,63,Sunshine,Insecticide,Tetrachlorvinphos,,4,6,,,,,,,,,,,,,,35,,10,24,29,"42.652410995744475, -78.24775957397635"
7/21/22,Kuipers,Southwest,72,Rain,Insecticide,Tetrachlorvinphos,,21,1,1,,,,,,,,,,,,2,53,,23,12,13,"42.652410995744475, -78.24775957397635"
7/29/22,Kuipers,Southwest,68,Sunshine,Insecticide,Tetrachlorvinphos,,3,2,,1,,,,,,,,2,,,4,13,4,8,21,36,"42.652410995744475, -78.24775957397635"
8/4/22,Kuipers,Southwest,76,Rain,Insecticide,Tetrachlorvinphos,,1,1,1,,,,,,,,,,,,2,3,2,3,37,24,"42.652410995744475, -78.24775957397635"
8/11/22,Kuipers,Southwest,82,Sunshine,Insecticide,Tetrachlorvinphos,,2,1,,,,,,,,,,,,,1,3,,3,32,13,"42.652410995744475, -78.24775957397635"
8/18/22,Kuipers,Southwest,82,Sunshine,Insecticide,Tetrachlorvinphos,,,,2,,,,,,,,,1,,,1,,,3,33,9,"42.652410995744475, -78.24775957397635"
8/25/22,Kuipers,Southwest,74,Sunshine,Insecticide,Tetrachlorvinphos,,,,4,,,,,,,,,,,,,1,,4,48,38,"42.652410995744475, -78.24775957397635"
8/31/22,Kuipers,Southwest,68,Sunshine,Insecticide,Tetrachlorvinphos,,1,,1,,,,,,,,,,,,,,,2,66,29,"42.652410995744475, -78.24775957397635"
9/8/22,Kuipers,Southwest,65,Cloudy,Insecticide,Tetrachlorvinphos,,,,2,,,,,,,,,,,,,5,,2,58,18,"42.652410995744475, -78.24775957397635"
9/15/22,Kuipers,Southwest,55,Sunshine,Insecticide,Tetrachlorvinphos,,,1,,,,,,,,,,,,,,5,1,1,28,3,"42.652410995744475, -78.24775957397635"
9/22/22,Kuipers,Southwest,63,Sunshine,Insecticide,Tetrachlorvinphos,,,,,,,,,,,,,,,,,11,,0,10,0,"42.652410995744475, -78.24775957397635"
9/29/22,Kuipers,Southwest,48,Cloudy,Insecticide,Tetrachlorvinphos,,,1,,,,,,,,,,2,,,,32,1,3,10,0,"42.652410995744475, -78.24775957397635"
5/6/22,Rugenstein Family Farm,Northwest,55,Cloudy,Insecticide,Diflubenzuron,23,13,2,,,,,,,,,,1,,,,25,,39,0,0,"43.06299375705573, -77.30374234638641"
5/12/22,Rugenstein Family Farm,Northwest,80,Sunshine,Insecticide,Diflubenzuron,370,14,,,,,,,,,,,1,,,1,28,8,385,0,0,"43.06299375705573, -77.30374234638641"
5/19/22,Rugenstein Family Farm,Northwest,60,Sunshine,Insecticide,Diflubenzuron,3,6,,,,,,,,,,,,,,,4,,9,0,2,"43.06299375705573, -77.30374234638641"
