,farm,date,year,calamosternus_granarius,colobopterus_erraticus,aphodius_fimetarius,otophorus,oscarinus_rusicola,alloblackburneus_rubeolus,acrossus_rubripennis,chilothorax_distinctus,teuchestes_fossor,labarrus_lividus,blackburneus_stercorosus,dialytellus_dialytoides,trichonotulus_scrofa,eupleurus_subterraneus,onthophagus_taurus,onthophagus_pensylvannicus,onthophagus_nuchicornis,onthophagus_hecate,unnamed_21,onthopagus_abundance,aphodius_abundance,total_abundance,q_0_richness,q_1_shannon,q_2_simpson,native_species_abundance,native_species_richness,native_species_proportion,unnamed_0,lat,long,corn,soybeans,sweet_corn,barley,winter_wheat,rye,oats,alfalfa,other_hay_non_alflafa,buckwheat,dry_beans,potatoes,misc_vegs_&_fruits,clover_wildflowers,fallow_idle_cropland,cherries,apples,grapes,christmas_trees,open_water,developed_open_space,developed_low_intensity,developed_med_intensity,developed_high_intensity,barren,deciduous_forest,evergreen_forest,mixed_forest,shrubland,grassland_pasture,woody_wetlands,herbaceous_wetlands,total,ag,ag_prop,nat,nat_prop,semi_nat,semi_nat_prop,dev,dev_prop,other,other_prop,woodland,woodland_prop,forest_prop,total_nat_prop,drainage,soil_texture,julian_day,season,sorghum,sunflower,spring_wheat,sugarbeets,onions,cucumbers,peas,sod_grass_seed,other_tree_crops,aquaculture,triticale,carrots,broccoli,greens,squash,dbl_crop_triticale_corn,pumpkins
0,Chaseholm,2022-05-03,2022,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,20,20,1,1.0,1.0,0,0,0.0,0,41.98788599,-73.6178036,36,3,0,5,0,1,2,294,401,0,0,0,0,0,7,0.0,7,0,0.0,1,106,63,11,0,1,1305,76,63,5,732,68,1,3156.37008239,749,0.2372979024794386,1519,0.481249017177927,732,0.2319119687783032,181,0.0573443529356186,0.0,0.0,1518,0.4809321975484484,0.4574875449670353,0.7131609859562302,8,4,123,spring,,,,,,,,,,,,,,,,,
1,Turner,2022-05-04,2022,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,2,2,1,1.0,1.0,2,1,0.5,4,42.22686594,-76.99705251,11,1,0,0,0,0,0,23,95,0,0,0,0,0,0,0.0,0,0,0.0,3,195,15,4,3,0,1221,323,780,2,514,8,1,3164.22981343,130,0.0410842472465933,2335,0.7379362870830417,514,0.1624407929596074,217,0.0685790896346981,0.0,0.0,2334,0.7376202544119141,0.7344599277006377,0.9003770800426492,2,5,124,spring,,,,,,,,,,,,,,,,,
2,Kuipers,2022-05-04,2022,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,3,3,3,3.0,3.0,2,2,0.666666667,5,42.652411,-78.24775957,228,54,12,0,1,0,0,940,46,4,2,373,0,1,3,0.0,0,0,6.0,0,153,39,8,1,0,733,91,234,1,212,77,3,3186.40465143,1667,0.5231601702727496,1139,0.3574561691305709,212,0.0665326671252686,201,0.0630805004348066,0.0,0.0,1136,0.3565146691240813,0.3320356689553503,0.4239888362558396,2,5,124,spring,,,,,,,,,,,,,,,,,
3,Rugenstein,2022-05-06,2022,13,14,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,39,40,4,3.27438103,3.137254902,12,1,0.025641026,7,43.06299376,-77.30374235,220,42,0,0,8,0,0,7,13,0,0,0,0,1,2,1.0,6,0,3.0,2,445,409,118,59,6,911,6,111,1,495,380,1,3212.7592514099997,301,0.0936889372796603,1416,0.4407426418205948,495,0.1540731692805045,1037,0.322775508169461,0.0,0.0,1415,0.4404313828927554,0.3199741778189064,0.5948158111010995,8,4,126,spring,,,,,,,,,,,,,,,,,
4,Eisele,2022-05-05,2022,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6,6,1,1.0,1.0,0,0,0.0,8,42.15807,-74.802461,5,0,0,0,0,0,0,14,244,0,0,0,0,0,0,0.0,0,0,0.0,1,124,38,10,2,7,1909,92,311,3,415,17,2,3161.355609,263,0.0831921594809741,2341,0.7405051153800774,415,0.1312727991810047,181,0.0572539196427996,0.0,0.0,2339,0.7398724753840243,0.7313318354373084,0.8717779145610821,8,5,125,spring,,,,,,,,,,,,,,,,,
5,Shephard,2022-05-05,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,,9,42.322393,-74.891982,10,1,0,0,0,4,0,24,200,0,0,0,0,2,0,0.0,0,0,0.0,0,141,24,7,2,0,1892,17,64,8,805,8,2,3178.430411,241,0.0758235886385747,1991,0.6264098131925406,805,0.2532696632948243,174,0.0547440017556514,0.0,0.0,1989,0.6257805717930504,0.6207466405971284,0.879679476487365,4,5,125,spring,,,,,,,,,,,,,,,,,
6,Chaseholm,2022-05-10,2022,0,33,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,35,35,2,1.244871761,1.120768527,0,0,0.0,0,41.98788599,-73.6178036,36,3,0,5,0,1,2,294,401,0,0,0,0,0,7,0.0,7,0,0.0,1,106,63,11,0,1,1305,76,63,5,732,68,1,3156.37008239,749,0.2372979024794386,1519,0.481249017177927,732,0.2319119687783032,181,0.0573443529356186,0.0,0.0,1518,0.4809321975484484,0.4574875449670353,0.7131609859562302,8,4,130,spring,,,,,,,,,,,,,,,,,
7,Turner,2022-05-12,2022,0,25,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,,2,27,29,5,1.808328391,1.337042925,2,2,0.074074074,4,42.22686594,-76.99705251,11,1,0,0,0,0,0,23,95,0,0,0,0,0,0,0.0,0,0,0.0,3,195,15,4,3,0,1221,323,780,2,514,8,1,3164.22981343,130,0.0410842472465933,2335,0.7379362870830417,514,0.1624407929596074,217,0.0685790896346981,0.0,0.0,2334,0.7376202544119141,0.7344599277006377,0.9003770800426492,2,5,132,spring,,,,,,,,,,,,,,,,,
8,Kuipers,2022-05-12,2022,55,0,2,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,,1,61,62,5,1.643328565,1.264473684,4,2,0.032786885,5,42.652411,-78.24775957,228,54,12,0,1,0,0,940,46,4,2,373,0,1,3,0.0,0,0,6.0,0,153,39,8,1,0,733,91,234,1,212,77,3,3186.40465143,1667,0.5231601702727496,1139,0.3574561691305709,212,0.0665326671252686,201,0.0630805004348066,0.0,0.0,1136,0.3565146691240813,0.3320356689553503,0.4239888362558396,2,5,132,spring,,,,,,,,,,,,,,,,,
9,Honeyhill,2022-05-12,2022,54,274,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,2,334,336,4,1.755108244,1.44679106,0,0,0.0,6,42.7876199,-77.6811557,532,187,0,0,1,0,0,160,235,0,0,0,0,0,3,0.0,0,1,0.0,7,250,55,11,0,0,828,1,90,1,822,48,1,3198.1064642,1116,0.3489564880008349,969,0.3029917893125529,822,0.2570270906242708,316,0.0988084679285518,0.0,0.0,968,0.3026791042874626,0.2873575380580352,0.5600188799368238,2,4,132,spring,,,,,,,,,,,,,,,,,
