Farm,Lat,Long,VALUE_1,VALUE_5,VALUE_12,VALUE_21,VALUE_24,VALUE_27,VALUE_28,VALUE_36,VALUE_37,VALUE_39,VALUE_42,VALUE_43,VALUE_47,VALUE_58,VALUE_61,VALUE_66,VALUE_68,VALUE_69,VALUE_70,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195
Chaseholm,41.987885990000002,-73.617803600000002,"36","3","0","5","0","1","2","294","401","0","0","0","0","0","7","0","7","0","0","1","106","63","11","0","1","1305","76","63","5","732","68","1"
Wallbridge,41.774997610000000,-73.651565550000001,"71","3","1","0","0","0","0","73","93","0","0","0","4","0","9","0","0","0","0","10","61","87","14","3","1","1766","14","48","1","752","171","3"
JohnK,42.400617279999999,-73.994205829999999,"6","1","0","0","0","0","0","67","27","0","0","0","0","0","0","0","0","0","0","8","79","102","20","0","2","938","705","770","3","270","205","12"
Boone,42.544633930000003,-74.033696480000003,"25","0","0","0","0","0","0","168","25","0","0","0","0","0","0","0","0","0","0","17","77","9","2","0","1","1898","69","642","2","186","60","37"
Turner,42.226865940000003,-76.997052510000003,"11","1","0","0","0","0","0","23","95","0","0","0","0","0","0","0","0","0","0","3","195","15","4","3","0","1221","323","780","2","514","8","1"
Kuipers,42.652411000000001,-78.247759569999999,"228","54","12","0","1","0","0","940","46","4","2","373","0","1","3","0","0","0","6","0","153","39","8","1","0","733","91","234","1","212","77","3"
Honeyhill,42.787619900000003,-77.681155700000005,"532","187","0","0","1","0","0","160","235","0","0","0","0","0","3","0","0","1","0","7","250","55","11","0","0","828","1","90","1","822","48","1"
Rugenstein,43.062993759999998,-77.303742349999993,"220","42","0","0","8","0","0","7","13","0","0","0","0","1","2","1","6","0","3","2","445","409","118","59","6","911","6","111","1","495","380","1"
Eisele,42.158070000000002,-74.802460999999994,"5","0","0","0","0","0","0","14","244","0","0","0","0","0","0","0","0","0","0","1","124","38","10","2","7","1909","92","311","3","415","17","2"
Shephard,42.322392999999998,-74.891981999999999,"10","1","0","0","0","4","0","24","200","0","0","0","0","2","0","0","0","0","0","0","141","24","7","2","0","1892","17","64","8","805","8","2"
