,Farm,Lat,Long,Corn,Soybeans,Sweet Corn,Barley,Winter Wheat,Rye,Oats,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Dry Beans,Potatoes,Misc Vegs & Fruits,Clover/Wildflowers,Fallow/Idle Cropland,Cherries,Apples,Grapes,Christmas Trees,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Dev,Dev_Prop,Other,Other_Prop,Forest_Prop,Total_Nat_Prop
0,Chaseholm,41.98788599,-73.6178036,36,3,0,5,0,1,2,294,401,0,0,0,0,0,7,0,7,0,0,1,106,63,11,0,1,1305,76,63,5,732,68,1,3156.37008239,749,0.23729790247943866,1519,0.481249017177927,732,0.23191196877830322,181,0.05734435293561869,0.0,0.0,0.4574875449670353,0.7131609859562302
1,Wallbridge,41.77499761,-73.65156555,71,3,1,0,0,0,0,73,93,0,0,0,4,0,9,0,0,0,0,10,61,87,14,3,1,1766,14,48,1,752,171,3,3153.12343206,245,0.0777007323940809,2004,0.6355602763989311,752,0.2384936765728524,166,0.05264621052007114,0.0,0.0,0.5797426074137955,0.8740539529717835
2,JohnK,42.40061728,-73.99420583,6,1,0,0,0,0,0,67,27,0,0,0,0,0,0,0,0,0,0,8,79,102,20,0,2,938,705,770,3,270,205,12,3183.4064114499997,101,0.0317270203505043,2635,0.8277296893423646,270,0.08481480687758575,203,0.06376816961537002,0.0,0.0,0.7579930703541274,0.9125444962199503
3,Boone,42.54463393,-74.03369648,25,0,0,0,0,0,0,168,25,0,0,0,0,0,0,0,0,0,0,17,77,9,2,0,1,1898,69,642,2,186,60,37,3186.51093745,218,0.0684133851347939,2709,0.850146148303471,186,0.05837105337188837,89,0.027930235215581,0.0,0.0,0.8187638615443913,0.9085172016753594
4,Turner,42.22686594,-76.99705251,11,1,0,0,0,0,0,23,95,0,0,0,0,0,0,0,0,0,0,3,195,15,4,3,0,1221,323,780,2,514,8,1,3164.22981343,130,0.041084247246593326,2335,0.7379362870830417,514,0.16244079295960748,217,0.0685790896346981,0.0,0.0,0.7344599277006377,0.9003770800426492
5,Kuipers,42.652411,-78.24775957,228,54,12,0,1,0,0,940,46,4,2,373,0,1,3,0,0,0,6,0,153,39,8,1,0,733,91,234,1,212,77,3,3186.40465143,1667,0.5231601702727496,1139,0.35745616913057093,212,0.06653266712526869,201,0.06308050043480663,0.0,0.0,0.33203566895535036,0.4239888362558396
6,Honeyhill,42.7876199,-77.6811557,532,187,0,0,1,0,0,160,235,0,0,0,0,0,3,0,0,1,0,7,250,55,11,0,0,828,1,90,1,822,48,1,3198.1064642,1116,0.34895648800083495,969,0.30299178931255294,822,0.25702709062427087,316,0.09880846792855183,0.0,0.0,0.2873575380580352,0.5600188799368238
7,Rugenstein,43.06299376,-77.30374235,220,42,0,0,8,0,0,7,13,0,0,0,0,1,2,1,6,0,3,2,445,409,118,59,6,911,6,111,1,495,380,1,3212.7592514099997,301,0.09368893727966035,1416,0.44074264182059486,495,0.15407316928050457,1037,0.32277550816946105,0.0,0.0,0.31997417781890647,0.5948158111010995
8,Eisele,42.15807,-74.802461,5,0,0,0,0,0,0,14,244,0,0,0,0,0,0,0,0,0,0,1,124,38,10,2,7,1909,92,311,3,415,17,2,3161.355609,263,0.0831921594809741,2341,0.7405051153800774,415,0.13127279918100476,181,0.05725391964279966,0.0,0.0,0.7313318354373084,0.8717779145610821
9,Shephard,42.322393,-74.891982,10,1,0,0,0,4,0,24,200,0,0,0,0,2,0,0,0,0,0,0,141,24,7,2,0,1892,17,64,8,805,8,2,3178.430411,241,0.07582358863857473,1991,0.6264098131925406,805,0.2532696632948243,174,0.054744001755651465,0.0,0.0,0.6207466405971284,0.879679476487365
