Farm,Lat,Long,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_58,VALUE_59,VALUE_61,VALUE_68,VALUE_69,VALUE_71,VALUE_92,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_214,VALUE_219,VALUE_222,VALUE_228,VALUE_229
Chaseholm,41.959260999999998,-73.608752999999993,"194","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","116","20","3","0","2","1959","10","51","0","1075","27","0","0","0","0","0","0","0","0"
Full Moon,41.753636000000000,-74.122224000000003,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","312","81","7","0","0","1656","29","52","0","1312","14","0","0","0","0","0","0","0","0"
Boone,42.514032000000000,-74.047355999999994,"75","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","274","170","70","57","1","463","188","329","0","1677","119","8","0","0","0","0","0","0","0"
Wilmar Farm,42.652490000000000,-78.247703999999999,"64","10","20","0","0","0","0","42","0","0","617","1","0","0","2","427","3","0","0","0","0","0","0","0","0","0","3","1","163","24","3","0","0","912","163","262","0","716","16","0","0","17","0","0","3","0","0"
Hendricksons Grazing Acres,42.622045000000000,-78.134195000000005,"229","0","0","0","0","0","0","0","0","0","505","6","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","4","166","29","0","0","1","1283","121","387","0","685","52","2","0","0","0","0","0","0","0"
Tamberlane Farm,42.827977699999998,-77.258459500000001,"0","0","1","0","0","0","0","21","3","0","64","1","0","0","1","1","0","0","2","1","0","0","1","0","0","0","2","1658","214","194","40","4","3","569","2","16","0","595","69","0","0","0","1","0","0","0","0"
Rugenstein,42.940090900000001,-77.302840799999998,"588","1","20","0","0","1","0","51","4","0","38","14","10","0","34","0","1","1","0","1","341","2","9","0","4","0","1","111","209","40","9","1","22","666","0","9","0","1167","57","7","45","0","0","0","0","0","0"
Charlie Reinshagen,42.378973000000002,-74.666026000000002,"7","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","168","117","79","29","0","1412","257","172","0","1204","6","0","0","0","0","0","0","0","0"
Maks Melvan,42.365789999999997,-74.589691999999999,"0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","238","17","7","3","1","1271","61","168","0","1683","6","0","0","0","0","0","0","0","0"
LaurDom Cattle Co.,42.265233000000002,-74.757086000000001,"0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5","165","18","5","3","2","1955","37","236","0","1025","6","0","0","0","0","0","0","0","0"
Stony Creek Farm,42.252110999999999,-75.107264000000001,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","151","9","1","0","0","2295","1","44","0","951","3","2","0","0","0","0","0","0","0"
Porco,43.032660000000000,-74.769400000000005,"562","0","177","0","1","2","0","1","0","0","18","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","139","35","8","14","9","113","33","33","0","2170","19","0","0","0","0","0","0","105","0"
Young,42.881300000000003,-74.833799999999997,"0","0","0","0","0","0","0","0","0","24","65","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","140","46","2","0","0","975","119","71","0","1845","167","1","0","0","0","0","0","0","0"
Devine Gardens,42.915419999999997,-75.747100000000003,"2","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","13","186","56","56","0","10","1484","380","116","0","901","242","8","2","0","0","0","0","0","0"
Essex Farm,44.309224000000000,-73.369184000000004,"18","0","2","34","0","13","0","1","2","0","1","0","0","0","0","0","5","0","0","0","0","0","18","3","0","1","0","19","78","74","28","0","12","572","306","105","0","1944","222","2","0","0","0","0","0","0","6"
Daona,43.879371589999998,-73.315942960000001,"700","0","1","0","0","0","2","0","0","0","0","405","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","49","125","21","13","19","272","49","24","0","1759","24","0","0","0","0","0","0","0","0"
KZ,44.214087849999999,-73.444221189999993,"2","0","0","0","1","0","0","0","8","0","0","11","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","7","104","100","15","1","12","411","652","46","0","2016","72","1","0","0","0","0","0","0","0"
J+R Pierce,44.785972409999999,-73.520932750000000,"0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","72","7","0","1","1127","655","76","0","956","401","42","0","0","0","0","0","0","0"
Donahues,44.783728719999999,-74.454221360000005,"0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","138","29","3","5","6","1809","287","4","1","1000","180","0","0","0","0","1","0","0","0"
