,Farm,Lat,Long,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Apples,Grapes,Other Tree Crops,Aquaculture,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Broccoli,Greens,Squash,Dbl Crop Triticale/Corn,Pumpkins,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Dev,Dev_Prop,Other,Other_Prop,Forest_Prop,Total_Nat_Prop
0,Chaseholm,41.959261,-73.608753,194,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,116,20,3,0,2,1959,10,51,0,1075,27,0,0,0,0,0,0,0,0,6860.701016,197,0.02871426688622223,2049,0.2986575271566972,1075,0.15668952742481673,141,0.020551835690138753,0,0.0,0.2944305538587254,0.4553470545815139
1,Full Moon,41.753636,-74.122224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,81,7,0,0,1656,29,52,0,1312,14,0,0,0,0,0,0,0,0,6861.2628239999995,0,0.0,1751,0.25520083473193594,1312,0.1912184438425471,400,0.05829830604955704,0,0.0,0.25316039402020146,0.44641927857448305
2,Boone,42.514032,-74.047356,75,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,274,170,70,57,1,463,188,329,0,1677,119,8,0,0,0,0,0,0,0,6860.933352,89,0.012971996000231661,1108,0.1614940625646818,1677,0.2444273853077359,572,0.08337058103519673,0,0.0,0.14283770876659582,0.4059214478724177
3,Wilmar Farm,42.65249,-78.247704,64,10,20,0,0,0,0,42,0,0,617,1,0,0,2,427,3,0,0,0,0,0,0,0,0,0,3,1,163,24,3,0,0,912,163,262,0,716,16,0,0,17,0,0,3,0,0,6866.809572,1206,0.17562741289893455,1353,0.19703473437169025,716,0.10426967465641553,190,0.02766932707362982,3,0.00043688411168889187,0.19470468577601616,0.3013044090281058
4,Hendricksons Grazing Acres,42.622045,-78.134195,229,0,0,0,0,0,0,0,0,0,505,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,166,29,0,0,1,1283,121,387,0,685,52,2,0,0,0,0,0,0,0,6874.9757,743,0.10807310926204437,1846,0.2685100399700322,685,0.0996367158068646,196,0.02850919167612476,0,0.0,0.26051001169356863,0.3681467557768968
5,Tamberlane Farm,42.8279777,-77.2584595,0,0,1,0,0,0,0,21,3,0,64,1,0,0,1,1,0,0,2,1,0,0,1,0,0,0,2,1658,214,194,40,4,3,569,2,16,0,595,69,0,0,0,1,0,0,0,0,6857.1390364,96,0.01400000780068768,659,0.0961042202151373,595,0.08677088168134552,455,0.06635420363867599,2,0.00029166682918099334,0.08560421436462154,0.18287510189648282
6,Rugenstein,42.9400909,-77.3028408,588,1,20,0,0,1,0,51,4,0,38,14,10,0,34,0,1,1,0,1,341,2,9,0,4,0,1,111,209,40,9,1,22,666,0,9,0,1167,57,7,45,0,0,0,0,0,0,6859.2745002,1156,0.16853094302703497,761,0.11094467789236472,1167,0.1701346111700258,281,0.04096643165276542,1,0.0001457880129991652,0.09840690877443652,0.2810792890623905
7,Charlie Reinshagen,42.378973,-74.666026,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,168,117,79,29,0,1412,257,172,0,1204,6,0,0,0,0,0,0,0,0,6859.425894,8,0.0011662783625955738,1847,0.2692645169642531,1204,0.17552489357063386,393,0.057293424562507564,0,0.0,0.2683898081923064,0.44478941053488696
8,Maks Melvan,42.36579,-74.589692,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,238,17,7,3,1,1271,61,168,0,1683,6,0,0,0,0,0,0,0,0,6861.552196000001,3,0.00043721885577856207,1507,0.219629605219431,1683,0.24527977809177332,266,0.03876673854569917,0,0.0,0.21860942788928103,0.46490938331120435
9,LaurDom Cattle Co.,42.265233,-74.757086,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,165,18,5,3,2,1955,37,236,0,1025,6,0,0,0,0,0,0,0,0,6857.016294,4,0.0005833441001883086,2236,0.32608935200526445,1025,0.14948192567325405,193,0.028146352834085887,0,0.0,0.3249226638048878,0.4755712776785185
10,Stony Creek Farm,42.252111,-75.107264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,151,9,1,0,0,2295,1,44,0,951,3,2,0,0,0,0,0,0,0,6856.289694,0,0.0,2345,0.34202172088092053,951,0.13870475759392556,161,0.02348208829928708,0,0.0,0.34129246348032155,0.48072647847484606
11,Porco,43.03266,-74.7694,562,0,177,0,1,2,0,1,0,0,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,139,35,8,14,9,113,33,33,0,2170,19,0,0,0,0,0,0,105,0,6866.526519999999,891,0.1297599299157735,207,0.03014624634406859,2170,0.3160258674716369,205,0.02985497826344957,0,0.0,0.02606849321540231,0.3461721138157055
12,Young,42.8813,-74.8338,0,0,0,0,0,0,0,0,0,24,65,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,140,46,2,0,0,975,119,71,0,1845,167,1,0,0,0,0,0,0,0,6862.095,94,0.013698440490841353,1333,0.19425554440735665,1845,0.2688683266553436,188,0.027396880981682706,0,0.0,0.16977322523223592,0.46312387106270025
13,Devine Gardens,42.91542,-75.7471,2,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,186,56,56,0,10,1484,380,116,0,901,242,8,2,0,0,0,0,0,0,6862.3366399999995,12,0.00174867550654,2240,0.32641942788746664,901,0.1312963859493783,308,0.04488267133452666,0,0.0,0.28853145857909995,0.45771581383684495
14,Essex Farm,44.309224,-73.369184,18,0,2,34,0,13,0,1,2,0,1,0,0,0,0,0,5,0,0,0,0,0,18,3,0,1,0,19,78,74,28,0,12,572,306,105,0,1944,222,2,0,0,0,0,0,0,6,6873.88008,86,0.012511128940148749,1219,0.17733797881443403,1944,0.2828097053447578,192,0.027931822750099533,0,0.0,0.14300511335077,0.4601476841591918
15,Daona,43.87937159,-73.31594296,700,0,1,0,0,0,2,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,49,125,21,13,19,272,49,24,0,1759,24,0,0,0,0,0,0,0,0,6869.12685726,1108,0.16130143219424628,388,0.05648461704997072,1759,0.2560733025538621,227,0.03304641255243133,0,0.0,0.05022472392329871,0.31255791960383283
16,KZ,44.21408785,-73.44422119,2,0,0,0,1,0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,104,100,15,1,12,411,652,46,0,2016,72,1,0,0,0,0,0,0,0,6861.53973332,22,0.003206277432624464,1194,0.17401342066152775,2016,0.2938116047350418,232,0.033811652925857985,0,0.0,0.1616255305809332,0.46782502539656956
17,J+R Pierce,44.78597241,-73.52093275,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,72,7,0,1,1127,655,76,0,956,401,42,0,0,0,0,0,0,0,6876.53007932,28,0.0040718210604800895,2302,0.33476186004375597,956,0.13902360477924877,182,0.026466836893120585,0,0.0,0.2701944117990002,0.47378546482300476
18,Donahues,44.78372872,-74.45422136,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,29,3,5,6,1809,287,4,1,1000,180,0,0,0,0,1,0,0,0,6874.65901472,5,0.0007273088002319845,2287,0.3326710452261097,1000,0.14546176004639688,181,0.026328578568397838,0,0.0,0.30546969609743346,0.47813280527250657
