Title,Author,Year,Country,Continent,Climate,Comparison,Response,Response Category,Local Factor,Local Strategy,Local Effect,Landscape,Landscape Gradient,Minimum Complexity,Maximum Complexity,Landscape Effect,Interaction Details,Interaction Effect,Description
A macro-scale perspective on within-farm management: how climate and topography alter the effect of farming practices,Amano et al. ,2011,Japan,Asia,,Conventional,Spider abundance,Natural enemy,Pesticide use,Intensity,Negative,The proportion of forest area surrounding the survey fields was almost evenly distributed between these two categories (e.g. 122 survey fields with <20% forest within 0.25 km and 108 with >20% forest).,"<20% forest, >20% forest",,,Positive,NS,NS,"A multilevel modelling approach revealed that reducing pesticide applications increases spider abundance.

Significant positive effect of reductions in insecticide application on the abundance of the Tetragnatha spiders.

Precipitation and forest area had a particularly positive effect on abundance while the application of insecticide to fields and nursery boxes had a clear negative effect."
A multitaxa assessment of the effectiveness of agri-environmental schemes for biodiversity management,Boetzel et al.,2021,Germany,Europe,,Conventional,Cicada species richness,Arthropod,"Flower field age (new, refreshed, continuous)",Floral,NS,"The amount of seminatural habitat (forest edges, field margins, bank borders, roadside vegetation, small wood groves, hedgerows, orchard meadows, and extensive pastures, calcareous grasslands, and grassland taken out of agricultural production) (17) in a 1-km radius around study sites ranged from 3.6 to 25.0%.",3.6-25% semi-natural habitat,3.6,25,NS,NS,NS,All other taxonomic groups showed no significant relation to flowering field size or proportion of seminatural habitats.
A multitaxa assessment of the effectiveness of agri-environmental schemes for biodiversity management,Boetzel et al.,2021,Germany,Europe,,Conventional,Orthopteran species richness,Arthropod,"Flower field age (new, refreshed, continuous)",Floral,NS,"The amount of seminatural habitat (forest edges, field margins, bank borders, roadside vegetation, small wood groves, hedgerows, orchard meadows, and extensive pastures, calcareous grasslands, and grassland taken out of agricultural production) (17) in a 1-km radius around study sites ranged from 3.6 to 25.0%.",3.6-25% semi-natural habitat,3.6,25,NS,NS,NS,All other taxonomic groups showed no significant relation to flowering field size or proportion of seminatural habitats.
A multitaxa assessment of the effectiveness of agri-environmental schemes for biodiversity management,Boetzel et al.,2021,Germany,Europe,,Conventional,Bee species richness,Pollinator,"Flower field age (new, refreshed, continuous)",Floral,NS,"The amount of seminatural habitat (forest edges, field margins, bank borders, roadside vegetation, small wood groves, hedgerows, orchard meadows, and extensive pastures, calcareous grasslands, and grassland taken out of agricultural production) (17) in a 1-km radius around study sites ranged from 3.6 to 25.0%.",3.6-25% semi-natural habitat,3.6,25,Positive,NS,NS,An increasing proportion of seminatural habitats in the landscape enhanced the richness of bees.
A multitaxa assessment of the effectiveness of agri-environmental schemes for biodiversity management,Boetzel et al.,2021,Germany,Europe,,Conventional,Butterfly species richness,Pollinator,"Flower field age (new, refreshed, continuous)",Floral,NS,"The amount of seminatural habitat (forest edges, field margins, bank borders, roadside vegetation, small wood groves, hedgerows, orchard meadows, and extensive pastures, calcareous grasslands, and grassland taken out of agricultural production) (17) in a 1-km radius around study sites ranged from 3.6 to 25.0%.",3.6-25% semi-natural habitat,3.6,25,NS,NS,NS,All other taxonomic groups showed no significant relation to flowering field size or proportion of seminatural habitats.
A multitaxa assessment of the effectiveness of agri-environmental schemes for biodiversity management,Boetzel et al.,2021,Germany,Europe,,Conventional,Moth species richness,Pest,"Flower field age (new, refreshed, continuous)",Floral,NS,"The amount of seminatural habitat (forest edges, field margins, bank borders, roadside vegetation, small wood groves, hedgerows, orchard meadows, and extensive pastures, calcareous grasslands, and grassland taken out of agricultural production) (17) in a 1-km radius around study sites ranged from 3.6 to 25.0%.",3.6-25% semi-natural habitat,3.6,25,NS,NS,NS,All other taxonomic groups showed no significant relation to flowering field size or proportion of seminatural habitats.
A multitaxa assessment of the effectiveness of agri-environmental schemes for biodiversity management,Boetzel et al.,2021,Germany,Europe,,Conventional,Hoverfly species richness,Pollinator,"Flower field age (new, refreshed, continuous)",Floral,NS,"The amount of seminatural habitat (forest edges, field margins, bank borders, roadside vegetation, small wood groves, hedgerows, orchard meadows, and extensive pastures, calcareous grasslands, and grassland taken out of agricultural production) (17) in a 1-km radius around study sites ranged from 3.6 to 25.0%.",3.6-25% semi-natural habitat,3.6,25,NS,NS,NS,All other taxonomic groups showed no significant relation to flowering field size or proportion of seminatural habitats.
A multitaxa assessment of the effectiveness of agri-environmental schemes for biodiversity management,Boetzel et al.,2021,Germany,Europe,,Conventional,Parasitoid wasp species richness,Natural enemy,"Flower field age (new, refreshed, continuous)",Floral,NS,"The amount of seminatural habitat (forest edges, field margins, bank borders, roadside vegetation, small wood groves, hedgerows, orchard meadows, and extensive pastures, calcareous grasslands, and grassland taken out of agricultural production) (17) in a 1-km radius around study sites ranged from 3.6 to 25.0%.",3.6-25% semi-natural habitat,3.6,25,NS,NS,NS,All other taxonomic groups showed no significant relation to flowering field size or proportion of seminatural habitats.
A multitaxa assessment of the effectiveness of agri-environmental schemes for biodiversity management,Boetzel et al.,2021,Germany,Europe,,Conventional,Carabid beetle species richness,Natural enemy,"Flower field age (new, refreshed, continuous)",Floral,NS,"The amount of seminatural habitat (forest edges, field margins, bank borders, roadside vegetation, small wood groves, hedgerows, orchard meadows, and extensive pastures, calcareous grasslands, and grassland taken out of agricultural production) (17) in a 1-km radius around study sites ranged from 3.6 to 25.0%.",3.6-25% semi-natural habitat,3.6,25,NS,NS,NS,All other taxonomic groups showed no significant relation to flowering field size or proportion of seminatural habitats.
A multitaxa assessment of the effectiveness of agri-environmental schemes for biodiversity management,Boetzel et al.,2021,Germany,Europe,,Conventional,Staphylinid beetle species richness,Natural enemy,"Flower field age (new, refreshed, continuous)",Floral,NS,"The amount of seminatural habitat (forest edges, field margins, bank borders, roadside vegetation, small wood groves, hedgerows, orchard meadows, and extensive pastures, calcareous grasslands, and grassland taken out of agricultural production) (17) in a 1-km radius around study sites ranged from 3.6 to 25.0%.",3.6-25% semi-natural habitat,3.6,25,NS,NS,NS,All other taxonomic groups showed no significant relation to flowering field size or proportion of seminatural habitats.
