Title,Author,Year,Comparison,Response,Response Type,Response Category,Local Factor,Local Strategy,Local Effect,Landscape,Landscape Gradient,Landscape Effect,Interaction Details,Interaction Effect,Sample Size,Simple,Intermediate,Complex,Description
"Agricultural intensification and biodiversity partitioning in European landscapes comparing plants, carabids, and birds",Flohre et al. ,2011,Conventional,Beta diversity (carabids) ,Biodiversity,Natural enemy,Agricultural intensification (low to high),Intensity,Negative,"Percentage of agricultural fields, which is closely related to habitat type diversity and mean field size was used as an indicator for landscape complexity. ",,NS,Medium intensity has a negative effect on diversity in heterogenous landscapes,More negative local effect in complex landscapes,,NS,Negative,NS,"β diversities of carabids were only decreased at the region scale.

Carabid βfarm diversity showed a significant interaction between AI and percentage of arable land. Only at the medium AI level was the percentage of arable land positively correlated to βfarm diversity, while the low and high AI levels showed no relationship "
Agricultural landscape composition affects the development and life expectancy of colonies of Bombus impatiens,Gervais et al.,2020,Conventional,Pollen load diversity,Ecosystem Services,Pollinator,Local floral species richness,Floral,NS,"We determined landscape structure within a 1 km radius around each bumble bee quad by characterizing all polygons (e.g., fields, roads, forests) we could delineate on orthophotographs.",0-24% non-intensive,NS,"Positive when local species richness was high, constant when local floral richness was low. ",More positive local effect in complex landscapes,,Negative,Positive,Positive,"Landscape composition as well as local floral richness did not clearly influence the richness of pollen bought back to the colonies.

Indeed, pollen grain richness only tended to decrease with the amount of intensive cultures when the local floral species richness was high and stayed constant when the local floral richness was low."
"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Monticelli et al.,2022,Control,Seed yield/plant C. segetum,Ecosystem Services,Crop,Local floral species richness,Floral,NS,"Within a radius of 300 m of each plot, we quantified the local landscape composition. Semi-natural habitats (woodland, hedges, grass and wildflower strips, vegetation along pathways/tracks).",5-34% semi-natural habitat,Positive,Positive effect of local factor in more complex landscapes. ,More positive local effect in complex landscapes,,NS,Positive,Positive,C. segetum seed yield increased with flowering crop cover where there was a correspondingly high semi-natural habitat cover.
"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Monticelli et al.,2022,Control,Pollinator abundance C. segetum,Biodiversity,Pollinator,Local floral species richness,Floral,Positive,"Within a radius of 300 m of each plot, we quantified the local landscape composition. Semi-natural habitats (woodland, hedges, grass and wildflower strips, vegetation along pathways/tracks).",5-34% semi-natural habitat,Negative,Positive effect of local factor in more simple landscapes. ,More positive local effect in simple landscapes,,Positive,Positive,Negative,"The abundance of pollinators on C. segetum related positively to non-crop species richness.

A significant interaction revealed that C. segetum and C. jacea received higher abundance and species richness of pollinators where there was greater cover of flowering crops, but only when the corresponding area of semi-natural habitat was very low (<10%)."
"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Monticelli et al.,2022,Control,Pollinator abundance C. jacea,Biodiversity,Pollinator,Local floral species richness,Floral,NS,"Within a radius of 300 m of each plot, we quantified the local landscape composition. Semi-natural habitats (woodland, hedges, grass and wildflower strips, vegetation along pathways/tracks).",5-34% semi-natural habitat,NS,Positive effect of local factor in more simple landscapes. ,More positive local effect in simple landscapes,,Positive,Negative,Negative,"A significant interaction revealed that C. segetum and C. jacea received higher abundance and species richness of pollinators where there was greater cover of flowering crops, but only when the corresponding area of semi-natural habitat was very low (<10%)."
"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Monticelli et al.,2022,Control,Pollinator species richness C. segetum,Biodiversity,Pollinator,Local floral species richness,Floral,Positive,"Within a radius of 300 m of each plot, we quantified the local landscape composition. Semi-natural habitats (woodland, hedges, grass and wildflower strips, vegetation along pathways/tracks).",5-34% semi-natural habitat,NS,Positive effect of local factor in more simple landscapes. ,More positive local effect in simple landscapes,,Positive,Positive,Negative,"Greater non-crop flower richness increased and decreased richness of pollinators for C. segetum and C. jacea respectively.

A significant interaction revealed that C. segetum and C. jacea received higher abundance and species richness of pollinators where there was greater cover of flowering crops, but only when the corresponding area of semi-natural habitat was very low (<10%)."
"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Monticelli et al.,2022,Control,Pollinator species richness C. jacea,Biodiversity,Pollinator,Local floral species richness,Floral,Negative,"Within a radius of 300 m of each plot, we quantified the local landscape composition. Semi-natural habitats (woodland, hedges, grass and wildflower strips, vegetation along pathways/tracks).",5-34% semi-natural habitat,NS,Positive effect of local factor in more simple landscapes. ,More positive local effect in simple landscapes,,Positive,Negative,Negative,"Greater non-crop flower richness increased and decreased richness of pollinators for C. segetum and C. jacea respectively.

A significant interaction revealed that C. segetum and C. jacea received higher abundance and species richness of pollinators where there was greater cover of flowering crops, but only when the corresponding area of semi-natural habitat was very low (<10%)."
Annual flower strips support pollinators and potentially enhance red clover seed yield,Rundlöf et al. ,2018,Control,Pollinator species richness (bumblebees),Biodiversity,Pollinator,Flower strip,Floral,Positive,The landscapes surrounding the clover seed fields were characterized within a 1-km radius using digital land use data from the Integrated Administration and Control System (IACS). Proportions of these habitat types did not differ between fields with a flower strip and control fields.,24-86% non-arable land,NS,"More positive at simple and intermediate landscapes, not in more complex landscapes. ",Less positive local effect in complex landscapes,,NS,Positive,Positive,"Overall, bumble bee species richness was 16% higher in clover fields with a flower strip, but there was an interaction between presence of flower strip and proportion arable land.

Post hoc tests gave that species richness was higher in fields with strips compared with control fields at 30% (t33 = 3.00, p = 0.0051), 40% (t37 = 3.01, p = 0.0047) and 50% (t42 = 2.31, p = 0.026) arable land in the surrounding landscape, but not at 60%"
Ant community potential for pest control in olive groves: Management and landscape effects,Martinez-Nunez et al.,2021,Conventional,Ant abundance (moth predator),Biodiversity,Natural enemy,Extensive management (herbaceous cover),Intensity,Positive,"We measured the compositional and configurational heterogeneity of the landscapes in a buffer of 2 km radius around the centroid of each pair of farms. The CART rendered that just three of these variables: percentage of semi-natural area, distance to the nearest neighbor, and mean patch area, adequately ascribed the 20 localities into the previously a priori groups.","<9% semi-natural habitat = simple, >9% and high NND = intermediate, >9% and mosaic of land uses",NS,Most positive local effect (herbaceous cover) in intermediate landscapes.,More positive local effect in intermediate landscapes,,NS,Positive,NS,"Mean ant abundance per pitfall/farm varied between 19 and 149 individuals per trap, and was higher on farms with herb cover in intermediate landscapes."
Benefits of increased cover crop diversity for predators and biological pest control depend on the landscape context,Beaumelle et al. ,2021,Control,Predation rates,Ecosystem Services,Natural enemy,Cover crop diversity,Diversity,NS,"Landscape gradient ranging from 22 to 63% of semi-natural habitats in a 1 km radius around each site. Semi-natural habitats as a measure of landscape complexity as this is highly correlated to other measures of landscape heterogeneity and because landscapes of our region are mainly composed of vineyards, forests and grasslands.",20-60% semi-natural habitats,NA,"Positive at intermediate, negative at simple (23-45%) and complex",More positive local effect in intermediate landscapes,,Negative,Positive,Negative,"As shown in Figure 2(c), we found from 11 to 42% higher predation rates under high cover crop diversity than under low cover crop diversity at low landscape complexity (between 23 and 45% of semi-natural habitats), but similar or even lower predation rates under high compared with low cover crop diversity at high landscape complexity. "
Benefits of wildflower areas as overwintering habitats for ground-dwelling arthropods depend on landscape structural complexity,Hoffmann et al.,2021,Control,Rove beetle abundance,Biodiversity,Natural enemy,Wildflower areas,Floral,NS,"Similar to the assessment of a recent study, proportions of permanent semi-natural habitats and transient wildflower areas ranged from 0% to 7% and from 0% to 14%. Hence, simple landscapes were characterised by intermediate proportions of permanent semi-natural habitats (≥ 2% - ≤ 5%) and transient wildflower areas (≥ 4% - ≤ 10%), while cleared and complex landscapes covered proportions below (for permanent habitats ≥ 0.1% and for transient ones ≥ 0.4%) and above the aforementioned ranges (for permanent habitats ≤ 7% and for transient ones ≤ 14.2%). ",0-14% semi-natural habitat,Positive,Most positive effect of local factor in intermediate landscapes. ,More positive local effect in intermediate landscapes,,NS,Positive,NS,"The average abundance of adult rove and carabid beetles as well as spiders did not differ significantly between wildflower areas and arable fields.

The abundance of rove beetles showed a significant hump-shaped relationship with the proportion of permanent semi-natural habitats."
Benefits of wildflower areas as overwintering habitats for ground-dwelling arthropods depend on landscape structural complexity,Hoffmann et al.,2021,Control,Rove beetle species richness,Biodiversity,Natural enemy,Wildflower areas,Floral,Positive,"Similar to the assessment of a recent study, proportions of permanent semi-natural habitats and transient wildflower areas ranged from 0% to 7% and from 0% to 14%. Hence, simple landscapes were characterised by intermediate proportions of permanent semi-natural habitats (≥ 2% - ≤ 5%) and transient wildflower areas (≥ 4% - ≤ 10%), while cleared and complex landscapes covered proportions below (for permanent habitats ≥ 0.1% and for transient ones ≥ 0.4%) and above the aforementioned ranges (for permanent habitats ≤ 7% and for transient ones ≤ 14.2%). ",0-14% semi-natural habitat,Positive,Most positive effect of local factor in intermediate landscapes. ,More positive local effect in intermediate landscapes,,NS,Positive,NS,"The average species richness of rove beetles and spiders, respectively, was about 1.7 and 1.4 times higher in wildflower areas than in arable fields.

Species richness of rove beetles showed a significant hump-shaped relationship with the proportion of permanent semi-natural habitats."
Benefits of wildflower areas as overwintering habitats for ground-dwelling arthropods depend on landscape structural complexity,Hoffmann et al.,2021,Control,Carabid beetle larvae abundance,Biodiversity,Natural enemy,Wildflower areas,Floral,NS,"Similar to the assessment of a recent study, proportions of permanent semi-natural habitats and transient wildflower areas ranged from 0% to 7% and from 0% to 14%. Hence, simple landscapes were characterised by intermediate proportions of permanent semi-natural habitats (≥ 2% - ≤ 5%) and transient wildflower areas (≥ 4% - ≤ 10%), while cleared and complex landscapes covered proportions below (for permanent habitats ≥ 0.1% and for transient ones ≥ 0.4%) and above the aforementioned ranges (for permanent habitats ≤ 7% and for transient ones ≤ 14.2%). ",0-14% semi-natural habitat,Positive,Most positive effect of local factor in intermediate landscapes. ,More positive local effect in intermediate landscapes,,NS,Positive,NS,"While the average abundance of rove beetle larvae was 2.1 times higher in wildflower areas than in arable fields, average abundance of carabid beetle larvae did not differ significantly between wildflower areas and arable fields.

Abundance of carabid beetle larvae was highest for wildflower areas in simple landscapes with an intermediate amount of 3–4% of permanent semi-natural habitats."
Combined effects of agrochemicals and ecosystem services on crop yield across Europe,Gagic et al.,2017,Control,Carabid beetle activity-density,Ecosystem Services,Natural enemy,SOC,Intensity,Positive,The proportion of arable land is a commonly used measure of landscape simplification/complexity and it is often correlated with the proportion of semi-natural area and habitat diversity in the landscape.,23-60% non-arable land,NS,More positive in more complex landscapes,More positive local effect in complex landscapes,,Positive,Positive,Positive,"Carabid beetles were positively affected by SOC, but this effect was reduced in fertilised plots and in simplified landscapes."
Comparing organic farming and land sparing: optimizing yield and butterfly populations at a landscape scale,Hodgson et al.,2010,Conventional,Butterfly density ,Biodiversity,Pollinator,Organic,Intensity,Positive,Eight matched pairs with similar environmental conditions but with their a high or low amount of organic farming at the landscape scale. ,1.4-17.2% organic in the landscape,Positive,More positive in organic fields surrounded by more organic landscape,More positive local effect in complex landscapes,,Positive,Positive,Positive,"Density is higher on organic than on conventional farms, and highest on reserves.

The net effect of any organic land on the landscape is marginally positive."
