Title,Author(s),Year,Simple Start,Simple End,Int Start,Int End,Complex Start,Complex End,Metric,Detail
Benefits of wildflower areas as overwintering habitats for ground-dwelling arthropods depend on landscape structural complexity,Hoffmann et al.,2021,0,2,3,4,5,7,Semi-natural habitats,"permanent semi-natural habitats and transient wildflower areas ranged from 0% to 7% and from 0% to 14%. Hence, simple landscapes were characterised by intermediate proportions of permanent semi-natural habitats (≥ 2% - ≤ 5%) and transient wildflower areas (≥ 4% - ≤ 10%), while cleared and complex landscapes covered proportions below (for permanent habitats ≥ 0.1% and for transient ones ≥ 0.4%) and above the aforementioned ranges (for permanent habitats ≤ 7% and for transient ones ≤ 14.2%). "
Testing scale-dependent effects of seminatural habitats on farmland biodiversity,Dainese et al. ,2015,1,3,4,19,20,30,Semi-natural habitat,
The benefits of hedgerows for pollinators and natural enemies depends on hedge quality and landscape context,Garratt et al. ,2017,0,4.71,4.72,9.88,9.89,41.97,Semi-natural habitat,
Multi-scale effects of landscape complexity and crop management on pollen beetle parasitism rate,Rusch et al. ,2011,0,5,6,,,58,Semi-natural habitats,
Pest control potential of adjacent agri-environment schemes varies with crop type and is shaped by landscape context and within-field position,Boetzel et al.,2020,3.6,5,6,19,20,31.6,Semi-natural habitat,
Pest control experiments show benefits of complexity at landscape and local scales,Chaplin-Kramer & Kremen,2012,2,6,7,60,61,77,Natural habitat,"either end of a landscape complexity gradient, with the surrounding landscapes composed of predominantly natural habitat (69% ± 8% natural habitat, 10% ± 7% agriculture, mean ± SE) or predominantly agricultural habitat (4% ± 2% natural habitat, 69% ± 13% agriculture)"
Ant community potential for pest control in olive groves: Management and landscape effects,Martinez-Nunez et al.,2021,2.3,8.2,8.3,44.3,44.4,68.3,Natural cover,
Low-intensity management benefits solitary bees in olive groves,Martínez-Núñez et al.,2019,2.3,8.2,8.3,44.3,44.4,68.3,Natural cover,"Differences in colonization rates in response to different local herb cover management peaked at intermediate landscape complexity, while farms located in landscapes with low or high complexity did not exhibit clear differences in colonization rates."
The taxon- and functional trait-dependent effects of field margin and landscape composition on predatory arthropods in wheat fields of the North China Plain,Zhang et al.,2020,2.4,8,9,12,13,23.8,Woodland,An interaction effect between landscape composition and field margin type was found only in spiders. 
"Better outcomes for pest pressure, insecticide use, and yield in less intensive agricultural landscapes",Gagic et al.,2021,0,9,10,19,20,32.8,Semi-natural habitat,
Small-scale traditional maize farming fosters greater arthropod diversity value than conventional maize farming,Otieno et al. ,2021,0,9,10,24,25,65,Maize cover --> non-maize cover,"ants also had significant interaction between farming system and maize cover, as well as farming system and cropping system"
Landscape-moderated biodiversity effects of ground herb cover in olive groves: Implications for regional biodiversity conservation,Rey et al.,2019,0,9,10,,,,Natural habitat,
Detecting pest control services across spatial and temporal scales,Chaplin-Kramer et al. ,2013,3,10,11,65,66,87,Natural habitat,
"Size, age and surrounding semi-natural habitats modulate the effectiveness of flower-rich agri-environment schemes to promote pollinator visitation in crop fields",Krimmer et al.,2019,3.63,10,11,20,21,31.62,Semi-natural habitat,"In OSR fields next to small flower fields, the amount of flower visits increased with the amount of SNH. In contrast, in OSR next to large flower fields, the flower visits were not affected by increasing SNH. "
"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Monticelli et al.,2022,5,10,11,24,25,34,Semi-natural habitat,semi-natural habitat was very low (<10%)
Agricultural extensification enhances functional diversity but not phylogenetic diversity in Mediterranean olive groves: A case study with ant and bird communities,Garcia-Navas et al.,2022,4.96,,13.15,,,34.33,Natural habitat,In supplement
Landscape diversity and crop vigor outweigh influence of local diversification on biological control of a vineyard pest,Wilson et al.,2017,0,15,16,55,56,80,Natural habitat,"located in low-, intermediate-, and high-diversity landscapes, representing a continuum of landscape diversity, which was quantified as the relative proportion of natural, non-crop habitat within 0.5 km"
Different components of landscape complexity are necessary to preserve multiple taxonomic groups in intensively-managed rice paddy landscapes,Mallet et al. ,2022,11,16,17,22,23,39,Semi-natural habitats,The proportion of semi-natural areas had no effect on spider abundance and richness when TFI was low and a positive effect when TFI was high.
Interplay between amount of natural vegetation and effective vineyard management practices benefits local arthropod diversity,Geldenhuys et al.,2022,2.5,17,18,36,37,54.4,Natural vegetation,
Differential effects of landscape and management on diversity and density of ground-dwelling farmland spiders,Schmidt et al. ,2005,10,20,21,49,50,70,Non-crop habitat,
Mixed effects of organic farming and landscape complexity on farmland biodiversity and biological control potential across Europe,Winqvist et al. ,2011,0,24,25,54,55,80,Arable land --> non-arable land,"However, as the proportion of arable land increased, the biological control potential in organic fields dropped to a lower value than in conventional fields, because of an interaction between farming practice and landscape complexity."
Diverse landscapes but not wildflower plantings increase marketable crop yield,McCullough et al.,2022,10,25,26,50,51,70,Semi-natural habitats,"interaction between presence of a wildflower planting and the cover of semi-natural habitat in the
surrounding landscape"
Landscape context shifts the balance of costs and benefits from wildflower borders on multiple ecosystem services,Grab et al. ,2018,18,32,33,51,52,61,Natural land cover,
Agricultural landscape composition affects the development and life expectancy of colonies of Bombus impatiens,Gervais et al.,2020,24,32,33,69,70,100,Intensive crops --> non-intensive crops,"low (0–30%), medium (31–67%), and high proportion (>68%) of intensive crops"
Negative effects of pesticides on wild bee communities can be buffered by landscape context,Park et al. ,2015,20,35,36,54,55,70,Natural habitat,"As natural habitat within the surrounding landscape increased, the negative relationship between pesticides and wild bee abundance and species richness weakened. """
Organic Farming: Biodiversity Impacts Can Depend on Dispersal Characteristics and Landscape Context,Feber et al. ,2015,12.23,39,40,59,60,94.88,Arable land --> non-arable land,"The % cover of arable land and woodland in the 1 km2 containing the target field (target square)

The farming system difference (more hunting spiders were captured on organic compared to conventional farms) was more pronounced in less arable (more complex) landscapes.

complex landscapes (those comprised of less than approximately 40% arable land"
Does soil biota benefit from organic farming in complex vs. simple landscapes?,Flohre et al. ,2011,28,39,40,54,55,76,Arable land --> non-arable land,"earthworm species richness increased in organic fields with landscape simplification, whereas conventional fields showed the opposite pattern"
Local and broadscale landscape structure differentially impact predation of two potato pests,Werling & Gratton,2010,17,40,41,60,61,81,Non-crop habitat,"composed of (1) 0–20%, (2) 21–40%, (3) 41–60%, (4) 61–80%, and (5) 81–100% non-crop habitat

This model predicted that aphid suppression in field margins increased with the percentage of non-crop habitats within 1.5 km of fields"
Species’ traits influence ground beetle responses to farm and landscape level agricultural intensification in Europe,Winqvist et al. ,2014,0,10,11,59,60,80,Arable land --> non-arable land,
Annual flower strips support pollinators and potentially enhance red clover seed yield,Rundlöf et al. ,2018,24,40,41,69,70,86,Annual crops --> non annual crops,"Proportion of land covered by annual crops (51%, 14%–76% (mean, min–max))

30% (t33 = 3.00, p = 0.0051), 40% (t37 = 3.01, p = 0.0047) and 50% (t42 = 2.31, p = 0.026) arable land in the surrounding landscape, but not at 60% (t39 = 0.78, p = 0.44) or 70%"
Much more than bees—Wildflower plantings support highly diverse flower-visitor communities from complex to structurally simple agricultural landscapes,Grass et al. ,2016,18,20,41,59,60,75,Arable land --> non-arable land,
Benefits of increased cover crop diversity for predators and biological pest control depend on the landscape context,Beaumelle et al. ,2021,22,45,46,53,54,63,Semi-natural habitats,"simple (<50% semi-natural habitats) than complex landscapes

low landscape complexity (between 23 and 45% of semi-natural habitats)"
Landscape-dependent effects of varietal mixtures on insect pest control and implications for farmer profits,Snyder et al. ,2020,29,50,51,79,80,95,Cropland --> non-cropland,"That is, increased varietal richness had a significant negative effect on P. rapae incidence, but only in complex landscapes."
Landscape factors and how they influence whitefly pests in cassava fields across East Africa,Macfadyen et al.,2020,45,50,51,69,70,76,Non-crop habitat,
Experimental evidence that the effectiveness of conservation biological control depends on landscape complexity,Jonsson et al. ,2015,52,74,75,84,85,98,Crop cover --> non crop cover,"with a positive effect present only in moderately simplified landscapes (Figs 1b,c and 2). This effect was significant for aphids"
"Effects of farming intensity, crop rotation and landscape heterogeneity on field bean pollination",Andersson et al. ,2014,0,,,,,19.3,Semi-natural habitats,"The proportion of developed beans per pod was related to an interaction between farming practice and LHI, where the proportion of developed beans per pod increased with LHI on organic farms, but not on conventional ones."
Productive Capacity of Biodiversity: Crop Diversity and Permanent Grasslands in Northwestern France,Bareille & Dupraz,2020,0,,,,,89,Grassland,Permanent grassland proportion increased cereal yields when crop diversity was low.
Plant damage in urban agroecosystems varies with local and landscape factors,Egerer et al.,2020,0,,,,,61.2,Natural land cover,"wilt disease was significantly higher in gardens with more herbaceous plant species and surrounded by more natural land cover, with the positive effect of herbaceous plant species increasing with increasing with greater amounts of natural land cover in the landscape."
Increasing syrphid fly diversity and density in sown flower strips within simple vs. complex landscapes,Haenke et al. ,2009,0,,,,,70,Arable land --> non-arable land,Total species richness and abundance was generally higher within field margin strips compared with adjacent wheat fields.
"Effects of landscape complexity and habitat management on stemborer colonization, parasitism and damage to maize",Midega et al. ,2014,0,,,,,8,Grassland,"In contrast, the effect of cropping system on the number of stemborer larvae and pupae depended significantly on proportion of grassland cover in the surrounding landscape (z = 2.819, P = 0.005; Fig. 1B), with the effect of cropping system being larger in landscapes with more grassland"
Interactive effect of floral abundance and semi-natural habitats on pollinators in field beans (Vicia faba),Nayak et al. ,2015,0,,,,,58,Semi-natural habitat,Interactive effects of semi-natural habitats and flower abundance were significant at scales from 1000 to 2000 m.
Positive effects of local and landscape features on predatory flies in European agricultural landscapes,Pfister et al. ,2017,0,,,,,75,Semi-natural habitat,
