site,pest,crop,state_province,date,count,latitude,longitude
Vandewalle1 Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,7/8/21,0,43.465,-81.239
Vandewalle1 Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,7/8/21,0,43.466,-81.242
Vandewalle1 Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,7/12/21,0,43.465,-81.239
Vandewalle1 Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,7/12/21,1,43.466,-81.242
Benjamins A.S. Mandaumin,Western Bean Cutworm (WBC),Field Corn,ON,7/16/21,14,42.979,-82.221
Vandewalle1 Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,7/19/21,18,43.465,-81.239
Vandewalle1 Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,7/19/21,51,43.466,-81.242
Benjamins A.S. Mandaumin,Western Bean Cutworm (WBC),Field Corn,ON,7/23/21,141,42.979,-82.221
Vandewalle1 Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,7/26/21,701,43.465,-81.239
Vandewalle1 Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,7/26/21,564,43.466,-81.242
Benjamins A.S. Mandaumin,Western Bean Cutworm (WBC),Field Corn,ON,7/30/21,117,42.979,-82.221
Vandewalle1 Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/3/21,502,43.465,-81.239
Vandewalle1 Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/3/21,502,43.466,-81.242
Vandewalle1 Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/9/21,87,43.465,-81.239
Vandewalle1 Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/9/21,266,43.466,-81.242
Vandewalle1 Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/16/21,199,43.465,-81.239
Vandewalle1 Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/16/21,50,43.466,-81.242
Vandewalle1 Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/23/21,93,43.465,-81.239
Vandewalle1 Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/23/21,25,43.466,-81.242
Vandewalle1 Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/30/21,31,43.465,-81.239
Vandewalle1 Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/30/21,13,43.466,-81.242
Poel Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,7/12/21,1,43.217,-81.166
Poel Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,7/20/21,7,43.217,-81.166
Poel Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,7/28/21,134,43.217,-81.166
Poel Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/4/21,108,43.217,-81.166
Poel Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/10/21,23,43.217,-81.166
Poel Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/17/21,22,43.217,-81.166
Poel Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/24/21,5,43.217,-81.166
Poel Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/31/21,5,43.217,-81.166
Wolfe Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,7/8/21,1,43.519,-81.167
Wolfe Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,7/8/21,0,43.52,-81.171
Wolfe Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,7/12/21,2,43.519,-81.167
Wolfe Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,7/12/21,0,43.52,-81.171
Wolfe Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,7/19/21,29,43.519,-81.167
Wolfe Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,7/19/21,8,43.52,-81.171
Wolfe Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,7/26/21,407,43.519,-81.167
Wolfe Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,7/26/21,342,43.52,-81.171
Wolfe Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/4/21,684,43.519,-81.167
Wolfe Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/4/21,230,43.52,-81.171
Wolfe Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/9/21,112,43.519,-81.167
Wolfe Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/9/21,123,43.52,-81.171
Wolfe Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/16/21,107,43.519,-81.167
Wolfe Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/16/21,84,43.52,-81.171
Wolfe Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/23/21,41,43.519,-81.167
Wolfe Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/23/21,30,43.52,-81.171
Wolfe Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/30/21,5,43.519,-81.167
Wolfe Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/30/21,8,43.52,-81.171
Klink House,Western Bean Cutworm (WBC),Dry Beans,MI,6/30/21,0,45.806,-86.54
Klink Wind Tower,Western Bean Cutworm (WBC),Dry Beans,MI,6/30/21,0,45.803,-86.548
Bennet's,Western Bean Cutworm (WBC),Dry Beans,MI,7/19/21,5,45.681,-86.626
Grandma's,Western Bean Cutworm (WBC),Dry Beans,MI,7/19/21,6,45.687,-86.702
Ricky DTE,Western Bean Cutworm (WBC),Dry Beans,MI,7/19/21,11,45.683,-86.653
Stratton,Western Bean Cutworm (WBC),Dry Beans,MI,7/19/21,8,45.687,-86.641
Klink House,Western Bean Cutworm (WBC),Dry Beans,MI,7/24/21,155,45.806,-86.54
Klink Wind Tower,Western Bean Cutworm (WBC),Dry Beans,MI,7/24/21,86,45.803,-86.548
Bennet's,Western Bean Cutworm (WBC),Dry Beans,MI,7/26/21,239,45.681,-86.626
Grandma's,Western Bean Cutworm (WBC),Dry Beans,MI,7/26/21,134,45.687,-86.702
Ricky DTE,Western Bean Cutworm (WBC),Dry Beans,MI,7/26/21,201,45.683,-86.653
Stratton,Western Bean Cutworm (WBC),Dry Beans,MI,7/26/21,302,45.687,-86.641
Bennet's,Western Bean Cutworm (WBC),Dry Beans,MI,8/2/21,598,45.681,-86.626
Grandma's,Western Bean Cutworm (WBC),Dry Beans,MI,8/2/21,906,45.687,-86.702
Ricky DTE,Western Bean Cutworm (WBC),Dry Beans,MI,8/2/21,795,45.683,-86.653
Stratton,Western Bean Cutworm (WBC),Dry Beans,MI,8/2/21,551,45.687,-86.641
Klink House,Western Bean Cutworm (WBC),Dry Beans,MI,8/5/21,423,45.806,-86.54
Klink Wind Tower,Western Bean Cutworm (WBC),Dry Beans,MI,8/5/21,1092,45.803,-86.548
Bennet's,Western Bean Cutworm (WBC),Dry Beans,MI,8/9/21,539,45.681,-86.626
Grandma's,Western Bean Cutworm (WBC),Dry Beans,MI,8/9/21,885,45.687,-86.702
Ricky DTE,Western Bean Cutworm (WBC),Dry Beans,MI,8/9/21,505,45.683,-86.653
Stratton,Western Bean Cutworm (WBC),Dry Beans,MI,8/9/21,656,45.687,-86.641
Haag WBC,Western Bean Cutworm (WBC),Field Corn,MI,7/6/21,4,43.652,-83.531
Haag WBC,Western Bean Cutworm (WBC),Field Corn,MI,7/13/21,25,43.652,-83.531
Coral,Western Bean Cutworm (WBC),Field Corn,MI,7/14/21,26,43.36,-85.378
Haag WBC,Western Bean Cutworm (WBC),Field Corn,MI,7/20/21,136,43.652,-83.531
Coral,Western Bean Cutworm (WBC),Field Corn,MI,7/21/21,140,43.36,-85.378
Coral,Western Bean Cutworm (WBC),Field Corn,MI,7/23/21,105,43.36,-85.378
Coral,Western Bean Cutworm (WBC),Field Corn,MI,7/28/21,350,43.36,-85.378
Haag WBC,Western Bean Cutworm (WBC),Field Corn,MI,7/28/21,86,43.652,-83.531
Coral,Western Bean Cutworm (WBC),Field Corn,MI,8/4/21,112,43.36,-85.378
Haag WBC,Western Bean Cutworm (WBC),Field Corn,MI,8/4/21,43,43.652,-83.531
Haag WBC,Western Bean Cutworm (WBC),Field Corn,MI,8/11/21,26,43.652,-83.531
Haag WBC,Western Bean Cutworm (WBC),Field Corn,MI,8/17/21,19,43.652,-83.531
MSUSVREC-WBC,Western Bean Cutworm (WBC),Sweet Corn,MI,7/6/21,0,43.4,-83.68
MSUSVREC-WBC,Western Bean Cutworm (WBC),Sweet Corn,MI,7/13/21,17,43.4,-83.68
Reese WBCW,Western Bean Cutworm (WBC),Sweet Corn,MI,7/19/21,90,42.803,-84.518
MSUSVREC-WBC,Western Bean Cutworm (WBC),Sweet Corn,MI,7/20/21,234,43.4,-83.68
Reese WBCW,Western Bean Cutworm (WBC),Sweet Corn,MI,7/26/21,60,42.803,-84.518
MSUSVREC-WBC,Western Bean Cutworm (WBC),Sweet Corn,MI,7/27/21,174,43.4,-83.68
MSUSVREC-WBC,Western Bean Cutworm (WBC),Sweet Corn,MI,8/3/21,41,43.4,-83.68
MSUSVREC-WBC,Western Bean Cutworm (WBC),Sweet Corn,MI,8/10/21,5,43.4,-83.68
MSUSVREC-WBC,Western Bean Cutworm (WBC),Sweet Corn,MI,8/17/21,1,43.4,-83.68
MSUSVREC-WBC,Western Bean Cutworm (WBC),Sweet Corn,MI,8/24/21,0,43.4,-83.68
MSUSVREC-WBC,Western Bean Cutworm (WBC),Sweet Corn,MI,7/7/22,1,43.396,-83.679
MSUSVREC-WBC,Western Bean Cutworm (WBC),Sweet Corn,MI,7/29/22,195,43.396,-83.679
MSUSVREC-WBC,Western Bean Cutworm (WBC),Sweet Corn,MI,8/11/22,25,43.396,-83.679
MSUSVREC-WBC,Western Bean Cutworm (WBC),Sweet Corn,MI,7/7/22,1,43.396,-83.679
MSUSVREC-WBC,Western Bean Cutworm (WBC),Sweet Corn,MI,7/22/22,251,43.396,-83.679
MSUSVREC-WBC,Western Bean Cutworm (WBC),Sweet Corn,MI,7/29/22,195,43.396,-83.679
MSUSVREC-WBC,Western Bean Cutworm (WBC),Sweet Corn,MI,7/14/22,52,43.396,-83.679
MSUSVREC-WBC,Western Bean Cutworm (WBC),Sweet Corn,MI,8/11/22,25,43.396,-83.679
MSUSVREC-WBC,Western Bean Cutworm (WBC),Sweet Corn,MI,8/4/22,43,43.396,-83.679
MSUSVREC-WBC,Western Bean Cutworm (WBC),Sweet Corn,MI,8/18/22,10,43.396,-83.679
Middle Field,Western Bean Cutworm (WBC),Dry Beans,ON,7/21/22,82,43.2,-81.831
Middle Field,Western Bean Cutworm (WBC),Dry Beans,ON,7/29/22,217,43.2,-81.831
Middle Field,Western Bean Cutworm (WBC),Dry Beans,ON,8/4/22,145,43.2,-81.831
Middle Field,Western Bean Cutworm (WBC),Dry Beans,ON,8/11/22,56,43.2,-81.831
Middle Field,Western Bean Cutworm (WBC),Dry Beans,ON,8/18/22,39,43.2,-81.831
Middle Field,Western Bean Cutworm (WBC),Dry Beans,ON,8/25/22,7,43.2,-81.831
Winchester Research Station,Western Bean Cutworm (WBC),Field Corn,ON,7/25/22 16:00,0,45.056,-75.34
Winchester Research Station,Western Bean Cutworm (WBC),Field Corn,ON,8/1/22 16:00,182,45.056,-75.34
Winchester Research Station,Western Bean Cutworm (WBC),Field Corn,ON,8/8/22 16:00,280,45.056,-75.34
Winchester WBC Trece,Western Bean Cutworm (WBC),Field Corn,ON,6/27/22,0,45.056,-75.34
Winchester WBC Trece,Western Bean Cutworm (WBC),Field Corn,ON,7/4/22,0,45.056,-75.34
Winchester WBC Trece,Western Bean Cutworm (WBC),Field Corn,ON,7/11/22,0,45.056,-75.34
Winchester WBC Trece,Western Bean Cutworm (WBC),Field Corn,ON,7/18/22,1,45.056,-75.34
Winchester WBC Trece,Western Bean Cutworm (WBC),Field Corn,ON,7/25/22,0,45.056,-75.34
Winchester WBC Trece,Western Bean Cutworm (WBC),Field Corn,ON,8/1/22,182,45.056,-75.34
Winchester WBC Trece,Western Bean Cutworm (WBC),Field Corn,ON,8/8/22,280,45.056,-75.34
Winchester WBC Trece,Western Bean Cutworm (WBC),Field Corn,ON,8/15/22,269,45.056,-75.34
Winchester WBC Trece,Western Bean Cutworm (WBC),Field Corn,ON,8/22/22,68,45.056,-75.34
Winchester WBC Trece,Western Bean Cutworm (WBC),Field Corn,ON,8/29/22,15,45.056,-75.34
Winchester WBC Trece,Western Bean Cutworm (WBC),Field Corn,ON,9/12/22,0,45.056,-75.34
Winchester WBC Trece,Western Bean Cutworm (WBC),Field Corn,ON,9/19/22,1,45.056,-75.34
Winchester Research Station,Western Bean Cutworm (WBC),Field Corn,ON,7/25/22 16:00,0,45.056,-75.34
Winchester Research Station,Western Bean Cutworm (WBC),Field Corn,ON,8/1/22 16:00,122,45.056,-75.34
Winchester Research Station,Western Bean Cutworm (WBC),Field Corn,ON,8/8/22 16:00,173,45.056,-75.34
Winchester WBC Scentry,Western Bean Cutworm (WBC),Field Corn,ON,6/27/22,0,45.056,-75.34
Winchester WBC Scentry,Western Bean Cutworm (WBC),Field Corn,ON,7/4/22,0,45.056,-75.34
Winchester WBC Scentry,Western Bean Cutworm (WBC),Field Corn,ON,7/11/22,0,45.056,-75.34
Winchester WBC Scentry,Western Bean Cutworm (WBC),Field Corn,ON,7/18/22,,45.056,-75.34
Winchester WBC Scentry,Western Bean Cutworm (WBC),Field Corn,ON,7/18/22,0,45.056,-75.34
Winchester WBC Scentry,Western Bean Cutworm (WBC),Field Corn,ON,7/25/22,0,45.056,-75.34
Winchester WBC Scentry,Western Bean Cutworm (WBC),Field Corn,ON,8/1/22,122,45.056,-75.34
Winchester WBC Scentry,Western Bean Cutworm (WBC),Field Corn,ON,8/8/22,173,45.056,-75.34
Winchester WBC Scentry,Western Bean Cutworm (WBC),Field Corn,ON,8/15/22,121,45.056,-75.34
Winchester WBC Scentry,Western Bean Cutworm (WBC),Field Corn,ON,8/22/22,24,45.056,-75.34
Winchester WBC Scentry,Western Bean Cutworm (WBC),Field Corn,ON,8/29/22,24,45.056,-75.34
Winchester WBC Scentry,Western Bean Cutworm (WBC),Field Corn,ON,9/12/22,0,45.056,-75.34
Winchester WBC Scentry,Western Bean Cutworm (WBC),Field Corn,ON,9/19/22,1,45.056,-75.34
Jean-ithacacut WBC,Western Bean Cutworm (WBC),Soybeans,MI,7/7/21,0,43.305,-84.598
BM #12,Western Bean Cutworm (WBC),Field Corn,MI,7/10/21,0,41.775,-84.935
BM #14,Western Bean Cutworm (WBC),Field Corn,MI,7/10/21,4,42.125,-84.81
BM #15,Western Bean Cutworm (WBC),Field Corn,MI,7/10/21,0,42.174,-84.866
BM #4,Western Bean Cutworm (WBC),Field Corn,MI,7/10/21,0,42.073,-85.041
BM #5,Western Bean Cutworm (WBC),Field Corn,MI,7/10/21,0,41.848,-85.119
BM #6,Western Bean Cutworm (WBC),Field Corn,MI,7/10/21,0,41.964,-85.136
BM Crop # 8,Western Bean Cutworm (WBC),Field Corn,MI,7/10/21,2,42.035,-84.652
BM Crop #1,Western Bean Cutworm (WBC),Field Corn,MI,7/10/21,71,41.924,-84.931
BM Crop #11,Western Bean Cutworm (WBC),Field Corn,MI,7/10/21,13,41.834,-84.792
BM Crop #3,Western Bean Cutworm (WBC),Field Corn,MI,7/10/21,5,41.912,-84.669
Jean-ithacacut WBC,Western Bean Cutworm (WBC),Soybeans,MI,7/14/21,34,43.305,-84.598
BM #12,Western Bean Cutworm (WBC),Field Corn,MI,7/17/21,106,41.775,-84.935
BM #13,Western Bean Cutworm (WBC),Field Corn,MI,7/17/21,108,42.144,-84.545
BM #14,Western Bean Cutworm (WBC),Field Corn,MI,7/17/21,99,42.125,-84.81
BM #15,Western Bean Cutworm (WBC),Field Corn,MI,7/17/21,6,42.174,-84.866
BM #4,Western Bean Cutworm (WBC),Field Corn,MI,7/17/21,27,42.073,-85.041
BM #5,Western Bean Cutworm (WBC),Field Corn,MI,7/17/21,0,41.848,-85.119
BM #6,Western Bean Cutworm (WBC),Field Corn,MI,7/17/21,24,41.964,-85.136
BM #7,Western Bean Cutworm (WBC),Field Corn,MI,7/17/21,14,41.93,-84.845
BM Crop # 8,Western Bean Cutworm (WBC),Field Corn,MI,7/17/21,124,42.035,-84.652
BM Crop #1,Western Bean Cutworm (WBC),Field Corn,MI,7/17/21,127,41.924,-84.931
BM Crop #10,Western Bean Cutworm (WBC),Field Corn,MI,7/17/21,139,42.058,-84.661
BM Crop #11,Western Bean Cutworm (WBC),Field Corn,MI,7/17/21,44,41.834,-84.792
BM Crop #2,Western Bean Cutworm (WBC),Field Corn,MI,7/17/21,42,42.153,-84.824
BM Crop #3,Western Bean Cutworm (WBC),Field Corn,MI,7/17/21,110,41.912,-84.669
BM Crop #9,Western Bean Cutworm (WBC),Field Corn,MI,7/17/21,180,42.019,-84.748
Jean-ithacacut WBC,Western Bean Cutworm (WBC),Soybeans,MI,7/21/21,83,43.305,-84.598
BM #12,Western Bean Cutworm (WBC),Field Corn,MI,7/24/21,149,41.775,-84.935
BM #13,Western Bean Cutworm (WBC),Field Corn,MI,7/24/21,157,42.144,-84.545
BM #14,Western Bean Cutworm (WBC),Field Corn,MI,7/24/21,896,42.125,-84.81
BM #15,Western Bean Cutworm (WBC),Field Corn,MI,7/24/21,225,42.174,-84.866
BM #4,Western Bean Cutworm (WBC),Field Corn,MI,7/24/21,86,42.073,-85.041
BM #5,Western Bean Cutworm (WBC),Field Corn,MI,7/24/21,0,41.848,-85.119
BM #6,Western Bean Cutworm (WBC),Field Corn,MI,7/24/21,140,41.964,-85.136
BM #7,Western Bean Cutworm (WBC),Field Corn,MI,7/24/21,179,41.93,-84.845
BM Crop # 8,Western Bean Cutworm (WBC),Field Corn,MI,7/24/21,314,42.035,-84.652
BM Crop #1,Western Bean Cutworm (WBC),Field Corn,MI,7/24/21,197,41.924,-84.931
BM Crop #10,Western Bean Cutworm (WBC),Field Corn,MI,7/24/21,231,42.058,-84.661
BM Crop #11,Western Bean Cutworm (WBC),Field Corn,MI,7/24/21,53,41.834,-84.792
BM Crop #2,Western Bean Cutworm (WBC),Field Corn,MI,7/24/21,78,42.153,-84.824
BM Crop #3,Western Bean Cutworm (WBC),Field Corn,MI,7/24/21,114,41.912,-84.669
BM Crop #9,Western Bean Cutworm (WBC),Field Corn,MI,7/24/21,335,42.019,-84.748
Jean-ithacacut WBC,Western Bean Cutworm (WBC),Soybeans,MI,7/27/21,37,43.305,-84.598
Patrick WBCW,Western Bean Cutworm (WBC),Wheat,MI,8/8/22,0,43.105,-84.6
Patrick WBCW,Western Bean Cutworm (WBC),Wheat,MI,7/4/22,0,43.105,-84.6
Patrick WBCW,Western Bean Cutworm (WBC),Wheat,MI,7/11/22,7,43.105,-84.6
Patrick WBCW,Western Bean Cutworm (WBC),Wheat,MI,6/20/22,47,43.105,-84.6
Patrick WBCW,Western Bean Cutworm (WBC),Wheat,MI,7/25/22,9,43.105,-84.6
Patrick WBCW,Western Bean Cutworm (WBC),Wheat,MI,8/1/22,8,43.105,-84.6
