latitude,longitude
43.465,-81.239
43.466,-81.242
42.979,-82.221
43.217,-81.166
43.519,-81.167
43.52,-81.171
45.806,-86.54
45.803,-86.548
45.681,-86.626
45.687,-86.702
45.683,-86.653
45.687,-86.641
43.652,-83.531
43.36,-85.378
43.4,-83.68
42.803,-84.518
43.396,-83.679
43.2,-81.831
45.056,-75.34
43.305,-84.598
41.775,-84.935
42.125,-84.81
42.174,-84.866
42.073,-85.041
41.848,-85.119
41.964,-85.136
42.035,-84.652
41.924,-84.931
41.834,-84.792
41.912,-84.669
42.144,-84.545
41.93,-84.845
42.058,-84.661
42.153,-84.824
42.019,-84.748
43.105,-84.6
42.988,-82.187
43.47,-81.252
43.47,-81.256
43.52,-81.138
46.059,-61.414
45.542,-61.911
45.054,-75.337
45.191,-74.527
44.922,-75.206
42.708,-84.467
42.69,-84.495
42.708,-81.892
42.599,-81.945
42.45,-81.89
42.64,-81.87
46.194,-60.274
45.543,-61.91
45.598,-61.754
44.722,-75.61
42.593,-80.497
42.715,-80.556
45.07,-64.732
45.312,-75.711
45.203,-75.792
44.767,-65.435
44.911,-65.198
45.312,-63.643
40.705,-83.677
40.674,-83.659
40.727,-83.789
40.761,-83.556
40.635,-83.689
40.633,-83.575
41.328,-80.776
41.334,-80.777
41.323,-80.788
41.328,-80.801
40.082,-84.186
40.074,-84.198
41.349,-84.48
41.363,-84.488
41.353,-84.448
41.319,-84.428
41.356,-84.547
40.106,-84.69
40.096,-84.691
40.122,-84.711
41.724,-81.216
41.729,-81.214
41.356,-83.122
41.366,-83.154
41.375,-82.589
40.827,-82.993
40.818,-82.983
40.601,-83.876
41.868,-80.78
41.89,-80.804
41.904,-80.801
41.551,-84.522
41.562,-84.512
41.566,-84.557
41.027,-83.677
41.014,-83.685
41.037,-83.66
40.759,-81.954
40.781,-81.992
40.459,-82.234
39.891,-83.677
40.274,-81.954
40.282,-81.968
41.078,-84.69
41.083,-84.725
41.099,-84.73
41.06,-84.695
41.464,-81.208
41.474,-81.188
41.501,-81.172
41.572,-84.144
41.689,-83.379
41.561,-84.153
41.686,-83.405
41.535,-84.133
41.366,-84.017
41.379,-84.051
41.345,-83.956
41.403,-83.981
40.77,-84.144
40.781,-84.144
40.578,-84.354
40.585,-84.356
40.58,-84.366
40.572,-84.355
41.412,-82.128
41.127,-82.648
41.148,-82.647
41.348,-83.677
41.399,-83.647
41.337,-83.614
40.871,-84.564
40.97,-84.576
40.922,-84.569
40.916,-84.514
40.848,-84.512
40.838,-84.563
40.848,-84.636
40.866,-84.65
40.908,-84.665
40.934,-84.622
40.398,-81.428
40.405,-81.405
40.417,-81.408
40.419,-81.392
48.394,-71.0
45.431,-63.536
48.429,-71.32
45.532,-73.841
48.43,-71.851
46.216,-72.577
45.598,-61.755
45.254,-74.101
42.987,-82.187
47.276,-79.323
47.028,-71.037
45.611,-76.513
45.193,-71.874
45.564,-75.362
47.591,-69.772
46.17,-74.725
47.391,-70.019
45.901,-73.458
45.533,-73.837
45.593,-75.3
46.253,-72.985
48.431,-71.848
45.594,-74.035
46.45,-75.498
46.72,-71.641
46.216,-72.571
45.49,-74.067501
46.072,-72.816
46.757,-71.67
46.18,-71.857
48.395,-71.001
48.372,-71.247
45.934,-73.548
45.671,-73.296
46.647,-71.572
45.803,-73.155
47.888,-69.411
45.925,-72.702
47.426,-79.472
45.879,-72.655
46.09,-73.216
46.861,-71.117
46.093,-70.662
45.83,-72.647
45.822,-72.634
46.716,-70.849
46.705,-71.028
45.991,-73.6
46.554,-71.179
46.49,-72.4
45.579,-73.246
45.738,-72.593
45.43,-72.87
45.317,-74.281
45.244,-73.635
48.114,-65.547
45.256,-74.102
45.368,-71.856
45.049,-72.073
45.868,-71.965
46.343,-72.542
45.486,-72.346
45.734,-73.398
45.741,-73.36
42.58,-80.572
42.615,-80.502
42.715,-84.463
42.19,-84.05
41.98,-83.866
41.794,-84.18
46.384,-72.637
45.828,-63.612
45.34,-63.388
45.074,-63.431
46.715,-71.638
45.43,-63.535
45.388,-63.461
45.404,-63.627
45.383,-63.333
46.773,-75.349
46.204,-72.56
46.578,-71.625
45.49,-74.068
44.041,-80.585
45.955,-72.282
45.402,-73.142
45.68,-72.771
45.495,-72.907
44.95,-64.208
42.6,-81.835
42.652,-81.863
42.541,-81.629
42.717,-81.792
42.85,-81.626
42.681,-81.079
42.612,-80.6
42.848,-81.143
42.855,-80.595
43.114,-80.692
43.0,-80.287
42.926,-80.345
43.079,-80.396
45.371,-62.14
42.66,-80.65
45.651,-62.846
43.712,-81.46
45.081,-64.315
43.319,-81.507
43.318,-81.502
43.128,-80.209
43.045,-79.852
43.001,-79.928
42.11,-86.213
42.797,-85.902
42.863,-79.941
42.811,-80.219
42.757,-80.294
42.45,-85.517
45.083,-74.384
45.002,-74.378
43.012,-80.371
45.74,-73.954
42.595,-82.307
45.542,-61.91
41.997,-83.563
45.298,-73.847
45.118,-71.849
45.177,-73.229
45.372,-73.118
45.128,-74.038
45.144,-74.331
45.076,-74.386
45.04,-74.359
45.101,-74.301
45.711,-72.945
45.813,-73.079
45.37,-72.994
45.066,-73.768
45.549,-73.02
45.181,-74.197
45.297,-73.801
45.266,-73.757
45.241,-73.868
46.608,-71.11
46.6,-71.118
45.653,-72.877
