Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_58,VALUE_61,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_216,VALUE_222,VALUE_228,VALUE_242,VALUE_243,VALUE_244
HAT,,,,,,"-1","0","-1",,,"161","1","422","8","0","0","47","0","1","0","53","78","0","0","1","0","0","0","1","0","0","0","17","2","0","0","0","1","98","108","57","64","28","1230","154","204","11","583","128","2","1","0","0","1","2","0","0","0"
MUS,,,,,,"-1","0","-1",,,"684","0","1029","1","2","0","142","1","2","0","668","90","0","0","1","0","1","0","0","0","0","0","2","0","0","0","0","15","52","99","21","2","0","352","2","9","4","237","31","6","0","0","0","0","11","0","0","0"
REM,,,,,,"-1","0","-1",,,"372","8","570","15","1","0","121","1","123","0","177","148","0","0","1","0","0","0","0","0","0","12","2","0","5","1","0","0","107","50","24","1","1","640","6","64","8","935","62","3","3","0","0","3","0","0","4","0"
SS,,,,,,"-1","0","-1",,,"349","1","620","4","1","0","199","7","7","0","336","98","0","0","1","0","0","0","0","0","0","6","2","1","7","0","0","1","236","128","50","12","0","538","2","80","3","732","36","1","5","0","0","0","0","0","0","0"
MAN,,,,,,"-1","0","-1",,,"52","0","33","8","0","0","4","0","6","0","11","107","0","0","1","1","0","0","0","0","0","0","5","0","0","0","1","7","185","29","5","0","127","785","82","1511","3","440","43","17","0","0","0","0","0","0","0","0"
CURC,,,,,,"-1","0","-1",,,"1185","0","234","1","1","0","4","1","2","0","257","271","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","1","189","83","42","63","5","398","2","82","4","603","29","4","2","0","0","0","0","0","0","0"
FREE,,,,,,"-1","0","-1",,,"180","0","66","4","0","1","11","2","9","0","296","584","0","0","4","0","0","0","0","0","0","15","3","0","3","0","1","2","148","169","37","3","1","438","29","156","4","994","289","9","3","0","0","0","0","1","0","0"
FISH,,,,,,"-1","0","-1",,,"270","0","495","1","0","0","222","0","1","0","34","113","0","0","0","0","0","0","0","0","0","3","7","2","2","0","0","1","140","36","16","1","1","880","0","45","3","392","796","5","0","0","0","0","0","0","1","0"
RUSH,,,,,,"-1","0","-1",,,"240","0","922","1","0","0","109","0","0","0","133","35","0","0","20","0","0","0","0","81","0","0","140","38","3","0","0","16","159","90","10","0","2","582","2","49","0","349","475","12","2","0","1","0","0","0","0","0"
AG,,,,,,"-1","0","-1",,,"1069","0","135","24","0","0","5","0","8","0","38","306","0","6","5","8","0","0","0","0","7","3","48","1","33","0","0","21","265","179","66","11","7","389","6","108","1","534","119","24","0","0","0","2","1","0","7","37"
KIR,,,,,,"-1","0","-1",,,"200","0","132","13","0","0","11","0","0","0","218","41","1","0","12","0","0","0","0","0","1","2","8","73","2","1","0","8","50","74","7","1","1","1209","0","80","2","321","966","14","4","1","0","1","2","1","9","0"
OLES,,,,,,"-1","0","-1",,,"133","0","21","0","0","0","2","0","1","0","255","184","0","0","1","0","0","0","0","0","0","7","11","0","0","3","0","1","96","35","7","0","0","892","43","226","1","515","1037","1","1","0","0","0","0","0","0","0"
SEN,,,,,,"-1","0","-1",,,"746","0","920","9","0","0","85","1","0","1","68","29","0","0","100","0","1","0","0","0","0","0","26","0","12","0","0","0","56","72","6","1","3","764","0","9","0","81","482","0","0","0","0","0","0","0","0","0"
THOR,,,,,,"-1","0","-1",,,"248","0","118","0","0","0","65","0","22","0","145","54","0","0","1","0","0","0","0","0","1","0","22","0","0","0","0","12","216","86","8","1","0","1386","67","528","0","287","174","28","1","0","0","0","0","0","0","0"
WH,,,,,,"-1","0","-1",,,"56","0","125","0","2","101","15","0","3","0","37","87","1","0","3","0","0","0","0","0","0","14","3","0","0","0","0","4","262","233","69","10","0","794","25","284","16","1285","26","8","0","0","0","0","1","0","0","0"
HAR,,,,,,"-1","0","-1",,,"720","0","256","485","0","0","157","1","0","0","461","9","0","0","22","0","0","1","0","12","1","0","1","0","0","0","0","0","42","2","2","0","0","428","0","4","0","48","807","0","0","0","0","0","9","0","0","0"
FISH_2,,,,,,"-1","0","-1",,,"396","0","345","6","0","0","30","0","5","0","70","74","1","0","0","1","0","0","0","0","0","0","25","4","1","2","0","0","238","49","8","1","9","1093","27","82","1","464","525","5","1","0","0","1","0","0","0","0"
RUSH_2,,,,,,"-1","0","-1",,,"213","0","893","1","0","0","104","0","0","0","132","34","0","0","29","0","0","0","0","99","0","0","193","39","3","0","0","26","188","103","11","0","2","560","2","50","0","377","395","14","2","0","1","0","0","0","0","0"
OLES_2,,,,,,"-1","0","-1",,,"196","0","25","0","0","0","3","0","1","0","259","123","0","0","1","0","0","0","0","0","0","5","13","0","0","1","0","1","127","38","7","0","0","999","22","175","2","678","799","1","1","0","0","0","0","0","0","0"
ZIT,,,,,,"-1","0","-1",,,"604","0","79","15","0","0","3","0","7","0","36","260","1","0","6","3","0","6","0","0","4","4","38","0","53","0","0","6","317","85","30","8","0","879","56","402","0","368","158","8","0","0","0","0","0","0","0","28"
