Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_52,VALUE_53,VALUE_56,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_71,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_214,VALUE_216,VALUE_220,VALUE_221,VALUE_222,VALUE_228,VALUE_229,VALUE_242,VALUE_243,VALUE_244,VALUE_247,VALUE_248
HAT,,,,,,"-1","0","-1",,,"4096","2","7859","0","14","4","7","949","0","9","77","0","0","3522","3519","39","0","29","0","0","0","1","0","0","0","0","28","0","72","0","0","3","5","4","0","3","23","3606","1942","549","236","51","38205","2347","3483","127","12280","3241","74","210","0","0","0","0","0","1","3","0","0","0","0","0","0"
MUS,,,,,,"-1","0","-1",,,"18623","2","5358","6","853","2","1","911","0","19","107","0","0","13773","4686","1","0","219","0","3","0","3","0","0","0","0","36","0","47","0","0","8","49","3","1","0","10341","1932","2585","619","142","34","12557","600","1304","109","8878","2339","68","134","0","29","0","0","0","4","23","222","1","1","0","0","0"
REM,,,,,,"-1","0","-1",,,"12434","81","6961","0","41","1","12","2594","0","61","936","2","0","4993","5070","4","0","45","0","3","0","0","0","0","0","0","177","0","94","0","0","6","59","4","0","0","82","4357","3263","803","159","20","16508","459","3227","220","21546","1720","126","117","0","0","0","1","0","3","429","1","2","5","0","0","0"
SS,,,,,,"-1","0","-1",,,"8021","15","5002","0","38","8","207","921","0","54","82","0","0","2306","4475","38","0","19","3","0","0","0","0","0","0","0","210","1","38","0","0","2","25","3","0","4","13863","3901","2410","599","99","25","18312","456","4724","160","18417","1952","163","60","0","0","0","0","0","0","2","5","1","1","0","0","0"
MAN,,,,,,"-1","0","-1",,,"1005","0","442","0","15","0","0","6","0","4","14","0","0","514","899","1","0","3","1","0","0","0","0","0","0","0","48","0","25","0","0","0","0","4","0","3","713","3997","459","82","2","149","32282","2734","34429","52","6984","1346","389","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
CURC,,,,,,"-1","0","-1",,,"5250","6","625","0","4","1","0","43","0","5","14","0","0","1620","4247","0","0","8","0","0","0","0","0","0","0","0","24","0","52","0","0","0","2","2","0","9","552","3120","846","197","74","32","34534","2948","18354","82","12536","1154","128","136","0","0","0","0","0","0","0","0","7","1","0","0","0"
FREE,,,,,,"-1","0","-1",,,"7208","12","829","0","42","2","4","134","0","24","64","0","0","6684","6795","1","0","32","3","2","0","0","0","0","0","0","105","0","42","0","0","2","9","11","0","5","188","4823","3605","1205","269","338","19352","1404","5977","148","19872","6675","339","359","0","0","0","0","0","0","39","2","4","0","0","0","0"
FISH,,,,,,"-1","0","-1",,,"13382","1","8488","0","23","1","1","1532","0","3","168","0","1","3782","3991","2","0","9","6","3","0","4","0","0","1","1","39","0","198","0","0","70","33","17","0","4","242","4988","2956","913","299","133","17648","282","1255","23","13834","11874","446","9","0","0","0","0","0","1","1","0","0","9","0","0","0"
RUSH,,,,,,"-1","0","-1",,,"16583","4","10825","0","608","0","0","354","0","1","1","0","0","3659","876","0","204","685","3","0","3","2","420","0","123","0","20","0","632","0","2","6216","65","8","0","2","1767","2856","1692","283","229","27","16452","108","911","8","6790","14094","190","18","1","0","2","0","0","0","0","0","0","22","0","0","0"
AG,,,,,,"-1","0","-1",,,"9341","7","1964","0","85","0","0","87","0","2","34","0","0","1168","6927","2","30","52","26","0","31","1","1","0","41","0","102","0","389","0","0","50","899","2","0","0","326","7285","3383","1064","258","71","25955","589","6583","13","12712","6484","220","13","0","0","24","0","3","53","9","0","6","48","463","0","1"
