Name,VALUE_0,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_25,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_54,VALUE_57,VALUE_58,VALUE_59,VALUE_60,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_76,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_208,VALUE_214,VALUE_216,VALUE_219,VALUE_221,VALUE_222,VALUE_225,VALUE_226,VALUE_227,VALUE_229,VALUE_236,VALUE_242,VALUE_243
Accord,0,550,1,170,0,11,0,0,0,0,0,10,4,0,0,123,1172,0,0,2,0,0,0,0,0,0,0,0,0,0,0,152,0,0,8,0,0,0,0,80,1012,228,52,5,6,3887,380,2345,209,894,1361,16,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
Adams_Center,0,3574,0,121,0,0,1,0,26,0,0,2,44,0,0,974,2431,0,0,17,0,0,0,0,0,0,0,0,0,0,0,127,0,0,2,1,0,0,0,223,331,124,6,0,137,2526,81,6,1434,163,783,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Afton,0,840,0,254,0,0,2,0,21,1,0,2,7,0,0,100,1529,0,0,7,0,0,0,0,0,0,0,0,1,0,0,211,0,0,0,0,0,0,0,394,1248,598,113,33,25,4210,473,1458,78,877,287,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athens,0,222,0,30,0,1,0,0,0,0,0,0,1,0,0,36,1326,0,0,0,0,0,0,0,0,0,0,0,0,3,0,586,0,0,33,0,0,0,0,17,949,224,69,25,71,5919,1209,134,693,63,1197,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amsterdam,0,335,0,0,0,2,0,0,0,0,0,1,1,0,0,27,2669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,1,0,5,0,0,26,655,446,143,20,1,1333,1633,358,338,980,3767,76,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Attica,0,1252,0,15,0,0,0,0,3,0,0,0,39,0,0,1638,282,0,0,4,0,1,0,1,0,1,0,0,2,0,1,10,0,0,9,0,0,0,0,2,450,25,0,0,0,7000,183,605,707,595,105,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avoca,0,1011,0,135,0,1,0,0,159,0,0,22,329,0,0,373,1290,1,0,111,8,3,0,0,0,0,0,0,27,0,0,103,0,0,0,2,8,0,0,45,1317,739,148,6,1,4779,451,840,261,629,40,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avon,0,5077,0,1137,0,8,2,0,382,0,0,2,5,0,0,2434,446,2,0,11,4,0,0,1,0,0,0,0,2,0,0,57,0,0,1,0,0,0,0,4,650,363,62,14,44,1375,0,76,199,533,49,8,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2
Baldwinsville,0,1195,0,1114,0,414,4,2,153,0,0,11,134,0,0,350,564,1,0,270,3,0,2,1,2,0,0,0,0,0,0,307,0,0,15,10,0,0,0,1162,660,246,21,1,58,2497,162,82,1213,384,1814,126,4,1,0,0,0,0,0,0,0,1,0,2,0,8,7
Batavia,0,2010,0,263,0,106,57,0,212,0,0,8,52,0,0,638,295,0,2,267,43,0,0,6,18,701,0,0,0,0,0,89,0,0,69,0,0,0,1,47,757,672,63,0,41,2577,131,178,238,906,2374,141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Belfast,0,1167,0,38,0,0,6,0,154,0,0,1,200,0,0,144,1084,0,0,10,1,10,0,0,0,4,0,0,5,0,0,14,0,0,2,0,0,0,0,33,813,116,14,0,7,6170,367,411,572,1394,26,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellona,0,3122,0,1453,1,543,2,0,1057,0,0,6,118,0,0,1360,565,0,0,628,0,0,0,0,0,0,0,0,7,0,0,85,0,0,11,3,0,0,0,0,423,63,2,0,17,2145,1,159,168,307,533,2,1,56,0,0,0,0,0,0,0,0,0,0,0,0,82
Brockport,0,1087,0,422,0,13,0,0,512,0,0,1,17,0,0,609,599,0,0,204,2,0,0,0,4,35,0,0,1,0,0,21,0,0,39,0,0,0,0,7,1299,149,14,1,8,6071,0,68,247,643,623,82,6,0,0,0,0,0,0,78,0,0,0,0,0,0,165
Carlton,0,4343,15,682,0,100,6,0,368,0,0,9,23,0,0,370,289,0,0,785,1,0,0,85,19,59,0,0,0,0,1,56,0,0,51,1,2,0,0,17,845,227,14,0,21,2897,5,50,162,854,407,39,1,0,0,0,0,0,0,0,1,0,0,0,0,0,234
Clifton_Park,0,80,0,6,0,43,0,0,2,0,0,0,3,0,0,34,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,27,0,0,0,0,8,3341,2761,1029,371,47,1799,180,240,96,9,2513,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collins,0,1527,0,415,0,0,0,0,11,0,0,0,44,0,0,758,993,0,0,59,435,5,0,0,2,0,0,0,0,0,0,151,5,0,1,361,0,3,0,27,838,503,99,13,103,5751,142,65,228,214,65,23,0,0,0,0,0,0,0,0,0,6,0,0,0,1,21
Eagle_Bridge,0,2003,3,0,0,2,0,0,0,0,0,0,7,0,0,1022,1654,0,0,0,0,130,0,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,0,154,395,247,104,4,33,3278,516,298,1851,324,369,188,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eden,0,2988,0,714,0,37,0,0,18,0,0,0,123,0,0,86,3026,0,0,107,82,55,0,0,259,4,1,0,0,3,0,111,1,0,0,37,0,0,0,12,500,262,119,6,52,3584,20,75,85,261,96,27,0,0,0,54,74,0,0,10,0,2,0,1,0,0,12
Farmersville,0,1592,1,43,0,0,4,0,5,0,0,0,33,0,0,248,2019,0,0,4,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,2,0,0,0,4,528,31,0,0,14,7094,303,157,308,404,43,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
