Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_0,VALUE_1,VALUE_5,VALUE_24,VALUE_25,VALUE_28,VALUE_36,VALUE_42,VALUE_43,VALUE_44,VALUE_61,VALUE_63,VALUE_70,VALUE_81,VALUE_82,VALUE_83,VALUE_87,VALUE_88,VALUE_176
Accord,,,,,,"-1","0","-1",,,"0","495","0","0","1030","0","435","0","0","153","65","6526","0","46","1017","228","10","27","3323"
Adams_Center,,,,,,"-1","0","-1",,,"0","67","270","3","1042","0","135","0","0","1","0","3749","0","3556","1216","474","0","3","3301"
Afton,,,,,,"-1","0","-1",,,"0","648","0","0","1707","0","6","0","0","132","0","5666","0","135","2005","787","0","406","1959"
Athens,,,,,,"-1","0","-1",,,"0","123","0","0","1989","0","139","0","0","108","7","7226","1","0","722","44","15","27","3063"
Amsterdam,,,,,,"-1","0","-1",,,"0","38","0","0","3185","65","60","0","0","277","0","7109","0","73","1386","58","0","0","1376"
Attica,,,,,,"-1","0","-1",,,"0","733","204","162","168","0","500","0","0","87","208","6576","0","0","285","5","85","183","4384"
Avoca,,,,,,"-1","0","-1",,,"0","648","380","169","920","296","944","93","0","1333","1040","4376","0","144","612","50","14","134","2333"
Avon,,,,,,"-1","0","-1",,,"0","3150","1064","1300","242","0","803","10","0","399","316","769","0","1","920","6","42","116","4463"
Baldwinsville,,,,,,"-1","0","-1",,,"0","1366","514","1","1072","0","828","0","0","322","279","3758","0","2","1242","1415","37","384","2436"
Batavia,,,,,,"-1","0","-1",,,"0","2161","275","192","35","0","145","7","0","680","296","4208","0","0","845","128","176","234","4246"
Belfast,,,,,,"-1","0","-1",,,"0","420","87","0","1893","34","1105","0","0","40","21","4774","0","0","1175","33","29","26","3838"
Bellona,,,,,,"-1","0","-1",,,"0","2262","588","1686","540","14","521","193","0","2697","985","2301","0","52","166","0","0","201","1362"
Brockport,,,,,,"-1","0","-1",,,"0","753","408","180","211","0","185","3","0","240","272","5402","0","0","536","19","74","451","4943"
Carlton,,,,,,"-1","0","-1",,,"0","2188","959","1526","97","0","48","0","0","603","262","2480","0","0","357","30","184","332","4624"
Clifton_Park,,,,,,"-1","0","-1",,,"0","83","0","0","497","0","2","0","0","64","0","4523","0","71","6695","17","0","0","1638"
Collins,,,,,,"-1","0","-1",,,"0","1482","129","499","41","0","266","0","0","22","141","2756","0","0","1543","19","57","399","6156"
Eagle_Bridge,,,,,,"-1","0","-1",,,"0","334","2","0","3367","16","53","0","0","305","0","5943","0","632","1358","260","0","0","1334"
Eden,,,,,,"-1","0","-1",,,"0","2001","957","264","137","0","758","1","0","151","468","1398","0","7","1179","26","82","881","5243"
Farmersville,,,,,,"-1","0","-1",,,"0","1105","132","1","1407","102","1463","0","0","17","8","6004","0","0","435","2","5","19","2803"
Farmington,,,,,,"-1","0","-1",,,"0","779","502","463","952","129","784","48","0","1759","1768","3670","0","108","305","12","8","371","1952"
Feura_Bush,,,,,,"-1","0","-1",,,"0","412","0","0","1699","4","1","0","0","232","0","7915","0","168","1358","29","0","0","1703"
Flint,,,,,,"-1","0","-1",,,"0","1201","1104","543","750","31","1005","463","0","1819","1859","2961","0","57","97","5","2","243","1456"
Florida,,,,,,"-1","0","-1",,,"0","720","0","0","825","0","69","0","0","2972","0","3741","0","29","1182","35","4","418","3275"
Fort_Plain,,,,,,"-1","0","-1",,,"0","824","332","0","3243","0","2380","0","0","728","1","2964","0","1","393","27","0","330","2380"
Geneva,,,,,,"-1","0","-1",,,"0","1303","217","465","350","23","311","41","0","1763","806","2107","0","58","325","4316","3","221","1258"
Great_Valley,,,,,,"-1","0","-1",,,"0","1394","156","0","1111","74","891","0","1","262","15","5954","0","11","1005","3","15","98","2462"
Greenwich,,,,,,"-1","0","-1",,,"0","898","1","0","2404","4","12","0","0","315","0","4880","0","1283","1257","352","0","0","2234"
Groveland,,,,,,"-1","0","-1",,,"0","4120","140","1085","78","0","51","2","0","169","80","595","0","0","773","1","41","62","6344"
Hall,,,,,,"-1","0","-1",,,"0","2955","245","918","497","4","261","117","0","2867","774","2414","0","32","474","0","0","190","1831"
Hamlin,,,,,,"-1","0","-1",,,"46","1981","759","2717","175","0","68","0","0","463","745","1123","0","1","858","41","107","140","4475"
Hurley,,,,,,"-1","0","-1",,,"0","277","0","0","437","0","76","0","0","86","1291","7929","0","22","572","141","6","24","2521"
Interlaken,,,,,,"-1","0","-1",,,"0","2043","236","3","3459","0","1368","0","0","390","256","1222","0","0","785","2","0","463","3314"
Kennedy,,,,,,"-1","0","-1",,,"0","1011","387","0","1566","120","860","0","0","307","40","4551","0","13","1916","22","40","137","2471"
Kinderhook,,,,,,"-1","0","-1",,,"0","375","0","0","1227","0","707","0","0","431","5","3964","0","0","1673","164","81","16","4852"
King_Ferry,,,,,,"-1","0","-1",,,"0","2572","496","0","2272","0","1163","0","0","590","209","3166","0","0","871","1","0","363","1844"
Kirkville,,,,,,"-1","0","-1",,,"0","439","568","0","746","0","756","0","0","189","181","6886","0","26","1327","74","0","351","2102"
LeRoy,,,,,,"-1","0","-1",,,"0","2659","1435","341","3","0","595","5","0","1147","501","1291","0","2","842","13","54","231","4493"
Lockport,,,,,,"-1","0","-1",,,"0","1393","1294","62","224","0","73","11","0","313","415","2034","0","1","1111","67","61","391","6213"
Lyndonville,,,,,,"-1","0","-1",,,"0","2370","340","225","781","0","509","12","0","273","195","2071","0","7","363","8","31","501","6015"
Medina,,,,,,"-1","0","-1",,,"0","1622","797","405","256","0","254","0","0","351","212","3482","0","2","602","44","67","191","5399"
Melrose,,,,,,"-1","0","-1",,,"0","1155","0","0","1709","8","1","0","0","222","0","7115","0","485","1070","199","0","0","1627"
New_Paltz,,,,,,"-1","0","-1",,,"0","369","0","0","1532","0","221","0","0","387","27","4634","0","28","1915","395","5","117","3716"
Newark_Valley,,,,,,"-1","0","-1",,,"0","475","0","0","2249","0","5","0","0","390","0","6069","0","64","540","52","0","478","3139"
Olean,,,,,,"-1","0","-1",,,"0","287","36","0","1586","34","639","0","0","60","27","7233","0","1","679","17","4","78","2739"
Oswego,,,,,,"-1","0","-1",,,"878","100","130","21","849","0","668","15","0","259","57","5825","0","85","1866","64","5","282","2626"
Owego,,,,,,"-1","0","-1",,,"0","613","0","0","1199","0","0","0","0","578","0","3083","0","129","4448","1099","0","542","1735"
Panama,,,,,,"-1","0","-1",,,"0","192","311","25","1874","290","165","0","26","669","38","7156","0","0","483","12","11","80","2079"
