Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_0,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_54,VALUE_57,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_214,VALUE_216,VALUE_219,VALUE_220,VALUE_221,VALUE_222,VALUE_228,VALUE_229,VALUE_242,VALUE_243,VALUE_244
Accord,,,,,,"-1","0","-1",,,"0","618","0","104","0","94","0","0","0","23","0","0","136","456","0","0","0","2","0","98","0","0","0","0","0","1","2","124","0","0","8","0","0","0","77","1034","450","164","33","23","4613","324","1714","4","1694","914","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
Adams_Center,,,,,,"-1","0","-1",,,"0","3540","1","177","0","0","0","1","9","1","1","0","275","2589","0","0","1","0","0","0","0","0","0","0","0","0","0","45","0","0","0","0","0","0","143","328","291","59","4","107","2841","106","28","54","1566","923","63","5","0","0","0","0","0","0","0","1","0","0","0","0"
Afton,,,,,,"-1","0","-1",,,"0","635","0","759","0","0","0","0","2","0","3","0","35","136","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","493","1126","801","255","60","86","3092","213","2335","12","2460","280","29","0","0","0","0","0","0","0","0","0","0","0","0","0"
Athens,,,,,,"-1","0","-1",,,"0","256","0","33","1","3","1","0","2","0","4","0","68","359","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","8","0","0","0","23","452","373","164","111","36","5577","824","908","27","2272","1240","65","0","0","0","0","0","0","0","0","0","2","0","0","0"
Amsterdam,,,,,,"-1","0","-1",,,"0","229","0","17","0","1","0","0","0","1","1","0","259","1466","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","23","529","609","289","56","11","1020","2450","528","18","2488","2947","34","0","0","0","0","0","0","0","0","0","0","0","0","0"
Attica,,,,,,"-1","0","-1",,,"0","1003","1","61","0","11","0","0","13","0","4","0","1880","85","1","0","3","0","0","62","0","0","1","0","0","5","0","10","0","0","1","1","1","0","7","705","99","16","0","1","6571","126","1073","9","727","421","26","0","0","0","0","0","0","0","0","10","0","0","0","0"
Avoca,,,,,,"-1","0","-1",,,"0","1399","3","408","0","3","1","0","65","0","6","0","199","917","1","1","118","3","0","0","0","0","0","0","0","42","0","6","0","0","1","6","0","1","52","910","978","368","62","11","3426","231","1667","9","1669","236","44","4","0","0","0","0","0","0","0","0","0","0","1","0"
Avon,,,,,,"-1","0","-1",,,"0","4467","0","207","0","3","0","0","825","1","1","0","3455","148","0","1","9","0","0","0","3","0","15","0","0","7","0","36","0","0","0","2","1","0","1","363","459","174","67","30","1349","2","90","5","1012","204","9","0","0","0","0","0","0","0","2","5","0","0","0","0"
Baldwinsville,,,,,,"-1","0","-1",,,"0","1197","2","902","0","208","47","2","301","75","73","0","564","336","0","0","32","5","0","0","2","0","0","0","0","19","0","38","0","0","3","2","3","0","1210","617","468","155","17","24","2613","176","99","14","1882","1801","78","28","0","0","0","0","0","0","1","2","0","5","0","0"
Batavia,,,,,,"-1","0","-1",,,"0","1484","0","220","0","48","0","0","38","0","4","0","933","129","3","171","369","588","0","0","1","5","8","0","0","0","0","41","0","0","3","8","3","0","74","573","755","169","22","10","1283","103","200","3","1268","3801","123","0","8","0","0","0","0","0","501","2","0","0","23","0"
Belfast,,,,,,"-1","0","-1",,,"0","813","1","18","0","0","0","0","17","0","4","0","223","1070","0","0","1","1","0","0","0","0","0","0","0","29","0","7","0","0","0","3","3","0","106","973","243","68","16","9","5083","321","1327","4","2242","174","74","0","0","0","0","0","0","0","0","0","0","0","0","0"
Bellona,,,,,,"-1","0","-1",,,"0","2398","3","1156","0","748","0","0","1632","3","23","38","1620","291","0","50","399","12","1","0","1","0","0","0","0","37","1","78","0","0","4","48","0","0","3","528","158","35","9","2","1957","3","72","2","692","822","6","13","0","0","0","0","0","0","0","5","7","0","63","0"
Brockport,,,,,,"-1","0","-1",,,"0","1097","2","967","0","97","0","0","27","0","1","0","1074","102","2","124","18","1","0","2","3","0","2","0","0","1","0","24","0","0","173","4","4","1","13","324","240","46","8","5","4378","0","217","1","1509","2087","32","15","1","0","0","0","0","0","406","4","0","1","14","0"
Carlton,,,,,,"-1","0","-1",,,"0","4320","0","1482","0","31","0","0","15","0","5","0","1007","77","0","15","196","1","0","0","1","1","6","0","0","5","0","52","0","0","576","8","1","0","24","648","253","37","6","6","1770","1","71","1","832","1476","16","3","0","0","0","0","0","0","9","2","0","0","85","0"
Clifton_Park,,,,,,"-1","0","-1",,,"0","56","0","16","0","1","0","0","0","5","2","0","62","67","0","0","0","0","6","0","0","0","0","0","0","0","0","2","0","0","6","0","0","0","7","2871","3158","1727","661","26","902","174","2015","3","470","693","8","0","0","0","0","0","0","0","0","0","3","0","0","0"
Collins,,,,,,"-1","0","-1",,,"0","2141","1","582","0","0","0","0","2","0","3","0","104","736","0","18","67","39","0","0","0","0","24","0","0","4","0","82","0","0","0","228","0","1","27","854","562","159","38","93","4058","140","1340","3","1293","231","31","4","1","0","0","0","0","0","0","1","0","0","2","0"
Eagle_Bridge,,,,,,"-1","0","-1",,,"0","1916","0","85","0","0","3","0","0","3","2","0","1220","514","0","0","0","0","1","0","0","0","0","0","0","0","0","6","0","0","4","0","0","0","190","277","359","244","30","20","3133","789","1521","20","2173","407","38","2","0","0","0","0","0","0","0","0","2","3","0","0"
Eden,,,,,,"-1","0","-1",,,"0","3140","5","312","0","56","0","0","16","0","12","0","202","1921","1","12","31","14","0","2","0","0","28","0","0","57","0","137","0","0","30","99","0","0","48","647","383","173","40","17","2031","19","369","1","1805","875","35","3","0","0","19","0","0","3","28","1","0","0","23","309"
Farmersville,,,,,,"-1","0","-1",,,"0","1166","0","8","0","0","0","0","5","0","2","0","578","2213","1","0","9","0","0","0","0","0","0","0","0","12","0","10","0","0","0","1","2","0","1","546","134","29","4","0","6095","366","817","6","770","72","7","0","0","0","0","0","0","0","0","0","0","0","1","0"
