Name,VALUE_0,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_25,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_54,VALUE_55,VALUE_57,VALUE_58,VALUE_59,VALUE_60,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_76,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_208,VALUE_214,VALUE_216,VALUE_219,VALUE_220,VALUE_221,VALUE_222,VALUE_225,VALUE_226,VALUE_227,VALUE_229,VALUE_236,VALUE_242,VALUE_243,VALUE_247
Accord,0,1748,1,280,0,36,0,1,0,0,0,13,8,0,0,802,6754,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,883,2,0,107,0,8,0,0,504,6496,972,184,62,97,26626,3333,19365,1251,3108,6746,72,8,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
Adams_Center,0,11725,0,336,0,1,13,0,671,0,0,7,414,0,0,3445,13826,0,0,50,2,0,0,1,0,0,0,0,0,1,0,0,938,0,0,2,7,0,0,0,514,3116,1642,276,37,190,22345,1376,111,12699,1274,6990,227,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Afton,0,4119,6,655,0,1,3,0,38,1,0,72,89,0,1,602,6971,0,0,11,1,0,0,0,0,0,0,0,0,4,0,0,880,0,0,0,0,0,0,0,1048,4191,1096,130,38,31,33988,4858,15217,618,4403,653,350,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Athens,0,1754,0,608,18,30,0,0,1,0,0,1,49,0,0,391,8653,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,2723,0,0,243,0,1,0,0,2656,8103,2214,527,143,207,33198,6094,1852,4990,662,4191,830,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Amsterdam,0,1630,0,27,0,13,0,0,0,0,0,17,22,0,0,241,15432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226,0,0,27,0,31,0,0,277,4258,2108,603,160,57,10390,10673,3450,3784,2963,22979,717,8,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Attica,0,12233,1,360,0,2,5,0,138,0,0,0,312,0,0,13740,2619,0,0,86,3,4,0,6,0,450,0,0,0,4,0,1,146,1,0,72,6,0,0,0,120,3375,239,8,2,6,33389,858,2495,4142,5119,735,135,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avoca,0,7527,0,708,0,2,73,0,675,0,0,117,1823,0,6,1520,7911,2,0,800,234,3,0,0,0,0,0,0,0,249,1,0,757,0,0,2,14,17,0,0,134,4070,1484,321,27,29,34465,2920,8509,1887,3815,152,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Avon,0,29548,0,5326,1,47,4,0,2882,0,0,6,98,0,0,6712,3038,4,2,651,28,0,0,12,2,20,0,0,0,58,1,0,542,1,0,71,0,2,0,0,528,3811,2438,591,146,405,12575,70,1321,3097,5410,1219,291,2,0,0,0,0,1,0,4,0,0,0,0,1,0,0,5,0
Baldwinsville,0,12611,0,6588,12,491,12,2,1552,0,0,29,485,0,0,2584,2642,1,0,1183,4,5,2,2,2,0,0,0,0,17,0,0,1525,0,0,69,35,0,0,0,2528,3880,1131,174,18,163,20444,730,360,7272,2192,12068,356,7,1,0,0,0,0,0,0,0,0,1,0,94,0,8,14,0
Batavia,0,15426,3,2746,0,718,89,0,1985,0,3,16,279,0,21,6951,2318,0,81,1851,95,1,0,33,59,2424,0,0,0,2,0,0,257,1,0,502,1,0,0,1,1127,4055,3016,772,365,366,15483,255,806,1998,5455,10133,569,143,0,0,0,0,0,0,1,134,1,0,0,0,0,0,539,0
