Name,VALUE_0,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_48,VALUE_49,VALUE_50,VALUE_52,VALUE_53,VALUE_54,VALUE_56,VALUE_57,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_214,VALUE_216,VALUE_219,VALUE_220,VALUE_221,VALUE_222,VALUE_225,VALUE_228,VALUE_229,VALUE_236,VALUE_242,VALUE_243,VALUE_244,VALUE_247,VALUE_248
Accord,0,1313,2,149,2,300,0,0,19,0,131,1,0,0,615,2138,0,0,0,2,0,103,0,0,0,0,0,0,0,0,8,7,689,0,0,34,1,0,0,425,6345,2007,717,181,175,29426,3049,18565,31,9080,3914,76,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Adams_Center,0,11862,4,615,0,0,2,6,459,0,7,10,0,0,2669,11089,2,0,3,0,0,0,0,3,0,0,0,0,0,1,9,0,180,0,0,3,3,0,0,345,3076,2621,1005,143,143,26785,1624,330,505,11240,7120,293,78,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0
Afton,0,3462,77,1501,0,0,0,0,4,0,2,118,0,0,632,1350,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,1254,4188,1788,381,69,114,26514,2464,23993,37,11020,992,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athens,0,1639,2,366,5,20,13,0,8,0,18,25,0,0,551,2622,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,5,138,0,0,37,6,0,1,2573,4242,3652,1694,513,229,33518,4330,5578,147,12344,5000,835,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
Amsterdam,0,1510,0,110,0,4,0,0,2,0,1,6,0,0,1015,7343,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,15,0,0,1,0,1,0,134,3521,3338,1359,407,59,8919,16137,5438,87,13481,17947,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Attica,0,9508,3,947,0,16,0,0,68,0,3,51,0,0,16555,1013,12,0,58,5,0,73,0,0,0,0,6,0,0,0,23,0,96,0,1,12,18,25,0,214,4304,686,162,22,8,31098,807,5480,45,6648,2467,163,7,0,0,0,0,0,0,1,3,203,0,0,1,5,0,0,0
Avoca,0,6439,8,1316,0,4,7,0,905,0,20,789,0,1,1833,6442,247,1,811,19,1,1,0,1,0,0,11,0,0,0,866,0,52,0,0,1,22,4,1,135,4014,2335,846,163,35,26596,1729,15055,42,8252,1085,124,75,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0
Avon,0,22231,1,5830,0,13,0,0,4990,1,71,43,0,0,8550,1273,4,8,1071,23,1,0,0,10,1,0,29,0,1,0,43,0,407,2,0,14,23,8,0,654,3270,3405,1225,526,140,12074,40,1210,27,10187,3166,349,10,1,0,0,0,0,0,14,0,19,0,0,2,4,0,0,0
Baldwinsville,0,12550,24,7228,2,277,71,9,1119,0,139,143,1,0,3288,1297,1,0,39,5,0,0,0,3,0,0,0,0,0,0,32,0,130,0,0,8,5,22,2,2714,4091,2410,790,133,74,20412,836,622,87,10355,12006,318,33,0,0,0,0,0,0,3,0,8,0,0,5,2,0,0,0
Batavia,0,14596,2,5210,5,446,0,0,630,0,2,18,0,0,6570,737,57,644,1831,1453,0,5,0,4,41,0,94,0,0,0,20,0,176,0,0,32,30,30,0,1228,3965,3331,1393,813,67,7709,165,907,22,8250,18211,539,9,103,0,0,0,0,0,744,0,11,0,0,4,977,0,0,0
Belfast,0,3227,1,67,0,0,1,0,25,0,0,15,0,0,817,5744,0,1,8,1,0,0,0,0,0,0,9,0,0,0,47,0,22,0,0,1,6,4,0,722,4516,767,222,36,17,35313,4549,13332,18,9739,745,221,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellona,0,21104,7,14096,0,1128,0,1,5222,0,16,181,0,45,10510,1252,159,52,1179,21,2,0,0,9,0,0,0,0,1,0,325,1,320,0,0,12,309,4,0,27,3421,1074,295,53,39,11134,55,813,19,3973,3172,34,27,6,0,0,0,0,0,1,0,8,7,0,0,623,0,0,0
Brockport,0,7155,5,7548,0,578,0,0,755,0,4,15,0,0,3394,359,7,493,150,9,0,6,0,6,1,1,55,0,0,0,16,1,224,2,0,1061,21,33,4,332,3169,2666,1087,270,56,29650,56,1413,20,7536,11696,276,53,5,1,0,0,0,1,693,0,10,0,0,2,502,0,1,0
Carlton,0,15191,5,9116,0,606,1,0,967,0,0,14,0,0,4267,903,2,192,2005,4,0,10,0,3,1,0,45,0,0,0,14,0,568,15,1,5449,52,10,1,1095,3523,1784,414,245,18,14257,53,981,16,7103,10729,213,16,11,1,0,0,0,0,568,0,2,0,0,0,1022,0,0,0
Clifton_Park,0,1858,4,385,1,9,6,0,6,0,23,9,0,0,844,985,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,16,12,0,0,6,1,0,1,2060,14269,14772,7206,2474,443,6465,1932,16140,46,5650,4799,444,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0
Collins,0,8570,1,2382,0,3,0,0,25,0,0,180,0,0,1184,4147,1,18,119,73,0,0,0,0,0,0,25,0,0,0,38,0,565,1,0,10,722,7,1,759,5533,2192,739,225,164,29391,2311,11819,14,6631,2238,307,21,3,0,0,0,0,0,0,0,1,0,0,5,2,2,0,0
Eagle_Bridge,0,7854,12,267,0,11,9,0,2,0,46,13,0,0,6298,5282,0,0,0,0,5,0,0,1,0,0,0,0,0,0,35,7,67,0,0,8,1,0,0,570,2401,2169,991,146,82,21820,5632,10619,114,13301,2991,243,6,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0
Eden,0,8255,8,1661,0,83,0,0,80,0,1,33,0,0,1032,5886,1,26,51,24,0,25,0,1,1,0,33,0,0,0,76,0,374,0,1,43,849,3,0,337,7283,3848,1357,362,112,23299,451,5254,13,11654,7330,235,14,0,0,23,0,0,3,49,0,6,0,0,4,41,437,0,2
Farmersville,0,4602,32,103,0,1,2,0,27,0,1,70,0,0,1770,12114,3,4,26,4,0,0,0,0,1,0,8,0,0,0,99,0,95,0,1,1,4,13,0,240,3069,574,152,28,24,40538,2496,5875,42,7582,523,87,9,0,0,0,0,0,0,0,105,1,0,0,5,4,0,0,0
Farmington,0,13161,1,8300,0,19,2,0,1941,0,377,172,0,2,3944,4035,2,0,15,9,2,0,0,3,0,0,1,0,1,0,116,0,233,0,0,65,49,12,6,360,5132,3396,1118,339,136,14110,138,991,25,13664,8626,391,124,0,0,0,0,0,0,2,0,1,0,0,0,11,0,0,0
Feura_Bush,0,2988,3,86,0,6,0,0,1,0,4,17,0,0,7847,1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,11,0,0,3,0,0,1,125,3941,2206,1198,1678,312,11179,8668,27114,64,7869,3684,144,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flint,0,24383,201,9257,0,44,2,25,1981,0,70,85,0,2,11271,1363,0,1,762,104,0,0,0,4,0,0,0,0,19,1,58,0,666,0,0,31,165,4,1,120,3051,1064,399,109,65,10915,39,634,18,6360,6936,103,10,1,0,0,25,0,0,0,0,195,0,0,4,381,0,0,0
Florida,0,2612,81,2938,0,263,0,0,5,0,29,20,5,0,366,6147,0,0,3,0,0,3,0,10745,0,0,0,44,0,582,46,2599,635,0,0,39,2,2,0,481,4687,3352,1799,630,257,21675,123,1047,102,11435,5474,672,0,0,0,0,6,0,0,25,0,0,23,0,1,0,0,0,0
