"","site","total_corn","corn","sweet_corn","prop_corn","total_land"
"1","Accord",712,618,94,0.055983645227237,12718
"2","Adams_Center",3540,3540,0,0.269017402538187,13159
"3","Afton",635,635,0,0.0495513070620367,12815
"4","Athens",259,256,3,0.0201917829578233,12827
"5","Amsterdam",230,229,1,0.0177195685670262,12980
"6","Attica",1014,1003,11,0.0783980207205814,12934
"7","Avoca",1402,1399,3,0.10912204234122,12848
"8","Avon",4470,4467,3,0.345093800663939,12953
"9","Baldwinsville",1405,1197,208,0.108068610106915,13001
"10","Batavia",1532,1484,48,0.11808231848312,12974
"11","Belfast",813,813,0,0.0633671083398285,12830
"12","Bellona",3146,2398,748,0.243498452012384,12920
"13","Brockport",1194,1097,97,0.0916557918169955,13027
"14","Carlton",4351,4320,31,0.333691233990337,13039
"15","Clifton_Park",57,56,1,0.00440460551734796,12941
"16","Collins",2141,2141,0,0.166368793224027,12869
"17","Eagle_Bridge",1916,1916,0,0.147816694954482,12962
"18","Eden",3196,3140,56,0.24767513949163,12904
"19","Farmersville",1166,1166,0,0.0907040062232594,12855
"20","Farmington",2510,2510,0,0.193568288732937,12967
"21","Feura_Bush",600,596,4,0.0465947037353421,12877
"22","Flint",3499,3498,1,0.270297412128235,12945
"23","Florida",376,351,25,0.0297633182933587,12633
"24","Fort_Plain",1002,1002,0,0.0773088496258005,12961
"25","Geneva",1154,1144,10,0.0892567097223296,12929
"26","Great_Valley",982,981,1,0.0766708307307933,12808
"27","Greenwich",3072,2988,84,0.236526024022174,12988
"28","Groveland",2918,2896,22,0.226306809368699,12894
"29","Hall",3345,3339,6,0.258800773694391,12925
"30","Hamlin",2532,2413,119,0.194022988505747,13050
"31","Hurley",813,626,187,0.0637747097583935,12748
"32","Interlaken",3218,3194,24,0.249573445013184,12894
"33","Kennedy",900,900,0,0.0703454744411443,12794
"34","Kinderhook",1435,1428,7,0.111716621253406,12845
"35","King_Ferry",2994,2958,36,0.232021078735276,12904
"36","Kirkville",756,718,38,0.0581851766335719,12993
"37","LeRoy",4624,3579,1045,0.35679012345679,12960
"38","Lockport",1382,1293,89,0.106144393241167,13020
"39","Lyndonville",1812,1809,3,0.138829298191848,13052
"40","Medina",2426,2423,3,0.186200015350372,13029
"41","Melrose",1698,1592,106,0.131221020092736,12940
"42","New_Paltz",279,271,8,0.0219391365888181,12717
"43","Newark_Valley",485,485,0,0.0378433208489388,12816
"44","Olean",371,371,0,0.029027462639856,12781
"45","Oswego",128,128,0,0.00979042374177757,13074
"46","Owego",901,899,2,0.0704621881598499,12787
"47","Panama",1181,1181,0,0.0924172470459347,12779
"48","Pavilion",5264,5253,11,0.406800618238022,12940
"49","Penn_Yan",3130,3124,6,0.242710918114144,12896
"50","Peru",1028,1028,0,0.0771771771771772,13320
"51","Pike",4216,3273,943,0.327252969028953,12883
"52","Plattsburgh",820,813,7,0.0614140203714799,13352
"53","Plessis",90,90,0,0.00679091526446842,13253
"54","Portville",90,89,1,0.00704335576772578,12778
"55","Potter",2074,1328,746,0.160712901975978,12905
"56","Preble",2496,2494,2,0.193099179947393,12926
"57","Ransomville",2709,2621,88,0.208096481794438,13018
"58","Rush",1563,1563,0,0.12054604349838,12966
"59","Salem",1798,1793,5,0.138233259014377,13007
"60","Savannah",1291,1287,4,0.0994837019341913,12977
"61","Schaghticoke",1211,1208,3,0.0935279579857893,12948
"62","Schoharie",1211,1208,3,0.0935279579857893,12948
"63","Seneca_Castle",3779,3777,2,0.291702045542262,12955
"64","Seneca_Falls",3779,3777,2,0.291702045542262,12955
"65","Sharon_Springs",414,414,0,0.0320507857861733,12917
"66","Sherwood",4989,4011,978,0.386145510835913,12920
"67","South_Colton",80,80,0,0.00601413321305067,13302
"68","Spencer",358,350,8,0.0279120536410416,12826
"69","Spencerport",463,453,10,0.0355934809348093,13008
"70","Stone_Ridge",696,673,23,0.0546568242500393,12734
"71","Ticonderoga",172,170,2,0.013072888956449,13157
"72","Tivoli",322,314,8,0.0251975897957587,12779
"73","Unadilla",872,869,3,0.0679392286716011,12835
"74","Waterport",2145,2143,2,0.164556962025316,13035
"75","Williamson",1674,1645,29,0.128541810642709,13023
