"","site","total_corn","corn","prop_corn","total_land"
"1","Accord",1497,1497,0.0179300762956486,83491
"2","Adams_Center",484,484,0.00560503063079756,86351
"3","Afton",3029,3029,0.0360230718915383,84085
"4","Athens",1103,1103,0.0131045871995628,84169
"5","Amsterdam",319,319,0.00374606604349664,85156
"6","Attica",7375,7375,0.0869088723647462,84859
"7","Avoca",3062,3062,0.0363161952203048,84315
"8","Avon",15576,15576,0.183203952011291,85020
"9","Baldwinsville",8269,8269,0.0968686667525743,85363
"10","Batavia",14080,14080,0.165366907826741,85144
"11","Belfast",1784,1784,0.0211861387549581,84206
"12","Bellona",15722,15722,0.185457805459221,84774
"13","Brockport",5505,5505,0.064400276084744,85481
"14","Carlton",11598,11598,0.135541323859387,85568
"15","Clifton_Park",490,490,0.00577040840359885,84916
"16","Collins",5456,5456,0.0646047458911571,84452
"17","Eagle_Bridge",2032,2032,0.0238893003679799,85059
"18","Eden",7952,7952,0.0939020358036937,84684
"19","Farmersville",2378,2378,0.0281920569057499,84350
"20","Farmington",5147,5147,0.0604924487277428,85085
"21","Feura_Bush",1093,1093,0.0129318504495977,84520
"22","Flint",8825,8825,0.103863853025292,84967
"23","Florida",3551,3551,0.0428378410982701,82894
"24","Fort_Plain",7912,7912,0.0930517006162676,85028
"25","Geneva",7363,7363,0.0867950773293097,84832
"26","Great_Valley",4038,4038,0.0480376878145112,84059
"27","Greenwich",2692,2692,0.0315877169308755,85223
"28","Groveland",11754,11754,0.138901691069593,84621
"29","Hall",16843,16843,0.198479849163328,84860
"30","Hamlin",7252,7252,0.0847077512498248,85612
"31","Hurley",1033,1033,0.0123458265608567,83672
"32","Interlaken",9006,9006,0.106429997990995,84619
"33","Kennedy",4644,4644,0.0553100770577516,83963
"34","Kinderhook",4276,4276,0.0507061627672568,84329
"35","King_Ferry",16667,16667,0.196821010616313,84681
"36","Kirkville",1727,1727,0.0202516505036528,85277
"37","LeRoy",12455,12455,0.146372706866766,85091
"38","Lockport",11049,11049,0.129340013579004,85426
"39","Lyndonville",11100,11100,0.12964109272258,85621
"40","Medina",12782,12782,0.149493579097565,85502
"41","Melrose",2418,2418,0.0284751990202082,84916
"42","New_Paltz",2344,2344,0.0280876661114639,83453
"43","Newark_Valley",1494,1494,0.0177597089975393,84123
"44","Olean",1562,1562,0.0186174016686532,83900
"45","Oswego",236,236,0.00275106370577607,85785
"46","Owego",3134,3134,0.0373499862946764,83909
"47","Panama",564,564,0.00672533447807112,83862
"48","Pavilion",17586,17586,0.207167090754877,84888
"49","Penn_Yan",9594,9594,0.113394872764665,84607
"50","Peru",6390,6390,0.0731079457696928,87405
"51","Pike",13961,13961,0.16507242092817,84575
"52","Plattsburgh",4297,4297,0.0490390760522231,87624
"53","Plessis",995,995,0.0114404635974796,86972
"54","Portville",1437,1437,0.0171377459749553,83850
"55","Potter",5023,5023,0.0592985231444863,84707
"56","Preble",5742,5742,0.0677010870846794,84814
"57","Ransomville",11215,11215,0.131309346790151,85409
"58","Rush",8782,8782,0.103224138133691,85077
"59","Salem",2112,2112,0.0247442972127517,85353
"60","Savannah",7512,7512,0.0881917866115664,85178
"61","Schaghticoke",3357,3357,0.0395029477177251,84981
"62","Schoharie",3357,3357,0.0395029477177251,84981
"63","Seneca_Castle",9592,9592,0.112843076126725,85003
"64","Seneca_Falls",9592,9592,0.112843076126725,85003
"65","Sharon_Springs",571,571,0.0067357146227528,84772
"66","Sherwood",19072,19072,0.224903008219243,84801
"67","South_Colton",63,63,0.000721616420782553,87304
"68","Spencer",1095,1095,0.0130144882750752,84137
"69","Spencerport",3251,3251,0.0380848621166327,85362
"70","Stone_Ridge",1544,1544,0.0184713299596837,83589
"71","Ticonderoga",1941,1941,0.0224715198666296,86376
"72","Tivoli",4814,4814,0.0574209477915479,83837
"73","Unadilla",1176,1176,0.0139630975279618,84222
"74","Waterport",10975,10975,0.128272557269752,85560
"75","Williamson",5012,5012,0.0586651684341129,85434
