"","site","total_corn","corn","sweet_corn","prop_corn","prop_field_corn","prop_sweet_corn","total_land"
"1","Accord",1784,1748,36,0.0224377114540492,0.0219849325233621,0.000452778930687092,79509
"2","Adams_Center",11726,11725,1,0.142584418584856,0.142572258903926,1.21596809299724e-05,82239
"3","Afton",4120,4119,1,0.0514511214346371,0.0514386332983666,1.2488136270543e-05,80076
"4","Athens",1784,1754,30,0.0222568773002308,0.0218826024577381,0.00037427484249267,80155
"5","Amsterdam",1643,1630,13,0.0202599388379205,0.0200996350004932,0.000160303837427247,81096
"6","Attica",12235,12233,2,0.15139141517255,0.15136666790403,2.47472685202371e-05,80817
"7","Avoca",7529,7527,2,0.0937679029566344,0.09374299449523,2.49084614043391e-05,80294
"8","Avon",29595,29548,47,0.365501228835015,0.364920774104309,0.000580454730706055,80971
"9","Baldwinsville",13102,12611,491,0.161168105887273,0.155128299751519,0.00603980613575418,81294
"10","Batavia",16144,15426,718,0.199109532442866,0.19025419025419,0.00885534218867552,81081
"11","Belfast",4365,4365,0,0.0544298272959661,0.0544298272959661,0,80195
"12","Bellona",24991,24223,768,0.309535900516492,0.300023533200391,0.00951236731610042,80737
"13","Brockport",7963,7705,258,0.0978291583227883,0.094659508335688,0.00316964998710026,81397
"14","Carlton",20930,20266,664,0.256831875130379,0.248683936043587,0.00814793908679273,81493
"15","Clifton_Park",1229,1114,115,0.0151955390150719,0.0137736618899838,0.00142187712508809,80879
"16","Collins",7004,7003,1,0.0870851828366096,0.0870727492011389,1.24336354706753e-05,80427
"17","Eagle_Bridge",8606,8597,9,0.10622986434276,0.106118771061435,0.000111093281325219,81013
"18","Eden",8868,8818,50,0.110543242502057,0.109919972077485,0.000623270424571813,80222
"19","Farmersville",5399,5399,0,0.0672060745627684,0.0672060745627684,0,80335
"20","Farmington",12167,12086,81,0.150150557804324,0.14915095271004,0.00099960509428374,81032
"21","Feura_Bush",3607,3599,8,0.0448107933510572,0.0447114070613959,9.93862896613412e-05,80494
"22","Flint",25728,25662,66,0.317908289982577,0.317092760320775,0.000815529661802321,80929
"23","Florida",5125,5120,5,0.0649103919954404,0.0648470647837376,6.33272117028687e-05,78955
"24","Fort_Plain",16706,16706,0,0.206264738928056,0.206264738928056,0,80993
"25","Geneva",12354,12316,38,0.152920643172788,0.152450270464307,0.000470372708480325,80787
"26","Great_Valley",3533,3533,0,0.044133813021536,0.044133813021536,0,80052
"27","Greenwich",10174,10064,110,0.125360408092856,0.124005027230834,0.00135538086202223,81158
"28","Groveland",22610,22605,5,0.280552419004603,0.28049037733742,6.20416671836806e-05,80591
"29","Hall",25317,25136,181,0.313271051166244,0.31103136793912,0.00223968322712368,80815
"30","Hamlin",16566,15572,994,0.203179041872102,0.190987808766895,0.0121912331052076,81534
"31","Hurley",6769,1399,5370,0.0849587067299244,0.0175590531415518,0.0673996535883726,79674
"32","Interlaken",19992,19755,237,0.248048934823877,0.245108378723774,0.00294055610010298,80597
"33","Kennedy",5544,5544,0,0.0693294650226346,0.0693294650226346,0,79966
"34","Kinderhook",9949,9893,56,0.123882455484996,0.123185157514631,0.000697297970364836,80310
"35","King_Ferry",26233,24895,1338,0.325289850579701,0.308698617397235,0.0165912331824664,80645
"36","Kirkville",3558,3409,149,0.0438020903864383,0.041967770131357,0.00183432025508131,81229
"37","LeRoy",20749,16167,4582,0.256078295855651,0.199528546392516,0.0565497494631353,81026
"38","Lockport",19590,19588,2,0.240778751490272,0.24075416968818,2.45818020919114e-05,81361
"39","Lyndonville",12482,12452,30,0.153091386309838,0.152723437135884,0.000367949173954104,81533
"40","Medina",17512,17439,73,0.215042672069749,0.214146251611715,0.000896420458034015,81435
"41","Melrose",6149,6066,83,0.0760290317395551,0.0750027820022998,0.00102624973725534,80877
"42","New_Paltz",1550,626,924,0.0195044608589513,0.00787728548238936,0.0116271753765619,79469
"43","Newark_Valley",1820,1820,0,0.0227167767140557,0.0227167767140557,0,80117
"44","Olean",1676,1676,0,0.0209775330120784,0.0209775330120784,0,79895
"45","Oswego",262,245,17,0.00320705061509272,0.00299895954464778,0.000208091070444948,81695
"46","Owego",4538,4526,12,0.0567888874984357,0.0566387185583782,0.000150168940057565,79910
"47","Panama",2131,2131,0,0.0266845314867454,0.0266845314867454,0,79859
"48","Pavilion",30615,29902,713,0.378668876547638,0.369849967222848,0.00881890932479066,80849
"49","Penn_Yan",24822,24776,46,0.308030229701054,0.307459389697579,0.000570840003474678,80583
"50","Peru",9061,9030,31,0.10886176322176,0.108489319268568,0.000372443953192205,83234
"51","Pike",17173,17141,32,0.213217948399593,0.212820640162896,0.000397308236696382,80542
"52","Plattsburgh",6387,6380,7,0.0765350141398648,0.0764511335857739,8.38805540909745e-05,83452
"53","Plessis",1915,1915,0,0.0231193635233186,0.0231193635233186,0,82831
"54","Portville",867,867,0,0.0108582664345561,0.0108582664345561,0,79847
"55","Potter",11130,10341,789,0.137969505392339,0.128188917813314,0.00978058757902566,80670
"56","Preble",9169,9120,49,0.113514249634783,0.112907618788224,0.000606630846559536,80774
"57","Ransomville",17350,17348,2,0.213291699449253,0.213267112509835,2.45869394177813e-05,81344
"58","Rush",19575,19554,21,0.241586137954015,0.241326965085712,0.000259172868303158,81027
"59","Salem",7602,7534,68,0.0935181881927444,0.0926816666461637,0.000836521546580718,81289
"60","Savannah",19233,19199,34,0.237122426334607,0.236703242510171,0.000419183824435951,81110
"61","Schaghticoke",8617,8543,74,0.106479994068655,0.105565578429676,0.00091441563897882,80926
"62","Schoharie",8617,8543,74,0.106479994068655,0.105565578429676,0.00091441563897882,80926
"63","Seneca_Castle",21473,21316,157,0.265236295363028,0.263297018206971,0.00193927715605623,80958
"64","Seneca_Falls",21473,21316,157,0.265236295363028,0.263297018206971,0.00193927715605623,80958
"65","Sharon_Springs",5432,5431,1,0.0672876820929541,0.0672752948171638,1.23872757903082e-05,80728
"66","Sherwood",30727,27613,3114,0.380463584358981,0.341905846809143,0.0385577375498378,80762
"67","South_Colton",261,261,0,0.00313924537833319,0.00313924537833319,0,83141
"68","Spencer",1779,1779,0,0.0222039165761785,0.0222039165761785,0,80121
"69","Spencerport",3951,3795,156,0.0486055580843185,0.046686432024801,0.00191912605951751,81287
"70","Stone_Ridge",4508,2435,2073,0.0566274746256658,0.0305873781529495,0.0260400964727163,79608
"71","Ticonderoga",2505,2504,1,0.0304518544632329,0.0304396980343054,1.21564289274383e-05,82261
"72","Tivoli",2772,2499,273,0.0347163951056395,0.0312973561937205,0.00341903891191905,79847
"73","Unadilla",2177,2177,0,0.0271395624259802,0.0271395624259802,0,80215
"74","Waterport",17798,17410,388,0.21841252699784,0.213651089731003,0.00476143726683684,81488
"75","Williamson",7419,7395,24,0.0911828327024237,0.0908878619536896,0.000294970748734084,81364
