Site,USDA hardiness Zone,Lat,Lat-Decimal,Long,Long-Decimal,Year,Week,Date,ECB-E,ECB-Z,CEW,FAW,WBC
Accord,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2021,21,5/25/21,,,,,
Accord,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2021,22,6/1/21,,,,,
Accord,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2021,23,6/8/21,,,,,
Accord,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2021,24,6/15/21,,,,,
Accord,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2021,25,6/22/21,0,0,0,,
Accord,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2021,26,6/29/21,0,0,0,,
Accord,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2021,27,7/6/21,,,,,
Accord,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2021,28,7/13/21,2,0,0,0,0
Accord,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2021,29,7/20/21,31,0,0,0,0
Accord,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2021,30,7/27/21,35,3,0,0,0
Accord,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2021,31,8/3/21,6,0,0,0,0
Accord,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2021,32,8/10/21,2,0,0,0,0
Accord,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2021,33,8/17/21,0,0,0,1,0
Accord,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2021,34,8/24/21,0,0,1,0,0
Accord,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2021,35,8/31/21,0,0,4,4,0
Accord,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2021,36,9/7/21,0,0,0,32,0
Accord,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2021,37,9/14/21,,,,,
Accord,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2021,38,9/21/21,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2016,23,5/31/16,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2016,24,6/7/16,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2016,25,6/14/16,0,0,1,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2016,26,6/21/16,3,0,1,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2016,27,6/28/16,0,1,0,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2016,28,7/5/16,0,1,6,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2016,29,7/12/16,1,0,0,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2016,30,7/19/16,1,1,0,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2016,31,7/26/16,3,0,0,0,5
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2016,32,8/2/16,2,0,0,0,7
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2016,33,8/9/16,1,0,0,0,1
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2016,34,8/16/16,2,0,1,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2016,35,8/23/16,0,0,0,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2016,36,8/30/16,0,0,14,0,1
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2016,37,9/6/16,0,0,0,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2016,38,9/13/16,0,6,2,0,1
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2016,39,9/20/16,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2016,40,9/27/16,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2017,21,5/23/17,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2017,22,5/30/17,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2017,23,6/6/17,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2017,24,6/13/17,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2017,25,6/20/17,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2017,26,6/27/17,0,0,2,0,2
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2017,27,7/4/17,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2017,28,7/11/17,1,0,1,0,1
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2017,29,7/18/17,0,2,0,0,8
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2017,30,7/25/17,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2017,31,8/1/17,0,0,0,0,53
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2017,32,8/8/17,1,0,1,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2017,33,8/15/17,3,0,1,,20
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2017,34,8/22/17,0,0,0,0,5
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2017,35,8/29/17,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2017,36,9/5/17,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2017,37,9/12/17,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2017,38,9/19/17,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2017,39,9/26/17,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2018,22,5/29/18,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2018,23,6/5/18,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2018,24,6/12/18,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2018,25,6/19/18,0,0,0,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2018,26,6/26/18,1,0,0,,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2018,27,7/3/18,0,0,0,,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2018,28,7/10/18,0,3,6,,1
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2018,29,7/17/18,2,2,12,,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2018,30,7/24/18,1,0,3,,1
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2018,31,7/31/18,1,0,6,,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2018,32,8/7/18,3,1,1,,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2018,33,8/14/18,0,0,1,,1
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2018,34,8/21/18,0,2,5,,2
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2018,35,8/28/18,0,0,12,,4
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2018,36,9/4/18,0,0,14,,1
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2018,37,9/11/18,0,0,21,,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2018,38,9/18/18,0,0,12,,8
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2018,39,9/25/18,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2019,22,5/28/19,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2019,23,6/4/19,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2019,24,6/11/19,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2019,25,6/18/19,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2019,26,6/25/19,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2019,27,7/2/19,0,0,0,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2019,28,7/9/19,0,0,0,2,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2019,29,7/16/19,0,0,1,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2019,30,7/23/19,1,0,0,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2019,31,7/30/19,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2019,32,8/6/19,2,1,0,2,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2019,33,8/13/19,0,0,2,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2019,34,8/20/19,0,0,2,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2019,35,8/27/19,0,0,6,2,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2019,36,9/3/19,0,0,11,9,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2019,37,9/10/19,0,0,1,7,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2019,38,9/17/19,0,0,4,1,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2019,39,9/24/19,,,,,
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2022,22,5/31/22, , , , , 
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2022,23,6/7/22,0,0,0,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2022,24,6/14/22,0,0,0,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2022,25,6/21/22,0,0,0,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2022,26,6/28/22,0,0,2,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2022,27,7/5/22,0,0,4,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2022,28,7/12/22,0,0,1,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2022,29,7/19/22,0,0,3,1,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2022,30,7/26/22,0,0,11,2,1
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2022,31,8/2/22,0,0,4,4,3
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2022,32,8/9/22,1,0,6,8,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2022,33,8/16/22,0,0,27,34,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2022,34,8/23/22,0,0,69,0,1
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2022,35,8/30/22,0,0,118,0,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2022,36,9/6/22, , , , , 
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2022,37,9/13/22,0,0,26,6,0
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2022,38,9/20/22, , , , , 
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633,2022,39,9/27/22, , , , , 
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2007,22,5/29/07,,,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2007,23,6/5/07,,,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2007,24,6/12/07,,,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2007,25,6/19/07,4,1,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2007,26,6/26/07,0,0,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2007,27,7/3/07,7,0,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2007,28,7/10/07,0,5,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2007,29,7/17/07,1,5,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2007,30,7/24/07,0,21,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2007,31,7/31/07,,,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2007,32,8/7/07,,,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2007,33,8/14/07,7,4,2,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2007,34,8/21/07,,,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2007,35,8/28/07,,,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2007,36,9/4/07,,,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2007,37,9/11/07,,,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2007,38,9/18/07,0,0,32,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2007,39,9/25/07,,,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,21,5/20/08,,,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,22,5/27/08,0,0,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,23,6/3/08,1,0,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,24,6/10/08,8,4,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,25,6/17/08,5,4,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,26,6/24/08,2,3,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,27,7/1/08,35,6,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,28,7/8/08,0,0,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,29,7/15/08,1,1,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,30,7/22/08,2,3,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,31,7/29/08,3,5,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,32,8/5/08,0,3,4,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,33,8/12/08,5,6,5,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,34,8/19/08,1,2,0,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,35,8/26/08,2,2,1,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,36,9/2/08,1,1,0,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,37,9/9/08,,,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,38,9/16/08,,,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,39,9/23/08,,,,,
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649,2008,40,9/30/08,,,,,
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2021,21,5/25/21,,,,,
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2021,22,6/1/21,,,,,
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2021,23,6/8/21,,,,,
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2021,24,6/15/21,,,,,
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2021,25,6/22/21,,,,,
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2021,26,6/29/21,,,,,
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2021,27,7/6/21,,,,,
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2021,28,7/13/21,,,,,
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2021,29,7/20/21,,,4,0,0
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2021,30,7/27/21,,,0,2,4
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2021,31,8/3/21,,,1,0,4
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2021,32,8/10/21,,,0,0,1
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2021,33,8/17/21,,,3,0,0
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2021,34,8/24/21,,,8,9,0
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2021,35,8/31/21,   ,   ,10,25,0
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2021,36,9/7/21,,,3,0,0
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2021,37,9/14/21,,,2,0,1
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2021,38,9/21/21,,,2,4,1
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2022,22,5/31/22, , , , , 
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2022,23,6/7/22, , , , , 
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2022,24,6/14/22, , , , , 
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2022,25,6/21/22, , , , , 
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2022,26,6/28/22,0,0,0,0,0
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2022,27,7/5/22,0,0,1,0,0
