Site,USDA hardiness Zone,Lat,Lat-Decimal,Long,Long-Decimal
Accord,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633
Accord ,6a," 41°46'56.41""N",41.782336," 74°14'44.28""W",-74.245633
Adams Center,4b," 43°51'52.56""N",43.8646," 75°57'53.64""W",-75.9649
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765
Albion,6a,,,,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802
Athens,5b," 42°17'45.61""N",42.296003," 73°50'55.79""W",-73.848831
Attica,5b," 42°48'36.44""N",42.810122," 78°18'21.77""W",-78.306047
Avoca,5b," 42°24'10.02""N",42.402783," 77°24'43.85""W",-77.412181
Avon,6a," 42°55'35.06""N",42.926406," 77°42'16.36""W",-77.704544
Baldwinsville,5b," 43°10'0.12""N",43.1667," 76°25'0.12""W",-76.4167
Baldwinsvillie,5b," 43°10'0.12""N",43.1667," 76°25'0.12""W",-76.4167
Batavia,6a," 43° 0'53.28""N",43.0148," 78°15'37.80""W",-78.2605
Belfast,6a," 42°19'32.50""N",42.325694," 78° 7'26.62""W",-78.124061
Bellona,5b," 42°44'57.42""N",42.749283," 77° 5'15.95""W",-77.087764
Brockport,7a," 43°15'0.25""N",43.250069," 77°59'4.72""W",-77.984644
Byron,6a,,,,
Carlton,6b," 43°19'11.63""N",43.319897," 78°11'17.75""W",-78.188264
Clifton Park,5b,"42°50'52.39""N",42.847886,"73°45'6.60""W",-73.751833
Cohocton,5b,,,,
Collins,6a," 42°30'24.84""N",42.5069," 78°56'32.32""W",-78.942311
Dresden,6a,,,,
Eagle Bridge,5a," 42°57'2.82""N",42.950783," 73°22'43.85""W",-73.378847
Eden,6a," 42°40'52.68""N",42.6813,"78°52'51.96""W",-78.8811
Farmersville,5a,42° 26' 11.7708'' N,42.436603,78° 19' 29.3016'' W,-78.324806
Farmington,6a," 42°58'1.56""N",42.9671," 77°16'22.80""W",-77.273
Feura Bush,5b," 42°33'25.56""N",42.5571," 73°54'9.00""W",-73.9025
Flint,6a,42.8879° N,42.8879,77.1552° W,-77.1552
Florida ,6a," 41°19'23.60""N",41.323222," 74°23'39.52""W",-74.394311
Fort Plain,5b,42° 56' 14.28'' N,42.9373,74° 41' 26.88'' W,-74.6908
Geneva,6a," 42°47'1.74""N",42.783817," 76°58'59.60""W",-76.983222
Geneva 1,6a,,,,
Great Valley,5a,42° 12' 51.48'' N,42.2143,78° 38' 11.4'' W,-78.6365
Greenwich,5a," 43° 4'20.64""N",43.0724," 73°33'25.56""W",-73.5571
Groveland,6a," 42°37'56.21""N",42.632281," 77°45'43.28""W",-77.762022
Hall,6a," 42°48'13.76""N",42.803822," 77° 4'2.48""W",-77.067356
Hamlin,6b,43° 21' 0'' N,43.35,78° 2' 2.76'' W,-78.0341
Hannibal,6a,,,,
Hurley,6a,"41°54'48.14""N",41.913372," 74° 5'40.44""W",-74.094567
Interlaken,6a," 42°38'10.94""N",42.636372," 76°45'9.36""W",-76.7526
Kennedy,5b," 42° 8'42.36""N",42.1451," 79° 6'36.36""W",-79.1101
Kinderhook,5b," 42°24'52.20""N",42.4145," 73°42'10.44""W",-73.7029
King Ferry,6a," 42°40'18.84""N",42.6719," 76°32'28.32""W",-76.5412
Kirkville,5b," 43° 6'43.56""N",43.1121," 75°56'43.44""W",-75.9454
LeRoy,5b," 42°58'12.87""N",42.970242," 77°56'33.78""W",-77.942717
Lockport,6b,43° 12' 54.36'' N,43.2151,78° 50' 38.04'' W,-78.8439
Lyndonville,6b," 43°21'11.32""N",43.353144," 78°18'18.82""W",-78.305228
Medina,6A,43° 16' 22.3788'' N,43.272883,78° 21' 57.9672'' W,-78.366102
Melrose,5b," 42°51'19.72""N",42.855478," 73°38'59.09""W",-73.649747
Mexico,5b,,,,
New Paltz,6a," 41°44'44.67""N",41.745742," 74° 6'18.07""W",-74.105019
Newark Valley,5b,42.2613° N,42.2613,76.1768° W,-76.1768
Olean,5a,42.0883° N,42.0883,78.3635° W,-78.3635
Oswego,6a," 43°28'12.34""N",43.470094," 76°28'11.19""W",-76.469775
Owego,5b," 42° 5'51.17""N",42.097547," 76°16'47.83""W",-76.279953
Panama,5a," 42° 3'41.50""N",42.061528," 79°28'53.97""W",-79.481658
Pavilion,5b,42° 49' 49.3284'' N,42.830369,77° 58' 1.3116'' W,-77.967031
Penn Yan,6a," 42°37'35.76""N",42.6266," 77° 0'46.80""W",-77.013
PennYan,6a," 42°37'35.76""N",42.6266," 77° 0'46.80""W",-77.013
Peru,5a," 44°34'43.25""N",44.578681," 73°29'47.55""W",-73.496542
Pike,5b,42° 35' 35.8044'' N,42.593279,78° 6' 5.2668'' W,-78.101463
Plattsburgh,5a," 44°43'28.94""N",44.724706,"73°28'6.75""W",-73.468542
Plessis,4b," 44°17'12.84""N",44.2869," 75°51'38.16""W",-75.8606
Portville,5a," 42° 3'4.36""N",42.051211," 78°19'10.60""W",-78.319611
Potter,5b," 42°41'34.17""N",42.692825," 77°11'22.11""W",-77.189475
Preble,5b," 42°46'25.85""N",42.773847," 76° 7'18.06""W",-76.121683
Ransomville,6b," 43°12'14.40""N",43.204," 78°51'18.00""W",-78.855
Ripley,6a,,,,
Rush,6a," 42°57'59.01""N",42.966392," 77°41'4.17""W",-77.684492
Rushville,5b,,,,
Salem,5a," 43° 9'57.24""N",43.1659," 73°20'6.36""W",-73.3351
Savannah,5b," 43° 2'9.64""N",43.036011," 76°44'59.23""W",-76.749786
Schaghticoke,5b," 42°53'28.75""N",42.891319," 73°38'11.98""W",-73.636661
Schoharie,5b," 42°41'25.28""N",42.891319," 74°18'15.15""W",-73.636661
Seneca Castle,6a," 42°54'37.67""N",42.910464," 77° 5'31.37""W",-77.092047
Seneca Falls,6a," 42°54'37.67""N",42.910464," 77° 5'31.37""W",-77.092047
Sharon Springs,5a," 42°44'27.37""N",42.740936," 74°36'31.36""W",-74.608711
Sherwood,5b," 42°45'32.54""N",42.759039," 76°37'17.17""W",-76.621436
Sinclairville,5b,,,,
South Colton,4a," 44°30'33.04""N",44.509178," 74°53'30.70""W",-74.891861
Spencer,5a,42.2686° N,42.2686,76.5094° W,-76.5094
Spencerport,6a,43° 10' 0.12'' N,43.1667,77° 45' 0'' W,-77.75
Stone Ridge,6a," 41°51'28.39""N",41.857886," 74° 8'2.12""W",-74.133922
Ticonderoga,5a," 43°52'52.76""N",43.881322," 73°26'57.79""W",-73.449386
Tivoli,5b," 42° 2'57.70""N",42.049361," 73°52'15.43""W",-73.870953
Unadilla,5a," 42°20'8.88""N",42.3358," 75°17'5.94""W",-75.284983
Waterport,6b,43° 18' 42.84'' N,43.3119,78° 15' 2.52'' W,-78.2507
Williamson,6b," 43°13'22.08""N",43.2228," 77°13'54.48""W",-77.2318
