longitude,latitude,site,state_province,crop,pest,date,count
-79.574,42.066,Clymer_Chautauqua,NY,Field Corn,WBC,6/2/13,8
-78.95909,42.16437,Randolph_Cattaraugus,NY,Field Corn,WBC,6/22/14,0.0
-78.959,42.1644,Cattaraugus,NY,Field Corn,WBC,6/5/16,0.0
-78.959,42.1644,EastRandolph_Cattaraugus,NY,Field Corn,WBC,6/4/17,0.0
-78.9509,42.16226388,Randolph_Cattaraugus,NY,Field Corn,WBC,6/2/13,7
-78.866667,43.566667,Barker_Niagara,NY,Field Corn,WBC,6/5/16,0.0
-78.7159,42.4698,Springville_Cattaraugus,NY,Field Corn,WBC,6/14/20,0.0
-78.598241,43.171195,Millville_Niagra,NY,Field Corn,WBC,6/2/13,0
-78.528716,43.367482,Barker_Niagara,NY,Field Corn,WBC,6/14/20,0.0
-78.52047,43.3665,Atwater_Niagra,NY,Field Corn,WBC,6/2/13,3
-78.520186,43.366587,Niagara,NY,Field Corn,WBC,6/3/18,1.0
-78.520186,43.366587,Niagara,NY,Field Corn,WBC,6/4/17,0.0
-78.51966667,43.36638889,Barker_Niagara,NY,Field Corn,WBC,6/22/14,0.0
-78.290711,43.074037,Genesee,NY,Field Corn,WBC,6/13/21,8
-78.289827,43.073729,Oakfield,NY,Field Corn,WBC,6/19/22,35.0
-78.275019,43.218138,Orleans,NY,Field Corn,WBC,6/3/18,43.0
-78.255333,42.900867,Genesee_1,NY,Field Corn,WBC,6/10/12,0.0
-78.19153,43.09728,Genesee,NY,Field Corn,WBC,6/14/11,0.0
-78.155319,42.401626,Caneadea_Allegany,NY,Field Corn,WBC,6/22/14,0.0
-78.121817,42.769511,Cortland,NY,Field Corn,WBC,6/3/18,0.0
-78.1006,42.4744,Fillmore_Allegany,NY,Field Corn,WBC,6/2/13,0
-78.065783,43.016033,Genesee_2,NY,Field Corn,WBC,6/10/12,0.0
-78.04978,42.85934,Wyoming_Wyoming,NY,Field Corn,WBC,6/22/14,0.0
-78.04426,42.621895,Castile_Wyoming,NY,Field Corn,WBC,6/14/20,0.0
-78.043705,42.860609,Wyoming_Wyoming,NY,Field Corn,WBC,6/7/15,0.0
-78.04298,42.613286,Castile_Wyoming,NY,Field Corn,WBC,6/3/19,3
-78.0373,42.956067,Stafford_Genesee,NY,Field Corn,WBC,6/7/15,0.0
-78.03572222,43.35644444,Kendall_Orleans,NY,Field Corn,WBC,6/22/14,0.0
-78.0024,42.2024,Belmont_Allegany,NY,Field Corn,WBC,6/2/13,0
-78.002053,42.207542,Belmont_Allegany,NY,Field Corn,WBC,6/22/14,0.0
-77.99525,43.35166667,Hamlin_Monroe,NY,Field Corn,WBC,6/22/14,0.0
-77.974229,43.347769,Hamlin_Monroe,NY,Field Corn,WBC,6/14/20,0.0
-77.964667,43.306867,Monroe,NY,Field Corn,WBC,6/5/16,0.0
-77.964667,43.306867,Barker_Monroe ,NY,Field Corn,WBC,6/4/17,0.0
-77.9288565,43.3403417,Hamlin_Monroe,NY,Field Corn,WBC,6/3/18,0.0
-77.78649,42.968493,Caledonia_Livingston,NY,Field Corn,WBC,6/3/19,3
-77.73546667,42.93426667,Avon_Livingston_1,NY,Field Corn,WBC,6/7/15,12.0
-77.7224,42.9125,Avon_Livingston_2,NY,Field Corn,WBC,6/7/15,1.0
-77.684642,42.919385,Avon_Livingston,NY,Field Corn,WBC,6/14/20,0.0
-77.683615,42.919092,Avon_Livingston  ,NY,Field Corn,WBC,6/4/17,3.0
-77.5861666,42.52323333,Wayland_Steuben,NY,Field Corn,WBC,6/2/13,2
-77.5718598,42.920682,Lima_Livingston,NY,Field Corn,WBC,6/3/19,0
-77.520203,42.909304,Bloomsfield_Ontario,NY,Field Corn,WBC,6/3/19,94
-77.4264,42.4758,Avoca_Steuben,NY,Field Corn,WBC,6/14/20,0.0
-77.3517,42.31406,Wayland_Steuben,NY,Field Corn,WBC,6/14/11,0.0
-77.342791,42.887025,Ontario,NY,Field Corn,WBC,6/3/18,0.0
-77.3407,43.03126667,Farmington_Ontario,NY,Field Corn,WBC,6/22/14,0.0
-77.334117,43.1132,Wayne,NY,Field Corn,WBC,6/10/12,1.0
-77.31898333,43.10508333,Macedon_Wayne,NY,Field Corn,WBC,6/2/13,0
-77.289767,43.171933,Wayne,NY,Field Corn,WBC,6/3/18,1.0
-77.289767,43.171933,Wayne,NY,Field Corn,WBC,6/4/17,0.0
-77.265134,43.187578,Walworth_Wayne,NY,Field Corn,WBC,6/14/20,0.0
-77.19275,43.27952778,Willliamson_Wayne,NY,Field Corn,WBC,6/22/14,0.0
-77.152548,42.900068,Hopewell_Ontario,NY,Field Corn,WBC,6/4/17,0.0
-77.143983,42.823472,Ontario,NY,Field Corn,WBC,6/10/12,1.0
-77.117778,42.150278,Genesee,NY,Field Corn,WBC,6/5/16,0.0
-77.03965,42.824683,Geneva_Ontario_1,NY,Field Corn,WBC,6/7/15,0.0
-77.029553,42.877025,Geneva_Ontario,NY,Field Corn,WBC,6/10/12,0.0
-77.027176,42.874185,Geneva_Ontario,NY,Field Corn,WBC,6/22/14,0.0
-77.02611111,42.87111111,Geneva_Ontario_2,NY,Field Corn,WBC,6/7/15,0.0
-76.848924,42.521831,Burdett_Schuyler,NY,Field Corn,WBC,6/5/16,0.0
-76.848906,42.521925,Burdett_Schuyler,NY,Field Corn,WBC,6/7/15,0.0
-76.84338333,42.872,Waterloo_Seneca,NY,Field Corn,WBC,6/2/13,0
