site,latitude,longitude,state_province,crop,pest,6/22/14,6/29/14,7/6/14,7/13/14,7/20/14,7/27/14,8/3/14,8/10/14,8/17/14,8/24/14,8/31/14,9/7/14,9/14/14
Easton_Washington,43.002946,-73.572468,NY,Field Corn,WBC,0,0,0,0,0,7,17,7,4,6,0,1,0
Belmont_Allegany,42.207542,-78.002053,NY,Field Corn,WBC,0,0,1,2,9,38,8,NA,0,0,0,,
Caneadea_Allegany,42.401626,-78.155319,NY,Field Corn,WBC,0,0,0,1,0,10,0,NA,2,0,0,,
Brunswick_Rensselaer,42.76086667,-73.76086667,NY,Field Corn,WBC,NA,0,0,0,NA,0,4,NA,0,0,0,0,
Randolph_Cattaraugus,42.16437,-78.95909,NY,Field Corn,WBC,NA,NA,0,0,NA,0,104,27,NA,4,,,
Clymer_Chautauqua,42.066,-79.574,NY,Field Corn,WBC,NA,NA,0,0,NA,NA,27,11,8,2,,,
Moira_Franklin,44.78905,-74.56295,NY,Field Corn,WBC,0,0,0,0,4,85,222,81,49,1,0,0,
Malone_Franklin,44.82011667,-74.29936667,NY,Field Corn,WBC,0,0,0,0,2,73,27,164,78,6,8,0,
Bangor_Franklin,44.85965,-74.35521667,NY,Field Corn,WBC,0,0,0,3,7,4,251,165,72,3,5,0,
Homer_Cortland,42.70523333,-76.23398333,NY,Field Corn,WBC,NA,0,0,1,10,9,2,NA,1,1,NA,,
Valois_Schuyler,42.31332,-76.50931,NY,Field Corn,WBC,0,0,1,1,12,42,64,43,3,3,0,,
Varna_Tompkins,42.27666,-76.22367,NY,Field Corn,WBC,0,0,1,4,7,23,18,17,9,3,2,,
Clinton_Oneida,43.03205,-75.37586667,NY,Field Corn,WBC,0,0,0,0,0,4,2,0,0,0,0,,
Amenia_Dutchess,41.8681,-73.6056,NY,Field Corn,WBC,0,0,0,0,1,2,6,0,1,NA,NA,,
Martinsburg_Lewis,43.75568227,-75.47213674,NY,Field Corn,WBC,0,0,1,0,8,134,101,49,43,0,0,0,
Wyoming_Wyoming,42.85934,-78.04978,NY,Field Corn,WBC,NA,0,0,1,1,39,44,14,4,2,0,0,
Auburn_Cayuga,42.901598,-76.44506,NY,Field Corn,WBC,NA,NA,0,0,0,5,NA,2,NA,0,0,,
Geneva_Ontario,42.874185,-77.027176,NY,Field Corn,WBC,0,0,0,2,5,16,27,24,4,3,0,,
Valatie_Columbia,42.43346667,-73.61965,NY,Field Corn,WBC,NA,NA,0,1,0,3,8,4,3,0,0,0,
Amenia_Dutchess,41.86656667,-73.61965,NY,Field Corn,WBC,NA,NA,0,0,0,1,2,0,0,0,0,1,
Palatine Bridge_Montgomery,42.95972222,-74.57722222,NY,Field Corn,WBC,NA,NA,1,0,7,56,37,16,9,0,0,,
Morristown_StLawrence,44.52386667,-75.67633333,NY,Field Corn,WBC,NA,NA,0,2,2,32,83,60,53,2,NA,1,
Parishville_StLawrence,44.62918333,-74.93713333,NY,Field Corn,WBC,NA,NA,0,0,1,68,116,37,19,3,NA,1,
Lawrence_StLawrence,44.7709,-74.66178333,NY,Field Corn,WBC,NA,NA,0,1,18,152,344,372,127,4,NA,1,
Chazy_Clinton,44.8857085,-73.4701308,NY,Field Corn,WBC,0,NA,0,0,3,17,25,20,9,0,0,,
Willsboro_Essex,44.379331,-73.393975,NY,Field Corn,WBC,0,NA,0,1,17,45,32,14,12,2,1,,
Hounsfield_Jefferson,43.905729,-76.082154,NY,Field Corn,WBC,0,0,0,0,28,162,153,116,137,7,0,0,
Calcium_Jefferson,44.015028,-75.896957,NY,Field Corn,WBC,0,0,0,1,0,31,125,37,31,1,0,0,
Evans Mills_Jefferson,44.088495,-75.799783,NY,Field Corn,WBC,0,0,0,0,2,28,49,12,87,1,0,0,
Rutland_Jefferson,43.952931,-75.763051,NY,Field Corn,WBC,0,0,0,0,1,2,93,375,158,3,1,0,
Ellisburg_Jefferson,43.758003,-76.143042,NY,Field Corn,WBC,0,0,0,0,0,0,26,16,10,1,1,0,
Rodman_Jefferson,43.864971,-75.896957,NY,Field Corn,WBC,0,0,0,0,1,2,23,8,11,1,0,0,
Chaumont_Jefferson,43.9056,-76.0820166,NY,Field Corn,WBC,NA,0,0,2,10,59,41,30,23,0,0,0,
Plessis_Jefferson,44.28716667,-75.86013333,NY,Field Corn,WBC,NA,NA,NA,2,13,62,47,18,19,0,0,0,
Croghan_Lewis,43.89888889,-75.46833333,NY,Field Corn,WBC,0,0,0,0,7,248,133,72,25,0,0,0,
Turin_Lewis,43.66944444,-75.40416667,NY,Field Corn,WBC,0,0,0,0,14,79,83,76,25,2,1,0,
Turin_Lewis,43.62805556,-75.39361111,NY,Field Corn,WBC,0,0,0,1,2,57,35,42,8,0,0,0,
Denmark_Lewis,43.91416667,-75.58555556,NY,Field Corn,WBC,0,0,0,0,4,63,61,33,37,0,0,0,
Lowville_Lewis,43.76833333,-75.51361111,NY,Field Corn,WBC,NA,0,1,1,1,45,15,21,45,2,0,0,
Harrisburg_Lewis,43.85166667,-75.63805556,NY,Field Corn,WBC,0,0,1,1,15,28,68,141,24,5,0,0,
Farmington_Ontario,43.03126667,-77.3407,NY,Field Corn,WBC,NA,NA,NA,0,5,12,7,NA,2,0,0,0,
Lyons_Wayne,43.03126667,-77.3407,NY,Field Corn,WBC,NA,NA,NA,0,0,0,0,NA,0,0,0,0,
Alloway_Wayne,43.03126667,-77.3407,NY,Field Corn,WBC,NA,NA,NA,0,0,2,7,NA,5,1,1,1,
Walton _Delaware,42.158056,-75.116376,NY,Field Corn,WBC,0,0,0,0,2,8,9,4,2,0,0,,
Oneonta_Delaware,42.43941111,-74.95968056,NY,Field Corn,WBC,0,0,0,0,13,10,9,0,1,0,0,,
Tully_Onondaga,42.783445,-76.116724,NY,Field Corn,WBC,0,0,0,0,NA,0,0,0,0,0,0,0,
Aurora_Cayuga,42.790016,-76.120133,NY,Field Corn,WBC,0,0,0,0,NA,6,8,8,4,0,0,0,
Heuvelton_StLawrence,44.57728,-75.4402,NY,Field Corn,WBC,NA,NA,0,2,NA,70,61,2,2,0,NA,,
Waddington_StLawrence,44.78007,-75.1646,NY,Field Corn,WBC,NA,NA,0,0,0,29,20,4,4,0,0,,
Madrid_StLawrence,44.78007,-75.1646,NY,Field Corn,WBC,NA,NA,1,0,2,111,75,19,19,0,1,,
Riverhead_Suffolk,40.929696,-72.732562,NY,Field Corn,WBC,0,0,0,0,1,0,0,1,0,0,NA,,
Wayland_Steuben,42.52323333,-77.5861666,NY,Field Corn,WBC,NA,0,0,0,2,1,9,13,NA,NA,NA,,
Willliamson_Wayne,43.27952778,-77.19275,NY,Field Corn,WBC,NA,NA,0,2,2,23,29,14,4,0,NA,0,
Hamlin_Monroe,43.35166667,-77.99525,NY,Field Corn,WBC,NA,NA,0,6,19,80,105,20,61,2,NA,3,
Kendall_Orleans,43.35644444,-78.03572222,NY,Field Corn,WBC,NA,NA,0,1,6,36,44,18,21,0,1,,
Barker_Niagara,43.36638889,-78.51966667,NY,Field Corn,WBC,NA,NA,0,1,6,96,102,106,NA,10,0,2,
