site,latitude,longitude,state_province,crop,pest,6/7/15,6/14/15,6/21/15,6/28/15,7/5/15,7/12/15,7/19/15,7/26/15,8/2/15,8/9/15,8/16/15,8/23/15,8/30/15,9/6/15,9/13/15,Total,
Randolph_Cattaraugus_1,42.16437,-78.95909,NY,Field Corn,WBC,,NA,NA,4,0,3,36,93,202,165,23,1,0,0,,527,
Randolph_Cattaraugus_2,,,NY,Field Corn,WBC,,NA,NA,NA,1,3,22,120,252,NA,NA,NA,NA,NA,,527,
Aurora_Cayuga,42.732757,-76.654991,NY,Field Corn,WBC,,0,0,0,0,3,6,36,8,31,8,1,0,0,,398,
Chazy_Clinton,44.8857085,-73.4701308,NY,Field Corn,WBC,,NA,0,0,0,0,NA,1,4,9,6,0,0,1,,93,
Valatie_Columbia,42.43418333,-73.6197,NY,Field Corn,WBC,,0,1,0,0,0,0,14,4,2,7,0,3,3,0,21,
Homer_Cortland,42.70523333,-76.23398333,NY,Field Corn,WBC,,NA,NA,NA,NA,NA,NA,NA,12,NA,5,1,NA,NA,,34,
Davenport_Delaware,42.4400167,-74.9391417,NY,Field Corn,WBC,,NA,NA,0,6,NA,10,9,8,2,NA,1,0,0,,18,
Walton _Delaware,42.1596111,-75.1167889,NY,Field Corn,WBC,,NA,NA,0,0,NA,6,15,10,6,NA,0,0,0,,36,
Amenia_Dutchess,41.86576667,-73.6197,NY,Field Corn,WBC,,0,0,0,0,0,3,15,4,2,2,0,1,0,0,37,
Millbrook_Dutchess,41.84808611,-73.60565556,NY,Field Corn,WBC,,NA,0,0,1,0,9,0,2,1,1,0,0,0,0,27,
Willsboro_Essex,44.379331,-73.393975,NY,Field Corn,WBC,,NA,0,0,0,0,NA,30,28,16,11,1,0,0,,14,
Bangor_Franklin,44.85965,-74.35521667,NY,Field Corn,WBC,,NA,NA,0,1,1,4,114,244,92,38,3,NA,NA,,86,
Malone_Franklin,44.87464948,-74.32868909,NY,Field Corn,WBC,,NA,NA,0,4,0,0,0,743,634,66,16,NA,NA,,497,
Moira_Franklin,44.78905,-74.56295,NY,Field Corn,WBC,,NA,NA,0,1,0,2,92,249,275,23,2,NA,NA,,1463,
Stafford_Genesee,42.956067,-78.0373,NY,Field Corn,WBC,,NA,0,0,0,0,22,84,23,13,6,5,3,0,,644,
Calcium_Jefferson,44.011978,-75.867323,NY,Field Corn,WBC,,NA,NA,NA,NA,0,4,44,346,170,16,5,0,NA,NA,156,
Chaumont_Jefferson,44.091845,-76.04331,NY,Field Corn,WBC,,NA,NA,NA,NA,1,24,59,131,60,10,1,0,NA,NA,585,
Ellisburg_Jefferson,43.758003,-76.143042,NY,Field Corn,WBC,,NA,NA,NA,NA,2,70,207,254,168,103,5,3,0,NA,286,
Evans Mills_Jefferson,44.081463,-75.792648,NY,Field Corn,WBC,,NA,NA,NA,NA,4,32,132,273,175,23,3,0,NA,NA,812,
Hounsfield_Jefferson,43.905302,-76.08455,NY,Field Corn,WBC,,NA,NA,NA,NA,0,18,86,185,216,26,6,5,0,NA,642,
Plessis_Jefferson,44.284587,-75.85159,NY,Field Corn,WBC,,NA,NA,NA,NA,1,12,13,22,42,9,2,1,0,NA,542,
Rodman_Jefferson,43.863786,-75.895815,NY,Field Corn,WBC,,NA,NA,NA,NA,0,7,93,104,60,12,1,0,NA,NA,102,
Rutland_Jefferson,43.947219,-75.735509,NY,Field Corn,WBC,,NA,NA,NA,NA,0,1,76,953,594,53,11,0,NA,NA,277,
Croghan_Lewis,43.89888889,-75.46833333,NY,Field Corn,WBC,,NA,NA,NA,NA,1,87,393,540,108,15,3,0,NA,NA,1688,
Denmark_Lewis,43.91416667,-75.58555556,NY,Field Corn,WBC,,NA,NA,NA,NA,2,13,92,152,42,11,9,0,NA,NA,1147,
Harrisburg_Lewis_1,43.85166667,-75.63805556,NY,Field Corn,WBC,,NA,NA,NA,NA,NA,NA,217,337,254,43,5,3,0,NA,321,
Lowville_Lewis_2,43.785945,-75.51802,NY,Field Corn,WBC,,NA,NA,NA,NA,0,1,85,372,233,51,10,0,0,na,859,
Lowville_Lewis,43.785945,-75.51802,NY,Field Corn,WBC,,NA,NA,NA,NA,0,7,217,438,148,32,5,4,0,NA,752,
Martinsburg_Lewis,43.75731,-75.473568,NY,Field Corn,WBC,,NA,NA,0,0,0,13,340,438,107,14,5,1,2,0,851,
Turin_Lewis_1,43.690648,-75.402657,NY,Field Corn,WBC,,NA,NA,NA,NA,0,9,82,375,147,43,7,0,NA,NA,920,
Turin_Lewis_2,43.62805556,-75.39361111,NY,Field Corn,WBC,,NA,NA,NA,NA,1,4,149,659,380,41,7,1,1,0,663,
Avon_Livingston_1,42.93426667,-77.73546667,NY,Field Corn,WBC,,NA,NA,NA,NA,12,10,4,2,NA,NA,NA,NA,NA,,1243,
Avon_Livingston_2,42.9125,-77.7224,NY,Field Corn,WBC,,NA,NA,NA,NA,1,10,4,2,NA,NA,NA,NA,NA,,28,
Munnsville_Madison,42.99,-75.58,NY,Field Corn,WBC,,NA,NA,NA,0,0,0,3,15,14,1,1,0,0,,17,
PalatineBridge_Montgomery,42.95972222,-74.57722222,NY,Field Corn,WBC,,NA,1,1,0,2,32,80,85,NA,4,NA,NA,NA,,34,
Barker_Niagara,43.03126667,-77.3407,NY,Field Corn,WBC,,NA,NA,NA,0,5,37,43,114,80,15,3,NA,0,,205,
Clinton_Oneida,43.03205,-75.37586667,NY,Field Corn,WBC,0,0,0,0,0,7,13,13,13,13,13,0,0,NA,,297,
Tully_Onondaga,42.791013,-76.118262,NY,Field Corn,WBC,,0,0,0,0,0,7,23,24,8,0,0,1,0,,72,
Geneva_Ontario_1,42.824683,-77.03965,NY,Field Corn,WBC,,NA,NA,,0,2,4,30,15,52,21,1,0,0,,63,
Geneva_Ontario_2,42.87111111,-77.02611111,NY,Field Corn,WBC,,0,0,0,1,0,0,12,16,1,0,0,0,0,0,125,
Kendall_Orleans,43.03126667,-77.3407,NY,Field Corn,WBC,,NA,NA,NA,0,4,23,32,35,6,NA,NA,NA,0,,30,
Burdett_Schuyler,42.521925,-76.848906,NY,Field Corn,WBC,,NA,NA,0,1,5,35,57,81,80,17,1,0,NA,,100,
Lawrence_StLawrence,44.7709,-74.66178333,NY,Field Corn,WBC,,NA,NA,NA,0,1,31,141,425,223,24,5,1,NA,,277,
Lisbon_StLawrence,44.52386667,-75.67633333,NY,Field Corn,WBC,,NA,NA,NA,0,2,3,37,48,13,4,0,0,NA,,851,
Madrid_StLawrence,44.74386,-75.17269,NY,Field Corn,WBC,,NA,NA,NA,1,0,0,111,53,14,1,2,0,NA,,107,
Waddington_StLawrence,44.82301,-75.20148,NY,Field Corn,WBC,,NA,NA,NA,0,0,7,66,111,64,5,2,0,NA,,182,
DePeyster_StLawrence,44.55702,-75.43954,NY,Field Corn,WBC,,NA,NA,NA,2,1,15,41,NA,13,NA,0,NA,NA,,255,
Heuvelton_StLawrence,44.60296,-75.44099,NY,Field Corn,WBC,,NA,NA,NA,1,3,12,24,NA,19,NA,0,NA,NA,,72,
RennselaerFalls_StLawrence,44.56661,-75.35146,NY,Field Corn,WBC,,NA,NA,NA,0,2,2,16,NA,18,NA,0,NA,NA,,59,
Riverhead_Suffolk,40.929696,-72.732562,NY,Field Corn,WBC,,NA,0,0,0,0,NA,NA,0,2,0,0,0,0,,2,
Ithaca_Tompkins,42.4609,-76.372741,NY,Field Corn,WBC,,NA,0,0,1,4,29,60,47,36,5,0,0,NA,,2,
Easton_Washington,43.00228,-73.57269,NY,Field Corn,WBC,,NA,NA,0,3,NA,13,15,7,11,6,1,0,,,182,
Wyoming_Wyoming,42.860609,-78.043705,NY,Field Corn,WBC,,NA,NA,0,0,9,131,134,155,73,NA,NA,NA,NA,,56,
,,,,,,,,,,,,,,,,,,,,,19284,363.8490566
