longitude,,-74.939063,-75.116376,-76.478409,-75.17507,-75.38908,-76.120869,-76.65627,-78.19153,-77.3517,-76.03788,-75.57242,-76.1136,-76.55431,-76.49527,-76.50931,-76.22367,-75.430233,-75.020633,-75.53973913,-74.95641232,-74.94568348,-75.53873062,-74.44026947,-74.51618671,-74.7877121,-73.464847,-73.501292,-76.84157,-76.233867,
latitude,,42.439872,42.158056,42.913786,44.73907,43.89883,42.771977,42.73441,43.09728,42.31406,42.28838,42.19431,42.06481,42.07571,42.25421,42.31332,42.27666,43.029183,41.781519,42.71004956,42.61112752,43.01605412,42.2072864,42.95265337,42.66362993,42.84441211,44.738191,44.298782,42.87213,43.502344,
site,,Oneonta_Delaware,Walton_Delaware,Auburn_Cayuga,Potsdam_StLawrence,Croghan_Lewis,Cortland,Cayuga,Genesee,Wayland_Steuben,Marathon_Cortland,WhitneyPoint)Broome,Owego_Tioga,Elmira_Chemung,Burdett_Schuyler_1,Burdett_Schuyler_2,Ithaca_Tompkins,Oneida,Hortonville_Sullivan,Chenango,Otesgo_1,Herkimer,Chenango,Montgomery,Schoharie,Otsego_2,Clinton,Essex,SenecaFalls_Seneca,Chapman_Oswego,
6/14/11,,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
6/21/11,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
6/28/11,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
7/5/11,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
7/12/11,,1,1,0,0,0,0,2,0,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,,0,
7/19/11,,0,6,0,0,15,0,2,,,0,1,3,4,1,0,8,0,0,0,0,0,0,0,0,0,0,11,0,0,
7/26/11,,3,9,0,0,39,5,1,NA,NA,4,1,2,11,7,4,22,1,0,0,0,0,0,0,0,0,12,16,1,0,
8/2/11,,4,0,0,0,19,8,3,NA,NA,3,4,2,16,10,31,30,0,0,0,0,0,0,0,0,0,21,8,12,0,
8/9/11,,3,0,NA,0,0,8,3,NA,NA,2,3,1,4,11,17,10,NA,NA,0,0,0,0,0,0,0,8,1,8,NA,
8/16/11,,NA,NA,0,0,0,1,2,NA,NA,0,0,0,0,0,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,9,0,
8/23/11,,9,0,NA,0,NA,1,0,NA,NA,0,0,0,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,
8/30/11,,0,1,NA,0,,0,0,NA,NA,0,0,0,0,0,1,0,,,,,,,,,,10,0,,NA,
9/7/11,,1,0,,,,0,0,NA,NA,,,,,,,,,,,,,,,,,0,0,,NA,
9/13/11,,3,0,,,,0,0,NA,NA,,,,,,,,,,,,,,,,,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
