longitude,-77.029553,-76.116724,-76.650109,-74.379544,-74.83813,-75.539181,-75.183284,-75.529287,-75.47213674,-73.646636,-75.13551,-76.142967,-76.082017,,-76.52162075,-75.5294,-74.939063,-75.116376,-73.552222,,,,-78.255333,-78.065783,-77.143983,-77.334117
latitude,42.877025,42.783445,42.716934,42.588667,43.115258,42.710588,42.628591,42.209867,43.75568227,41.83427,44.7549,43.758133,43.9056,,49.948868,43.3069,42.439872,42.158056,43.290873,,,,42.900867,43.016033,42.823472,43.1132
,,,,,,,,,,,,,,,,,,,,,,,,,,
site,Geneva_Ontario,Tully_Onondaga,Aurora_Cayuga,Middleburg_Schoharie,LittleFalls_Herkimer,Sherburne_Chenango,Garrattsville_Otsego,Afton_Chenango,Martinsburg_Lewis,Millbrook_Dutchess,Madrid_StLawrence,Ellisburg_Jefferson,SackettsHarbor_Jefferson,Plessis_Jefferson,FranklinSt_Cayuga,Clinton_Oneida,Oneonta_Delaware,Walton_Delaware,Washington,Clinton,Essex,Franklin,Genesee_1,Genesee_2,Ontario,Wayne
state_province,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY
pest,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC
crop,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn
6/10/12,0,,,,,,,,0,,,,,,,0,,,,,,,,,,
6/17/12,0,0,0,,,,,,0,0,0,0,0,0,,0,0,0,0,0,,,,,,
6/24/12,0,0,1,,,,,,0,0,0,1,0,0,0,1,0,0,0,0,,,,0,,
7/1/12,1,0,5,0,0,0,1,0,3,0,1,0,0,1,0,2,7,10,1,0,,,0,0,1,1
7/8/12,9,5,6,1,0,1,0,0,1,9,47,11,41,1,4,2,12,10,,3,,,4,1,7,3
7/15/12,5,2,3,13,0,6,3,0,51,11,53,6,34,10,8,6,0,6,,,,29,4,6,5,9
7/22/12,10,2,0,4,41,10,5,11,158,9,123,68,74,11,30,4,0,8,4,,,28,3,22,9,
7/29/12,7,3,4,4,4,2,4,3,66,8,60,89,145,12,8,3,0,0,1,19,9,70,3,22,3,
8/5/12,12,4,8,0,2,0,0,0,34,2,14,14,34,4,6,2,0,0,,0,3,5,3,31,1,0
8/12/12,1,0,2,,,,,,9,,3,3,12,2,3,1,0,,1,2,1,2,,,,
8/19/12,0,0,0,,,,,,1,1,0,0,2,1,,0,0,,,0,0,6,0,9,0,0
8/26/12,1,0,0,,,,,,0,0,,0,2,0,,0,,,,,,,,,,
9/2/12,,,,,,,,,,,,,,,,,,,,,,,,,,
9/9/12,,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
