latitude,42.783445,42.790016,42.965,43.75568227,41.8681,42.9149,43.05616667,42.439411,42.158056,42.31332,42.27666,43.287187,44.886374,44.379331,42.872,43.10508333,42.43335,42.7901,42.2024,42.4744,44.87464948,44.83700535,44.577803,43.3665,43.171195,44.28716667,43.947157,43.75813333,43.9056,44.017818,44.08256,44.574532,44.245554,42.16226388,42.066,42.6246166,42.52323333,44.78007,,,
longitude,-76.116724,-76.120133,-74.5819,-75.47213674,-73.6056,-76.4811,-75.37586667,-74.95968,-75.116376,-76.50931,-76.22367,-73.558037,-73.472176,-73.393975,-76.84338333,-77.31898333,-73.56808333,-73.56808333,-78.0024,-78.1006,-74.32868909,-74.31511111,-75.110536,-78.52047,-78.598241,-75.86013333,-76.065028,-76.14296667,-76.0820166,-75.82783,-75.793798,-73.489182,-73.469312,-78.9509,-79.574,-76.245,-77.5861666,-75.1646,,,
site,Tully_Onondaga,Aurora_Cayuga,PalatineBridge_Montgomery,Martinsburg_Lewis,Amenia_Dutchess,Auburn_Cayuga,Clinton_Oneida,WestDavenport_Delaware,Walton_Delaware,Valois_Schuyler,Varna_Tompkins,HudsonFalls_Washington,Chazy_Clinton,Willsboro_Essex,Waterloo_Seneca,Macedon_Wayne,Valatie_Columbia,Brunswick_Rensselaer,Belmont_Allegany,Fillmore_Allegany,Malone_Franklin_1,Malone_Franklin_2,Canton_StLawrence,Atwater_Niagra,Millville_Niagra,Plessis_Jefferson,Hounsfield_Jefferson,Ellisburg_Jefferson,SackettsHarbor_Jefferson,Calcium_Jefferson,EvansMills_Jefferson,Peru_Clinton,Westport_Essex,Randolph_Cattaraugus,Clymer_Chautauqua,Homer_Cortland,Wayland_Steuben,Madrid_StLawrence,,,
state_province,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,,,
pest,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,,,
crop,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,,,
6/2/13,,,,,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/13,,,,0,0,,,,,0,,,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
6/16/13,0,0,,0,0,,0,,,0,0,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
6/23/13,0,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
6/30/13,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,,,0,,,,,,,,,
7/7/13,0,1,,1,0,0,0,2,0,0,?,0,0,0,2,0,1,0,1,0,28,1,0,3,0,,,,,,,2,,,,,2,,,,
7/14/13,1,2,4,3,1,0,0,4,1,4,8,,0,3,3,2,0,0,21,41,69,39,1,6,1,4,10,31,55,29,,2,1,7,8,,1,5,,,
7/21/13,2,12,12,62,1,0,2,9,4,19,28,1,10,11,6,4,1,0,5,18,113,51,14,51,2,21,24,107,336,158,38,26,5,6,50,8,7,35,,,
7/28/13,0,6,,124,2,,3,2,0,27,12,3,30,38,1,2,0,,5,2,71,237,18,119,0,79,39,80,298,296,53,62,20,13,,,,27,,,
8/4/13,0,3,,92,0,,,1,0,13,8,2,23,13,1,0,1,0,1,2,62,156,6,67,0,46,9,29,111,88,42,21,3,,,5,5,,,,
8/11/13,0,2,,20,0,,3,0,0,1,0,1,4,2,0,0,3,0,0,0,19,22,2,26,0,11,1,6,42,21,5,17,,,,,4,1,,,
8/18/13,0,0,,6,0,,1,0,0,0,,,0,0,0,0,1,0,0,0,5,8,0,3,0,3,,,11,,,6,,,,,,0,,,
8/25/13,0,0,,1,0,,0,0,0,,,,0,0,,,2,0,0,0,0,1,,0,0,1,0,0,0,0,0,,,,,0,,0,,,
9/1/13,0,0,,0,0,,,0,1,,,,0,0,,,0,,0,0,,,,,,,,,,,,,,,,0,,0,,,
9/8/13,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
9/15/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
