latitude,42.440017,42.159611,44.885946,44.379596,42.70564,44.771088,44.776868,44.836835,44.789473,41.855556,43.003133,42.466419,42.532437,44.020808 -,44.159941,43.898809,43.87701,43.758165,43.85461,43.907172,43.856265,43.785516,44.132027,44.147443,44.287208,43.627956,43.964184,43.76666,42.900068,42.919092,40.936041,43.16,42.985,42.989906,44.50932708,44.54205732,44.58380867,44.69718757,44.57714086,44.83335959,43.11697736,42.98173079,42.9596562,42.8417219,43.002916,42.732757,42.791013,43.306867,43.366587,43.171933,42.1644,42.43364
longitude,-74.939142,-75.116789,-73.471527,-73.393725,-76.23478,-74.661795,-74.498564,-74.314929,-74.563074,-73.60565,-73.57385,-76.457793,-76.705663,-75.830067,-76.220088,-75.460894,-75.538753,-76.14312,-75.637596,-76.089674,-75.423109,-75.518138,-75.847515,-75.683304,-75.860135,-75.393755,-75.760802,-75.48333,-77.152548,-77.683615,-72.682607,-75.26,-75.531,-75.58305,-74.89380486,-75.08889793,-75.62142891,-75.20071982,-75.44075388,-75.1081954,-74.83922038,-74.91406767,-74.56797072,-74.67720037,-76.536062,-76.654991,-76.118262,-77.964667,-78.520186,-77.289767,-78.959,-73.6056
site,Davenport_Delaware,Walton _Delaware,Chazy_Clinton,Willsboro_Essex,Scott_Cortland,NorthLawrence_StLawrence,DickinsonCenter_Franklin,Malone_Franklin,Brushton _Franklin,Amenia_Dutchess,Greenwich_Washington,Varna_Tompkins,Burdett_Schuyler,Calcium_Jefferson,Clayton_Jefferson,Croghan_Lewis,Denmark_Lewis,Ellisburg_Jefferson,Harrisburg_Lewis,Hounsfield_Jefferson,NewBremen_Lewis,Lowville_Lewis,Pamelia_Jefferson,Philadelphia_Jefferson,Plessis_Jefferson,Turin_Lewis,Rutland_Jefferson,Martinsburg_Lewis,Hopewell_Ontario,Avon_Livingston  ,Riverhead_Suffolk,Oneida,Munnsville_Oneida,Munnsville_Madison,Colton_StLawrence,Canton_StLawrence,Morristown_StLawrence,Madrid_StLawrence,Huevelton_StLawrence,Waddington_StLawrence,LittleFalls_Herkimer,Mohawk_Herkimer,FortPlain_Montgomery,Canajoharie_Montgomery,Auburn_Seneca,Cayuga,Onondaga,Barker_Monroe ,Niagara,Wayne,EastRandolph_Cattaraugus,Valatie_Columbia
state_province,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY
crop,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn
pest,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC
6/4/17,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/17,,,0,0,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0,0,0,0,,0,0,,,,,0
6/18/17,,,0,0,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0,0,0,0,,0,0,,,,,0
6/25/17,,,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0,0,3,2,1,1,1,,,,0,0
7/2/17,,,0,0,,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,,1,0
7/9/17,,,0,3,0,2,0,0,2,5,0,2,1,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,4,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,2,6,0,0,4,10
7/16/17,7,9,1,6,2,0,0,0,1,2,0,1,3,1,0,4,1,3,10,2,1,5,1,1,17,0,0,0,48,40,0,2,2,0,0,0,0,0,0,0,0,0,0,1,10,9,1,6,0,0,32,20
7/23/17,67,22,7,9,132,35,53,6,6,23,3,,16,4,31,68,1,119,39,96,47,10,23,9,47,22,0,30,233,163,0,4,34,9,1,0,0,1,1,0,3,4,3,2,7,23,20,192,68,146,114,31
7/30/17,65,42,24,30,132,113,4,19,53,11,3,8,16,62,204,767,483,282,319,233,192,191,173,104,149,308,80,282,145,114,1,7,36,71,45,79,11,42,15,3,23,7,7,12,6,55,53,188,180,126,36,70
8/6/17,49,28,66,44,104,352,437,255,245,3,4,0,1,177,183,695,1188,170,528,305,284,242,711,193,153,573,1449,533,239,157,0,11,194,54,40,316,101,258,68,29,121,1,14,8,3,51,70,386,347,68,8,18
8/13/17,12,19,32,38,34,342,305,921,252,0,2,0,0,178,130,238,572,28,462,127,32,332,556,97,113,187,742,279,17,50,0,4,24,4,12,159,41,48,26,95,34,0,2,2,0,41,11,77,375,12,8,9
8/20/17,0,0,33,15,0,77,118,659,65,0,0,0,0,36,14,132,92,16,394,59,13,60,73,24,29,38,179,31,0,0,0,3,23,0,26,257,8,5,5,11,,,,,0,20,1,53,79,2,0,0
8/27/17,0,0,5,6,0,5,9,4,4,0,0,0,0,8,2,9,26,9,63,1,6,19,4,4,9,6,14,4,0,2,0,0,2,0,0,8,2,2,2,6,,,,,0,6,0,4,31,0,0,0
9/3/17,0,0,1,0,,,,,,,0,,,4,0,1,1,2,2,1,0,2,0,0,1,1,0,1,,,,0,0,0,,,,,,,,,,,,,,,13,,,0
9/10/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/17/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
