address line 2,Peru,Beekmantown,Chazy,Champlain,Mooers,Ellenburgh,Walton ,Chazy,Willsboro,Walton,Homer,Preble,Memphis,Westmoreland,Hamlin,Amenia,Easton,Moreau,Glen,Middlebury,Palatine,Salisbury,Smithville,CherryValley,Calcium,Clayton,Croghan,Denmark,Ellisburg,Harrisburg,Hounsfield,NewBremen,Lowville,Pamelia,Philadelphia,Plessis,Turin,Rutland,Watertown,Martinsburg,Riverhead,Cassville,Munnsville,Taberg,SouthColton,Madrid,Huevelton,Waddington,Hammond,Massena,Edwards,Lawrence,Moira,Westville,Chateaugay,Malone,Bombay ,WestBangor,Auburn,,,,,,,,,,,Kinderkook,Gansevoort,Wilton,Ellisburg
county,Clinton,Clinton,Clinton,Clinton,Clinton,Clinton,Delaware,Clinton,Essex,Delaware,Cortland,Cortland,Onondaga,Oneida,Monroe,Dutchess,Washington,Saratoga,Montgomery,Montgomery,Montgomery,Herkimer,Madison,Otsego,Jefferson,Jefferson,Lewis,Lewis,Jefferson,Lewis,Jefferson,Lewis,Lewis,Jefferson,Jefferson,Jefferson,Lewis,Jefferson,Jefferson,Lewis,Suffolk,Oneida,Oneida,Oneida,StLawrence,StLawrence,StLawrence,StLawrence,StLawrence,StLawrence,StLawrence,StLawrence,Franklin,Franklin,Franklin,Franklin,Franklin,Franklin,Seneca,Cayuga,Cortland,Ontario,Orleans,Monroe ,Niagara,Wayne,Wyoming,Essex,Essex,Columbia,Saratoga,Saratoga,Jefferson
latitude,44.60653056,44.76640273,44.88205003,44.97509,44.939597,,42.440168,44.885946,44.379596,42.158023,42.70539,,43.0505591,43.1682848,43.3403417,41.847523,43.003133,43.27045,42.896962,42.64344,42.959951,43.113432,42.975723,42.842397,44.020808,44.13099,43.898809,43.87701,43.758165,43.85461,43.907172,43.856265,43.785516,44.132027,44.147443,44.28818,43.627956,43.964184,43.9426,42.896962,40.936063,,42.985,43.326983,44.50932708,44.69718757,44.57714086,44.83335959,44.529431,44.961665,44.34223369,44.74663646,44.789069,44.898525,44.928985,44.843661,44.934243,44.80492,43.002916,42.732757,42.769511,42.887025,43.218138,43.306867,43.366587,43.171933,,44.255007,44.323634,42.376038,43.15819,43.193367,43.7767
longitude,-73.54191408,-73.46342211,-73.42161368,73.428375,73.53743,,-74.93916,-73.471527,-73.393725,-75.116423,-76.23631,,-76.3644363,-75.4875926,-77.9288565,73.605681,-73.57385,-73.642067,-74.292919,-74.336027,-74.57148,-74.843357,-75.648984,-74.700244,-76.089674,76.31843,-75.460894,-75.538753,-76.14312,-75.637596,-76.089674,-75.423109,-75.518138,-75.847515,-75.683304,75.85926,-75.393755,-75.760802,75.87421,-74.292919,-72.682641,,75.531,-75.665033,-74.89380486,-75.20071982,-75.44075388,-75.1081954,-75.58601,-74.82932,-75.2440316,-74.65794379,-74.56286,-74.350267,-74.074872,-74.320377,-74.567352,74.417078,-76.536062,76.654991,-78.121817,-77.342791,-78.275019,-77.964667,-78.520186,-77.289767,,73.45367,-73.453987,-73.726077,73.612225,-73.664191,76.1714
site,Peru_Clinton,Beekmantown_Clinton,Chazy_Clinton,Champlain_Clinton,Mooers_Clinton,Ellenburgh_Clinton,Walton _Delaware,Chazy_Clinton,Willsboro_Essex,Walton_Delaware,Homer_Cortland,Preble_Cortland,Memphis_Onondaga,Westmoreland_Oneida,Hamlin_Monroe,Amenia_Dutchess,Easton_Washington,Moreau_Saratoga,Glen_Montgomery,Middlebury_Montgomery,Palatine_Montgomery,Salisbury_Herkimer,Smithville_Madison,CherryValley_Otsego,Calcium_Jefferson,Clayton_Jefferson,Croghan_Lewis,Denmark_Lewis,Ellisburg_Jefferson,Harrisburg_Lewis,Hounsfield_Jefferson,NewBremen_Lewis,Lowville_Lewis,Pamelia_Jefferson,Philadelphia_Jefferson,Plessis_Jefferson,Turin_Lewis,Rutland_Jefferson,Watertown_Jefferson,Martinsburg_Lewis,Riverhead_Suffolk,Cassville_Oneida,Munnsville_Oneida,Taberg_Oneida,SouthColton_StLawrence,Madrid_StLawrence,Huevelton_StLawrence,Waddington_StLawrence,Hammond_StLawrence,Massena_StLawrence,Edwards_StLawrence,Lawrence_StLawrence,Moira_Franklin,Westville_Franklin,Chateaugay_Franklin,Malone_Franklin,Bombay _Franklin,WestBangor_Franklin,Auburn_Seneca,Cayuga,Cortland,Ontario,Orleans,Monroe ,Niagara,Wayne,Wyoming,Essex_1,Essex_2,Kinderkook_Columbia,Gansevoort_Saratoga,Wilton_Saratoga,Ellisburg_Jefferson
state_province,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY
crop,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn
pest,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC
6/3/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/18,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,
6/17/18,,,,,,,0,0,0,,,,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0
6/24/18,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,1,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,,,,,,0,0,0,,,,,,,,,1,0,0,0
7/1/18,0,0,0,0,0,0,1,0,0,1,,,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,,,,,,,,,1,0,0,0,0,0,0,1,0,,,,,,,,,2,0,0,0
7/8/18,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,,,,,,,0,0,8,0,0,4
7/15/18,1,0,1,0,0,1,9,2,4,49,4,1,68,0,5,1,37,147,9,0,10,0,1,2,0,0,0,0,0,0,18,0,1,1,1,8,0,1,0,0,1,1,0,95,9,0,0,0,0,2,0,38,1,6,0,0,1,0,40,9,6,0,,20,1,1,3,0,12,4,0,0,0
7/22/18,70,5,3,3,17,8,76,9,17,17,50,50,86,86,100,12,64,171,2,5,58,,,5,25,13,193,48,342,10,214,138,43,36,41,40,167,21,8,48,0,41,41,164,62,82,46,66,11,14,14,362,298,80,19,3,136,103,70,22,30,21,43,80,42,4,25,82,75,24,87,22,221
7/29/18,404,408,514,180,178,,35,140,16,30,101,45,46,1,236,41,30,178,,,,28,,,229,38,288,636,59,401,429,205,341,146,103,55,431,203,65,587,0,59,179,204,70,176,132,64,267,22,206,1400,760,710,290,350,372,745,10,40,42,37,138,377,206,15,,150,52,18,75,29,569
