latitude,42.262477,44.986769,44.757891,44.538101,42.484817,42.157964,44.885946,44.379596,42.70516,42.57202,42.721667,43.154444,43.0505591,43.1682848,41.870465,41.859396,43.003133,42.89665,42.8454244,42.451818,43.0036374,44.020808,43.758165,43.85461,43.907172,43.785516,44.28818,43.627956,43.964184,43.87701,43.758056,41.94249,41.93826,43.310336,43.317726,43.311862,43.321012,43.338978,44.5154,44.47188,44.66345,44.697156,44.754733,44.837883,44.771269,44.7317,44.8743,44.9311,42.919385,42.621895,42.4758,42.4698,42.72145,42.762417,44.324978,44.323634,43.187578,43.347769,43.367482,43.193944,43.19391,40.954608,43.7767
longitude,-74.562085,-73.479556,-73.460476,-73.528665,-76.673759,-75.116419,-73.471527,-73.393725,-76.2373,-76.0906,-76.526944,-76.565556,-76.3644363,-75.4875926,-73.590846,-73.605015,-73.57385,-74.292306,-74.6777788,-75.581126,-75.5907028,-76.089674,-76.14312,-75.637596,-76.089674,-75.518138,-75.85926,-75.393755,-75.760802,-75.538753,-75.473056,-74.056699,-74.051481,-75.650841,-75.729189,-75.649856,-75.709569,-75.658581,-75.68826,-75.268822,-75.342483,-75.206527,-75.36235,-75.183983,-74.658474,-74.587567,-74.34165,-74.06405,-77.684642,-78.04426,-77.4264,-78.7159,-76.657467,-76.124967,-73.475802,-73.453987,-77.265134,-77.974229,-78.528716,-73.664501,-73.664401,-72.69211,76.1714
site,DavenportCenter_Delaware,Champlain_Clinton,Beekmantown_Clinton,Peru_Clinton,Trumansburg_Tompkins,Walton_Delaware,Chazy_Clinton,Willsboro_Essex,Homer_Cortland,Cortland_Cortland,Venice_Cayuga,Cato_Cayuga,Camillus_Onondaga,Westmoreland_Oneida,Amenia_Dutchess_1,Amenia_Dutchess_2,Eason_Washington,Amsterdam_Montgomery,Montgomery,Chenango,Madison,Calcium_Jefferson,Ellisburg_Jefferson,Harrisburg_Lewis,Hounsfield_Jefferson,Lowville_Lewis,Alexandria_Jefferson,Turin_Lewis,Rutland_Jefferson,Denmark_Lewis,Martinsburg_Lewis,Hurley_Ulster_1,Hurley_Ulster_2,Augusta_Oneida,Camden_Oneida,Taberg_Oneida_1,Taberg_Oneida_2,Taberg_Oneida_3,BrierHill_StLawrence,Dekalb_StLawrence,Lisbon_StLawrence,Madrid_StLawrence,Ogdensburg_StLawrence,Waddington_StLawrence,Lawrence_StLawrence,Dickinson_Franklin,Malone_Franklin,Chateaugay_Franklin,Avon_Livingston,Castile_Wyoming,Avoca_Steuben,Springville_Cattaraugus,Aurora_Cayuga,Preble_Cortland,Westport_Essex,Willsboro_Essex,Walworth_Wayne,Hamlin_Monroe,Barker_Niagara,Saratoga_1,Saratoga_2,Riverhead_Suffolk,Jefferson_Jefferson
state_province,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY
crop,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn
pest,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC
6/14/20,0,,,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,NA,NA,NA,1,0,0,0
6/21/20,0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0
6/28/20,0,,,,2,4,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,1
7/5/20,0,16,59,185,27,4,4,17,12,1,0,4,0,0,2,1,22,0,1,1,0,0,73,0,128,4,8,50,1,6,3,0,0,7,2,2,0,1,95,1,11,9,15,33,5,27,15,0,0,1,0,0,1,7,,16,1,3,5,17,118,0,69
7/12/20,8,97,235,275,39,9,79,21,38,1,14,9,18,6,11,3,5,0,0,7,0,19,297,156,405,213,101,336,58,382,354,0,0,0,0,13,7,9,106,125,175,425,110,650,90,650,460,27,56,29,0,3,11,105,108,116,22,46,67,80,118,1,573
7/19/20,48,207,264,124,16,11,149,30,12,1,2,10,21,21,32,0,6,0,0,13,0,745,390,1191,801,817,148,1185,1249,563,325,6,0,16,23,34,39,12,752,146,240,230,70,700,125,775,650,325,13,15,1,5,9,37,101,108,22,47,140,43,45,0,1071
7/26/20,27,105,70,54,10,6,49,22,0,0,10,30,6,4,32,2,5,0,0,1,1,195,229,247,554,293,40,540,164,185,135,0,0,38,23,37,51,37,266,60,225,125,35,325,70,200,325,210,10,26,10,14,7,8,106,50,17,66,107,10,7,0,473
8/2/20,4,10,3,10,1,4,5,3,0,0,2,22,,,9,0,0,0,0,1,0,57,20,59,72,25,25,85,22,21,71,1,0,39,8,2,6,4,83,11,35,45,10,28,15,35,110,85,,,5,4,1,0,5,7,7,32,26,1,0,1,66
8/9/20,0,6,3,3,0,0,,,0,0,,9,,,,,,0,0,0,0,6,2,5,25,12,5,19,5,8,16,1,0,4,2,0,0,0,15,5,11,8,3,8,2,4,23,9,,,0,1,0,0,0,1,2,19,,,,1,11
8/16/20,0,,,,0,0,,,,,,2,,,,,,0,0,0,0,1,0,0,6,3,2,1,0,0,5,,,0,0,0,0,0,3,,,,,,,,,,,,1,1,,,,,,,,,,0,4
8/23/20,0,,,,,,,,,,,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
8/30/20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
9/6/20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
