site,Clinton_1,Clinton_2,Clinton_3,Delaware,Clinton_4,Essex,Cortland_1,Cayuga_1,Onondaga,Cayuga_2,Cayuga_3,Dutchess,Washington_1,Washington_2,Schoharie,Montgomery,Chenango,Madison,Herkimer,Saratoga_1,Otsego,Jefferson_1,Jefferson_2,Jefferson_3,Lewis_1,Jefferson_4,Lewis_2,Jefferson_5,Lewis_3,Lewis_4,Ulster_1,Ulster_2,Oneida_1,Oneida_2,StLawrence_1,StLawrence_2,StLawrence_3,StLawrence_4,StLawrence_5,StLawrence_6,StLawrence_7,StLawrence_8,Franklin_1,Franklin_2,Franklin_3,Cayuga_4,Cortland_2,Sullivan_1,Sullivan_2,Wayne,Monroe,Niagara,Genesee,Saratoga_2,Saratoga_3,Jefferson_6,Suffolk
latitude,44.986769,44.757891,44.538101,42.192306,44.885946,44.382505,42.7000389,43.302662,42.858838,42.823362,42.942259,41.872003,43.003133,43.06532,42.698325,42.842314,42.451818,43.0036374,43.232983,42.962699,42.791207,44.020808,43.758165,43.947781,43.785516,44.28818,43.627956,43.964184,43.80348,43.755468,41.928911,41.929037,43.311862,43.292778,44.627959,44.47188,44.706533,44.743806,44.829122,44.923801,44.771269,44.609656,44.821989,44.874297,44.931096,42.728882,42.762655,41.706933,41.762583,43.187578,43.347769,43.367482,43.074037,43.193944,43.19391,43.776984,40.955318
longitude,-73.479556,-73.460476,-73.528665,-75.125761,-73.471527,-73.386336,-76.23143,-76.705666,-76.448958,-76.655755,-76.606527,-73.591067,-73.57385,-73.5532,-74.315069,-74.673202,-75.581126,-75.5907028,-75.037335,-74.028084,-74.763297,-76.089674,-76.14312,-76.020097,-75.518138,-75.85926,-75.393755,-75.760802,-75.48379,-75.472046,-74.071825,-74.071939,-75.649856,-75.614783,-75.496191,-75.268822,-75.148201,-75.352309,-75.185033,-74.731412,-74.658474,-74.95111,-74.468926,-74.341654,-74.064058,-76.660881,-76.126216,-75.0624,-74.85795,-77.265134,-77.974229,-78.528716,-78.290711,-73.664501,-73.664401,-76.171456,-72.690576
state_province,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY
crop,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn
pest,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC
6/13/21,,,,,0,0,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,-,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,NA
6/20/21,,,,0,0,0,0,0,0,0,NA,0,0,2,0,1,0,0,0,0,0,,,,,,,,,-,0,0,,,,,,,,,,,,,,1,0,0,0,,,,,,,,Set
6/27/21,,,,0,0,0,0,1,0,0,NA,0,0,5,0,0,0,0,0,0,0,,,,,,,,,1,0,0,,,0,,,,,,,,,,,0,0,0,0,,,,,,,0,0
7/4/21,1,0,5,0,2,1,0,0,2,0,NA,0,-,-,0,0,0,0,2,1,0,9,2,1,0,0,1,0,7,0,0,0,,,2,0,0,0,0,1,6,0,0,4,2,3,1,0,0,,,,,1,8,9,0
7/11/21,15,11,272,2,13,19,0,1,3,7,NA,2,8,65,0,0,0,0,7,14,0,80,255,56,12,46,24,4,52,0,2,0,,,22,17,24,33,6,96,16,27,0,7,0,67,19,5,6,24,0,13,8,1,37,102,0
7/18/21,100,317,503,29,228,124,2,32,59,20,30,29,5,57,3,24,12,1,66,90,0,448,526,216,593,161,110,339,409,182,6,0,,,219,187,775,840,275,1050,600,410,425,625,27,169,194,15,8,73,243,202,81,38,31,380,0
7/25/21,413,529,813,32,403,81,11,35,151,31,41,,5,12,29,100,1,0,38,107,0,584,298,210,1120,90,885,265,589,95,6,0,29,48,64,190,230,825,275,790,330,290,425,850,227,93,74,25,5,124,410,579,174,43,3,514,5
8/1/21,38,182,205,0,62,37,,34,84,52,38,,5,6,4,18,9,0,4,38,0,167,39,53,148,25,170,89,106,25,19,8,5,25,12,88,46,360,103,452,58,87,415,510,116,15,6,24,10,24,502,501,71,22,3,250,4
8/8/21,17,27,62,0,16,8,1,1,7,9,5,,2,,1,4,5,0,4,3,0,45,26,30,18,7,39,64,17,15,2,0,,,5,18,7,16,8,71,27,21,76,84,45,5,4,31,8,20,75,44,16,6,14,104,0
8/15/21,0,2,6,0,4,3,0,,,,,,,,0,0,0,0,2,0,0,10,2,4,5,3,5,10,6,2,0,0,,,,2,1,0,0,1,1,0,11,22,1,1,0,5,0,6,1,50,3,10,4,11,1
8/22/21,,,,0,,,0,,,,,,0,1,0,0,0,0,0,0,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,1,0,7,4,0,0,7,,0,0,4,
8/29/21,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,1,,
9/5/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
