site,Delaware,Dutchess_1,Jefferson_1,Lewis_1,Jefferson_2,Jefferson_3,Jefferson_4,Onondaga,Cayuga_1,Cayuga_2,Cayuga_3,Cayuga_4,Lewis_2,Oakfield,Ulster_1,Ulster_2,Oneida,StLawrence_1,StLawrence_2,StLawrence_3,StLawrence_4,Sullivan_1,Sullivan_2,Clinton_1,Clinton_2,Madison,Herkimer,Montgomery,Schoharie,Saratoga,Chenango,Otsego,Cayuga_5,Essex,Orange,Dutchess_2,Suffolk,Cortland
latitude,42.1923392,41.844179,43.75812555,43.80341088,44.28740548,44.01740984,43.967234,42.864,43.155,42.826,43.3,43.082,43.75725,43.073729,41.942201,41.940513,43.05201111,44.580114,44.734592,44.695504,44.770644,41.781279,41.757714,44.87726684,44.87491563,43.003637,43.232983,42.843249,42.669822,42.962699,42.354435,42.659963,42.732891,44.260395,41.75227,41.880046,,
longitude,-75.12581599,-73.60575000,-76.14336053,-75.48334216,-75.86003575,-75.71189003,-76.02239900,-76.44300000,-76.56500000,-76.65800000,-76.70400000,-76.61900000,-75.47372222,-78.28982700,-74.04521100,-74.04442500,-75.32876111,-75.44104800,-75.34436100,-75.14748200,-74.66389700,-75.02573500,-74.85129900,-73.93613672,-73.85679597,-75.59070300,-75.03733500,-74.66557500,-74.31231900,-74.02808400,-75.70954800,-74.94610100,-76.65283600,-73.36875200,-74.09673400,-73.60699700,,
state_province,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY
crop,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn,Field Corn
pest,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC
6/19/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
7/10/22,0,0,,,,,,0,1,1,5,1,0,,0,0,0,,,,,0,0,,,,,,,,,,0,,2,3,3,
7/17/22,0,0,,,,,,0,6,1,13,5,0,35,,,0,0,0,0,0,0,0,,,1,0,0,0,2,0,0,3,,2,0,3,
7/24/22,5,20,19,6,15,23,0,9,30,5,53,31,2,25,3,3,0,36,25,30,23,1,0,,,1,0,0,0,2,22,0,8,40,1,57,3,
7/31/22,,,74,109,26,204,27,50,26,11,66,12,54,97,2,3,0,117,225,252,410,4,3,15,23,6,2,1,6,,28,0,22,82,,65,0,84
8/7/22,59,52,125,278,68,519,39,81,36,22,54,10,121,40,3,4,22,90,225,243,975,4,1,50,120,17,7,10,10,41,32,2,30,,5,120,,32
8/14/22,4,16,235,243,22,263,90,27,27,5,36,1,66,2,0,0,14,,,,,5,3,65,130,3,1,8,0,32,15,0,5,138,20,41,0,5
8/21/22,,,99,31,20,95,102,8,2,8,2,3,47,,0,0,0,,,,,1,3,40,103,0,0,0,0,6,2,0,5,11,0,4,,
8/28/22,,,21,,1,40,38,,,,,,7,,0,0,,,,,,0,2,,,0,0,2,0,1,,0,,,,,0,
9/4/22,,5,0,2,3,13,7,,,,,,5,,0,0,,,,,,1,0,,,,,,,,,,,,,,0,
9/11/22,,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/22,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
