Site,Management,Location,Type,Trial,Start,End,Weather,Stage
AG,Conventional,A,R,1,197,190,Sunny,R-L
AG,Conventional,B,R,1,213,201,Sunny,R-L
AG,Conventional,C,R,1,216,210,Sunny,R-L
AG,Conventional,D,R,1,210,189,Sunny,R-L
AG,Conventional,E,R,1,191,180,Sunny,R-L
CURC,Conventional,A,R,1,171,169,Sunny,R-L
CURC,Conventional,B,R,1,174,147,Sunny,R-L
CURC,Conventional,C,R,1,170,95,Sunny,R-L
CURC,Conventional,D,R,1,235,232,Sunny,R-L
CURC,Conventional,E,R,1,196,189,Sunny,R-L
DUN,Conventional,A,R,1,143,120,Sunny,V-L
DUN,Conventional,B,R,1,126,88,Sunny,V-L
DUN,Conventional,C,R,1,175,137,Sunny,V-L
DUN,Conventional,D,R,1,100,100,Sunny,V-L
DUN,Conventional,E,R,1,157,150,Sunny,V-L
FISH,Conventional,A,R,1,233,221,Rainy,R-L
FISH,Conventional,B,R,1,185,179,Rainy,R-L
FISH,Conventional,C,R,1,182,180,Rainy,R-L
FISH,Conventional,D,R,1,217,197,Rainy,R-L
FISH,Conventional,E,R,1,239,218,Rainy,R-L
FREE,Conventional,A,R,1,157,151,Sunny,R-L
FREE,Conventional,B,R,1,138,138,Sunny,R-L
FREE,Conventional,C,R,1,162,121,Sunny,R-L
FREE,Conventional,D,R,1,163,69,Sunny,R-L
FREE,Conventional,E,R,1,161,135,Sunny,R-L
HAR,Organic,A,R,1,288,51,Sunny,V-E
HAR,Organic,B,R,1,248,119,Sunny,V-E
HAR,Organic,C,R,1,250,181,Sunny,V-E
HAR,Organic,D,R,1,224,218,Sunny,V-E
HAR,Organic,E,R,1,286,274,Sunny,V-E
HAT,Organic,A,R,1,142,121,Rainy,R-E
HAT,Organic,B,R,1,195,171,Rainy,R-E
HAT,Organic,C,R,1,228,220,Rainy,R-E
HAT,Organic,D,R,1,200,4,Rainy,R-E
HAT,Organic,E,R,1,215,202,Rainy,R-E
KIR,Organic,A,R,1,262,245,Sunny,R-E
KIR,Organic,B,R,1,250,250,Sunny,R-E
KIR,Organic,C,R,1,255,250,Sunny,R-E
KIR,Organic,D,R,1,305,299,Sunny,R-E
KIR,Organic,E,R,1,322,322,Sunny,R-E
MAN,Conventional,A,R,1,177,139,Sunny,R-L
MAN,Conventional,B,R,1,188,188,Sunny,R-L
MAN,Conventional,C,R,1,211,211,Sunny,R-L
MAN,Conventional,D,R,1,198,191,Sunny,R-L
MAN,Conventional,E,R,1,224,199,Sunny,R-L
MUS,Conventional,A,R,1,208,196,Rainy,R-E
MUS,Conventional,B,R,1,202,204,Rainy,R-E
MUS,Conventional,C,R,1,154,141,Rainy,R-E
MUS,Conventional,D,R,1,182,59,Rainy,R-E
MUS,Conventional,E,R,1,204,202,Rainy,R-E
OLES,Organic,A,R,1,235,199,Sunny,V-E
OLES,Organic,B,R,1,223,124,Sunny,V-E
OLES,Organic,C,R,1,252,131,Sunny,V-E
OLES,Organic,D,R,1,269,261,Sunny,V-E
OLES,Organic,E,R,1,249,184,Sunny,V-E
REM,Organic,A,R,1,186,161,Sunny,R-E
REM,Organic,B,R,1,148,110,Sunny,R-E
REM,Organic,C,R,1,142,142,Sunny,R-E
REM,Organic,D,R,1,165,165,Sunny,R-E
REM,Organic,E,R,1,163,155,Sunny,R-E
RUSH,Conventional,A,R,1,308,288,Sunny,V-L
RUSH,Conventional,B,R,1,300,275,Sunny,V-L
RUSH,Conventional,C,R,1,252,166,Sunny,V-L
RUSH,Conventional,D,R,1,279,126,Sunny,V-L
RUSH,Conventional,E,R,1,314,309,Sunny,V-L
SEN,Conventional,A,R,1,202,116,Rainy,V-E
SEN,Conventional,B,R,1,179,31,Rainy,V-E
SEN,Conventional,C,R,1,203,69,Rainy,V-E
SEN,Conventional,D,R,1,198,102,Rainy,V-E
SEN,Conventional,E,R,1,214,191,Rainy,V-E
SS,Organic,A,R,1,134,109,Sunny,V-E
SS,Organic,B,R,1,161,161,Sunny,V-E
SS,Organic,C,R,1,163,148,Sunny,V-E
SS,Organic,D,R,1,140,138,Sunny,V-E
SS,Organic,E,R,1,188,0,Sunny,V-E
THOR,Organic,A,R,1,307,136,Sunny,R-L
THOR,Organic,B,R,1,227,143,Sunny,R-L
THOR,Organic,C,R,1,267,139,Sunny,R-L
THOR,Organic,D,R,1,297,194,Sunny,R-L
THOR,Organic,E,R,1,268,229,Sunny,R-L
WH,Organic,A,R,1,154,126,Sunny,R-E
WH,Organic,B,R,1,155,155,Sunny,R-E
WH,Organic,C,R,1,241,225,Sunny,R-E
WH,Organic,D,R,1,252,224,Sunny,R-E
WH,Organic,E,R,1,220,220,Sunny,R-E
