Year,What is the Trap Name?,Which pest are you recording for?,Crop,Other Crop,State or Province,Date trap was checked?,How many moths were in the trap this week?,Latitude,Longitude,,,,,,,
2019,Popcorn  1,Western Bean Cutworm (WBC),Field Corn,,ON,6/11/19,0,43.520,-81.138,,,,,,,
2019,Beaton Farm ,Western Bean Cutworm (WBC),Field Corn,,NS,6/13/19,0,46.059,-61.414,,,,,,,
2019,Overmars,Western Bean Cutworm (WBC),Field Corn,,NS,6/14/19,0,45.542,-61.911,,,,,,,
2019,Winchester,Western Bean Cutworm (WBC),Field Corn,,ON,6/17/19,0,45.054,-75.337,,,,,,,
2019,Winchester,Western Bean Cutworm (WBC),Field Corn,,ON,6/17/19,0,45.054,-75.337,,,,,,,
2019,Alexandria,Western Bean Cutworm (WBC),Field Corn,,ON,6/18/19,0,45.191,-74.527,,,,,,,
2019,Morrisburg,Western Bean Cutworm (WBC),Field Corn,,ON,6/18/19,0,44.922,-75.206,,,,,,,
2019,MSUCrops WBC,Western Bean Cutworm (WBC),Field Corn,,MI,6/18/19,0,42.708,-84.467,,,,,,,
2019,MSUCrops WBC,Western Bean Cutworm (WBC),Field Corn,,MI,6/18/19,0,42.708,-84.467,,,,,,,
2019,MSUEnt WBC,Western Bean Cutworm (WBC),Field Corn,,MI,6/18/19,0,42.690,-84.495,,,,,,,
2019,MSUEnt WBC,Western Bean Cutworm (WBC),Field Corn,,MI,6/18/19,0,42.690,-84.495,,,,,,,
2019,WBC - RT - HCREEK,Western Bean Cutworm (WBC),Field Corn,,ON,6/18/19,0,42.708,-81.892,,,,,,,
2019,WBC - RT - PHILN,Western Bean Cutworm (WBC),Field Corn,,ON,6/18/19,0,42.599,-81.945,,,,,,,
2019,WBC - RT - RT,Western Bean Cutworm (WBC),Field Corn,,ON,6/18/19,0,42.450,-81.890,,,,,,,
2019,WBC - RT - SLOANS,Western Bean Cutworm (WBC),Field Corn,,ON,6/18/19,0,42.640,-81.870,,,,,,,
2019,Alexandria,Western Bean Cutworm (WBC),Field Corn,,ON,6/18/19,0,45.191,-74.527,,,,,,,
2019,Morrisburg,Western Bean Cutworm (WBC),Field Corn,,ON,6/18/19,0,44.922,-75.206,,,,,,,
2019,Beaton Farm ,Western Bean Cutworm (WBC),Field Corn,,NS,6/20/19,0,46.059,-61.414,,,,,,,
2019,Verschurens,Western Bean Cutworm (WBC),Field Corn,,NS,6/20/19,0,46.194,-60.274,,,,,,,
2019,Overmars,Western Bean Cutworm (WBC),Field Corn,,NS,6/21/19,0,45.543,-61.910,,,,,,,
2019,Swinkles,Western Bean Cutworm (WBC),Field Corn,,NS,6/21/19,0,45.598,-61.754,,,,,,,
2019,Alexandria,Western Bean Cutworm (WBC),Field Corn,,ON,6/24/19,0,45.191,-74.527,,,,,,,
2019,Augusta,Western Bean Cutworm (WBC),Field Corn,,ON,6/24/19,0,44.722,-75.610,,,,,,,
2019,Home Plot,Western Bean Cutworm (WBC),Field Corn,,ON,6/24/19,0,42.593,-80.497,,,,,,,
2019,Jamieson Plot,Western Bean Cutworm (WBC),Field Corn,,ON,6/24/19,0,42.715,-80.556,,,,,,,
2019,Lambs,Western Bean Cutworm (WBC),Field Corn,,NS,6/24/19,0,45.070,-64.732,,,,,,,
2019,Merivale,Western Bean Cutworm (WBC),Field Corn,,ON,6/24/19,0,45.312,-75.711,,,,,,,
2019,Morrisburg,Western Bean Cutworm (WBC),Field Corn,,ON,6/24/19,0,44.922,-75.206,,,,,,,
2019,MSUCrops WBC,Western Bean Cutworm (WBC),Field Corn,,MI,6/24/19,0,42.708,-84.467,,,,,,,
2019,MSUCrops WBC,Western Bean Cutworm (WBC),Field Corn,,MI,6/24/19,0,42.708,-84.467,,,,,,,
2019,MSUEnt WBC,Western Bean Cutworm (WBC),Field Corn,,MI,6/24/19,0,42.690,-84.495,,,,,,,
2019,MSUEnt WBC,Western Bean Cutworm (WBC),Field Corn,,MI,6/24/19,0,42.690,-84.495,,,,,,,
2019,Richmond,Western Bean Cutworm (WBC),Field Corn,,ON,6/24/19,0,45.203,-75.792,,,,,,,
2019,WBC - RT - HCREEK,Western Bean Cutworm (WBC),Field Corn,,ON,6/24/19,0,42.708,-81.892,,,,,,,
2019,WBC - RT - PHILN,Western Bean Cutworm (WBC),Field Corn,,ON,6/24/19,0,42.599,-81.945,,,,,,,
2019,Winchester,Western Bean Cutworm (WBC),Field Corn,,ON,6/24/19,0,45.054,-75.337,,,,,,,
2019,Alexandria,Western Bean Cutworm (WBC),Field Corn,,ON,6/24/19,0,45.191,-74.527,,,,,,,
2019,Augusta,Western Bean Cutworm (WBC),Field Corn,,ON,6/24/19,0,44.722,-75.610,,,,,,,
2019,Merivale,Western Bean Cutworm (WBC),Field Corn,,ON,6/24/19,0,45.312,-75.711,,,,,,,
2019,Morrisburg,Western Bean Cutworm (WBC),Field Corn,,ON,6/24/19,0,44.922,-75.206,,,,,,,
2019,Richmond,Western Bean Cutworm (WBC),Field Corn,,ON,6/24/19,0,45.203,-75.792,,,,,,,
2019,Winchester,Western Bean Cutworm (WBC),Field Corn,,ON,6/24/19,0,45.054,-75.337,,,,,,,
2019,Bishops ,Western Bean Cutworm (WBC),Field Corn,,NS,6/25/19,0,44.767,-65.435,,,,,,,
2019,Clarence Road,Western Bean Cutworm (WBC),Field Corn,,NS,6/25/19,0,44.911,-65.198,,,,,,,
2019,Noel trap,Western Bean Cutworm (WBC),Field Corn,,NS,6/25/19,0,45.312,-63.643,,,,,,,
2019,Badertscher1,Western Bean Cutworm (WBC),Field Corn,,OH,6/26/19,0,40.705,-83.677,,,,,,,
2019,Badertscher2,Western Bean Cutworm (WBC),Field Corn,,OH,6/26/19,0,40.674,-83.659,,,,,,,
2019,Badertscher3,Western Bean Cutworm (WBC),Field Corn,,OH,6/26/19,0,40.727,-83.789,,,,,,,
2019,Badertscher3,Western Bean Cutworm (WBC),Field Corn,,OH,6/26/19,0,40.727,-83.789,,,,,,,
2019,Badertscher4,Western Bean Cutworm (WBC),Field Corn,,OH,6/26/19,0,40.761,-83.556,,,,,,,
2019,Badertscher5,Western Bean Cutworm (WBC),Field Corn,,OH,6/26/19,0,40.635,-83.689,,,,,,,
2019,Badertscher6,Western Bean Cutworm (WBC),Field Corn,,OH,6/26/19,0,40.633,-83.575,,,,,,,
2019,Badertscher6,Western Bean Cutworm (WBC),Field Corn,,OH,6/26/19,0,40.633,-83.575,,,,,,,
2019,Beers1,Western Bean Cutworm (WBC),Field Corn,,OH,6/26/19,0,41.328,-80.776,,,,,,,
2019,Beers2,Western Bean Cutworm (WBC),Field Corn,,OH,6/26/19,0,41.334,-80.777,,,,,,,
2019,Beers3,Western Bean Cutworm (WBC),Field Corn,,OH,6/26/19,0,41.323,-80.788,,,,,,,
2019,Beers4,Western Bean Cutworm (WBC),Field Corn,,OH,6/26/19,0,41.328,-80.801,,,,,,,
2019,Bennett1,Western Bean Cutworm (WBC),Field Corn,,OH,6/26/19,0,40.082,-84.186,,,,,,,
2019,Bennett2,Western Bean Cutworm (WBC),Field Corn,,OH,6/26/19,0,40.074,-84.198,,,,,,,
2019,Clevenger1,Western Bean Cutworm (WBC),Field Corn,,OH,6/26/19,0,41.349,-84.480,,,,,,,
2019,Clevenger2,Western Bean Cutworm (WBC),Field Corn,,OH,6/26/19,0,41.363,-84.488,,,,,,,
2019,Clevenger3,Western Bean Cutworm (WBC),Field Corn,,OH,6/26/19,0,41.353,-84.448,,,,,,,
