Participant ID,B4_Drip,B4_Overhead,B4_Hand,B4_Flood,B4_None,B4_Other,B6_Brassica,B6_Cucurbita,B6_Solanaceous,B6_Sweet,B6_Legume,B6_Lamiaceous,B6_Allium,B6_Umbel,B6_Chenopod,B6_Aster,B6_Rosaceae,B6_Ericaceae,B6_Other,B8_Legumes,B8_Brassicas,B8_Buckwheat,B8_Cool,B8_Warm,B8_Phacelia,B8_None,B8_Other,B9_Chickens,B9_Ducks,B9_Cattle,B9_Goats,B9_Sheep,B9_Hogs,B9_None,B9_Other,B10_Alfalfa,B10_Bat,B10_Feather,B10_FishM,B10_Bone,B10_Blood,B10_Cotton,B10_FishE,B10_Soybean,B10_Rock,B10_Kelp,B10_Greensand,B10_Langbeinite,B10_Potassium,B10_Compost,B10_None,B10_Other,B11_Notill,B11_Zone,B11_Ridge,B11_Inrow,B11_Shallow,B11_Permanent,B11_None,B11_Other,B12_Hay,B12_Straw,B12_Plastic,B12_Fabric,B12_Bio,B12_None,B12_Other,B13_Tarping,B13_Solarization,B13_None,B13_Other,B14_Beauveria,B14_Isaria,B14_Chromo,B14_None,B14_Other,B15_Azadiractin,B15_Potassium,B15_Iron,B15_Spinosad,B15_Hydrogen,B15_Reynoutria,B15_None,B15_Other,E4_Drip,E4_Overhead,E4_Hand,E4_Flood,E4_None,E4_Other,E6_Brassica,E6_Cucurbita,E6_Solanaceous,E6_Sweet,E6_Legume,E6_Lamiaceous,E6_Allium,E6_Umbel,E6_Chenopod,E6_Aster,E6_Rosaceae,E6_Ericaceae,E6_Other,E8_Legumes,E8_Brassicas,E8_Buckwheat,E8_Cool,E8_Warm,E8_Phacelia,E8_None,E8_Other,E9_Chickens,E9_Ducks,E9_Cattle,E9_Goats,E9_Sheep,E9_Hogs,E9_None,E9_Other,E10_Alfalfa,E10_Bat,E10_Feather,E10_FishM,E10_Bone,E10_Blood,E10_Cotton,E10_FishE,E10_Soybean,E10_Rock,E10_Kelp,E10_Greensand,E10_Langbeinite,E10_Potassium,E10_Compost,E10_None,E10_Other,E11_Notill,E11_Zone,E11_Ridge,E11_Inrow,E11_Shallow,E11_Permanent,E11_None,E11_Other,E12_Hay,E12_Straw,E12_Plastic,E12_Fabric,E12_Bio,E12_None,E12_Other,E13_Tarping,E13_Solarization,E13_None,E13_Other,E14_Beauveria,E14_Isaria,E14_Chromo,E14_None,E14_Other,E15_Azadiractin,E15_Potassium,E15_Iron,E15_Spinosad,E15_Hydrogen,E15_Reynoutria,E15_None,E15_Other
135,Drip,,,,,,Brassica,,Solanaceous,,Legume,Lamiaceous,,Umbel,Chenopod,Aster,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,Soybean meal,,,,,Potassium sulfate,,,Calcium carbonate; 90% sulfur; chilean nitrate; 10% borax; Zinc sulfate,,,,,,,None,,,,Plastic mulch,Weed barrier fabrics,,,,,,None,,,,,None,,,,,,,,None,,,,,,None,,Brassica,,,,,,,,,,,,,,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,Rock phosphate,,,,Potassium sulfate,,,"90% sulfur, dolomite, 10% borax, copper sulfate, chicken pellets 5-4-3",,,,,,,None,,,,,,,None,,,,None,,,,,None,,,,,,,,None,
156,,,Hand watered,,,,Brassica,Cucurbit,Solanaceous,Sweet corn,Legume,,Allium,,,,,,,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,,,,,,Shallow tillage,Permanent beds,,,Hay,,,,,,Wood chips,,,,Shallow till,,,,None,,,,,,,,None,,,,,,None,,,,,,,,,,,,,,New field cover cropped with field peas and oats,,,,,,,,"Field Peas, Oats",,,,,,,None,,,,,,,,,,,,,,,,,,None,,,,,,,,Plow and disw was in sod,,,,,,None,,,,None,,,,,None,,,,,,,,None,
20,,Overhead,,,,,Brassica,,,,Legume,,Allium,,,,,,Rye cover crop,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,,,,,Feather meal,,,,,,,,,,,,Compost,,As Kreher 8-2-2,,,,,,,None,,,,,,,None,,,,None,,,,,,,,,,,,,None,,,Overhead,,,,,,,"Solanaceous crops (e.g., tomato, potato, pepper)",,,,,,,,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,Feather meal,,,,,Fish emulsion,,,,,,,Compost,,,,,"Ridge-till (cultivator maintains permanent ridge for planting, wheel traffic in same lanes)",,,,,,,,,,,None,,,,None,,,,,None,,,,,"Spinosad (e.g., Bug-N-Sluggo, Seduce)",,,,
12,,,Hand watered,,,,Brassica,Cucurbit,Solanaceous,,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,,,,Legumes,,Buckwheat,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,,Compost,,,No-till (soil is undisturbed by any tillage equipment between plantings),,,,,,,,,,,,,,Wood chips,,,None,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Drip,,,,,,Brassica,Cucurbit,Solanaceous,Sweet corn,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,Rosaceae,Ericaceae,,Legumes,Brassicas,,,"Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,,Compost,,,,,,In-row subsoiling,Shallow tillage,Permanent beds,,,,,,,,None,,Tarping,,,,,,,None,,,,,,,,None,,Drip,,,,,,Brassica,Cucurbit,Solanaceous,Sweet corn,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,Rosaceae,Ericaceae,,Legumes,Brassicas,,,"Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,,Compost,,,,,,In-row subsoiling,Shallow tillage,Permanent beds,,,,,,,,None,,Tarping,,,,,,,None,,,,,,,,None,
263,,,,,None,,,,,,,,Allium,,,,,,,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,Barnyard manure,,,,,,,None,Mulch tilled,,,,,,None,,,,None,,,,,None,,,,,,,,None,,,,,,None,,Brassica,,,,,,,,,,,,,,,,,,,,"Oats, Clover",,,,,,,None,,,,,,,,,,,,,,,,Compost,,Barnyard manure,,,,,,,None,,,,,,,None,,,,None,,,,,None,,,,,,,,None,
220,,,Hand watered,,,,Brassica,,,,,Lamiaceous,,,,Aster,,,,,,,,,,None,,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,,Compost,,,,,,,,,,1x tilled with 3p hitched tiller,,,,,Biodegradable planting paper,,,,,,,,,,,Heterorhabditis bacteriophora,,,,"Spinosad (e.g., Bug-N-Sluggo, Seduce)",,,,,,,,,None,,,,,,,,,,,,,,This field has been in cover crop - clover/purple vetch rye,Legumes,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,,,Zone tillage,,,,,,,,,,,,None,,,,None,,,,,None,,,,,,,,None,
113,,Overhead,,,,,Brassica,Cucurbit,Solanaceous,,Legume,,,,,Aster,,,,Legumes,Brassicas,,,,,,,Chickens,,,,,,,,,,,,,,,,,,,,,,Compost,,Chilean/organophosphate/potash,,Zone tillage,,,Shallow tillage,,,,,Straw,,,,,,Tarping,,,,,,,None,,,,,,,,None,,,Overhead,,,,,,,,,Legume,,Allium,Umbel,Chenopod,Aster,,,,Legumes,,Buckwheat,,,,,,Chickens,,,,,,,,,,,,,Blood meal,,Fish emulsion,,Rock phosphate,,,,Potassium sulfate,Compost,,,,,,In-row subsoiling,Shallow tillage,,,,,Straw,,,,,,Tarping,,,,,,,None,,,,,,,,None,
143,,,,,None,,,,,Sweet corn,,,,,,,,,,,,,,,,,Cut flowers,,,,,,,None,,,,,,,,,,,,,,,,,,Krehers 4-3-10,,,,,Shallow tillage,,,,,,,,,None,,,,None,,,,,None,,,,,,,,None,,,,,,,,,,Solanaceous,,,,,,,,,,,Legumes,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,Krehers 4-3-10,,Zone tillage,,,Shallow tillage,,,,,,,,,None,,,,None,,,,,None,,,,,,,,,
172,Drip,Overhead,Hand watered,,,,Brassica,Cucurbit,Solanaceous,,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,Alfalfa meal,,,Fish meal,,,,Fish emulsion,,,,Greensand,,,Compost,,,No-till (soil is undisturbed by any tillage equipment between plantings),,,,,,,,Hay,,,Weed barrier fabrics,,,,Tarping,,,,,,,None,,,,,,,,None,,Drip,Overhead,,,,,,Cucurbit,Solanaceous,Sweet corn,Legume,,Allium,,,,,,,Legumes,,Buckwheat,"Cool season grasses (e.g., winter rye)","Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,,,None,,Alfalfa,,,Fish meal,Bone meal,,,,,,Kelp meal,,,,,,,,,,,,,None,,Hay,,,,Biodegradable planting paper,,,,,None,,,,,None,,,,,,,,None,
