Field ID,Latitude,Longitude,Cover Crop,Manure,Planting Date
DEG_DIE_100,42.55602,-76.24447,No,No,
DEG_DIE_ERSWC,42.63469,-76.12806,Yes,,13-May-22
DEG_DIE_SH,42.5713,-76.08288,Yes,,13-May-22
DEG_EVA_PGREEN,42.51512,-76.16202,No,Yes,13-May-22
DEG_FES_OVO4,42.83983,-76.29781,No,Yes,17-May-22
DEG_FOU_ELM,42.58639,-76.2802,Yes,Yes,9-May-22
DEG_HAI_ACROSSROAD,42.55716,-76.27766,No,Yes,5-May-22
DEG_MCM_CH,42.642,-76.20354,,Yes,12-May-23
DEG_MCM_W7,42.70051,-76.23137,Yes,Yes,6-May-22
DEG_STR_1,42.70534,-76.08362,Yes,,13-May-22
EPN_TRIAL,41.762379,-74.0858832,Yes,No ,25-Apr-22
GAB_ALL,42.92364,-73.68089,No,Yes,6-May-22
GAB_DEL,42.84021,-73.64027,No,No,
GAB_ELL,42.45262,-73.73445,No,No,21-May-22
GAB_HER,42.68417,-73.58209,Yes,Yes,24-May-22
GAB_JON,42.2253378,-73.973843,No,No,13-May-22
GAB_KUK,42.06082,-73.81201,Yes,No,10-May-22
GAB_OOM,42.45754,-73.67534,No,Yes,5-May-22
GAB_PET,42.72436,-73.99218,No,No,12-May-22
GAB_STA_1,42.53148,-73.8238,No,Yes,5-May-22
GAB_STO,42.11997,-73.79717,No,Yes,12-May-22
GORHAM,42.785364,-77.141098,No,No,
MIL_CHA,43.044444,-75.458889,No,Yes,30-May-22
MIL_MCC,42.993333,-76.361389,No,Yes,14-May-22
MIL_YOD,42.986944,-75.525278,Yes,Yes,23-May-22
MUL_LET,42.9403986,-77.7031553,Yes,Yes,1-Jun-22
PAN_LET,42.6198187,-78.0437066,Yes,Yes,11-May-22
POV_DUN,42.3873813,-76.3989841,No,No,8-Jun-22
POW_LET,42.618402,-77.78118,No,No,11-May-22
SEA_HOO_1,42.625396,-77.01625,Yes,Yes,30-Apr-22
SMI_CAN,42.876864,-75.052777,No,Yes,16-May-22
SMI_CRO,42.843286,-74.669392,No,No,16-May-22
SMI_DOU,43.049569,-74.837951,Yes,No,9-May-22
SMI_DUR,43.064027,-75.936687,Yes,Yes,16-May-22
SMI_HOF,42.353305,-75.709457,No,No,17-May-22
SMI_HOL,42.904205,-74.277909,Yes,No,23-May-22
SMI_JOH_1,43.003637,-75.590703,No,,28-Jun-22
SMI_JOH_2,43.075096,-75.676876,No,No,11-May-22
SMI_KEL,42.959892,-74.659539,Yes,Yes,27-Jun-22
SMI_MCC,43.118349,-74.84857,No,No,16-May-22
STA_CRA,43.188409,-77.270544,No,Yes,
STA_LOT,42.880592,-76.805378,Yes,No,12-May-22
STA_PAD,43.030113,-77.340206,No,No,5-May-22
WICKHAM,42.856245,-77.117951,Yes,Yes,
WIS_BRU,41.808489,-74.08269,Yes,No,26-May-22
WIS_COO_1,41.843114,-73.606481,No,No,4-May-22
WIS_COO_2,41.878961,-73.61421,Yes,Yes,18-May-22
WIS_KEN,41.665776,-73.956651,Yes,No,26-May-22
WIS_WAL,41.872026,-74.120294,,No,11-May-22
ZUE_PED,42.874722,-77.107222,,Yes,12-May-22
ZUE_REE,42.781389,-76.983611,,,24-Apr-22
ONE_OAK_1,44.94110918,-74.54660541,,Yes,13-Jun-22
ONE_ORT_1,44.95954032,-74.83228943,Yes,,6-Jun-22
ONE_ADO_1,44.63986555,-74.94540973,,,
ONE_STA_1,44.77108901,-74.66066331,,,
ONE_CHA_1,44.57920778,-75.44822096,,,5-May-22
ONE_HUN_1,44.56261327,-75.03363445,,,13-Jun-22
ONE_AKI_1,44.66992368,-75.30916136,,,
ONE_MCK_1,44.85307441,-75.19768297,,,6-Jun-22
ONE_GIL_1,,,,,16-May-22
