record_id,latitude,longitude
DEG_DIE_100,42.55602,-76.24447
DEG_DIE_ERSWC,42.63469,-76.12806
DEG_DIE_SH,42.5713,-76.08288
DEG_EVA_PGREEN,42.51512,-76.16202
DEG_FES_OVO4,42.83983,-76.29781
DEG_FOU_ELM,42.58639,-76.2802
DEG_HAI_ACROSSROAD,42.55716,-76.27766
DEG_MCM_CH,42.642,-76.20354
DEG_MCM_W7,42.70051,-76.23137
DEG_STR_1,42.70534,-76.08362
EPN_TRIAL,41.762379,-74.0858832
GAB_ALL,42.92364,-73.68089
GAB_DEL,42.84021,-73.64027
GAB_ELL,42.45262,-73.73445
GAB_HER,42.68417,-73.58209
GAB_JON,42.2253378,-73.973843
GAB_KUK,42.06082,-73.81201
GAB_OOM,42.45754,-73.67534
GAB_PET,42.72436,-73.99218
GAB_STA_1,42.53148,-73.8238
GAB_STO,42.11997,-73.79717
GORHAM,42.785364,-77.141098
MIL_CHA,43.044444,-75.458889
MIL_MCC,42.993333,-75.361389
MIL_YOD,42.986944,-75.525278
MUL_LET,42.9403986,-77.7031553
ONE_ADO_1,44.63986555,-74.94540973
ONE_AKI_1,44.66992368,-75.30916136
ONE_CHA_1,44.57920778,-75.44822096
ONE_HUN_1,44.56261327,-75.03363445
ONE_MCK_1,44.85307441,-75.19768297
ONE_OAK_1,44.94110918,-74.54660541
ONE_ORT_1,44.95954032,-74.83228943
ONE_STA_1,44.77108901,-74.66066331
PAN_LET,42.6198187,-78.0437066
POV_DUN,42.3873813,-76.3989841
POW_LET,42.618402,-77.78118
SEA_HOO_1,42.625396,-77.01625
SMI_CAN,42.876864,-75.052777
SMI_CRO,42.843286,-74.669392
SMI_DOU,43.049569,-74.837951
SMI_DUR,43.064027,-75.936687
SMI_HOF,42.353305,-75.709457
SMI_HOL,42.904205,-74.277909
SMI_JOH_1,43.003637,-75.590703
SMI_JOH_2,43.075096,-75.676876
SMI_KEL,42.959892,-74.659539
SMI_MCC,43.118349,-74.84857
STA_CRA,43.188409,-77.270544
STA_LOT,42.880592,-76.805378
STA_PAD,43.030113,-77.340206
WICKHAM,42.856245,-77.117951
WIS_BRU,41.808489,-74.08269
WIS_COO_1,41.843114,-73.606481
WIS_COO_2,41.878961,-73.61421
WIS_KEN,41.665776,-73.956651
WIS_WAL,41.872026,-74.120294
ZUE_PED,42.874722,-77.107222
ZUE_REE,42.781389,-76.983611
