Field ID,Organic_Matter,Base Saturation Ca,Base Saturation Mg,Base Saturation K,Base Saturation Na,Base Saturation H,Base Saturation Total,Exch Acidity,Buffer pH,CEC,pH,Ca ppm,P ppm,Mg ppm,K ppm,Na ppm,Zn ppm,Al ppm,Morgan P lb/A,Morgan K lb/A,Morgan  Ca lb/A,Morgan Mg lb/A
DEG_DIE_100,3.87,89.8,4.8,2.4,0.8,2.2,97.8,0.44,6.49,19.9,6.97,3579,146,116,186,36,2.9,1093,31.6,330.2,6743.1,210.5
DEG_DIE_ERSWC,4.64,64.1,10.6,4.1,0.9,20.4,79.6,2.4,6,11.8,6.07,1511,208,152,188,24,5.4,1149,18.8,333,2656.2,274.7
DEG_DIE_SH,5.46,82.8,12.2,3.8,1.2,0,100,0,0,12.1,7.03,2003,41,179,180,34,1.6,1012,1.3,319.1,3628.5,324.7
DEG_EVA_PGREEN,6.69,86.9,9.3,2.5,1.3,0,100,0,0,16.4,7.39,2859,49,185,160,51,2.9,949,6.3,283.4,5320.2,335.5
DEG_FES_OVO4,4.7,81.8,13.5,2.9,1.8,0,100,0,0,14.5,7.11,2378,78,238,166,60,5.1,735,20.2,293.8,4369.6,431.9
DEG_FOU_ELM,6.21,64.8,16.2,4.8,2.7,11.6,88.4,1.48,6.23,12.8,6.33,1662,106,252,241,78,10.5,891,16.8,426.6,2954.6,457.4
DEG_HAI_ACROSSROAD,5.54,85.5,10.5,2.5,1.5,0,100,0,0,15.3,7.34,2621,97,196,149,53,3.7,672,33.9,264.3,4849.8,355.7
DEG_MCM_CH,6.12,71.1,22,4.2,2.8,0,100,0,0,12.1,7.02,1716,99,322,196,78,3.6,1074,9,347.3,3061.3,584.2
DEG_MCM_W7,7.42,81.4,12,4.4,2.2,0,100,0,0,19.3,7.16,3141,250,281,329,99,14.1,805,85.8,581.3,5877.5,510.1
DEG_STR_1,6.18,74.6,13.8,1.1,1.3,9.2,90.8,1.08,6.33,11.7,6.99,1746,57,196,49,35,1.8,1036,3,87.3,3120.6,355.7
EPN_TRIAL,2.45,30.3,6.3,6.9,4.5,52,48,2.8,5.9,5.4,5.14,327,173,41,145,56,3.5,1074,6.1,256.4,316.4,73.8
GAB_ALL,2.13,66.5,17,2,2.6,12,88,0.8,6.4,6.7,6.83,891,31,138,52,40,1.7,640,1,93.7,1431.6,249.6
GAB_DEL,3.43,55.3,6.1,4.3,2.3,32,68,2.04,6.09,6.4,6.21,707,39,47,107,34,3.4,1048,1,190.7,1066.8,84.4
GAB_ELL,3.79,71.6,15.5,4.9,1.6,6.4,93.6,0.8,6.4,12.6,6.95,1804,175,237,242,47,3.8,785,46,427.7,3235.2,430.5
GAB_HER,4.84,72.1,13.7,3.4,1.8,9,91,1.16,6.31,12.9,6.8,1866,124,216,171,53,3.6,977,17.8,303.5,3357.7,391.5
GAB_JON,4.27,62.7,13.6,5.3,0.9,17.5,82.5,1.8,6.15,10.3,6.39,1292,116,171,212,22,3.7,856,18.7,375.1,2223.3,309.1
GAB_KUK,4.43,64,15.1,5.7,1.5,13.8,86.2,1.36,6.26,9.9,6.8,1265,218,181,219,34,6.6,1153,16.7,388.1,2170,327.8
GAB_OOM,5.75,78,17.3,3.2,1.5,0,100,0,0,10.8,7.05,1681,135,226,134,38,3.4,918,22.1,237.1,2992.1,410.8
GAB_PET,3.14,61.7,17,2.5,0.8,18,82,1.64,6.19,9.1,6.41,1125,41,188,90,17,1.3,805,1,159.2,1893.3,341.7
GAB_STA,5.25,77.1,12.5,2.8,1.5,6.1,93.9,0.88,6.38,14.4,6.9,2231,99,220,160,49,3.5,776,25,283.4,4079.1,399.3
GAB_STO,3.13,71.7,14,4.5,1.6,8.2,91.8,0.76,6.41,9.2,6.94,1324,36,156,164,34,3.5,880,1,289.8,2286.6,283.5
GORHAM,19.37,93.6,4.3,1.9,0.2,0,100,0,0,52.8,7.2,9891,102,277,388,29,11.7,155,142.5,685.7,19217.4,503.6
MIL_CHA,4.74,74.6,23,2,0.4,0,100,0,0,16.8,7.18,2508,25,469,130,17,7.8,787,1,231.1,4626.5,851.4
MIL_MCC,6.27,83.9,14.5,1,0.5,0,100,0,0,20.5,7.14,3444,27,362,84,22,6.3,614,4.4,148.8,6476.3,657.7
MIL_YOD,3.64,68.4,19.1,5.3,0.8,6.4,93.6,0.76,6.41,11.8,6.86,1624,94,275,247,21,6.6,803,17.9,437.4,2879.5,499.4
MUL_LET,3.24,74.2,19.2,4,2.5,0,100,0,0,12.8,7.4,1900,63,299,202,74,5.7,618,17.7,357.8,3424.9,542.2
ONE-ADO-1,2.47,70,24.6,4.1,1.3,0,100,0,0,9.2,7.09,1296,325,276,146,28,16.4,1068,36.1,259.4,2231.2,501.6
ONE-AKI-1,6.83,69.7,20.8,0.9,1.3,7.3,92.7,1.48,6.23,20.2,6.43,2820,28,510,69,60,4.4,721,2,123.2,5243.1,926.9
ONE-CHA-1,7.41,75.4,20.4,3.5,0.8,0,100,0,0,20.9,7.27,3153,365,516,283,37,17,861,116,500.8,5901.2,938.4
ONE-HUN-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ONE-MCK-1,3.33,69.3,18.8,1.4,1.3,9.1,90.9,1.12,6.32,12.2,6.35,1701,29,280,66,37,2.5,701,1,118.3,3031.6,508
ONE-OAK-1,4.07,56.9,29.3,2.9,1.3,9.6,90.5,1.52,6.22,15.9,6.09,1816,63,567,181,49,2.9,856,8.1,320.5,3258.9,1029.6
ONE-ORT-1,1.86,22.6,5.9,5.2,2.1,64.3,35.7,2.56,5.96,4,5.39,180,174,28,82,19,1.8,1635,11.3,145.3,26.3,50.5
ONE-STA-1,4.61,73.1,17,4.2,2,3.8,96.2,0.56,6.46,14.6,6.94,2140,114,302,238,67,4.3,1029,15.6,420.4,3899.2,547.8
PAN_LET,4.33,75.4,13.3,2.1,0.6,8.6,91.4,0.88,6.38,10.2,6.93,1544,138,166,82,14,4.5,1040,14.9,146.2,2721.4,300.6
POV_DUN,2.74,49.6,12.1,1.7,0.7,35.9,64.1,2.24,6.04,6.2,5.85,620,26,92,42,11,0.6,966,1,75.3,895.1,165.7
POW_LET,4.56,50.2,24.1,3.9,3.8,18.1,81.9,2,6.1,11.1,6.23,1113,22,324,170,97,1.2,943,1,300.7,1869.6,588.4
SEA_HOO_1,2.62,61.3,12.8,3.3,0,22.6,77.4,1.72,6.17,7.6,6.19,935,93,119,97,0,2.4,776,15.3,172.3,1517.4,214.7
SMI_CAN,6.1,93.8,4.3,0.9,1,0,100,0,0,22.9,7.44,4305,42,119,80,52,6.4,687,13.6,141.6,8177.9,216
SMI_CRO,6.13,72.5,9.1,1.2,0.8,16.4,83.6,2.8,5.9,17.1,5.88,2484,25,189,82,30,1.7,1096,1,146.5,4579.1,343.5
SMI_DOU,4.52,65.3,14.2,1,1.2,18.3,81.7,2.12,6.07,11.6,6.22,1516,21,200,47,32,1.6,1048,1,83.6,2666,362.2
SMI_DUR,7.55,68.4,26.6,3.5,1.5,0,100,0,0,18.7,7.2,2560,24,604,256,66,7.7,556,1.5,452.2,4729.3,1097.6
SMI_HOF,4.22,72.7,11.7,2.7,2,11,89,1.36,6.26,12.4,6.71,1808,244,177,129,57,6.8,819,62.7,228.3,3243.1,320.4
SMI_HOL,69.76,81,15.8,2.1,1.1,0,100,0,0,9.1,7.13,1470,78,174,76,22,4.7,680,18.9,134.9,2575.1,314.9
SMI_JOH_1,3.41,75.1,20.3,2.8,1.9,0,100,0,0,14.2,7.48,2135,131,350,155,61,2.9,687,44,274.2,3889.4,635.3
SMI_JOH_2,4.71,84,11.2,3.4,1.4,0,100,0,0,19.2,7.3,3237,375,261,259,62,17.1,420,269.9,458.9,6067.2,473.4
SMI_KEL,5,83.5,12.4,1,3,0,100,0,0,19.4,7.42,3256,21,293,78,136,3.8,857,1,139.4,6104.8,532
SMI_MCC,4.87,76.7,13.8,3.3,2,4.2,95.8,0.6,6.45,14.2,6.95,2176,46,238,184,64,4.4,1200,2.9,325.4,3970.4,431.4
STA_CRA,5.23,72,15.6,3.4,2,6.9,93.1,1,6.35,14.4,6.89,2084,196,275,193,67,10.5,952,37.2,342.4,3788.6,498.9
STA_LOT,3.57,70.5,16.2,3,1.3,9,91,1.2,6.3,13.3,6.7,1876,60,261,155,40,2.5,970,5,275.5,3377.5,474.1
STA_PAD,6.61,72,19,5,1.4,2.6,97.4,0.56,6.46,21.9,6.95,3160,695,506,430,71,22.9,633,351.6,760,5915,920
WICKHAM,2.96,69.8,15.3,3.6,0.8,10.4,89.6,1.16,6.31,11.1,6.49,1556,55,207,157,21,5.6,757,7.5,277.9,2745.1,375.7
