Field ID Soil Survey WS,X Coordinate,Y Coordinate,Corn area m2,MUID,STATE,AWC,CLAY,KFFACT,OM,PERM,THICK,HYGRP,DRAIN,SLOPE,LL,IFHYDRIC,AFLDFREQ
DEG_DIE_100,42.55602,-76.24447,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4
DEG_DIE_ERSWC,42.63469,-76.12806,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4
DEG_DIE_SH,42.5713,-76.08288,Medium,NY126,NY,0.08,19.4,0.3,1,0.66,52.7,3.1,4,15.4,28.2,0,4
DEG_EVA_PGREEN,42.51512,-76.16202,Medium,NY126,NY,0.08,19.4,0.3,1,0.66,52.7,3.1,4,15.4,28.2,0,4
DEG_FES_OVO4,42.83983,-76.29781,High,NY128,NY,0.12,19.2,0.31,1,0.66,67.7,2.1,3.6,8.3,23.9,0,4
DEG_FOU_ELM,42.58639,-76.2802,Medium,NY126,NY,0.08,19.4,0.3,1,0.66,52.7,3.1,4,15.4,28.2,0,4
DEG_HAI_ACROSSROAD,42.55716,-76.27766,Medium,NY126,NY,0.08,19.4,0.3,1,0.66,52.7,3.1,4,15.4,28.2,0,4
DEG_MCM_CH,42.642,-76.20354,Medium,NY127,NY,0.08,13.1,0.3,0.9,0.71,57.7,3,3.4,16.4,24.2,0,4
DEG_MCM_W7,42.70051,-76.23137,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4
DEG_STR_1,42.70534,-76.08362,Medium,NY126,NY,0.08,19.4,0.3,1,0.66,52.7,3.1,4,15.4,28.2,0,4
EPN_TRIAL,41.762379,-74.0858832,Medium,NY159,NY,0.17,16.2,0.42,1,1.77,71.3,2.6,4.5,2.3,26.7,0.2,2.2
GAB_ALL,42.92364,-73.68089,Medium,NY138,NY,0.16,30.8,0.41,1,0.38,66.7,3.2,4.3,8,34.4,0,4
GAB_DEL,42.84021,-73.64027,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6
GAB_ELL,42.45262,-73.73445,Medium,NY138,NY,0.16,30.8,0.41,1,0.38,66.7,3.2,4.3,8,34.4,0,4
GAB_HER,42.68417,-73.58209,Medium,NY156,NY,0.09,9,0.29,0.6,0.65,54.1,3,3.3,10.9,27.1,0,4
GAB_JON,42.2253378,-73.973843,Low,NY099,NY,0.08,13.2,0.25,0.6,6.52,60.1,1.8,3.5,3.5,19.9,0.1,3.3
GAB_KUK,42.06082,-73.81201,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6
GAB_OOM,42.45754,-73.67534,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6
GAB_PET,42.72436,-73.99218,Medium,NY125,NY,0.09,11.5,0.27,0.8,3.17,64.4,2.1,3.1,11.6,21.9,0,4
GAB_STA_1,42.53148,-73.8238,Medium,NY138,NY,0.16,30.8,0.41,1,0.38,66.7,3.2,4.3,8,34.4,0,4
GAB_STO,42.11997,-73.79717,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6
GORHAM,42.785364,-77.141098,High,NY140,NY,0.12,9.8,0.28,1,4.56,70.6,2.6,4.4,3.2,20.5,0.2,4
