,record_id,week,count,date,max_temp_f,min_temp_f,ave_temp_f,rain_inches,max_temp_c,min_temp_c,ave_temp_c,organic_matter,base_saturation_ca,base_saturation_mg,base_saturation_k,base_saturation_na,base_saturation_h,base_saturation_total,exch_acidity,buffer_p_h,cec,p_h,ca_ppm,p_ppm,mg_ppm,k_ppm,na_ppm,zn_ppm,al_ppm,morgan_p_lb_a,morgan_k_lb_a,morgan_ca_lb_a,morgan_mg_lb_a,x_coordinate,y_coordinate,corn_area_m_2,muid,state,awc,clay,kffact,om,perm,thick,hygrp,drain,slope,ll,ifhydric,afldfreq,latitude,longitude,planting_date,planting_week,planting_relative_week
1,DEG_DIE_ERSWC,17,80.0,2022-04-20,44.714285714285715,29.714285714285715,37.214285714285715,0.29714285714285715,7.057142857142857,-1.2571428571428573,2.914285714285714,4.64,64.1,10.6,4.1,0.9,20.4,79.6,2.4,6.0,11.8,6.07,1511.0,208.0,152.0,188.0,24.0,5.4,1149.0,18.8,333.0,2656.2,274.7,42.63469,-76.12806,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4,42.63469,-76.12806,2022-05-13,20.0,-3.0
2,DEG_DIE_SH,17,64.0,2022-04-20,44.285714285714285,29.142857142857142,36.714285714285715,0.31,6.814285714285715,-1.5857142857142859,2.6285714285714286,5.46,82.8,12.2,3.8,1.2,0.0,100.0,0.0,0.0,12.1,7.03,2003.0,41.0,179.0,180.0,34.0,1.6,1012.0,1.3,319.1,3628.5,324.7,42.5713,-76.08288,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0,42.5713,-76.08288,2022-05-13,20.0,-3.0
3,DEG_EVA_PGREEN,17,7.0,2022-04-20,45.0,29.714285714285715,37.357142857142854,0.25,7.228571428571429,-1.2571428571428573,2.9857142857142853,6.69,86.9,9.3,2.5,1.3,0.0,100.0,0.0,0.0,16.4,7.39,2859.0,49.0,185.0,160.0,51.0,2.9,949.0,6.3,283.4,5320.2,335.5,42.51512,-76.16202,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0,42.51512,-76.16202,2022-05-13,20.0,-3.0
4,DEG_FES_OVO4,17,25.0,2022-04-20,48.285714285714285,32.0,40.142857142857146,0.18142857142857144,9.042857142857143,6.344131569286608e-17,4.514285714285714,4.7,81.8,13.5,2.9,1.8,0.0,100.0,0.0,0.0,14.5,7.11,2378.0,78.0,238.0,166.0,60.0,5.1,735.0,20.2,293.8,4369.6,431.9,42.83983,-76.29781,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0,42.83983,-76.29781,2022-05-17,21.0,-4.0
5,DEG_FOU_ELM,17,362.0,2022-04-20,46.0,30.857142857142858,38.42857142857143,0.20142857142857146,7.771428571428572,-0.6285714285714287,3.5714285714285716,6.21,64.8,16.2,4.8,2.7,11.6,88.4,1.48,6.23,12.8,6.33,1662.0,106.0,252.0,241.0,78.0,10.5,891.0,16.8,426.6,2954.6,457.4,42.58639,-76.2802,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0,42.58639,-76.2802,2022-05-09,20.0,-3.0
6,DEG_MCM_CH,17,53.0,2022-04-20,45.857142857142854,30.714285714285715,38.285714285714285,0.27714285714285714,7.7,-0.7142857142857143,3.4857142857142853,6.12,71.1,22.0,4.2,2.8,0.0,100.0,0.0,0.0,12.1,7.02,1716.0,99.0,322.0,196.0,78.0,3.6,1074.0,9.0,347.3,3061.3,584.2,42.642,-76.20354,Medium,NY127,NY,0.08,13.1,0.3,0.9,0.71,57.7,3.0,3.4,16.4,24.2,0.0,4.0,42.642,-76.20354,2023-05-12,20.0,-3.0
7,DEG_MCM_W7,17,86.0,2022-04-20,44.857142857142854,30.0,37.42857142857143,0.26142857142857145,7.1571428571428575,-1.1142857142857143,3.0285714285714285,7.42,81.4,12.0,4.4,2.2,0.0,100.0,0.0,0.0,19.3,7.16,3141.0,250.0,281.0,329.0,99.0,14.1,805.0,85.8,581.3,5877.5,510.1,42.70051,-76.23137,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4,42.70051,-76.23137,2022-05-06,19.0,-2.0
8,DEG_STR_1,17,48.0,2022-04-20,43.285714285714285,29.428571428571427,36.357142857142854,0.32285714285714284,6.271428571428572,-1.4142857142857144,2.414285714285714,6.18,74.6,13.8,1.1,1.3,9.2,90.8,1.08,6.33,11.7,6.99,1746.0,57.0,196.0,49.0,35.0,1.8,1036.0,3.0,87.3,3120.6,355.7,42.70534,-76.08362,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0,42.70534,-76.08362,2022-05-13,20.0,-3.0
9,GAB_ALL,17,29.0,2022-04-20,54.42857142857143,30.571428571428573,42.5,0.23714285714285713,12.471428571428572,-0.7857142857142857,5.828571428571428,2.13,66.5,17.0,2.0,2.6,12.0,88.0,0.8,6.4,6.7,6.83,891.0,31.0,138.0,52.0,40.0,1.7,640.0,1.0,93.7,1431.6,249.6,42.92364,-73.68089,Medium,NY138,NY,0.16,30.8,0.41,1.0,0.38,66.7,3.2,4.3,8.0,34.4,0.0,4.0,42.92364,-73.68089,2022-05-06,19.0,-2.0
10,GAB_HER,17,13.0,2022-04-20,53.57142857142857,30.428571428571427,42.0,0.24571428571428572,11.957142857142857,-0.8571428571428571,5.542857142857143,4.84,72.1,13.7,3.4,1.8,9.0,91.0,1.16,6.31,12.9,6.8,1866.0,124.0,216.0,171.0,53.0,3.6,977.0,17.8,303.5,3357.7,391.5,42.68417,-73.58209,Medium,NY156,NY,0.09,9.0,0.29,0.6,0.65,54.1,3.0,3.3,10.9,27.1,0.0,4.0,42.68417,-73.58209,2022-05-24,22.0,-5.0
