,record_id,week,count,date,max_temp_f,min_temp_f,ave_temp_f,rain_inches,max_temp_c,min_temp_c,ave_temp_c,organic_matter,base_saturation_ca,base_saturation_mg,base_saturation_k,base_saturation_na,base_saturation_h,base_saturation_total,exch_acidity,buffer_p_h,cec,p_h,ca_ppm,p_ppm,mg_ppm,k_ppm,na_ppm,zn_ppm,al_ppm,morgan_p_lb_a,morgan_k_lb_a,morgan_ca_lb_a,morgan_mg_lb_a,x_coordinate,y_coordinate,corn_area_m_2,muid,state,awc,clay,kffact,om,perm,thick,hygrp,drain,slope,ll,ifhydric,afldfreq,latitude,longitude,cover_crop,manure,planting_date,planting_week,planting_relative_week,corn,open_water,sweet_corn,developed_open_space,developed_low_intensity,developed_med_intensity,developed_high_intensity,barren,deciduous_forest,evergreen_forest,mixed_forest,shrubland,grass_pasture,woody_wetlands,herbaceous_wetlands,triticale,carrots,barley,broccoli,greens,plums,squash,dbl_crop_win_wht_corn,dbl_crop_triticale_corn,pumpkins,spring_wheat,winter_wheat,blueberries,cabbage,dbl_crop_win_wht_soybeans,rye,oats,millet,speltz,alfalfa,othe_r_hay_non_alfalfa,buckwheat,sorghum,sugarbeets,dry_beans,potatoes,other_crops,misc_vegs_&_fruits,onions,soybeans,peas,tomatoes,hops,herbs,clover_wildflowers,sod_grass_seed,sunflower,fallow_idle_cropland,cherries,peaches,apples,grapes,christmas_trees,pears,total,ag,ag_prop,nat,nat_prop,semi_nat,semi_nat_prop,dev,dev_prop,other,other_prop
0,DEG_EVA_PGREEN,17,7.0,2022-04-20,45.0,29.714285714285715,37.357142857142854,0.25,7.228571428571429,-1.2571428571428573,2.9857142857142853,6.69,86.9,9.3,2.5,1.3,0.0,100.0,0.0,0.0,16.4,7.39,2859.0,49.0,185.0,160.0,51.0,2.9,949.0,6.3,283.4,5320.2,335.5,42.51512,-76.16202,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0,42.51512,-76.16202,No,Yes,2022-05-13,20.0,-3.0,94.0,0.0,0.0,24.0,14.0,10.0,1.0,8.0,74.0,11.0,34.0,2.0,321.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1366.0,276.0,0.20204978,145.0,0.106149341,321.0,0.234992679,57.0,0.041727672,0.0,0.0
1,DEG_FES_OVO4,17,25.0,2022-04-20,48.285714285714285,32.0,40.142857142857146,0.18142857142857144,9.042857142857143,6.344131569286608e-17,4.514285714285714,4.7,81.8,13.5,2.9,1.8,0.0,100.0,0.0,0.0,14.5,7.11,2378.0,78.0,238.0,166.0,60.0,5.1,735.0,20.2,293.8,4369.6,431.9,42.83983,-76.29781,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0,42.83983,-76.29781,No,Yes,2022-05-17,21.0,-4.0,341.0,0.0,0.0,46.0,46.0,3.0,0.0,0.0,81.0,2.0,2.0,0.0,72.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,211.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,576.0,0.421052632,98.0,0.071637427,72.0,0.052631579,95.0,0.069444444,0.0,0.0
2,DEG_FOU_ELM,17,362.0,2022-04-20,46.0,30.857142857142858,38.42857142857143,0.20142857142857146,7.771428571428572,-0.6285714285714287,3.5714285714285716,6.21,64.8,16.2,4.8,2.7,11.6,88.4,1.48,6.23,12.8,6.33,1662.0,106.0,252.0,241.0,78.0,10.5,891.0,16.8,426.6,2954.6,457.4,42.58639,-76.2802,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0,42.58639,-76.2802,Yes,Yes,2022-05-09,20.0,-3.0,379.0,0.0,0.0,55.0,10.0,1.0,0.0,0.0,280.0,1.0,7.0,1.0,97.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1367.0,393.0,0.287490856,291.0,0.212874909,97.0,0.070958303,66.0,0.048280907,0.0,0.0
3,DEG_MCM_W7,17,86.0,2022-04-20,44.857142857142854,30.0,37.42857142857143,0.26142857142857145,7.1571428571428575,-1.1142857142857143,3.0285714285714285,7.42,81.4,12.0,4.4,2.2,0.0,100.0,0.0,0.0,19.3,7.16,3141.0,250.0,281.0,329.0,99.0,14.1,805.0,85.8,581.3,5877.5,510.1,42.70051,-76.23137,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4,42.70051,-76.23137,Yes,Yes,2022-05-06,19.0,-2.0,351.0,0.0,0.0,39.0,16.0,3.0,0.0,0.0,76.0,2.0,3.0,1.0,121.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,193.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1367.0,548.0,0.400877835,89.0,0.065106072,121.0,0.088514996,58.0,0.042428676,0.0,0.0
4,GAB_ALL,17,29.0,2022-04-20,54.42857142857143,30.571428571428573,42.5,0.23714285714285713,12.471428571428572,-0.7857142857142857,5.828571428571428,2.13,66.5,17.0,2.0,2.6,12.0,88.0,0.8,6.4,6.7,6.83,891.0,31.0,138.0,52.0,40.0,1.7,640.0,1.0,93.7,1431.6,249.6,42.92364,-73.68089,Medium,NY138,NY,0.16,30.8,0.41,1.0,0.38,66.7,3.2,4.3,8.0,34.4,0.0,4.0,42.92364,-73.68089,No,Yes,2022-05-06,19.0,-2.0,5.0,11.0,0.0,63.0,86.0,32.0,7.0,3.0,172.0,5.0,154.0,1.0,130.0,177.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1367.0,9.0,0.00658376,514.0,0.376005852,130.0,0.095098756,191.0,0.139722019,11.0,0.008046818
5,GAB_HER,17,13.0,2022-04-20,53.57142857142857,30.428571428571427,42.0,0.24571428571428572,11.957142857142857,-0.8571428571428571,5.542857142857143,4.84,72.1,13.7,3.4,1.8,9.0,91.0,1.16,6.31,12.9,6.8,1866.0,124.0,216.0,171.0,53.0,3.6,977.0,17.8,303.5,3357.7,391.5,42.68417,-73.58209,Medium,NY156,NY,0.09,9.0,0.29,0.6,0.65,54.1,3.0,3.3,10.9,27.1,0.0,4.0,42.68417,-73.58209,Yes,Yes,2022-05-24,22.0,-5.0,116.0,1.0,0.0,33.0,67.0,20.0,0.0,0.0,214.0,19.0,108.0,2.0,164.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1367.0,126.0,0.092172641,428.0,0.313094367,164.0,0.119970739,120.0,0.087783467,1.0,0.000731529
6,GAB_JON,17,24.0,2022-04-20,53.714285714285715,32.857142857142854,43.285714285714285,0.20857142857142857,12.057142857142859,0.47142857142857153,6.271428571428571,4.27,62.7,13.6,5.3,0.9,17.5,82.5,1.8,6.15,10.3,6.39,1292.0,116.0,171.0,212.0,22.0,3.7,856.0,18.7,375.1,2223.3,309.1,42.2253378,-73.973843,Low,NY099,NY,0.08,13.2,0.25,0.6,6.52,60.1,1.8,3.5,3.5,19.9,0.1,3.3,42.2253378,-73.973843,No,No,2022-05-13,20.0,-3.0,39.0,0.0,0.0,13.0,17.0,12.0,3.0,1.0,108.0,0.0,13.0,0.0,78.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365.0,534.0,0.391208791,190.0,0.139194139,78.0,0.057142857,46.0,0.033699634,0.0,0.0
7,GAB_KUK,17,39.0,2022-04-20,54.57142857142857,32.0,43.285714285714285,0.30428571428571427,12.557142857142859,0.0,6.271428571428571,4.43,64.0,15.1,5.7,1.5,13.8,86.2,1.36,6.26,9.9,6.8,1265.0,218.0,181.0,219.0,34.0,6.6,1153.0,16.7,388.1,2170.0,327.8,42.06082,-73.81201,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6,42.06082,-73.81201,Yes,No,2022-05-10,20.0,-3.0,33.0,0.0,0.0,31.0,31.0,8.0,0.0,0.0,286.0,3.0,12.0,0.0,32.0,40.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1365.0,417.0,0.305494505,342.0,0.250549451,32.0,0.023443223,70.0,0.051282051,0.0,0.0
8,GAB_OOM,17,125.0,2022-04-20,54.57142857142857,30.714285714285715,42.642857142857146,0.21428571428571427,12.542857142857143,-0.7000000000000001,5.914285714285714,5.75,78.0,17.3,3.2,1.5,0.0,100.0,0.0,0.0,10.8,7.05,1681.0,135.0,226.0,134.0,38.0,3.4,918.0,22.1,237.1,2992.1,410.8,42.45754,-73.67534,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6,42.45754,-73.67534,No,Yes,2022-05-05,19.0,-2.0,170.0,3.0,3.0,18.0,52.0,10.0,0.0,0.0,239.0,2.0,24.0,1.0,151.0,159.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1363.0,175.0,0.12839325,450.0,0.330154072,151.0,0.110785033,80.0,0.058694057,3.0,0.002201027
9,GAB_STO,17,48.0,2022-04-20,55.0,32.142857142857146,43.57142857142857,0.25999999999999995,12.799999999999999,0.0714285714285715,6.414285714285714,3.13,71.7,14.0,4.5,1.6,8.2,91.8,0.76,6.41,9.2,6.94,1324.0,36.0,156.0,164.0,34.0,3.5,880.0,1.0,289.8,2286.6,283.5,42.11997,-73.79717,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6,42.11997,-73.79717,No,Yes,2022-05-12,20.0,-3.0,140.0,18.0,9.0,1.0,24.0,9.0,1.0,19.0,74.0,0.0,6.0,0.0,329.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,126.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1368.0,299.0,0.218567251,112.0,0.081871345,329.0,0.240497076,54.0,0.039473684,18.0,0.013157895
