,record_id,week,count,longitude_x,latitude_x,elevation,date,rain_inches,min_temp_f,ave_temp_f,max_temp_f,latitude_y,longitude_y,cover_crop,manure,planting_date,planting_week,planting_relative_week
1,GAB_ALL,17,29.0,-73.6809,42.9236,141.0,2022-04-20,0.24285714285714288,33.9,44.4,54.885714285714286,42.92364,-73.68089,No,Yes,2022-05-06,19.0,-2.0
2,GAB_HER,17,13.0,-73.5821,42.6842,587.0,2022-04-20,0.2414285714285714,32.857142857142854,43.24285714285714,53.6,42.68417,-73.58209,Yes,Yes,2022-05-24,22.0,-5.0
3,GAB_JON,17,24.0,-73.9738,42.2253,390.0,2022-04-20,0.22428571428571425,33.34285714285714,44.68571428571429,56.028571428571425,42.2253378,-73.973843,No,No,2022-05-13,20.0,-3.0
4,MIL_CHA,17,39.0,-75.4589,43.0444,1076.0,2022-04-20,0.2285714285714286,30.857142857142858,38.42857142857143,45.971428571428575,43.044444,-75.458889,No,Yes,2022-05-30,23.0,-6.0
5,MIL_MCC,17,59.0,-75.3614,42.9933,1007.0,2022-04-20,0.2485714285714286,31.0,38.67142857142857,46.34285714285714,42.993333,-76.361389,No,Yes,2022-05-14,20.0,-3.0
6,MIL_YOD,17,86.0,-75.5253,42.9869,1319.0,2022-04-20,0.21,29.885714285714283,37.714285714285715,45.57142857142857,42.986944,-75.525278,Yes,Yes,2022-05-23,22.0,-5.0
8,DEG_FOU_ELM,18,476.0,-76.2802,42.58639999999999,1342.0,2022-04-27,0.008571428571428572,36.82857142857143,46.614285714285714,56.39999999999999,42.58639,-76.2802,Yes,Yes,2022-05-09,20.0,-2.0
9,DEG_MCM_W7,18,188.0,-76.2314,42.7005,1522.0,2022-04-27,0.01,36.371428571428574,46.05714285714286,55.714285714285715,42.70051,-76.23137,Yes,Yes,2022-05-06,19.0,-1.0
10,GAB_KUK,18,87.0,-73.812,42.06080000000001,364.0,2022-04-27,0.04428571428571428,38.042857142857144,48.57142857142857,59.114285714285714,42.06082,-73.81201,Yes,No,2022-05-10,20.0,-2.0
12,POW_LET,18,75.0,-77.7812,42.6184,938.0,2022-04-27,0.14714285714285716,37.9,49.457142857142856,61.028571428571425,42.618402,-77.78118,No,No,2022-05-11,20.0,-2.0
