,record_id,week,count,longitude,latitude,elevation,date,rain_inches,min_temp_f,ave_temp_f,max_temp_f,organic_matter,base_saturation_ca,base_saturation_mg,base_saturation_k,base_saturation_na,base_saturation_h,base_saturation_total,exch_acidity,buffer_p_h,cec,p_h,ca_ppm,p_ppm,mg_ppm,k_ppm,na_ppm,zn_ppm,al_ppm,morgan_p_lb_a,morgan_k_lb_a,morgan_ca_lb_a,morgan_mg_lb_a,x_coordinate,y_coordinate,corn_area_m_2,muid,state,awc,clay,kffact,om,perm,thick,hygrp,drain,slope,ll,ifhydric,afldfreq
0,DEG_DIE_100,17,100.0,-76.2445,42.556,1391.0,2022-04-20,0.20428571428571432,30.82857142857143,38.18571428571429,45.51428571428572,3.87,89.8,4.8,2.4,0.8,2.2,97.8,0.44,6.49,19.9,6.97,3579.0,146.0,116.0,186.0,36.0,2.9,1093.0,31.6,330.2,6743.1,210.5,42.55602,-76.24447,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4
1,DEG_DIE_ERSWC,17,80.0,-76.1281,42.6347,1450.0,2022-04-20,0.2542857142857143,30.82857142857143,38.05714285714286,45.300000000000004,4.64,64.1,10.6,4.1,0.9,20.4,79.6,2.4,6.0,11.8,6.07,1511.0,208.0,152.0,188.0,24.0,5.4,1149.0,18.8,333.0,2656.2,274.7,42.63469,-76.12806,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4
2,DEG_DIE_SH,17,64.0,-76.0829,42.5713,1473.0,2022-04-20,0.27285714285714285,30.657142857142855,37.957142857142856,45.228571428571435,5.46,82.8,12.2,3.8,1.2,0.0,100.0,0.0,0.0,12.1,7.03,2003.0,41.0,179.0,180.0,34.0,1.6,1012.0,1.3,319.1,3628.5,324.7,42.5713,-76.08288,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0
3,DEG_EVA_PGREEN,17,7.0,-76.162,42.5151,1706.0,2022-04-20,0.25142857142857145,30.514285714285712,37.5,44.48571428571428,6.69,86.9,9.3,2.5,1.3,0.0,100.0,0.0,0.0,16.4,7.39,2859.0,49.0,185.0,160.0,51.0,2.9,949.0,6.3,283.4,5320.2,335.5,42.51512,-76.16202,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0
4,DEG_FES_OVO4,17,25.0,-76.29779999999998,42.839800000000004,1434.0,2022-04-20,0.15142857142857144,30.97142857142857,38.6,46.285714285714285,4.7,81.8,13.5,2.9,1.8,0.0,100.0,0.0,0.0,14.5,7.11,2378.0,78.0,238.0,166.0,60.0,5.1,735.0,20.2,293.8,4369.6,431.9,42.83983,-76.29781,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0
5,DEG_FOU_ELM,17,362.0,-76.2802,42.58639999999999,1342.0,2022-04-20,0.17714285714285713,30.885714285714283,38.31428571428571,45.74285714285714,6.21,64.8,16.2,4.8,2.7,11.6,88.4,1.48,6.23,12.8,6.33,1662.0,106.0,252.0,241.0,78.0,10.5,891.0,16.8,426.6,2954.6,457.4,42.58639,-76.2802,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0
7,DEG_MCM_CH,17,53.0,-76.2035,42.642,1365.0,2022-04-20,0.21714285714285714,30.74285714285714,38.128571428571426,45.542857142857144,6.12,71.1,22.0,4.2,2.8,0.0,100.0,0.0,0.0,12.1,7.02,1716.0,99.0,322.0,196.0,78.0,3.6,1074.0,9.0,347.3,3061.3,584.2,42.642,-76.20354,Medium,NY127,NY,0.08,13.1,0.3,0.9,0.71,57.7,3.0,3.4,16.4,24.2,0.0,4.0
8,DEG_MCM_W7,17,86.0,-76.2314,42.7005,1522.0,2022-04-20,0.19285714285714287,30.485714285714288,37.91428571428571,45.31428571428571,7.42,81.4,12.0,4.4,2.2,0.0,100.0,0.0,0.0,19.3,7.16,3141.0,250.0,281.0,329.0,99.0,14.1,805.0,85.8,581.3,5877.5,510.1,42.70051,-76.23137,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4
9,DEG_STR_1,17,48.0,-76.0836,42.7053,1650.0,2022-04-20,0.2642857142857143,29.485714285714288,37.0,44.528571428571425,6.18,74.6,13.8,1.1,1.3,9.2,90.8,1.08,6.33,11.7,6.99,1746.0,57.0,196.0,49.0,35.0,1.8,1036.0,3.0,87.3,3120.6,355.7,42.70534,-76.08362,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0
11,GAB_ALL,17,29.0,-73.6809,42.9236,141.0,2022-04-20,0.24285714285714288,33.9,44.4,54.885714285714286,2.13,66.5,17.0,2.0,2.6,12.0,88.0,0.8,6.4,6.7,6.83,891.0,31.0,138.0,52.0,40.0,1.7,640.0,1.0,93.7,1431.6,249.6,42.92364,-73.68089,Medium,NY138,NY,0.16,30.8,0.41,1.0,0.38,66.7,3.2,4.3,8.0,34.4,0.0,4.0
