Site_ID_and_buffer,Site_ID,buffer_scale,Corn,Open Water,Sweet Corn,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grass/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Barley,Broccoli,Greens,Plums,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Spring Wheat,Winter Wheat,Blueberries,Cabbage,Dbl Crop WinWht/Soybeans,Rye,Oats,Millet,Speltz,Alfalfa,Othe rHay/Non Alfalfa,Buckwheat,Sorghum,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Soybeans,Peas,Tomatoes,Hops,Herbs,Clover/Wildflowers,Sod/Grass Seed,Sunflower,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears
STA_LOT-500,STA_LOT,500,97,0,0,36,28,23,3,6,14,0,7,0,52,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,25,17,0,0,0,0,2,0,0,0,533,0,0,0,0,0,0,0,2,0,0,0,0,0,0
STA_PAD-500,STA_PAD,500,297,1,0,63,37,5,0,1,16,0,2,0,138,2,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,4,0,0,0,0,1,0
STA_CRA-500,STA_CRA,500,24,0,0,74,18,4,0,3,65,0,15,0,155,54,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,1,2,0,0,62,38,0,0,0,43,0,0,0,0,45,0,0,0,0,1,0,0,3,1,0,3,0,0,0
POV_DUN-500,POV_DUN,500,6,0,0,64,12,0,0,0,220,1,156,3,301,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,80,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEG_FES_OVO4-500,DEG_FES_OVO4,500,341,0,0,46,46,3,0,0,81,2,2,0,72,13,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,211,27,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEG_FOU_ELM-500,DEG_FOU_ELM,500,379,0,0,55,10,1,0,0,280,1,7,1,97,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,20,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIL_MCC-500,MIL_MCC,500,80,0,0,16,18,0,0,0,446,2,8,0,84,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,3,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIL_YOD-500,MIL_YOD,500,129,0,0,40,8,3,0,2,181,0,1,0,193,1,0,1,0,0,0,0,0,0,0,0,0,0,64,0,0,0,1,5,0,0,144,41,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIL_CHA-500,MIL_CHA,500,156,0,0,37,12,3,0,0,183,2,18,1,86,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,245,17,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,26,0,0,0,0,0,0
GAB_JUS/GAB_PET-500,GAB_JUS/GAB_PET,500,138,1,0,32,31,9,2,8,79,20,226,1,135,129,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB_STA_1-500,GAB_STA_1,500,258,0,0,40,8,1,0,0,180,3,119,2,124,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB_JON-500,GAB_JON,500,39,0,0,13,17,12,3,1,108,0,13,0,78,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB_KUK-500,GAB_KUK,500,33,0,0,31,31,8,0,0,286,3,12,0,32,40,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GAB_STO-500,GAB_STO,500,140,18,9,1,24,9,1,19,74,0,6,0,329,9,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,126,75,0,1,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,3,0,0,0
GAB_ELL-500,GAB_ELL,500,404,0,0,2,19,24,7,1,136,41,49,2,58,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,11,0,0,0,0,0,1,0,0,77,0,0,0,0,0,0,0,0,0,0,0,2,0,0
GAB_OOM-500,GAB_OOM,500,170,3,3,18,52,10,0,0,239,2,24,1,151,159,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB_HER-500,GAB_HER,500,116,1,0,33,67,20,0,0,214,19,108,2,164,80,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB_DEL-500,GAB_DEL,500,239,1,3,20,20,4,1,3,110,78,168,3,79,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,11,3,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,3,0,0,0,1,0,0
GAB_ALL-500,GAB_ALL,500,5,11,0,63,86,32,7,3,172,5,154,1,130,177,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SEA_HOO_1-500,SEA_HOO_1,500,154,0,5,46,10,7,0,0,91,0,5,0,27,31,0,0,0,0,0,0,0,0,0,0,1,0,121,0,0,0,0,1,0,0,74,20,0,0,1,14,0,0,0,0,117,0,0,0,0,129,0,0,3,0,0,0,14,0,0
ZUE_REE-500,ZUE_REE,500,34,0,6,33,19,5,0,0,82,1,10,0,137,8,0,0,0,0,0,0,0,0,0,0,1,0,81,0,2,0,1,4,0,0,155,33,0,0,0,0,0,0,0,1,219,0,0,0,0,1,0,0,15,0,0,1,17,0,0
ZUE_PED-500,ZUE_PED,500,297,0,18,29,19,1,0,0,186,0,2,0,101,20,2,4,0,0,0,11,0,0,0,0,0,0,6,0,1,0,7,0,0,0,51,21,0,0,0,2,0,0,0,0,55,0,0,18,1,0,0,0,3,0,0,1,6,0,0
MUL_LET-500,MUL_LET,500,258,0,0,55,12,7,0,0,39,0,4,0,52,5,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,361,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
POW_LET-500,POW_LET,500,185,0,0,50,8,0,1,0,120,4,32,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,175,15,0,0,0,7,0,0,0,0,48,0,0,0,0,1,0,0,16,0,0,0,0,0,0
