Site_ID,Corn,Open Water,Sweet Corn,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grass/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Barley,Broccoli,Greens,Plums,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Spring Wheat,Winter Wheat,Blueberries,Cabbage,Dbl Crop WinWht/Soybeans,Rye,Oats,Millet,Speltz,Alfalfa,Othe rHay/Non Alfalfa,Buckwheat,Sorghum,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Soybeans,Peas,Tomatoes,Hops,Herbs,Clover/Wildflowers,Sod/Grass Seed,Sunflower,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Dev,Dev_Prop,Other,Other_Prop
STA_LOT,2857,3,10,810,506,134,30,17,1228,9,91,0,1109,608,5,1,0,0,0,0,0,0,0,0,1,0,849,0,0,0,13,2,0,0,784,667,0,0,0,168,2,0,0,1,3879,0,0,0,0,11,0,19,40,0,0,5,7,2,0,15868,8611,0.542664482,1958,0.123392992,1109,0.069889085,1497,0.094340812,3,0.00018906
STA_PAD,2626,5,1,1124,715,63,6,9,2721,23,256,8,3059,882,24,0,0,0,0,0,0,0,0,1,0,0,575,0,0,0,4,5,0,0,313,333,0,0,0,0,0,0,0,0,1041,0,0,0,0,7,0,0,53,1,0,2,5,4,0,15866,4585,0.28898273,3923,0.247258288,3059,0.192802219,1917,0.120824404,5,0.000315139
STA_CRA,1550,11,0,689,217,34,7,7,3241,53,366,8,2069,2284,75,0,0,0,0,0,0,0,0,1,0,0,621,0,2,0,2,4,0,0,423,437,0,0,0,214,0,0,0,0,1429,0,0,0,0,3,0,0,30,3,0,77,8,6,0,15871,4343,0.273643753,6034,0.380190284,2069,0.130363556,954,0.060109634,11,0.000693088
POV_DUN,88,78,2,1221,408,94,21,123,3835,228,2681,30,3400,277,35,3,0,0,0,0,0,0,0,0,0,0,8,1,1,0,1,1,0,0,377,901,0,1,0,0,0,0,0,0,10,0,0,0,0,14,0,9,7,0,0,1,2,1,1,15860,521,0.032849937,7209,0.454539723,3400,0.214375788,1867,0.117717528,78,0.004918033
DEG_FES_OVO4,2245,0,2,756,267,31,9,5,4703,411,348,13,1838,122,6,3,0,1,0,0,0,1,0,0,0,0,562,0,0,0,3,3,0,0,1866,612,0,2,0,2,0,0,0,0,43,0,0,0,0,2,0,0,10,0,0,2,0,0,0,15868,4737,0.298525334,5608,0.353415679,1838,0.115830602,1068,0.067305268,0,0
DEG_FOU_ELM,3502,1,2,638,449,69,5,7,2965,142,343,16,2313,291,17,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,5,0,0,1342,1657,0,0,0,1,1,0,0,0,70,0,0,0,0,9,0,0,4,0,0,0,0,5,1,15862,4945,0.311751355,3781,0.238368428,2313,0.145820199,1168,0.073635103,1,6.30E-05
MIL_MCC,1591,6,22,1066,765,241,34,406,3751,85,109,36,3109,573,27,1,0,0,0,0,0,0,0,0,0,0,28,0,0,0,3,25,0,0,906,362,0,0,0,7,0,1,0,1,691,0,0,0,0,3,0,0,15,0,0,0,2,0,0,15866,3281,0.206794403,4987,0.314319929,3109,0.195953611,2512,0.15832598,6,0.000378167
MIL_YOD,1895,1,0,649,123,60,14,7,3506,42,94,15,2832,233,17,2,0,0,0,0,0,0,0,1,0,2,204,0,1,0,3,72,0,0,2697,846,1,4,0,10,0,0,0,0,504,0,0,0,0,18,0,0,10,0,0,1,0,2,0,15866,5417,0.341421908,3914,0.246691037,2832,0.178494895,853,0.053762763,1,6.30E-05
MIL_CHA,3300,26,1,633,170,69,6,3,3388,460,427,13,1644,220,3,1,0,0,0,0,0,0,1,0,0,0,209,0,1,0,0,2,0,0,1884,305,0,0,0,22,0,0,0,0,965,0,0,0,0,0,0,0,109,0,0,0,0,0,0,15862,6386,0.402597403,4514,0.284579498,1644,0.103643929,881,0.055541546,26,0.001639138
GAB_JUS/GAB_PET,301,644,0,1156,451,137,25,111,980,629,3368,10,2481,1583,326,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,2,0,0,1383,196,0,1,0,0,0,0,0,0,59,0,0,0,0,1,0,0,8,0,0,0,0,0,4,15868,1763,0.111104109,7007,0.441580539,2481,0.156352407,1880,0.118477439,644,0.040584825
GAB_STA_1,1203,3,1,894,935,740,559,72,2517,214,2664,18,1433,1471,20,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,741,332,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15864,1990,0.125441251,6976,0.439737771,1433,0.090330308,3200,0.201714574,3,0.000189107
GAB_JON,131,43,0,664,270,120,19,7,6506,617,1404,11,1251,1346,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,72,107,0,0,0,0,0,0,0,0,1265,0,0,0,0,1,0,0,3,0,0,0,0,0,0,15860,1471,0.092749054,9912,0.624968474,1251,0.07887768,1080,0.068095839,43,0.002711223
GAB_KUK,194,321,0,708,899,306,15,18,6841,253,338,10,1914,816,21,0,0,26,0,0,0,0,0,0,0,0,1,10,0,0,33,51,0,0,127,180,0,0,0,0,0,0,0,1,726,0,0,0,0,2,1,0,12,0,0,37,0,0,2,15863,1211,0.076341171,8297,0.523041039,1914,0.120658135,1946,0.122675408,321,0.020235769
GAB_STO,2436,176,12,433,742,308,31,244,2626,218,206,7,3480,814,36,1,0,35,0,0,0,0,0,0,1,0,63,2,0,0,20,78,0,0,660,464,0,2,0,0,0,0,0,0,583,1,0,0,0,5,2,0,21,0,0,161,0,0,0,15868,4062,0.255986892,4151,0.261595664,3480,0.219309302,1758,0.110789009,176,0.011091505
