field_id,date,ppt_in,tmin_f,tmean_f,tmax_f,tdmean_f,vpdmin_hPa,vpdmax_hPa
POV_DUN,1/1/23,0.02,36.3,43.8,51.3,42.9,0.11,2.88
POV_DUN,1/2/23,0,36.8,40.4,44.1,33.1,0.89,3.86
POV_DUN,1/3/23,0,29.2,39.2,49.2,34,0.13,4.86
POV_DUN,1/4/23,0.51,38.3,44.9,51.5,44.7,0,1.43
POV_DUN,1/5/23,0.21,37,47,56.9,46.8,0.16,3.53
POV_DUN,1/6/23,0,32.2,41,49.7,33,0.21,5.74
POV_DUN,1/7/23,0.12,32.1,34.5,36.9,29.5,0.2,1.97
POV_DUN,1/8/23,0.06,25.7,30.7,35.7,25.5,0.49,1.86
POV_DUN,1/9/23,0,23.7,29.5,35.2,21.3,0.45,2.99
POV_DUN,1/10/23,0,26.6,32.7,38.8,24.5,0.47,3.91
POV_DUN,1/11/23,0,25,28.5,32,23.8,0.6,1.46
POV_DUN,1/12/23,0.01,25.2,32.1,39,25.9,0.64,3.21
POV_DUN,1/13/23,0.75,32.1,38.3,44.5,37.3,0.13,1.52
POV_DUN,1/14/23,0.06,19.3,26,32.7,22.8,0.21,0.98
POV_DUN,1/15/23,0.05,17,19.3,21.5,15.3,0.42,0.84
POV_DUN,1/16/23,0,17.2,21.1,25.1,16.3,0.31,1.11
POV_DUN,1/17/23,0.01,17.2,25.8,34.4,17.1,0.36,3.14
POV_DUN,1/18/23,0.09,26.4,33.7,41,31.7,0.21,2.06
POV_DUN,1/19/23,0.07,33,36.7,40.4,32.9,0.29,2.2
POV_DUN,1/20/23,0.67,33.2,36.9,40.6,34.5,0.19,1.81
POV_DUN,1/21/23,0.3,28.2,33.1,38,29,0.25,1.78
POV_DUN,1/22/23,0,28.1,29.5,30.9,23.3,0.66,1.67
POV_DUN,1/23/23,0.44,29,32.1,35.2,27.7,0.09,2.35
POV_DUN,1/24/23,0.03,26.5,29,31.5,24.8,0.1,1.61
POV_DUN,1/25/23,0,18.4,25.6,32.7,22.1,0.3,2.02
POV_DUN,1/26/23,0.26,25.3,31.7,38.2,29.2,0.17,2.13
POV_DUN,1/27/23,0.05,20.4,28.2,35.9,22.3,0.28,2.66
POV_DUN,1/28/23,0,25.1,30.6,36.2,19.5,0.52,3.34
POV_DUN,1/29/23,0,23.6,33.2,42.8,21.6,0.45,5.73
POV_DUN,1/30/23,0.03,26.6,35,43.4,29.6,0.26,3.64
POV_DUN,1/31/23,0.1,20.6,25.5,30.4,24.2,0.27,0.98
POV_DUN,2/1/23,0,7.9,15.8,23.8,8.8,0.31,2.07
POV_DUN,2/2/23,0,6.1,16.3,26.5,6.8,0.3,2.72
POV_DUN,2/3/23,0.05,6.1,20.9,35.6,9.1,0.32,4.79
POV_DUN,2/4/23,0.01,-10.5,-0.5,9.4,-9.3,0.23,1.1
POV_DUN,2/5/23,0,-8.6,8.2,25,-0.3,0.27,2.42
POV_DUN,2/6/23,0.03,23.7,33.6,43.6,23,0.44,5.72
POV_DUN,2/7/23,0,19.2,27.3,35.5,22.1,0.37,1.72
POV_DUN,2/8/23,0,21.4,31.9,42.4,27,0.61,4.64
POV_DUN,2/9/23,0.01,25.8,35,44.2,24.7,0.6,5.3
POV_DUN,2/10/23,0.1,33.1,42.5,51.9,38,0.55,3.78
POV_DUN,2/11/23,0.01,25.8,34.5,43.2,25.5,0.69,3.54
POV_DUN,2/12/23,0,20.3,27.3,34.3,18.6,0.46,3.12
POV_DUN,2/13/23,0,20.8,35,49.1,19.1,0.42,9.1
POV_DUN,2/14/23,0,22.1,36.9,51.7,23.3,0.47,9.67
POV_DUN,2/15/23,0,27.6,38.9,50.2,23.2,0.66,8.79
POV_DUN,2/16/23,0,32.5,49.8,67,33.8,0.53,15.6
POV_DUN,2/17/23,0.04,31.7,43.5,55.3,39.2,0.46,4.91
POV_DUN,2/18/23,0.05,15.3,29.4,43.4,18.7,0.38,1.72
POV_DUN,2/19/23,0,15.7,29.1,42.4,16.3,0.64,6.41
POV_DUN,2/20/23,0,29,38.6,48.2,22.3,1.58,7.74
POV_DUN,2/21/23,0,26.3,38,49.7,26.2,0.48,6.91
POV_DUN,2/22/23,0.07,23.9,34.4,44.9,24.4,0.5,4.93
POV_DUN,2/23/23,0.64,26.5,30.9,35.3,27.4,0.15,2.17
POV_DUN,2/24/23,0.07,25.1,32.6,40.1,31,0.13,1.86
POV_DUN,2/25/23,0.03,13.3,19.5,25.8,11.4,0.49,1.8
POV_DUN,2/26/23,0.08,14.6,21.9,29.1,16.9,0.29,1.88
POV_DUN,2/27/23,0,22.2,32.4,42.6,20,0.69,5.54
POV_DUN,2/28/23,0.41,23.2,31.5,39.8,22.1,0.35,5.35
POV_DUN,3/1/23,0.06,21.2,29,36.8,25.3,0.29,2.22
POV_DUN,3/2/23,0.01,23.9,33.6,43.3,28.7,0.32,4.33
POV_DUN,3/3/23,0,24.9,32.5,40.1,27.9,0.31,2.71
POV_DUN,3/4/23,0.43,26.7,34,41.2,27,0.17,5.11
POV_DUN,3/5/23,0.06,28.8,33,37.1,28.9,0.19,1.58
POV_DUN,3/6/23,0,29.6,34.5,39.4,30,0.56,2.38
POV_DUN,3/7/23,0,26.8,33.6,40.4,20.6,0.62,4.97
POV_DUN,3/8/23,0,24.7,28.7,32.6,18.9,0.73,2.88
POV_DUN,3/9/23,0,22.2,26.4,30.6,20.6,0.42,1.9
POV_DUN,3/10/23,0,19.2,25.7,32.3,20.8,0.3,1.92
POV_DUN,3/11/23,0.36,21.7,29.2,36.7,27.3,0.12,2.94
POV_DUN,3/12/23,0.02,13.2,20.7,28.2,20.1,0.19,1.2
POV_DUN,3/13/23,0.05,14.8,25.6,36.5,24.7,0.26,3.09
POV_DUN,3/14/23,0.24,26.9,31.9,37,29.1,0.16,1.61
POV_DUN,3/15/23,0.33,23,25.5,28.1,21.5,0.39,1.43
POV_DUN,3/16/23,0,14.5,24.6,34.6,13.2,0.48,4.28
POV_DUN,3/17/23,0.18,22.1,37.4,52.7,23.5,0.38,10.07
POV_DUN,3/18/23,0.28,31.5,39.1,46.8,33.4,0.41,2.79
POV_DUN,3/19/23,0,19.3,29.4,39.5,16.3,0.69,4.67
POV_DUN,3/20/23,0,17.1,24.2,31.3,12,0.73,3.46
POV_DUN,3/21/23,0,21.5,35.1,48.7,14.5,0.81,9.63
POV_DUN,3/22/23,0,28.9,42.5,56.1,24.1,0.77,10.97
POV_DUN,3/23/23,0,33.8,46.6,59.4,28.5,1.77,13.28
POV_DUN,3/24/23,0.23,30.8,43.8,56.7,38,0.47,4.92
POV_DUN,3/25/23,0.04,27.8,35.9,43.9,26,0.61,4.9
POV_DUN,3/26/23,0.26,33.7,39,44.2,32.9,0.37,3.49
POV_DUN,3/27/23,0,26.4,39.6,52.8,21.6,0.8,10.38
POV_DUN,3/28/23,0.22,29.5,38.9,48.4,30.6,0.15,6.82
POV_DUN,3/29/23,0,24.5,34.2,43.9,27.2,0.24,4.66
POV_DUN,3/30/23,0.08,20.1,35.5,51,20.5,0.25,8.81
POV_DUN,3/31/23,0,21.4,28.9,36.3,17,0.73,4.22
POV_DUN,4/1/23,0.35,30.4,41.5,52.6,36.8,0.43,4.82
POV_DUN,4/2/23,0.07,24.1,46.9,69.7,31.5,0.68,19.78
POV_DUN,4/3/23,0,23.6,30.1,36.6,12.6,1.33,5.05
POV_DUN,4/4/23,0.22,32.3,47.7,63,33.3,0.21,13.77
POV_DUN,4/5/23,0,39.8,51.7,63.5,41.4,0.42,10.3
POV_DUN,4/6/23,0.69,48.7,59.7,70.7,53.9,0.46,11.28
POV_DUN,4/7/23,0,32.6,46.7,60.8,31.7,1.45,8.1
POV_DUN,4/8/23,0,22.7,32.3,42,19.2,0.73,5.44
POV_DUN,4/9/23,0,22.3,34.6,46.9,17.9,0.57,7.99
POV_DUN,4/10/23,0,24.9,38.6,52.4,20,0.6,10.16
POV_DUN,4/11/23,0,30.5,47.3,64.1,22.4,1.28,17.3
POV_DUN,4/12/23,0,38.3,54,69.7,33,3.03,18.88
POV_DUN,4/13/23,0,44.5,60.9,77.4,41.2,1.52,22.87
POV_DUN,4/14/23,0,43.9,64.2,84.5,43.1,1.12,30.7
POV_DUN,4/15/23,0,49.9,66.7,83.6,42.8,2.3,31.16
POV_DUN,4/16/23,0.14,50.9,65.5,80.1,52.4,0.54,21.9
POV_DUN,4/17/23,0.51,43.4,60.6,77.7,51,0.49,19.73
POV_DUN,4/18/23,0.06,37.1,45.9,54.7,33.5,0.97,8.34
POV_DUN,4/19/23,0.04,33.9,38.5,43.1,28.1,1.07,4.56
POV_DUN,4/20/23,0,34.1,40.9,47.7,28.9,1.2,5.74
POV_DUN,4/21/23,0,38.1,51.3,64.5,37.6,2,12.92
POV_DUN,4/22/23,0,50.2,67.4,84.5,46.5,1.39,32.28
POV_DUN,4/23/23,0.28,43.4,57.9,72.4,45.7,0.52,17.34
POV_DUN,4/24/23,0.13,30.2,41.8,53.3,35.1,0.18,6.27
POV_DUN,4/25/23,0.19,28.9,39.1,49.2,32.4,0.1,6.12
POV_DUN,4/26/23,0,29.9,40.3,50.6,27.9,0.49,8.07
POV_DUN,4/27/23,0.12,33.8,42.6,51.5,35.5,0.34,6.23
POV_DUN,4/28/23,0,38.3,48.8,59.3,35.2,0.59,11.22
POV_DUN,4/29/23,0.26,41.3,49.7,58.2,39.3,0.46,8.25
POV_DUN,4/30/23,0.18,42.3,47.4,52.6,45.9,0.42,2.83
POV_DUN,5/1/23,1.82,40.9,47.8,54.8,46,0.35,2.15
POV_DUN,5/2/23,0.06,37.4,45.1,52.7,36.3,0.72,6.98
POV_DUN,5/3/23,0.19,37,43.4,49.8,35,0.5,6.08
POV_DUN,5/4/23,0.11,37.6,42.7,47.8,37.2,0.49,4.13
POV_DUN,5/5/23,0.01,36.1,44.6,53.1,39.7,0.15,5.26
POV_DUN,5/6/23,0,33,45.8,58.6,38.3,0.1,8.72
POV_DUN,5/7/23,0,34.4,49.7,64.9,37.3,0.29,13.69
POV_DUN,5/8/23,0.16,43.7,58.1,72.5,43.8,0.45,20.1
POV_DUN,5/9/23,0,35.5,50,64.5,36.8,0.59,13.56
POV_DUN,5/10/23,0,31.6,45.7,59.8,30.9,0.34,12.12
POV_DUN,5/11/23,0,36.2,51.5,66.9,36.3,0.15,15.65
POV_DUN,5/12/23,0,44.8,60.1,75.4,44.1,0.77,20.27
POV_DUN,5/13/23,0,46.2,63.3,80.5,46.5,0.69,25.27
POV_DUN,5/14/23,0,37.3,54.2,71,38.1,0.57,18.45
POV_DUN,5/15/23,0,31,44.2,57.3,32.6,0.25,9.74
POV_DUN,5/16/23,0,33.6,51.9,70.2,32.2,0.24,19.39
POV_DUN,5/17/23,0,37.5,56,74.5,32.9,1.98,23.7
POV_DUN,5/18/23,0,24.8,36.3,47.7,23.6,0.4,7.27
POV_DUN,5/19/23,0,32.7,49.1,65.4,30.2,1.63,16.86
POV_DUN,5/20/23,0,51.9,61.8,71.7,46.2,4.05,15.44
POV_DUN,5/21/23,0.16,45.4,57,68.6,47.8,0.48,11.79
POV_DUN,5/22/23,0,40.2,55.1,70.1,45.1,0.23,15.02
POV_DUN,5/23/23,0,41.5,55.3,69.1,45.3,0.37,13.37
POV_DUN,5/24/23,0,48.9,62.8,76.8,48.7,1.71,20.85
POV_DUN,5/25/23,0,32.7,51.5,70.4,41.3,0.41,12.97
POV_DUN,5/26/23,0,31,44.7,58.3,34.6,0.13,9.72
POV_DUN,5/27/23,0,34.2,50.9,67.5,34.1,0.48,16.83
POV_DUN,5/28/23,0,41.3,58.8,76.4,40.1,0.44,23.55
POV_DUN,5/29/23,0,42.4,62.2,81.9,42.8,0.82,27.49
POV_DUN,5/30/23,0,51.4,68.4,85.4,46.6,3.17,31.22
POV_DUN,5/31/23,0,49.1,65.8,82.4,46.2,1.8,26.84
POV_DUN,6/1/23,0,50.6,68.1,85.6,50.7,0.99,30.31
POV_DUN,6/2/23,0,51.7,69.3,86.9,51.4,0.63,31.93
POV_DUN,6/3/23,0,55.5,72.2,89,55,0.96,34.06
POV_DUN,6/4/23,0,40.2,58.2,76.2,46.9,0.83,18.44
POV_DUN,6/5/23,0,41.6,54.5,67.4,36.3,0.59,17.08
POV_DUN,6/6/23,0.06,44.4,57.6,70.8,40.8,0.68,18.7
POV_DUN,6/7/23,0,39.2,52.3,65.5,44.3,0.14,10.7
POV_DUN,6/8/23,0,44.5,53.5,62.6,40.1,0.67,13.19
POV_DUN,6/9/23,0.22,44.5,51.3,58,47.1,0.24,5.46
POV_DUN,6/10/23,0.24,45,54.1,63.3,48.5,0.14,8.93
POV_DUN,6/11/23,0,48,61.4,74.8,49.2,0.28,18.58
POV_DUN,6/12/23,0,58.9,70.5,82.2,51.4,3.19,27.22
POV_DUN,6/13/23,0.95,52.6,63.2,73.7,57.4,0.61,11.13
POV_DUN,6/14/23,0.13,53,62.3,71.6,48.1,0.84,16.36
POV_DUN,6/15/23,0.91,54.6,59.8,64.9,53.4,1.08,6.3
POV_DUN,6/16/23,0,55.7,64.8,73.8,53,1.14,16.02
POV_DUN,6/17/23,0.52,54.9,58,61.1,55.6,0.61,2.98
POV_DUN,6/18/23,0,49.8,60.5,71.1,49,0.57,16.81
POV_DUN,6/19/23,0,49.3,61.1,73,53.1,0.23,13.53
POV_DUN,6/20/23,0.01,56.8,68.4,80,55.8,1.46,20.81
POV_DUN,6/21/23,0.01,53.2,66.7,80.3,58.2,0.05,18.95
POV_DUN,6/22/23,0,49.7,63.5,77.4,54,0.45,17.59
POV_DUN,6/23/23,0,59.7,68.7,77.8,58,2.81,15.7
POV_DUN,6/24/23,0.31,64.8,69.8,74.9,64.2,0.54,9.22
POV_DUN,6/25/23,0.05,64.3,71.7,79.1,65.1,0.81,12.78
POV_DUN,6/26/23,0.07,64.7,74,83.2,65.1,0.8,18.41
POV_DUN,6/27/23,1,61.2,70.7,80.1,63.5,0.73,13.85
POV_DUN,6/28/23,0.71,61.3,70.7,80,62.7,0.85,15.34
POV_DUN,6/29/23,0.04,56.7,60,63.3,57.5,0.68,3.26
POV_DUN,6/30/23,0,54.8,65.7,76.7,56.4,0.44,16.49
POV_DUN,7/1/23,0,62.3,72.6,82.9,61.2,1.61,20.85
POV_DUN,7/2/23,0.02,67.4,74.5,81.6,65.3,1.69,15
POV_DUN,7/3/23,1.38,65.2,72.1,79,65.8,0.85,11.19
POV_DUN,7/4/23,2.16,66.4,72.4,78.5,66.7,0.88,10.53
POV_DUN,7/5/23,0.08,60.1,71.4,82.7,63.7,0.44,17.75
POV_DUN,7/6/23,0,63.4,75.4,87.5,64.5,0.83,24.79
POV_DUN,7/7/23,0.09,66.1,78,89.9,65.3,1.13,29.92
POV_DUN,7/8/23,0.18,60.4,71.1,81.8,64.4,0.91,14.33
POV_DUN,7/9/23,0.04,62.7,72.5,82.2,61.4,0.75,20.23
POV_DUN,7/10/23,0.12,63.6,69.9,76.2,63.4,0.85,9.81
POV_DUN,7/11/23,0,54.3,65,75.8,57.9,0.46,12.86
POV_DUN,7/12/23,0,60,72.6,85.2,60.4,0.69,23.65
POV_DUN,7/13/23,0.3,64.4,72.3,80.2,64.3,0.41,14.92
POV_DUN,7/14/23,0.4,61.4,72.8,84.1,63.1,0.85,18.86
POV_DUN,7/15/23,0,62.1,72.1,82.1,63.1,0.55,18.19
POV_DUN,7/16/23,0.06,64.8,75.3,85.8,64.9,0.65,23.21
POV_DUN,7/17/23,0.22,60.6,70.8,81.1,64.1,0.69,15.06
POV_DUN,7/18/23,0,62.9,72.9,82.9,63.5,0.88,19.67
POV_DUN,7/19/23,0.21,60.5,70.4,80.4,62.2,0.97,15.32
POV_DUN,7/20/23,0,53.4,66.2,79.1,56.6,0.43,18.69
POV_DUN,7/21/23,0.17,59,70.6,82.1,59.3,0.77,21.15
POV_DUN,7/22/23,0.21,54.3,64.6,74.9,58.8,0.38,11.42
POV_DUN,7/23/23,0,53.7,66.2,78.7,55.7,0.62,18.8
POV_DUN,7/24/23,0.09,57.9,70.1,82.2,57.3,0.83,23.4
POV_DUN,7/25/23,0.56,57.7,69.3,80.9,60.8,0.42,17.07
POV_DUN,7/26/23,0.05,57.6,67.9,78.2,61.6,0.24,14.16
POV_DUN,7/27/23,0.13,62.7,74,85.2,63.4,0.49,24.79
POV_DUN,7/28/23,0.04,66.2,74.5,82.8,67.7,0.84,14.44
POV_DUN,7/29/23,0,66.7,77.3,87.9,67.6,0.78,24.06
POV_DUN,7/30/23,1.15,54.3,67.6,80.9,61,0.47,11.81
POV_DUN,7/31/23,0,51.6,62,72.5,51.3,0.54,15.43
POV_DUN,8/1/23,0.07,50,61.4,72.7,53.6,0.31,13.46
POV_DUN,8/2/23,0,45.2,58.7,72.2,47.9,0.36,16.72
POV_DUN,8/3/23,0,51.7,64.4,77.1,50.4,1.56,21.09
POV_DUN,8/4/23,0,61.2,71,80.8,61,1.58,17.74
POV_DUN,8/5/23,0,57.6,69.4,81.3,61.9,0.23,19.47
POV_DUN,8/6/23,0,48.4,62.1,75.8,55.5,0.21,14.7
POV_DUN,8/7/23,0.55,54.4,67.9,81.3,61.5,0.49,19.15
POV_DUN,8/8/23,0.71,64.2,73,81.8,66.5,0.86,13.32
POV_DUN,8/9/23,0.21,56.7,62.1,67.5,59.4,0.52,5.15
POV_DUN,8/10/23,0.05,57.8,68.4,78.9,59.8,0.21,16.57
