Field ID,Date Collected,N.SCM.I.M,N.SCM.I.F,N.SCM.O.M,N.SCM.O.F,N.D.Florilega.I,N.D.Florilega.O
DEG_DIE_HILL,6/23/23, , , , , , 
DEG_DIE_HILL,6/23/23,109,84,60,51,14,10
DEG_DIE_HILL,6/13/23,50,23,6,2,1,0
DEG_DIE_HILL,6/13/23, , , , , , 
DEG_DIE_HILL,6/1/23,7,2,4,5,0,0
DEG_DIE_HILL,6/1/23, , , , , , 
DEG_DIE_HILL,5/26/23, , , , , , 
DEG_DIE_HILL,5/26/23,41,31,20,8,0,0
DEG_DIE_HILL,5/18/23, , , , , , 
DEG_DIE_HILL,5/18/23,21,0,4,3,0,0
DEG_DIE_HILL,5/11/23, , , , , , 
DEG_DIE_HILL,5/11/23,80,18,36,15,3,0
DEG_DIE_HILL,5/4/23, , , , , , 
DEG_DIE_HILL,5/4/23,40,20,136,128,9,44
DEG_DIE_HILL,4/27/23, , , , , , 
DEG_DIE_HILL,4/27/23,43,9,51,12,0,0
DEG_DIE_HILL,4/21/23, , , , , , 
DEG_DIE_HILL,4/21/23,16,10,7,5,0,0
DEG_DIE_SWC,6/23/23, , , , , , 
DEG_DIE_SWC,6/23/23,25,15,10,11,0,10
DEG_DIE_SWC,6/13/23,22,7,1,0,0,1
DEG_DIE_SWC,6/13/23, , , , , , 
DEG_DIE_SWC,6/1/23,6,3,3,2,0,0
DEG_DIE_SWC,6/1/23, , , , , , 
DEG_DIE_SWC,5/26/23, , , , , , 
DEG_DIE_SWC,5/26/23,8,8,0,4,0,0
DEG_DIE_SWC,5/18/23, , , , , , 
DEG_DIE_SWC,5/18/23,1,3,0,1,0,0
DEG_DIE_SWC,5/11/23, , , , , , 
DEG_DIE_SWC,5/11/23,1,1,2,1,0,1
DEG_DIE_SWC,5/4/23, , , , , , 
DEG_DIE_SWC,5/4/23,5,10,4,3,0,1
DEG_DIE_SWC,4/27/23, , , , , , 
DEG_DIE_SWC,4/27/23,7,8,6,7,0,0
DEG_DIE_SWC,4/21/23, , , , , , 
DEG_DIE_SWC,4/21/23,9,26,0,3,0,0
DEG_FOU_WOOD,6/26/23, , , , , , 
DEG_FOU_WOOD,6/26/23,16,16,2,1,0,0
DEG_FOU_WOOD,6/13/23,39,14,18,11,0,4
DEG_FOU_WOOD,6/13/23, , , , , , 
DEG_FOU_WOOD,6/1/23,30,14,10,6,0,0
DEG_FOU_WOOD,6/1/23, , , , , , 
DEG_FOU_WOOD,5/25/23, , , , , , 
DEG_FOU_WOOD,5/25/23,20,26,5,13,0,0
DEG_FOU_WOOD,5/18/23, , , , , , 
DEG_FOU_WOOD,5/18/23,17,36,8,7,0,1
DEG_FOU_WOOD,5/12/23, , , , , , 
DEG_FOU_WOOD,5/12/23,4,2,1,0,0,0
DEG_FOU_WOOD,5/4/23, , , , , , 
DEG_FOU_WOOD,5/4/23, , , , , , 
DEG_FOU_WOOD,4/27/23, , , , , , 
DEG_FOU_WOOD,4/27/23,17,6,20,18,0,0
DEG_FOU_WOOD,4/21/23, , , , , , 
DEG_FOU_WOOD,4/21/23,19,25,9,6,1,0
DEG_PER_STRIP,6/23/23, , , , , , 
DEG_PER_STRIP,6/23/23, , , , , , 
DEG_PER_STRIP,6/13/23,25,13,1,0,2,0
DEG_PER_STRIP,6/13/23, , , , , , 
DEG_PER_STRIP,6/1/23,1,1,1,0,0,0
DEG_PER_STRIP,6/1/23, , , , , , 
DEG_PER_STRIP,5/25/23, , , , , , 
DEG_PER_STRIP,5/25/23,3,1,1,0,0,0
DEG_PER_STRIP,5/19/23, , , , , , 
DEG_PER_STRIP,5/19/23,1,5,9,15,0,0
DEG_PER_STRIP,5/12/23, , , , , , 
DEG_PER_STRIP,5/12/23,4,2,6,3,0,0
DEG_PER_STRIP,5/4/23, , , , , , 
DEG_PER_STRIP,5/4/23,11,10,5,11,1,1
DEG_PER_STRIP,4/27/23, , , , , , 
DEG_PER_STRIP,4/27/23,26,13,4,3,0,0
DEG_PER_STRIP,4/20/23, , , , , , 
DEG_PER_STRIP,4/20/23,6,4,2,3,0,0
DEG_VIL,6/22/23, , , , , , 
DEG_VIL,6/22/23, , , , , , 
DEG_VIL,6/13/23,32,15,14,6,0,0
DEG_VIL,6/13/23, , , , , , 
DEG_VIL,6/1/23,30,21,15,25,0,0
DEG_VIL,6/1/23, , , , , , 
DEG_VIL,5/25/23, , , , , , 
DEG_VIL,5/25/23,70,46,23,17,0,0
DEG_VIL,5/18/23, , , , , , 
DEG_VIL,5/18/23,3,1,1,1,1,1
DEG_VIL,5/11/23, , , , , , 
DEG_VIL,5/11/23,34,16,18,18,5,0
DEG_VIL,5/4/23, , , , , , 
DEG_VIL,5/4/23,91,87,66,60,0,0
DEG_VIL,4/27/23, , , , , , 
DEG_VIL,4/27/23,43,37,17,10,2,0
DEG_VIL,4/20/23, , , , , , 
DEG_VIL,4/20/23,1,2,2,14,0,0
DEG_YOU_BOCES,6/23/23, , , , , , 
DEG_YOU_BOCES,6/23/23,23,15,42,27,1,0
