Field ID,Soil Texture
POV_DUN,4
DIP_FLE,5
DIP_CUR,4
GAB_STE,5
SMI_CRO,5
SMI_CAN,5
SMI_KEL,5
SMI_COB,4
SMI_DOU,5
SMI_MCC,5
SMI_HOL,5
DIP_PAT,5
MIL_YOD,5
MIL_CHA,5
MIL_MCC,5
KAT_SAU,5
KAT_SAU_2,5
KAT_TEE,5
KAT_TEE_2,5
KAT_HAB_2,5
KAT_HAB,5
KAT_BAR,5
SMI_LAT,5
SMI_DUR,5
SMI_HOF,5
SMI_JOH,5
SMI_JOH_2,5
GAB_ALL,5
KAT_JEF,5
KAT_JEF_2,5
STA_WIL,4
STA_HEM_2,4
STA_HEM,4
STA_SWE,5
STA_COL,5
WIS_COO_2,5
WIS_COO,5
LET_NOB,4
LET_TAB,5
WIS_HIG,5
WIS_MEG,4
WIS_KEN,4
ZUE_REE,4
DEG_PER_STRIP,5
DEG_FOU_WOOD,5
DEG_DIE_HILL,5
DEG_DIE_SWC,5
DEG_YOU_BOCES,5
DEG_YOU_OSHEA,5
DEG_YOU_JONES,5
DEG_VIL,5
SEA_HOO,4
MIL_HUM,5
ONE_TER,4
ONE_ADO,4
ONE_STA,5
