field_id,collection_date,seed_type,number_seeds,scm_larvae_sum,scm_pupae_sum,scm_seeds
POV_DUN,4/18/23,Corn,10,0,0,0
POV_DUN,4/18/23,Bean,11,1,0,1
DIP_CUR,4/18/23,Bean,5,0,17,0
DIP_CUR,4/18/23,Corn,9,0,0,0
DIP_PAT,4/18/23,Corn,10,0,0,0
DIP_FLE,4/18/23,Bean,10,0,32,0
DIP_PAT,4/18/23,Bean,10,0,0,0
DIP_FLE,4/18/23,Corn,9,0,2,0
GAB_STE,4/17/23,Corn,10,0,0,0
GAB_STE,4/17/23,Bean,10,0,0,0
GAB_ALL,4/17/23,Bean,8,1,2,1
GAB_ALL,4/17/23,Corn,10,0,0,0
SMI_DOU,4/17/23,Bean,9,0,0,0
SMI_DOU,4/17/23,Corn,10,0,0,0
SMI_LAT,4/18/23,Corn,10,0,0,0
SMI_LAT,4/18/23,Bean,10,0,0,0
SMI_LAT,4/18/23,Corn,10,0,0,0
SMI_HOF,4/18/23,Corn,10,0,0,0
SMI_HOF,4/18/23,Bean,8,0,0,0
SMI_HOL,4/17/23,Corn,9,0,0,0
SMI_HOL,4/17/23,Bean,6,0,8,0
SMI_CAN,4/17/23,Bean,10,0,0,0
SMI_CAN,4/17/23,Corn,10,0,0,0
SMI_KEL,4/17/23,Corn,10,0,0,0
SMI_KEL,4/17/23,Bean,9,0,0,0
SMI_DUR,4/18/23,Bean,10,0,0,0
SMI_DUR,4/18/23,Corn,10,0,0,0
SMI_CRO,4/17/23,Bean,3,0,0,0
SMI_CRO,4/17/23,Corn,10,0,0,0
SMI_MCC,4/17/23,Corn,10,0,0,0
SMI_MCC,4/17/23,Bean,10,0,1,0
SMI_COB,4/17/23,Corn,10,0,0,0
SMI_COB,4/17/23,Bean,10,0,0,0
SMI_JOH,4/18/23,Bean,10,0,0,0
SMI_JOH_2,4/18/23,Corn,10,0,0,0
SMI_JOH_2,4/18/23,Corn,10,0,0,0
SMI_JOH_2,4/18/23,Bean,8,0,5,0
STA_COL,4/20/23,Corn,10,0,0,0
STA_COL,4/20/23,Bean,11,0,0,0
STA_HEM_2,4/20/23,Bean,10,1,0,1
STA_HEM_2,4/20/23,Corn,10,0,0,0
STA_SWE,4/20/23,Bean,9,0,0,0
STA_SWE,4/20/23,Corn,10,0,0,0
STA_WIL,4/20/23,Bean,11,0,0,0
STA_WIL,4/20/23,Corn,10,0,0,0
STA_HEM,4/20/23,Corn,10,0,0,0
STA_HEM,4/20/23,Bean,10,0,15,0
MIL_MCC,4/27/23,Corn,10,0,0,0
MIL_MCC,4/27/23,Bean,8,0,0,0
MIL_YOD,4/27/23,Bean,,1,0,0
MIL_CHA,4/27/23,Corn,10,0,0,0
MIL_YOD,4/27/23,Corn,10,0,0,0
LET_NOB,4/24/23,Corn,10,0,0,0
LET_TAB,4/24/23,Bean,9,2,2,1
LET_TAB,4/24/23,Corn,10,0,0,0
LET_NOB,4/24/23,Bean,10,0,0,0
WIS_MEG,4/21/23,Corn,9,0,0,0
WIS_COO,4/19/23,Bean,8,0,0,0
WIS_COO,4/19/23,Corn,10,0,0,0
WIS_COO_2,4/19/23,Corn,11,0,0,0
WIS_COO_2,4/19/23,Bean,10,2,1,1
WIS_KEN,4/21/23,Bean,1,0,0,0
WIS_HIG,4/21/23,Corn,10,0,0,0
WIS_HIG,4/21/23,Bean,5,0,1,0
WIS_MEG,4/21/23,Bean,6,0,2,0
SMI_DOU,5/1/23,Bean,10,0,0,0
SMI_CRO,5/1/23,Corn,10,0,0,0
SMI_CRO,5/1/23,Bean,10,0,0,0
SMI_JOH,5/1/23,Corn,10,0,0,0
SMI_JOH,5/1/23,Bean,9,0,0,0
SMI_COB,5/1/23,Corn,10,0,0,0
SMI_CAN,5/1/23,Bean,10,0,0,0
SMI_CAN,5/1/23,Corn,10,0,0,0
SMI_MCC,5/1/23,Corn,10,0,0,0
SMI_MCC,5/1/23,Bean,9,0,0,0
SMI_KEL,5/1/23,Bean,8,23,0,4
SMI_KEL,5/1/23,Bean,10,0,0,0
SMI_HOL,5/1/23,Corn,10,0,0,0
SMI_HOL,5/1/23,Bean,7,0,0,0
ZUE_REE,4/26/23,Corn,10,0,0,0
POV_DUN,5/2/23,Corn,10,2,0,1
DIP_PAT,5/2/23,Corn,10,0,0,0
DIP_PAT,5/2/23,Bean,9,0,0,0
DIP_FLE,5/2/23,Corn,10,0,0,0
DIP_FLE,5/2/23,Corn,10,0,0,0
DIP_CUR,5/2/23,Bean,10,0,0,0
DIP_CUR,5/2/23,Corn,10,0,0,0
GAB_ALL,5/1/23,Corn,10,0,0,0
GAB_ALL,5/1/23,Corn,8,0,0,0
GAB_STE,5/1/23,Corn,10,0,0,0
WIS_COO,4/27/23,Corn,10,0,0,0
WIS_COO,4/27/23,Bean,8,2,0,1
WIS_COO_2,4/27/23,Bean,9,0,0,0
WIS_COO_2,4/27/23,Corn,10,0,0,0
STA_WIL,5/3/23,Bean,10,0,0,0
STA_HEM_2,5/3/23,Bean,10,0,0,0
STA_HEM,5/3/23,Corn,10,0,0,0
STA_COL,5/3/23,Bean,9,0,0,0
STA_WIL,5/3/23,Corn,10,0,0,0
STA_COL,5/3/23,Corn,10,0,0,0
STA_HEM_2,5/3/23,Corn,10,0,0,0
STA_HEM,5/3/23,Bean,9,0,0,0
STA_SWE,5/3/23,Corn,10,0,0,0
STA_SWE,5/3/23,Bean,8,0,0,0
SMI_LAT,5/2/23,Corn,10,0,0,0
SMI_LAT,5/2/23,Bean,10,0,1,0
SMI_HOF,5/2/23,Corn,10,0,0,0
SMI_HOF,5/2/23,Corn,10,0,0,0
SMI_DUR,5/2/23,Bean,10,0,0,0
SMI_DUR,5/2/23,Bean,10,0,0,0
SMI_DUR,5/2/23,Corn,10,0,0,0
SMI_DUR,5/2/23,Corn,10,0,0,0
DIP_PAT,5/11/23,Bean,10,0,0,0
DIP_PAT,5/11/23,Corn,10,0,0,0
STA_SWE,5/12/23,Bean,10,2,0,1
STA_SWE,5/12/23,Corn,10,0,0,0
MIL_CHA,5/11/23,Corn,10,0,0,0
MIL_MCC,5/11/23,Bean,10,0,0,0
MIL_YOD,5/11/23,Bean,10,1,0,1
ZUE_REE,5/9/23,Bean,8,2,1,1
ZUE_REE,5/9/23,Corn,10,0,0,0
MIL_CHA,5/11/23,Bean,,1,0,0
MIL_YOD,5/11/23,Corn,10,0,0,0
MIL_MCC,5/11/23,Corn,10,0,0,0
LET_TAB,5/8/23,Corn,10,0,0,0
LET_TAB,5/8/23,Bean,9,0,0,0
LET_NOB,5/8/23,Corn,10,0,0,0
LET_NOB,5/8/23,Bean,0,0,0,0
WIS_MEG,5/5/23,Corn,10,0,0,0
WIS_MEG,5/5/23,Bean,5,0,0,0
WIS_KEN,5/5/23,Bean,,1,2,0
WIS_KEN,5/5/23,Corn,10,0,0,0
WIS_COO,5/3/23,Corn,10,0,0,0
WIS_COO,5/3/23,Bean,,1,0,0
WIS_COO_2,5/3/23,Bean,10,0,0,0
WIS_COO_2,5/3/23,Corn,10,0,0,0
WIS_HIG,5/5/23,Corn,10,0,0,0
WIS_HIG,5/5/23,Bean,4,0,0,0
POV_DUN,5/16/23,Corn,10,0,0,0
DIP_CUR,5/16/23,Corn,9,0,0,0
DIP_CUR,5/16/23,Bean,3,0,0,0
POV_DUN,5/16/23,Bean,7,4,0,1
DIP_PAT,5/16/23,Bean,10,0,0,0
DIP_PAT,5/16/23,Corn,10,0,0,0
DIP_FLE,5/16/23,Corn,9,0,0,0
SMI_DUR,5/15/23,Bean,9,0,0,0
SMI_DUR,5/15/23,Corn,8,0,0,0
SMI_HOL,5/15/23,Corn,10,0,0,0
SMI_JOH,5/15/23,Corn,10,0,0,0
STA_HEM,5/15/23,Corn,10,0,0,0
GAB_STE,5/15/23,Bean,9,0,0,0
SMI_CAN,5/15/23,Bean,6,0,1,0
SMI_JOH,5/15/23,Bean,7,0,0,0
SMI_CRO,5/15/23,Corn,8,0,0,0
STA_WIL,5/15/23,Corn,7,0,0,0
STA_HEM_2,5/15/23,Corn,10,0,0,0
STA_COL,5/16/23,Corn,8,0,0,0
SMI_COB,5/15/23,Corn,10,0,0,0
SMI_CRO,5/15/23,Bean,11,0,0,0
STA_HEM,5/15/23,Bean,10,0,6,0
STA_COL,5/16/23,Bean,10,0,0,0
SMI_KEL,5/15/23,Bean,5,0,0,0
STA_HEM_2,5/15/23,Bean,10,4,3,1
SMI_COB,5/15/23,Bean,4,0,0,0
SMI_HOL,5/15/23,Bean,5,2,0,2
LET_NOB,5/16/23,Corn,10,0,0,0
STA_WIL,5/16/23,Bean,7,0,0,0
LET_NOB,5/16/23,Bean,10,0,0,0
SMI_CAN,5/15/23,Corn,10,0,0,0
SMI_LAT,5/15/23,Bean,8,0,0,0
SMI_MCC,5/15/23,Corn,7,0,0,0
SMI_DOU,5/15/23,Corn,8,0,0,0
SMI_JOH_2,5/15/23,Corn,10,0,0,0
SMI_KEL,5/15/23,Corn,9,0,0,0
