Field ID,Organic Matter
DEG_DIE_HILL,24.28417015
DEG_FOU_WOOD,20.57002831
DEG_PER_STRIP,23.35876274
DEG_VIL,18.75856018
DIP_CUR,18.15420723
DIP_FLE,28.22133827
DIP_PAT,26.51252174
GAB_ALL,28.32917595
GAB_HEN,16.26403236
GAB_STE,12.73650074
HUN_PLE_9,22.46669197
KAT_HAB_3,27.97481728
KAT_HAB_4,22.10969543
KAT_JEF,22.36896324
KAT_JEF_2,37.54327011
KAT_MAH,190.3849945
KAT_SAU,21.01234818
KAT_SAU_3,21.67381096
KAT_TEE,17.37828636
KAT_TEE_3,18.34638786
POV_DUN,20.7029171
SEA_HOO,26.25037003
STA_AYR,34.06747055
STA_BRA,22.82100105
STA_FRE,27.45412445
STA_HEM,25.07189751
STA_MAC,26.84366798
STA_NOB,25.65228653
STA_PAN,22.31842613
STA_SWE,33.36382294
STA_THO,20.55567551
STA_WAT,22.82100105
WIS_COO,24.17316246
WIS_COO_2,23.32694054
WIS_KEN,13.98438168
ZUE_REE,24.44252777
SMI_CAN_2,15.5769558
SMI_COB_3,22.6563797
SMI_DOU_3,24.98108101
SMI_JOH,24.34096146
SMI_KEL,28.20439339
SMI_LAT,21.01000977
SMI_LAT_2,29.36910629
SMI_MCC,30.10634995
