Field ID,ph
DEG_DIE_HILL,6.039941311
DEG_FOU_WOOD,5.715062618
DEG_PER_STRIP,5.993263245
DEG_VIL,6.654009819
DIP_CUR,5.927192211
DIP_FLE,6.317162514
DIP_PAT,6.454941273
GAB_ALL,5.886958599
GAB_HEN,5.580504417
GAB_STE,5.358693123
HUN_PLE_9,6.067530155
KAT_HAB_3,6.10185194
KAT_HAB_4,5.97060585
KAT_JEF,5.586032867
KAT_JEF_2,6.26295042
KAT_MAH,5.586569786
KAT_SAU,5.722351551
KAT_SAU_3,5.815739632
KAT_TEE,5.867316246
KAT_TEE_3,5.303276539
POV_DUN,5.781182766
SEA_HOO,6.488575935
STA_AYR,6.536432266
STA_BRA,6.316936493
STA_FRE,6.673674583
STA_HEM,6.926998138
STA_MAC,6.208273411
STA_NOB,6.663196564
STA_PAN,5.845386505
STA_SWE,6.38201952
STA_THO,6.241055012
STA_WAT,6.316936493
WIS_COO,5.968518734
WIS_COO_2,5.539158821
WIS_KEN,5.452927113
ZUE_REE,6.537268639
SMI_CAN_2,5.585507393
SMI_COB_3,6.173004627
SMI_DOU_3,6.29728651
SMI_JOH,6.416008472
SMI_KEL,6.507095337
SMI_LAT,5.557508469
SMI_LAT_2,5.899997234
SMI_MCC,6.389553547
