Field ID,Date Collected,N.SCM.M.1,N.SCM.F.1,N.SCM.M.2,N.SCM.F.2,N.D.Florilega.1,N.D.Florilega.2
DEG_DIE_2,5/13/24,17,118,18,42,2,2
DEG_DIE_2,5/13/24,,,,,,
DEG_DIE_2,5/21/24,,,,,,
DEG_DIE_2,5/21/24,,,,,,
DEG_DIE_2,5/28/24,,,,,,
DEG_DIE_2,5/28/24,5,6,1,3,0,0
DEG_DIE_2,6/3/24,49,60,30,24,45,10
DEG_DIE_2,6/3/24,,,,,,
DEG_DIE_2,6/11/24,45,24,78,58,3,20
DEG_DIE_2,6/11/24,,,,,,
DEG_DIE_2,6/17/24,,,,,,
DEG_DIE_2,6/17/24,33,13,23,17,19,12
DEG_DIE_2,6/24/24,,,,,,
DEG_DIE_2,6/24/24,3,2,18,13,8,25
DEG_DIE_2,7/1/24,,,,,,
DEG_DIE_2,7/1/24,16,8,16,11,0,0
DEG_DIE_2,7/8/24,,,,,,
DEG_DIE_2,7/8/24,6,2,7,5,0,1
DEG_DIE_2,7/15/24,,,,,,
DEG_DIE_2,7/15/24,1,4,6,26,1,4
DEG_DIE_2,7/22/24,,,,,,
DEG_DIE_2,7/22/24,1,4,8,10,2,5
DEG_DIE_2,7/29/24,,,,,,
DEG_DIE_2,7/29/24,2,8,0,0,3,0
DEG_DIE_2,8/5/24,2,1,3,2,2,1
DEG_DIE_2,8/5/24,,,,,,
DEG_DIE_2,8/12/24,1,1,0,3,0,1
DEG_DIE_2,8/12/24,,,,,,
DEG_DIE_2,8/19/24,,,,,,
DEG_DIE_2,8/19/24,,,,,,
DEG_DIE_2,8/26/24,0,0,0,1,0,0
DEG_DIE_2,8/26/24,,,,,,
DEG_DIE_2,9/4/24,0,0,0,0,0,0
DEG_DIE_2,9/4/24,,,,,,
DEG_DIE_2,9/9/24,,,,,,
DEG_DIE_2,9/9/24,,,,,,
DEG_DIE_2,9/17/24,0,0,0,0,0,0
DEG_DIE_2,9/17/24,,,,,,
DEG_DIE_2,9/23/24,,,,,,
DEG_DIE_2,9/23/24,,,,,,
DEG_DIE_2,9/30/24,0,0,0,0,0,0
DEG_DIE_2,9/30/24,,,,,,
DEG_DIE_2,10/7/24,,,,,,
DEG_DIE_2,10/7/24,1,0,0,0,0,0
DEG_DIE_2,10/21/24,,,,,,
DEG_DIE_2,10/21/24,1,0,3,0,0,0
DEG_DIE_2,11/4/24,,,,,,
DEG_DIE_2,11/4/24,0,0,0,0,0,0
DEG_DIE_2,11/11/24,,,,,,
DEG_DIE_2,11/11/24,0,0,0,0,0,0
DEG_DIE_2,11/25/24,,,,,,
DEG_DIE_2,11/25/24,1,1,0,1,0,0
DEG_DIE_HILL,3/12/24,1,0,1,2,0,0
DEG_DIE_HILL,3/18/24,1,1,3,1,0,0
DEG_DIE_HILL,3/25/24,0,0,0,0,0,0
DEG_DIE_HILL,4/1/24,1,1,0,0,0,0
DEG_DIE_HILL,4/8/24,,,,,,
DEG_DIE_HILL,4/8/24,5,0,1,0,0,0
DEG_DIE_HILL,4/15/24,19,18,20,7,1,0
DEG_DIE_HILL,4/15/24,,,,,,
DEG_DIE_HILL,4/22/24,47,42,45,20,0,0
DEG_DIE_HILL,4/22/24,,,,,,
DEG_DIE_HILL,4/29/24,17,13,5,4,1,0
DEG_DIE_HILL,4/29/24,,,,,,
DEG_DIE_HILL,5/6/24,23,8,77,92,2,0
DEG_DIE_HILL,5/6/24,,,,,,
DEG_FOU_2,5/13/24,25,10,29,5,0,1
DEG_FOU_2,5/13/24,,,,,,
DEG_FOU_2,5/21/24,65,76,35,65,16,7
DEG_FOU_2,5/21/24,,,,,,
DEG_FOU_2,5/28/24,,,,,,
DEG_FOU_2,5/28/24,13,7,74,64,1,5
DEG_FOU_2,6/3/24,15,11,26,16,9,6
DEG_FOU_2,6/3/24,,,,,,
DEG_FOU_2,6/10/24,48,18,108,91,11,17
DEG_FOU_2,6/10/24,,,,,,
DEG_FOU_2,6/17/24,40,36,37,47,9,10
DEG_FOU_2,6/17/24,,,,,,
DEG_FOU_2,6/24/24,,,,,,
DEG_FOU_2,6/24/24,8,10,11,11,6,20
DEG_FOU_2,7/1/24,,,,,,
DEG_FOU_2,7/1/24,41,41,44,23,21,12
DEG_FOU_2,7/8/24,,,,,,
DEG_FOU_2,7/8/24,0,2,6,3,0,0
DEG_FOU_2,7/15/24,,,,,,
DEG_FOU_2,7/15/24,0,1,9,12,0,5
DEG_FOU_2,7/22/24,,,,,,
DEG_FOU_2,7/22/24,5,22,8,40,8,6
DEG_FOU_2,7/29/24,4,6,4,6,1,1
DEG_FOU_2,7/29/24,,,,,,
DEG_FOU_2,8/5/24,0,3,5,4,3,2
DEG_FOU_2,8/5/24,,,,,,
DEG_FOU_2,8/12/24,14,15,10,19,8,5
DEG_FOU_2,8/12/24,,,,,,
DEG_FOU_2,8/19/24,,,,,,
DEG_FOU_2,8/19/24,,,,,,
DEG_FOU_2,8/26/24,0,18,0,13,0,0
DEG_FOU_2,8/26/24,,,,,,
DEG_FOU_2,9/4/24,1,6,1,5,0,0
