Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Dry Beans,Potatoes,Onions,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Squash,Dbl Crop Triticale/Corn,Pumpkins,Dbl Crop WinWht/Sorghum,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
POV_DUN,9,0,4,0,0,0,0,0,0,0,0,83,263,0,0,0,0,0,0,1,0,3,0,0,1,1,1,0,6,292,103,19,6,3,934,7,512,2,876,80,1,1,0,0,0,0,0,1,0,3209,102,1539,876,423,6
DIP_FLE,969,0,18,0,5,0,0,0,0,1,0,936,273,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,3,41,75,14,3,0,412,0,20,5,392,30,2,0,0,10,0,1,0,0,0,3220,1947,469,392,133,3
DIP_CUR,991,1,223,0,0,0,0,198,0,1,0,266,205,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,142,60,33,18,0,444,10,51,4,462,12,6,1,0,0,82,0,0,0,0,3211,1764,527,462,253,0
GAB_STE,289,0,0,0,1,0,0,2,4,0,0,309,82,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,40,32,17,5,19,1199,518,262,0,393,60,5,0,0,0,0,0,0,0,0,3243,607,2063,393,113,2
SMI_CRO,577,0,560,0,0,0,0,89,79,111,0,40,745,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,52,23,5,0,174,26,34,4,554,83,6,0,0,0,0,0,0,0,0,3232,1458,327,554,148,0
SMI_CAN,459,0,65,0,0,0,0,9,4,5,0,416,424,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,108,77,46,10,15,759,7,67,2,715,45,5,0,0,0,0,0,0,0,0,3242,959,900,715,256,3
SMI_KEL,887,2,32,0,0,0,0,28,1,9,0,203,520,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,98,59,7,1,0,483,163,177,2,530,41,1,0,0,0,0,0,0,0,0,3245,1162,867,530,165,0
SMI_COB,452,1,5,0,0,0,0,5,2,0,0,659,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,222,284,248,25,2,333,15,71,6,668,93,4,0,0,0,0,0,0,0,0,3226,1124,524,668,781,1
SMI_DOU,82,0,157,0,0,0,0,1,1,8,0,310,981,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,282,71,29,7,0,552,54,41,1,646,14,2,1,0,0,0,0,0,0,0,3246,560,664,646,389,5
SMI_MCC,302,0,214,0,0,0,0,0,1,1,0,111,731,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,108,57,9,2,0,793,4,17,3,853,38,0,0,0,0,0,0,0,0,0,3247,629,855,853,176,0
SMI_HOL,652,0,72,0,0,0,0,0,0,1,0,556,576,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,130,27,10,2,0,372,51,393,0,341,48,0,0,0,0,0,0,0,0,0,3235,1284,864,341,169,0
DIP_PAT,828,0,454,0,4,0,0,230,1,0,0,810,80,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,2,42,102,25,3,5,403,2,3,0,174,59,1,1,0,1,0,5,0,1,0,3241,2338,473,174,177,2
MIL_YOD,517,0,284,0,0,0,0,177,0,6,1,410,148,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,126,17,6,1,0,899,1,8,1,603,6,1,22,0,0,1,0,0,0,0,3240,1423,916,603,150,0
MIL_CHA,946,0,686,0,2,0,0,4,0,1,0,525,59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,126,20,25,1,0,494,2,10,1,331,7,1,0,0,0,0,0,0,0,0,3242,2165,515,331,172,0
