,Field ID,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Pop or Orn Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Switchgrass,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Other Tree Crops,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Garlic,Broccoli,Peppers,Greens,Plums,Strawberries,Squash,Dbl Crop WinWht/Corn,Dbl Crop Oats/Corn,Lettuce,Dbl Crop Triticale/Corn,Pumpkins,Dbl Crop WinWht/Sorghum,Dbl Crop Barley/Corn,Cabbage,Cauliflower,Gourds,Total,Ag,Nat,Semi_Nat,Dev,Other
0,DEG_DIE_HILL,574,0,276,0,2,0,1,0,0,0,0,0,0,134,5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,55,339,301,106,23,2,515,93,75,0,926,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3465,990,719,926,771,55
1,DEG_FOU_WOOD,848,0,49,0,0,0,0,0,0,0,0,0,0,278,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,176,57,1,0,0,583,26,71,0,1308,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3460,1177,727,1308,234,2
2,DEG_PER_STRIP,811,0,254,0,0,0,0,10,8,0,0,0,0,179,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,145,28,6,0,0,977,48,140,0,818,28,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3467,1270,1193,818,179,0
3,DEG_VIL,952,0,140,4,4,0,0,0,0,0,76,0,0,128,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,194,156,32,1,1,780,17,14,0,739,80,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3464,1319,899,739,384,115
4,DIP_CUR,833,0,398,0,1,0,1,0,0,0,14,0,0,48,1,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,146,43,16,17,2,666,10,28,0,856,1,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,3464,1678,707,856,224,0
5,DIP_FLE,929,0,7,0,2,0,0,0,0,0,0,0,0,914,44,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,64,57,9,22,14,545,0,6,0,765,28,0,0,0,0,0,0,0,0,0,7,0,0,0,44,0,0,0,0,0,0,3465,1908,593,765,166,3
6,DIP_PAT,1232,0,16,0,2,0,1,0,363,7,0,0,0,590,1,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,61,56,13,8,49,513,0,2,0,513,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3465,2214,596,513,187,0
7,GAB_ALL,23,0,3,1,5,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,361,325,335,162,7,6,1341,47,265,0,288,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3467,39,1949,288,835,361
8,GAB_HEN,796,0,385,14,2,1,34,0,28,11,63,0,0,213,3,0,0,0,1,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,40,93,52,66,18,402,88,182,0,827,21,0,3,0,0,1,0,0,0,0,0,0,0,0,94,0,0,7,0,0,0,3459,1657,711,827,269,7
9,GAB_STE,76,10,3,4,1,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51,34,54,13,4,13,1908,145,587,0,486,29,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3466,139,2684,486,118,51
10,HUN_PLE_9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,98,7,1,5,159,10,0,0,3004,158,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3463,2,335,3004,127,0
11,KAT_HAB_3,551,0,347,0,0,0,0,0,0,0,0,0,0,6,1,0,0,21,0,0,0,0,0,42,0,0,0,0,0,2,1,5,0,0,0,0,4,242,81,19,0,1,815,41,386,0,732,0,1,2,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,56,104,0,3475,1152,1244,732,343,4
12,KAT_HAB_4,952,2,59,0,0,0,0,0,72,0,0,0,0,74,23,0,0,3,1,0,0,0,0,0,5,0,0,4,0,0,0,1,0,0,0,0,0,192,21,4,9,11,580,79,258,0,1107,2,2,2,0,0,0,0,0,0,4,0,0,5,0,0,2,0,0,1,6,0,3481,1189,932,1107,237,0
13,KAT_JEF,172,0,0,0,0,0,0,0,0,2,0,0,0,11,134,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,200,74,11,14,3,668,73,594,0,1345,168,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3472,187,1506,1345,302,1
