Field ID,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Switchgrass,Fallow/Idle Cropland,Peaches,Apples,Grapes,Other Tree Crops,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Garlic,Peppers,Greens,Plums,Strawberries,Squash,Dbl Crop Oats/Corn,Lettuce,Dbl Crop Triticale/Corn,Pumpkins,Cabbage,Cauliflower,Total,Ag,Nat,Semi_Nat,Dev,Other
DEG_DIE_HILL,163,0,261,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,7,4,2,0,40,4,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,499,44,265,57,0
DEG_FOU_WOOD,294,0,0,0,0,0,0,0,0,0,0,97,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,19,1,0,0,46,0,4,0,336,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,391,53,336,82,0
DEG_PER_STRIP,148,0,168,0,0,0,10,4,0,0,0,58,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,0,0,0,109,0,0,0,324,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,869,391,110,324,41,0
DEG_VIL,471,0,23,4,4,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,49,26,10,1,1,125,0,1,0,103,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,866,516,141,103,87,20
DIP_CUR,95,0,33,0,1,0,0,0,0,14,0,40,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,56,15,1,0,0,138,4,9,0,363,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,865,279,151,363,72,0
DIP_FLE,357,0,2,0,1,0,0,0,0,0,0,87,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,18,1,0,0,173,0,2,0,168,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,867,450,198,168,44,0
DIP_PAT,331,0,4,0,1,1,0,71,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,287,0,2,0,140,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863,410,312,140,6,0
GAB_ALL,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,110,103,15,3,1,268,28,69,0,150,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,3,477,150,232,6
GAB_HEN,248,0,170,5,0,0,0,0,0,2,0,122,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,9,17,13,22,5,64,3,14,0,159,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,866,558,86,159,66,0
GAB_STE,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,574,40,165,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869,12,779,76,2,0
HUN_PLE_9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,4,32,0,0,0,806,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,2,50,806,10,0
KAT_HAB_3,239,0,58,0,0,0,0,0,0,0,0,3,1,0,0,6,0,0,0,0,32,0,0,0,0,1,1,3,0,0,0,0,57,17,0,0,1,76,0,43,0,223,0,0,0,0,0,0,0,0,2,0,0,0,4,0,33,70,870,452,120,223,75,0
KAT_HAB_4,269,0,1,0,0,0,0,50,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,11,2,7,11,93,26,50,0,303,2,2,1,0,0,0,0,0,0,0,4,0,0,2,0,4,871,333,184,303,61,0
KAT_JEF,59,0,0,0,0,0,0,0,2,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,10,0,1,0,174,37,182,0,340,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870,70,397,340,52,0
KAT_JEF_2,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,39,19,0,10,2,252,2,46,0,309,56,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,869,131,361,309,70,0
KAT_MAH,608,0,2,0,0,0,0,0,0,0,0,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,10,5,1,2,42,0,2,0,118,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,625,53,118,71,0
KAT_SAU,54,0,0,0,0,0,0,0,14,152,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,99,5,40,0,413,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,867,251,144,413,59,0
KAT_SAU_3,10,0,0,0,0,1,0,4,4,59,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,68,6,1,1,1,274,0,12,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,84,287,416,77,2
KAT_TEE,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,56,8,2,0,0,268,6,71,0,205,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,215,374,205,66,5
KAT_TEE_3,152,0,0,0,0,0,0,0,0,0,0,56,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0,0,0,285,47,101,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869,208,433,132,55,0
POV_DUN,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,0,0,0,316,1,113,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868,2,430,357,78,0
SEA_HOO,90,0,232,0,1,6,0,24,5,0,3,107,0,0,0,4,0,1,1,0,0,19,5,0,0,0,0,1,0,0,0,0,60,11,3,1,2,75,0,0,0,164,2,0,0,0,0,0,3,0,0,12,0,0,28,4,0,0,864,546,79,164,77,0
STA_AYR,242,0,51,1,0,0,0,56,0,0,0,6,0,1,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,45,6,3,2,5,290,0,9,0,133,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872,362,319,133,61,0
STA_BRA,288,0,133,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,38,1,0,0,0,246,0,5,0,45,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,461,305,45,39,16
STA_FRE,98,0,527,0,0,0,0,12,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,1,1,0,38,0,0,0,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,727,43,85,10,2
STA_HEM,20,0,24,0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,0,0,125,9,32,0,136,62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,459,231,136,38,0
