Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,SAMPLE_1
POV_DUN,,,,,,"-1","0","0",,,"4"
DIP_FLE,,,,,,"-1","0","0",,,"5"
DIP_CUR,,,,,,"-1","0","0",,,"4"
GAB_STE,,,,,,"-1","0","0",,,"5"
SMI_CRO,,,,,,"-1","0","0",,,"5"
SMI_CAN,,,,,,"-1","0","0",,,"5"
SMI_KEL,,,,,,"-1","0","0",,,"5"
SMI_COB,,,,,,"-1","0","0",,,"4"
SMI_DOU,,,,,,"-1","0","0",,,"5"
SMI_MCC,,,,,,"-1","0","0",,,"5"
SMI_HOL,,,,,,"-1","0","0",,,"5"
DIP_PAT,,,,,,"-1","0","0",,,"5"
MIL_YOD,,,,,,"-1","0","0",,,"5"
MIL_CHA,,,,,,"-1","0","0",,,"5"
MIL_MCC,,,,,,"-1","0","0",,,"5"
KAT_SAU,,,,,,"-1","0","0",,,"5"
KAT_SAU_2,,,,,,"-1","0","0",,,"5"
KAT_TEE,,,,,,"-1","0","0",,,"5"
KAT_TEE_2,,,,,,"-1","0","0",,,"5"
KAT_HAB_2,,,,,,"-1","0","0",,,"5"
KAT_HAB,,,,,,"-1","0","0",,,"5"
KAT_BAR,,,,,,"-1","0","0",,,"5"
SMI_LAT,,,,,,"-1","0","0",,,"5"
SMI_DUR,,,,,,"-1","0","0",,,"5"
SMI_HOF,,,,,,"-1","0","0",,,"5"
SMI_JOH,,,,,,"-1","0","0",,,"5"
SMI_JOH_2,,,,,,"-1","0","0",,,"5"
GAB_ALL,,,,,,"-1","0","0",,,"5"
KAT_JEF,,,,,,"-1","0","0",,,"5"
KAT_JEF_2,,,,,,"-1","0","0",,,"5"
STA_WIL,,,,,,"-1","0","0",,,"4"
STA_HEM_2,,,,,,"-1","0","0",,,"4"
STA_HEM,,,,,,"-1","0","0",,,"4"
STA_SWE,,,,,,"-1","0","0",,,"5"
STA_COL,,,,,,"-1","0","0",,,"5"
WIS_COO_2,,,,,,"-1","0","0",,,"5"
WIS_COO,,,,,,"-1","0","0",,,"5"
LET_NOB,,,,,,"-1","0","0",,,"4"
LET_TAB,,,,,,"-1","0","0",,,"5"
WIS_HIG,,,,,,"-1","0","0",,,"5"
WIS_MEG,,,,,,"-1","0","0",,,"4"
WIS_KEN,,,,,,"-1","0","0",,,"4"
ZUE_REE,,,,,,"-1","0","0",,,"4"
DEG_PER_STRIP,,,,,,"-1","0","0",,,"5"
DEG_FOU_WOOD,,,,,,"-1","0","0",,,"5"
DEG_DIE_HILL,,,,,,"-1","0","0",,,"5"
DEG_DIE_SWC,,,,,,"-1","0","0",,,"5"
DEG_YOU_BOCES,,,,,,"-1","0","0",,,"5"
DEG_YOU_OSHEA,,,,,,"-1","0","0",,,"5"
DEG_YOU_JONES,,,,,,"-1","0","0",,,"5"
DEG_VIL,,,,,,"-1","0","0",,,"5"
SEA_HOO,,,,,,"-1","0","0",,,"4"
MIL_HUM,,,,,,"-1","0","0",,,"5"
ONE_TER,,,,,,"-1","0","0",,,"4"
ONE_ADO,,,,,,"-1","0","0",,,"4"
ONE_STA,,,,,,"-1","0","0",,,"5"
