Field ID,Latitude,Longitude,SAMPLE_1
DEG_DIE_HILL,42.60486,-76.15013,"5"
DEG_FOU_WOOD,42.57729,-76.28135,"5"
DEG_PER_STRIP,42.67339,-76.22911,"5"
DEG_VIL,42.68901,-76.16868,"5"
DIP_CUR,42.43290495,-76.2440504,"4"
DIP_FLE,42.60098098,-76.51318513,"5"
DIP_PAT,42.90355407,-76.66418685,"5"
GAB_ALL,42.92364,-73.68089,"5"
GAB_HEN,43.00549,-73.56116,"5"
GAB_STE,43.07217,-73.5235,"5"
HUN_PLE_9,44.2865002,-75.8554739,"9"
KAT_HAB_3,42.503889,-78.913889,"5"
KAT_HAB_4,42.547222,-78.870556,"5"
KAT_JEF,42.243611,-79.070556,"5"
KAT_JEF_2,42.271111,-79.087778,"5"
KAT_MAH,42.409722,-77.711667,"3"
KAT_SAU,42.060556,-77.799722,"5"
KAT_SAU_3,42.063889,-77.793333,"5"
KAT_TEE,42.333889,-78.760833,"5"
KAT_TEE_3,42.344722,-78.739167,"5"
POV_DUN,42.38746004,-76.39924839,"4"
SEA_HOO,42.627472,-77.018172,"4"
STA_AYR,42.989351,-77.260081,"3"
STA_BRA,42.909417,-77.788306,"5"
STA_FRE,42.84381,-76.88684,"5"
STA_HEM,42.996,-77.103944,"4"
STA_MAC,42.73875,-77.809417,"4"
STA_NOB,42.85805,-77.95054,"4"
STA_PAN,42.5805,-78.078917,"5"
STA_SWE,42.798278,-78.099611,"5"
STA_THO,43.137601,-77.316857,"3"
STA_WAT,42.909417,-77.788306,"5"
WIS_COO,41.879388,-73.614722,"5"
WIS_COO_2,41.871069,-73.62796,"5"
WIS_KEN,41.66554,-73.95627,"4"
ZUE_REE,42.783494,-76.983186,"4"
SMI_CAN_2,42.875556,-75.055333,"5"
SMI_COB_3,42.661472,-74.515333,"5"
SMI_DOU_3,43.0545,-74.844361,"5"
SMI_JOH,43.003194,-75.5905,"5"
SMI_KEL,42.960056,-74.659556,"5"
SMI_LAT,42.692,-75.52825,"5"
SMI_LAT_2,42.692444,-75.5245,"5"
SMI_MCC,43.118972,-74.846944,"5"
