,card_id,field_id,date_collected,total_scm,scm_male,scm_female,season_total,male_total,female_total,weekly_prop,weekly_prop_f,weekly_prop_m,season_prop,week,year
2379,2006.0,DIP_FLE,2023-03-13,0.0,0.0,0.0,1556.0,780.0,776.0,0.0,0.0,0.0,0.0,11,2023
2374,2001.0,DIP_CUR,2023-03-13,0.0,0.0,0.0,1309.0,655.0,654.0,0.0,0.0,0.0,0.0,11,2023
2375,2002.0,DIP_CUR,2023-03-13,0.0,0.0,0.0,1309.0,655.0,654.0,0.0,0.0,0.0,0.0,11,2023
2378,2005.0,DIP_FLE,2023-03-13,0.0,0.0,0.0,1556.0,780.0,776.0,0.0,0.0,0.0,0.0,11,2023
2377,2004.0,POV_DUN,2023-03-13,0.0,0.0,0.0,275.0,185.0,90.0,0.0,0.0,0.0,0.0,11,2023
2376,2003.0,POV_DUN,2023-03-13,0.0,0.0,0.0,275.0,185.0,90.0,0.0,0.0,0.0,0.0,11,2023
2372,2011.0,POV_DUN,2023-03-21,0.0,0.0,0.0,275.0,185.0,90.0,0.0,0.0,0.0,0.0,12,2023
2371,2010.0,DIP_CUR,2023-03-21,0.0,0.0,0.0,1309.0,655.0,654.0,0.0,0.0,0.0,0.0,12,2023
2370,2009.0,DIP_CUR,2023-03-21,0.0,0.0,0.0,1309.0,655.0,654.0,0.0,0.0,0.0,0.0,12,2023
2369,2008.0,DIP_FLE,2023-03-21,0.0,0.0,0.0,1556.0,780.0,776.0,0.0,0.0,0.0,0.0,12,2023
2368,2007.0,DIP_FLE,2023-03-21,0.0,0.0,0.0,1556.0,780.0,776.0,0.0,0.0,0.0,0.0,12,2023
2373,2012.0,POV_DUN,2023-03-21,0.0,0.0,0.0,275.0,185.0,90.0,0.0,0.0,0.0,0.0,12,2023
2361,2014.0,DIP_FLE,2023-03-28,42.0,29.0,13.0,1556.0,780.0,776.0,0.02699228791773779,0.01675257731958763,0.03717948717948718,0.02699228791773779,13,2023
2363,2016.0,POV_DUN,2023-03-28,50.0,41.0,9.0,275.0,185.0,90.0,0.18181818181818182,0.1,0.22162162162162163,0.18181818181818182,13,2023
2360,2013.0,DIP_FLE,2023-03-28,23.0,14.0,9.0,1556.0,780.0,776.0,0.014781491002570694,0.011597938144329897,0.017948717948717947,0.04177377892030848,13,2023
2365,2018.0,DIP_CUR,2023-03-28,0.0,0.0,0.0,1309.0,655.0,654.0,0.0,0.0,0.0,0.0,13,2023
2367,2026.0,GAB_STE,2023-03-28,16.0,7.0,9.0,729.0,414.0,315.0,0.02194787379972565,0.02857142857142857,0.016908212560386472,0.02194787379972565,13,2023
