record_id,collection_date,min_temp_f_1_week,ave_temp_f_1_week,max_temp_f_1_week,mean_dew_point_1_week,vpd_min_1_week,vpd_max_1_week,rain_inches_1_week
DEG_DIE_HILL,4/21/23,40.825,52.8125,64.8,40.15,0.84875,14.81875,0.62
DEG_DIE_HILL,4/27/23,36.15,46.525,56.8875,36.8125,0.565,10.19875,0.74
DEG_DIE_HILL,5/4/23,37.7375,44.675,51.6125,38.775,0.31875,5.09375,3.15
DEG_DIE_HILL,5/11/23,36.6125,47.925,59.25,37.525,0.3,10.51125,0.38
DEG_DIE_HILL,5/18/23,37.45,51.8125,66.2,35.9375,0.745,16.07125,0
DEG_DIE_HILL,5/26/23,41.425,54.4625,67.45,42.7125,1.0475,13.58125,0.15
DEG_DIE_HILL,6/1/23,43.125,58.85,74.5625,41.925,1.28375,21.1025,0.02
DEG_DIE_SWC,4/21/23,40.8875,52.6375,64.3625,40.1125,0.89,14.39625,0.64
DEG_DIE_SWC,4/27/23,36.175,46.2125,56.25,36.7625,0.56875,9.71375,0.79
DEG_DIE_SWC,5/4/23,37.9125,44.575,51.25,38.85,0.335,4.87,3.2
DEG_DIE_SWC,5/11/23,36.9625,47.9125,58.8625,37.6625,0.3525,10.235,0.41
DEG_DIE_SWC,5/18/23,37.775,51.825,65.8625,36,0.84625,15.7175,0
DEG_DIE_SWC,5/26/23,41.6875,54.35,67.025,42.7375,1.09375,13.13,0.16
DEG_DIE_SWC,6/1/23,43.3875,58.7625,74.1375,42.1,1.32375,20.54,0.02
DEG_FOU_WOOD,4/21/23,40.7125,52.75,64.7875,40.1375,0.815,14.795,0.69
DEG_FOU_WOOD,4/27/23,35.9875,46.4625,56.925,36.825,0.56625,10.2075,0.53
DEG_FOU_WOOD,5/12/23,37.225,49.9625,62.7625,38.225,0.29875,12.4825,0.22
DEG_FOU_WOOD,5/18/23,36.675,51.4125,66.15,35.75,0.575,16.085,0
DEG_FOU_WOOD,5/25/23,40.1375,53.125,66.0875,41.225,1.05375,13.31375,0.18
DEG_FOU_WOOD,6/1/23,42.4875,58.4875,74.475,41.7,1.19625,21.10625,0.02
DEG_PER_STRIP,4/20/23,41.6,53.6,65.5875,40.4375,0.8575,15.21,0.63
DEG_PER_STRIP,4/27/23,35.625,45.7,55.8125,36.4375,0.52875,9.525,0.58
DEG_PER_STRIP,5/4/23,37.35,44.1125,50.875,38.625,0.29,4.7425,2.92
DEG_PER_STRIP,5/12/23,37.5875,49.775,61.9625,38.2375,0.375,11.94375,0.36
DEG_PER_STRIP,5/19/23,36.7375,51,65.2375,34.9625,0.9225,15.6325,0
DEG_PER_STRIP,5/25/23,40.2625,52.775,65.275,41.1125,1.0775,12.5875,0.22
DEG_PER_STRIP,6/1/23,42.875,58.2625,73.6375,41.85,1.21875,20.1025,0.03
DEG_VIL,4/20/23,42.0125,54.0125,66.0375,40.5875,0.9725,15.58625,0.63
DEG_VIL,4/27/23,35.9125,46.0125,56.1625,36.5625,0.54625,9.69375,0.63
DEG_VIL,5/4/23,37.7,44.5,51.3375,38.8,0.32,4.92875,3.03
DEG_VIL,5/11/23,36.925,47.85,58.8125,37.6375,0.365,10.25,0.53
DEG_VIL,5/18/23,37.8,51.8375,65.85,35.8875,0.905,15.75,0
