Record ID,Organic Matter Percent,Base Saturation Ca,Base Saturation Mg,Base Saturation K,Base Saturation Na,Base Saturation H,Base Saturation Total,Exch Acidity,Buffer pH,CEC,pH,Ca ppm,P ppm,Mg ppm,K ppm,Na ppm,Fe ppm,Zn ppm,Cu ppm,Mn ppm,B ppm,Al ppm,S ppm,Morgan P lb/A,Morgan K lb/A,Morgan  Ca lb/A,Morgan Mg lb/A
DEG_DIE_HILL,5.83,56.3,9.2,8.7,1,24.7,75.3,2.84,5.89,11.5,5.5,1297,136,129,393,27,298,2.6,1.8,33.9,0.3,1546,26,13.9,695,2233.2,233.2
DEG_VIL,4.42,47.8,8.4,6.4,1,36.3,63.7,3.24,5.79,8.9,5.43,855,124,91,223,21,294,3.3,6.8,45.1,0.2,1578,19,11.2,394.7,1359.7,164.6
DEG_PER,6.09,71.2,21.2,1.4,0.9,5.2,94.8,1,6.35,19.1,6.56,2726,73,492,108,39,201,4.9,3.2,136.2,1.1,933,16,12.6,191.2,5057.3,893.6
DEG_FOU_WOOD,5.96,61.1,14.8,8.7,1.8,13.6,86.4,1.84,6.14,13.5,5.92,1653,127,243,462,55,253,10.8,21.4,55.7,0.5,1075,32,12.7,816.7,2936.8,440.3
DIP_PAT,4.15,74,20,4.9,1.1,0,100,0,0,22,7.31,3258,152,533,419,57,277,10,12.9,138.9,1.6,730,25,57.5,740.6,6108.7,968.2
DIP_FLE,5.04,73.9,16.7,6.8,1,1.6,98.4,0.28,6.53,17.7,6.91,2626,120,359,472,41,216,11.3,48.5,90.5,1.1,859,31,29.2,834.9,4859.7,652.2
DIP_CUR,5.53,67.3,14.6,6.7,1.4,10.1,89.9,1.56,6.21,15.4,6.39,2081,163,273,403,50,293,16.3,10.7,54.3,0.7,1224,24,17.3,713,3782.6,495.8
LET_NOB,4.95,77.7,17.1,3.1,2.2,0,100,0,0,21.4,7.03,3326,246,443,258,107,356,34.2,22.7,107.9,2.5,647,44,117.1,457,6243.1,805.2
LET_TAB,4.35,75.7,11.5,6.3,1.4,5.1,94.9,0.68,6.43,13.4,6.68,2039,157,188,331,44,248,6.8,40.5,42.9,1.1,800,28,41,586.3,3699.6,341.1
STA_SWE,3.99,65.5,14.6,3.3,1.1,15.6,84.4,2.16,6.06,13.9,5.55,1822,129,246,177,35,312,6.1,11.3,76.8,0.5,889,34,23.6,313.1,3270.8,446.8
STA_HEM,3.39,80.8,13.9,3.9,1.4,0,100,0,0,16.2,7.41,2619,102,274,246,52,217,5.4,11.6,158.9,1.7,635,17,38.8,436.2,4845.9,497.6
STA_HEM_2,2.57,77.9,14.5,4,1.9,1.8,98.2,0.2,6.55,11.2,6.96,1752,110,199,174,48,222,6,16.8,176.3,0.8,831,17,21.9,308.8,3132.4,360
STA_COL,3.27,77,18.8,3.1,1.1,0,100,0,0,11.4,7.17,1753,31,260,140,28,154,4.8,11.3,155,1.3,725,13,1,247.4,3134.4,472.1
