Container_Nr,Date_collected,Seed Type,Date_1st_measure,Nr_Seeds_germinated_1st_measure,Date_2nd measure,Nr_Seeds_germinated_2nd measure,Nr_Seeds_with_root_only,Nr_Seeds_with_shoot_only,Nr_Seeds_with_Both_root_and_shoot,Nr_Seeds_not germinated,Dry_aboveground_biomass_of_seedlings,Dry_belowground_biomass_of_seedlings
3013,4/18/23,corn,4/19/23,5,4/27/23,7,0,0,7,3,,
3014,4/18/23,lima,4/19/23,0,4/27/23,0,0,0,0,10,,
3015,4/18/23,lima,4/19/23,0,4/27/23,0,0,0,0,10,,
3016,4/18/23,corn,4/19/23,8,4/27/23,10,0,0,10,0,,
3017,4/18/23,corn,4/19/23,6,4/27/23,6,0,1,5,4,,
3018,4/18/23,lima,4/19/23,1,4/27/23,,,,,,,
3019,4/18/23,corn,4/19/23,7,4/27/23,10,0,0,10,0,,
3020,4/18/23,lima,4/19/23,0,4/27/23,0,0,0,0,10,,
3021,4/17/23,corn,4/19/23,7,4/27/23,9,0,0,9,1,,
3022,4/17/23,lima,4/19/23,0,4/27/23,,,,,,,
3023,4/17/23,corn,4/19/23,7,4/27/23,10,0,0,10,0,,
3024,4/17/23,lima,4/19/23,0,4/27/23,0,0,0,0,10,,
3045,4/18/23,corn,4/20/23,4,4/27/23,5,0,0,5,5,,
3046,4/18/23,lima,4/20/23,0,4/27/23,2,1,1,0,8,,
3047,4/17/23,corn,4/20/23,3,4/27/23,9,0,0,9,1,,
3048,4/17/23,lima,4/20/23,0,4/27/23,,,,,,,
3049,4/17/23,corn,4/20/23,1,4/27/23,1,0,1,0,9,,
3050,4/17/23,lima,4/20/23,1,4/27/23,1,0,1,0,9,,
3051,4/17/23,lima,4/20/23,0,4/27/23,,,,,,,
3052,4/17/23,corn,4/20/23,0,4/27/23,0,0,0,0,10,,
3053,4/17/23,corn,4/20/23,7,4/27/23,7,0,0,7,3,,
3054,4/17/23,lima,4/20/23,2,4/27/23,1,1,0,0,9,,
3055,4/17/23,corn,4/20/23,8,4/27/23,8,0,0,8,2,,
3056,4/17/23,lima,4/20/23,0,4/27/23,,,,,,,
3057,4/17/23,corn,4/20/23,7,4/27/23,10,0,0,10,0,,
3058,4/17/23,lima,4/20/23,0,4/27/23,,,,,,,
3059,4/17/23,corn,4/20/23,7,4/17/23,10,0,0,10,0,,
3060,4/17/23,lima,4/20/23,0,4/27/23,1,0,1,0,9,,
3061,4/18/23,lima,4/20/23,1,4/27/23,2,0,0,2,8,,
3062,4/18/23,corn,4/20/23,6,4/27/23,10,0,0,10,0,,
3063,4/18/23,corn,4/20/23,5,4/17/23,10,0,0,10,0,,
3064,4/18/23,lima,4/20/23,0,4/27/23,,,,,,,
3069,4/18/23,lima,4/20/23,0,4/27/23,,,,,,,
3070,4/18/23,corn,4/20/23,6,4/17/23,9,0,0,9,1,,
3071,4/18/23,lima,4/20/23,0,4/27/23,,,,,,,
3072,4/18/23,corn,4/20/23,1,4/27/23,2,0,0,2,8,,
3083,4/20/23,corn,4/21/23,10,4/27/23,10,0,0,10,0,,
3084,4/20/23,lima,4/21/23,1,4/27/23,,,,,,,
3085,4/20/23,lima,4/21/23,0,4/27/23,,,,,,,
3086,4/20/23,corn,4/21/23,10,4/27/23,10,0,0,10,0,,
3087,4/20/23,corn,4/21/23,7,4/27/23,9,0,0,9,1,,
3088,4/20/23,lima,4/21/23,0,4/27/23,0,0,0,0,10,,
3089,4/20/23,corn,4/21/23,9,4/27/23,9,1,0,8,1,,
3090,4/20/23,lima,4/21/23,0,4/27/23,0,0,0,0,10,,
3091,4/20/23,corn,4/21/23,8,4/27/23,9,1,0,8,1,,
3092,4/20/23,lima,4/21/23,0,4/27/23,1,0,0,1,9,,
3143,4/27/23,lima,4/28/23,0,5/4/23,0,0,0,0,10,,
3144,4/27/23,corn,4/28/23,3,5/4/23,4,0,1,3,6,0.0306,1.39597
3145,4/27/23,corn,4/28/23,9,5/4/23,9,0,0,9,1,0.23142,2.18843
3146,4/27/23,lima,4/28/23,0,5/4/23,0,0,0,0,0,,
3147,4/27/23,corn,4/28/23,8,5/4/23,9,0,1,8,1,0.20089,1.85255
3148,4/27/23,lima,4/28/23,0,5/4/23,0,0,0,0,10,,
3154,4/24/23,corn,4/28/23,8,5/4/23,10,0,0,10,0,0.18458,1.97719
3155,4/24/23,lima,4/28/23,0,5/4/23,0,0,0,0,10,,
3156,4/24/23,lima,4/28/23,0,5/4/23,1,0,0,1,9,0,0.32447
3157,4/24/23,corn,4/28/23,10,5/4/23,10,0,0,10,0,0.22123,3.17043
3162,4/19/23,corn,5/1/23,10,no 2nd measure,,1,0,9,0,0.13401,1.77646
3163,4/19/23,lima,5/1/23,1,no 2nd measure,,1,,,9,0,0.35841
3164,4/21/23,lima,5/1/23,0,no 2nd measure,,,,0,10,,
3165,4/21/23,corn,5/1/23,10,no 2nd measure,,,,10,0,0.37011,1.97882
3166,4/21/23,corn,5/1/23,10,no 2nd measure,,,,10,0,0.29196,1.75382
3167,4/21/23,corn,5/1/23,10,no 2nd measure,,,,10,0,0.2374,1.60925
3168,4/19/23,corn,5/1/23,4,no 2nd measure,,,,4,6,0.09314,0.72081
3169,4/19/23,lima,5/1/23,0,no 2nd measure,,,,,10,,
3170,4/21/23,corn,5/1/23,10,no 2nd measure,,,,10,,0.18623,2.30762
3171,4/21/23,corn,5/1/23,10,no 2nd measure,,1,,9,,0.0457,2.08784
3191,5/1/23,lima,5/2/23,0,5/9/23,0,0,0,0,0,,
3192,5/1/23,corn,5/2/23,0,5/9/23,9,8,0,1,1,0.02304,2.07259
3193,5/1/23,corn,5/2/23,10,5/9/23,10,1,0,5,0,0.12459,1.60005
3194,5/1/23,lima,5/2/23,0,5/9/23,0,0,0,0,10,,
3195,5/1/23,corn,5/2/23,10,5/9/23,10,1,0,9,0,0.18572,2.30519
3196,5/1/23,lima,5/2/23,0,5/9/23,0,0,0,0,10,,
3197,5/1/23,lima,5/2/23,0,5/9/23,0,0,0,0,10,,
3198,5/1/23,corn,5/2/23,0,5/9/23,0,0,0,0,10,0,1.60064
3199,5/1/23,lima,5/2/23,0,5/9/23,0,0,0,0,10,,
3200,5/1/23,corn,5/2/23,10,5/9/23,10,2,0,8,0,0.21145,2.30464
3201,5/1/23,corn,5/2/23,10,5/9/23,10,0,0,10,0,0.26338,2.57181
3202,5/1/23,lima,5/2/23,0,5/9/23,0,0,0,0,10,,
3203,5/1/23,lima,5/2/23,0,5/9/23,0,0,0,0,10,,
3204,5/1/23,corn,5/2/23,8,5/9/23,8,3,0,5,2,0.08228,1.97209
3205,5/1/23,lima,5/2/23,0,5/9/23,0,0,0,0,10,,
3206,5/1/23,corn,5/2/23,10,5/9/23,10,4,0,6,0,0.05321,2.10602
3223,5/2/23,corn,5/3/23,10,5/9/23,10,0,0,10,0,0.16868,1.73961
3224,5/2/23,lima,5/3/23,0,5/9/23,0,0,0,0,10,,
3225,4/26/23,corn,5/3/23,10,no 2nd measure,,,,10,0,0.23084,2.98017
3226,4/26/23,lima,5/3/23,3,no 2nd measure,,,,3,7,0.65195,0.08639
3227,5/2/23,corn,5/3/23,11 (has 11 corn seeds),,,,,,,,
3228,5/2/23,lima,5/3/23,0,5/9/23,0,0,0,0,10,,
3229,5/2/23,lima,5/3/23,0,5/9/23,0,0,0,0,10,,
